Electoral District Number/Numéro de circonscription,Electoral District Name/Nom de circonscription,Polling Station Number/Numéro du bureau de scrutin,Polling Station Name/Nom du bureau de scrutin,Zahia El-Masri,Agop Evereklian,Raymonde Folco,Mohamedali Jetha,Brent Neil,Sylvain A. Trottier,Rejected Ballots/Bulletins rejetés,Total Votes/Total des votes,Electors/Électeurs
24033,"Laval--Les Îles/Laval--Les Îles"," 83","Laval",26,29,80,51,3,4,5,198,298
24033,"Laval--Les Îles/Laval--Les Îles"," 84","Laval",19,47,80,57,2,2,2,209,373
24033,"Laval--Les Îles/Laval--Les Îles"," 85","Laval",9,21,76,29,2,2,0,139,217
24033,"Laval--Les Îles/Laval--Les Îles"," 86","Laval",33,31,57,56,7,1,1,186,345
24033,"Laval--Les Îles/Laval--Les Îles"," 87A","Laval",10,46,58,32,4,0,1,151,343
24033,"Laval--Les Îles/Laval--Les Îles"," 87B","Laval",27,55,92,35,15,3,8,235,397
24033,"Laval--Les Îles/Laval--Les Îles"," 88","Laval",31,41,92,15,6,1,5,191,381
24033,"Laval--Les Îles/Laval--Les Îles"," 88-1","Laval",14,59,106,10,2,1,1,193,375
24033,"Laval--Les Îles/Laval--Les Îles"," 89","Laval",26,52,101,27,12,2,9,229,448
24033,"Laval--Les Îles/Laval--Les Îles"," 90","Laval",8,31,82,23,1,1,0,146,269
24033,"Laval--Les Îles/Laval--Les Îles"," 91","Laval",22,55,76,45,11,3,0,212,401
24033,"Laval--Les Îles/Laval--Les Îles"," 92","Laval",38,77,116,52,14,3,3,303,553
24033,"Laval--Les Îles/Laval--Les Îles"," 93","Laval",41,52,114,40,9,0,2,258,475
24033,"Laval--Les Îles/Laval--Les Îles"," 94","Laval",27,48,77,57,7,2,5,223,378
24033,"Laval--Les Îles/Laval--Les Îles"," 95","Laval",32,49,66,55,3,1,8,214,355
24033,"Laval--Les Îles/Laval--Les Îles"," 96","Laval",37,63,114,50,8,5,7,284,499
24033,"Laval--Les Îles/Laval--Les Îles"," 97","Laval",45,52,104,50,9,1,3,264,437
24033,"Laval--Les Îles/Laval--Les Îles"," 98","Laval",25,37,91,25,3,0,1,182,292
24033,"Laval--Les Îles/Laval--Les Îles"," 98-1","Laval",27,44,80,33,8,0,4,196,314
24033,"Laval--Les Îles/Laval--Les Îles"," 99","Laval",31,64,116,32,11,2,5,261,485
24033,"Laval--Les Îles/Laval--Les Îles"," 100","Laval",16,49,91,29,6,2,1,194,365
24033,"Laval--Les Îles/Laval--Les Îles"," 101","Laval",18,55,73,48,6,7,1,208,456
24033,"Laval--Les Îles/Laval--Les Îles"," 102","Laval",25,20,48,80,6,1,2,182,388
24033,"Laval--Les Îles/Laval--Les Îles"," 103","Laval",26,57,88,29,2,0,1,203,433
24033,"Laval--Les Îles/Laval--Les Îles"," 104","Laval",21,35,61,37,3,2,5,164,310
24033,"Laval--Les Îles/Laval--Les Îles"," 105","Laval",20,28,82,18,4,0,1,153,326
24033,"Laval--Les Îles/Laval--Les Îles"," 106","Laval",35,56,87,41,6,0,0,225,369
24033,"Laval--Les Îles/Laval--Les Îles"," 107","Laval",16,16,23,11,3,2,2,73,428
24033,"Laval--Les Îles/Laval--Les Îles"," 108","Laval",20,63,122,34,4,2,1,246,464
24033,"Laval--Les Îles/Laval--Les Îles"," 109","Laval",18,62,106,15,5,0,1,207,407
24033,"Laval--Les Îles/Laval--Les Îles"," 109-1A","Laval",27,24,61,47,9,1,0,169,400
24033,"Laval--Les Îles/Laval--Les Îles"," 109-1B","Laval",19,77,103,9,3,1,2,214,473
24033,"Laval--Les Îles/Laval--Les Îles"," 109-2","Laval",21,52,80,10,4,1,3,171,353
24033,"Laval--Les Îles/Laval--Les Îles"," 110","Laval",18,36,67,5,5,0,0,131,335
24033,"Laval--Les Îles/Laval--Les Îles"," 110-1","Laval",15,23,62,14,7,0,3,124,269
24033,"Laval--Les Îles/Laval--Les Îles"," 111","Laval",25,46,103,12,5,1,5,197,417
24033,"Laval--Les Îles/Laval--Les Îles"," 112A","Laval",16,40,76,13,5,1,2,153,353
24033,"Laval--Les Îles/Laval--Les Îles"," 112B","Laval",26,22,58,39,2,2,3,152,362
24033,"Laval--Les Îles/Laval--Les Îles"," 113","Laval",29,64,115,4,9,0,3,224,460
24033,"Laval--Les Îles/Laval--Les Îles"," 114","Laval",16,41,104,23,6,1,5,196,449
24033,"Laval--Les Îles/Laval--Les Îles"," 115","Laval",50,70,145,44,10,2,1,322,567
24033,"Laval--Les Îles/Laval--Les Îles"," 116","Laval",21,44,59,18,5,1,1,149,435
24033,"Laval--Les Îles/Laval--Les Îles"," 117","Laval",38,47,87,33,5,0,4,214,463
24033,"Laval--Les Îles/Laval--Les Îles"," 118","Laval",21,40,70,39,8,1,1,180,471
24033,"Laval--Les Îles/Laval--Les Îles"," 119","Laval",19,48,110,3,4,0,0,184,363
24033,"Laval--Les Îles/Laval--Les Îles"," 120","Laval",10,63,118,13,10,0,6,220,435
24033,"Laval--Les Îles/Laval--Les Îles"," 121","Laval",29,52,73,8,8,0,2,172,351
24033,"Laval--Les Îles/Laval--Les Îles"," 122","Laval",16,55,114,14,9,1,4,213,436
24033,"Laval--Les Îles/Laval--Les Îles"," 123","Laval",17,26,93,4,1,0,2,143,342
24033,"Laval--Les Îles/Laval--Les Îles"," 124","Laval",14,30,79,6,4,0,2,135,368
24033,"Laval--Les Îles/Laval--Les Îles"," 125","Laval",15,57,66,4,4,0,2,148,298
24033,"Laval--Les Îles/Laval--Les Îles"," 126","Laval",20,62,108,5,8,1,1,205,366
24033,"Laval--Les Îles/Laval--Les Îles"," 127","Laval",24,36,130,7,14,0,0,211,432
24033,"Laval--Les Îles/Laval--Les Îles"," 128","Laval",18,70,119,7,11,0,0,225,428
24033,"Laval--Les Îles/Laval--Les Îles"," 129","Laval",15,36,86,4,4,0,2,147,401
24033,"Laval--Les Îles/Laval--Les Îles"," 130","Laval",18,34,71,2,7,0,3,135,376
24033,"Laval--Les Îles/Laval--Les Îles"," 131","Laval",18,20,89,5,5,0,2,139,309
24033,"Laval--Les Îles/Laval--Les Îles"," 132","Laval",25,32,87,2,5,1,2,154,342
24033,"Laval--Les Îles/Laval--Les Îles"," 133","Laval",17,48,98,12,7,2,1,185,369
24033,"Laval--Les Îles/Laval--Les Îles"," 134","Laval",23,59,103,13,6,0,2,206,451
24033,"Laval--Les Îles/Laval--Les Îles"," 135","Laval",33,64,134,9,8,1,2,251,500
24033,"Laval--Les Îles/Laval--Les Îles"," 136","Laval",15,60,86,18,1,0,2,182,454
24033,"Laval--Les Îles/Laval--Les Îles"," 137","Laval",19,52,76,3,8,2,2,162,380
24033,"Laval--Les Îles/Laval--Les Îles"," 138","Laval",28,73,96,6,6,2,3,214,401
24033,"Laval--Les Îles/Laval--Les Îles"," 139","Laval",25,68,107,3,6,0,3,212,476
24033,"Laval--Les Îles/Laval--Les Îles"," 140","Laval",18,59,106,9,7,0,3,202,396
24033,"Laval--Les Îles/Laval--Les Îles"," 141","Laval",28,41,88,13,4,0,0,174,410
24033,"Laval--Les Îles/Laval--Les Îles"," 142","Laval",17,57,107,5,7,0,2,195,397
24033,"Laval--Les Îles/Laval--Les Îles"," 143","Laval",31,41,93,6,4,0,1,176,398
24033,"Laval--Les Îles/Laval--Les Îles"," 144","Laval",28,37,84,7,11,0,1,168,346
24033,"Laval--Les Îles/Laval--Les Îles"," 145","Laval",28,60,117,7,10,0,2,224,421
24033,"Laval--Les Îles/Laval--Les Îles"," 146","Laval",20,50,106,2,4,0,1,183,431
24033,"Laval--Les Îles/Laval--Les Îles"," 147","Laval",21,77,106,5,6,0,1,216,442
24033,"Laval--Les Îles/Laval--Les Îles"," 148","Laval",12,71,115,9,6,1,1,215,441
24033,"Laval--Les Îles/Laval--Les Îles"," 149","Laval",29,68,117,4,3,0,2,223,452
24033,"Laval--Les Îles/Laval--Les Îles"," 150","Laval",21,63,122,10,5,0,0,221,489
24033,"Laval--Les Îles/Laval--Les Îles"," 151","Laval",18,40,102,14,2,0,0,176,432
24033,"Laval--Les Îles/Laval--Les Îles"," 152","Laval",28,60,136,9,3,1,7,244,511
24033,"Laval--Les Îles/Laval--Les Îles"," 153","Laval",16,58,101,18,3,0,3,199,370
24033,"Laval--Les Îles/Laval--Les Îles"," 154","Laval",23,57,80,65,12,2,5,244,416
24033,"Laval--Les Îles/Laval--Les Îles"," 155","Laval",30,51,106,60,13,2,3,265,455
24033,"Laval--Les Îles/Laval--Les Îles"," 156","Laval",5,17,39,22,5,1,2,91,192
24033,"Laval--Les Îles/Laval--Les Îles"," 157","Laval",14,38,90,32,9,2,3,188,403
24033,"Laval--Les Îles/Laval--Les Îles"," 158","Laval",22,63,95,15,5,1,0,201,349
24033,"Laval--Les Îles/Laval--Les Îles"," 159","Laval",30,43,103,40,3,1,5,225,477
24033,"Laval--Les Îles/Laval--Les Îles"," 160","Laval",15,42,54,15,3,1,4,134,257
24033,"Laval--Les Îles/Laval--Les Îles"," 161","Laval",19,49,104,16,11,0,5,204,412
24033,"Laval--Les Îles/Laval--Les Îles"," 162","Laval",33,44,111,41,1,0,1,231,448
24033,"Laval--Les Îles/Laval--Les Îles"," 163","Laval",3,48,61,18,5,0,0,135,265
24033,"Laval--Les Îles/Laval--Les Îles"," 163-1","Laval",9,57,64,6,3,0,1,140,290
24033,"Laval--Les Îles/Laval--Les Îles"," 164","Laval",25,67,122,35,7,0,3,259,484
24033,"Laval--Les Îles/Laval--Les Îles"," 165","Laval",11,73,126,26,8,1,2,247,384
24033,"Laval--Les Îles/Laval--Les Îles"," 166","Laval",25,57,93,20,0,1,1,197,388
24033,"Laval--Les Îles/Laval--Les Îles"," 167","Laval",15,32,53,26,2,1,0,129,207
24033,"Laval--Les Îles/Laval--Les Îles"," 168","Laval",26,44,99,44,5,1,3,222,278
24033,"Laval--Les Îles/Laval--Les Îles"," 169","Laval",3,40,102,41,3,0,1,190,264
24033,"Laval--Les Îles/Laval--Les Îles"," 170","Laval",13,51,106,47,5,0,3,225,319
24033,"Laval--Les Îles/Laval--Les Îles"," 171","Laval",22,51,86,22,10,0,1,192,456
24033,"Laval--Les Îles/Laval--Les Îles"," 172","Laval",17,44,144,66,5,1,0,277,543
24033,"Laval--Les Îles/Laval--Les Îles"," 173","Laval",12,63,91,19,11,0,1,197,376
24033,"Laval--Les Îles/Laval--Les Îles"," 174","Laval",28,29,57,21,6,1,1,143,325
24033,"Laval--Les Îles/Laval--Les Îles"," 174-1","Laval",26,34,94,35,2,0,2,193,363
24033,"Laval--Les Îles/Laval--Les Îles"," 174-2","Laval",35,54,102,24,0,0,3,218,367
24033,"Laval--Les Îles/Laval--Les Îles"," 174-3","Laval",28,63,143,32,2,0,1,269,437
24033,"Laval--Les Îles/Laval--Les Îles"," 175","Laval",15,51,115,17,6,0,2,206,378
24033,"Laval--Les Îles/Laval--Les Îles"," 175-1","Laval",26,63,119,22,5,0,1,236,475
24033,"Laval--Les Îles/Laval--Les Îles"," 176","Laval",30,71,132,20,5,0,3,261,460
24033,"Laval--Les Îles/Laval--Les Îles"," 176-1","Laval",28,58,104,42,7,1,1,241,511
24033,"Laval--Les Îles/Laval--Les Îles"," 177","Laval",20,66,133,38,6,0,0,263,544
24033,"Laval--Les Îles/Laval--Les Îles"," 178","Laval",22,49,118,38,17,6,3,253,439
24033,"Laval--Les Îles/Laval--Les Îles"," 179","Laval",32,45,110,78,6,3,1,275,455
24033,"Laval--Les Îles/Laval--Les Îles"," 180","Laval",21,47,78,39,10,0,0,195,380
24033,"Laval--Les Îles/Laval--Les Îles"," 181","Laval",30,19,89,76,2,4,5,225,402
24033,"Laval--Les Îles/Laval--Les Îles"," 182","Laval",25,18,44,34,6,2,2,131,361
24033,"Laval--Les Îles/Laval--Les Îles"," 183","Laval",19,34,64,42,2,3,2,166,300
24033,"Laval--Les Îles/Laval--Les Îles"," 184","Laval",49,46,108,79,13,3,9,307,486
24033,"Laval--Les Îles/Laval--Les Îles"," 185","Laval",27,41,93,71,3,2,3,240,394
24033,"Laval--Les Îles/Laval--Les Îles"," 186","Laval",14,23,54,67,8,1,1,168,352
24033,"Laval--Les Îles/Laval--Les Îles"," 187","Laval",15,54,109,28,5,0,0,211,385
24033,"Laval--Les Îles/Laval--Les Îles"," 188","Laval",29,23,76,88,17,2,2,237,430
24033,"Laval--Les Îles/Laval--Les Îles"," 189","Laval",27,55,113,31,6,1,0,233,436
24033,"Laval--Les Îles/Laval--Les Îles"," 190","Laval",27,48,92,30,6,1,0,204,349
24033,"Laval--Les Îles/Laval--Les Îles"," 191A","Laval",19,42,100,34,11,1,3,210,401
24033,"Laval--Les Îles/Laval--Les Îles"," 191B","Laval",7,42,76,18,1,0,0,144,295
24033,"Laval--Les Îles/Laval--Les Îles"," 191-1","Laval",11,77,103,18,7,0,0,216,435
24033,"Laval--Les Îles/Laval--Les Îles"," 400","Laval",3,6,18,11,1,0,4,43,227
24033,"Laval--Les Îles/Laval--Les Îles"," 401","Laval",15,56,96,68,4,2,4,245,452
24033,"Laval--Les Îles/Laval--Les Îles"," 402","Laval",5,83,100,35,1,0,1,225,304
24033,"Laval--Les Îles/Laval--Les Îles"," 600","Laval",34,66,122,174,11,2,7,416,
24033,"Laval--Les Îles/Laval--Les Îles"," 601","Laval",41,85,116,117,15,6,5,385,
24033,"Laval--Les Îles/Laval--Les Îles"," 602","Laval",62,162,232,231,19,4,18,728,
24033,"Laval--Les Îles/Laval--Les Îles"," 603","Laval",49,112,156,195,15,3,4,534,
24033,"Laval--Les Îles/Laval--Les Îles"," 604","Laval",44,136,222,163,20,5,0,590,
24033,"Laval--Les Îles/Laval--Les Îles"," 605","Laval",51,124,241,225,29,10,7,687,
24033,"Laval--Les Îles/Laval--Les Îles"," 606","Laval",37,104,160,106,13,3,7,430,
24033,"Laval--Les Îles/Laval--Les Îles"," 607","Laval",30,128,202,63,14,0,4,441,
24033,"Laval--Les Îles/Laval--Les Îles"," 608","Laval",39,163,269,16,8,1,1,497,
24033,"Laval--Les Îles/Laval--Les Îles"," 609","Laval",45,193,315,30,9,0,13,605,
24033,"Laval--Les Îles/Laval--Les Îles"," 610","Laval",21,152,155,152,10,2,3,495,
24033,"Laval--Les Îles/Laval--Les Îles"," 611","Laval",20,43,148,39,2,1,1,254,
24033,"Laval--Les Îles/Laval--Les Îles"," 612","Laval",47,106,206,140,11,2,8,520,
24033,"Laval--Les Îles/Laval--Les Îles",,Group 1/Groupe 1,4,19,21,16,8,1,3,72,128
24033,"Laval--Les Îles/Laval--Les Îles",,Group 2/Groupe 2,53,203,402,150,25,4,28,865,

