Electoral District Number/Numéro de circonscription,Electoral District Name/Nom de circonscription,Polling Station Number/Numéro du bureau de scrutin,Polling Station Name/Nom du bureau de scrutin,Terry Anderson,Tyler Banham,Stephen Brotherston,Chris Charlton,Rejected Ballots/Bulletins rejetés,Total Votes/Total des votes,Electors/Électeurs
35033,"Hamilton Mountain/Hamilton Mountain"," 1","Hamilton ",60,41,22,78,1,202,317
35033,"Hamilton Mountain/Hamilton Mountain"," 2","Hamilton ",40,45,13,61,0,159,330
35033,"Hamilton Mountain/Hamilton Mountain"," 3","Hamilton ",46,32,20,62,1,161,341
35033,"Hamilton Mountain/Hamilton Mountain"," 4","Hamilton ",53,28,12,87,0,180,330
35033,"Hamilton Mountain/Hamilton Mountain"," 5","Hamilton ",30,18,10,86,1,145,290
35033,"Hamilton Mountain/Hamilton Mountain"," 6","Hamilton ",51,42,17,58,1,169,369
35033,"Hamilton Mountain/Hamilton Mountain"," 7","Hamilton ",38,39,11,96,3,187,332
35033,"Hamilton Mountain/Hamilton Mountain"," 8","Hamilton ",50,45,4,62,1,162,306
35033,"Hamilton Mountain/Hamilton Mountain"," 9","Hamilton ",43,31,16,76,0,166,351
35033,"Hamilton Mountain/Hamilton Mountain"," 10","Hamilton ",44,41,10,92,3,190,324
35033,"Hamilton Mountain/Hamilton Mountain"," 11","Hamilton ",54,56,10,64,0,184,296
35033,"Hamilton Mountain/Hamilton Mountain"," 12","Hamilton ",54,41,10,95,0,200,359
35033,"Hamilton Mountain/Hamilton Mountain"," 13","Hamilton ",49,62,19,79,2,211,393
35033,"Hamilton Mountain/Hamilton Mountain"," 14","Hamilton ",49,24,10,92,1,176,409
35033,"Hamilton Mountain/Hamilton Mountain"," 15","Hamilton ",53,44,13,85,1,196,395
35033,"Hamilton Mountain/Hamilton Mountain"," 16","Hamilton ",63,32,7,77,0,179,334
35033,"Hamilton Mountain/Hamilton Mountain"," 17","Hamilton ",67,31,7,112,2,219,345
35033,"Hamilton Mountain/Hamilton Mountain"," 18","Hamilton ",55,66,6,80,0,207,349
35033,"Hamilton Mountain/Hamilton Mountain"," 19","Hamilton ",50,55,6,65,1,177,311
35033,"Hamilton Mountain/Hamilton Mountain"," 20","Hamilton ",35,22,16,102,0,175,282
35033,"Hamilton Mountain/Hamilton Mountain"," 21","Hamilton ",38,29,15,87,2,171,330
35033,"Hamilton Mountain/Hamilton Mountain"," 22","Hamilton ",68,29,19,103,0,219,386
35033,"Hamilton Mountain/Hamilton Mountain"," 23","Hamilton ",52,53,8,82,2,197,370
35033,"Hamilton Mountain/Hamilton Mountain"," 24","Hamilton ",75,49,17,129,0,270,410
35033,"Hamilton Mountain/Hamilton Mountain"," 25","Hamilton ",83,39,17,87,1,227,381
35033,"Hamilton Mountain/Hamilton Mountain"," 26","Hamilton ",75,51,21,77,0,224,377
35033,"Hamilton Mountain/Hamilton Mountain"," 27","Hamilton ",52,28,15,118,1,214,413
35033,"Hamilton Mountain/Hamilton Mountain"," 28","Hamilton ",45,18,17,104,0,184,362
35033,"Hamilton Mountain/Hamilton Mountain"," 29","Hamilton ",38,32,11,105,1,187,380
35033,"Hamilton Mountain/Hamilton Mountain"," 30","Hamilton ",62,28,16,112,0,218,370
35033,"Hamilton Mountain/Hamilton Mountain"," 31","Hamilton ",71,32,11,124,0,238,450
35033,"Hamilton Mountain/Hamilton Mountain"," 32","Hamilton ",46,26,26,127,0,225,415
35033,"Hamilton Mountain/Hamilton Mountain"," 33","Hamilton ",41,17,12,117,0,187,352
35033,"Hamilton Mountain/Hamilton Mountain"," 34","Hamilton ",43,34,12,93,0,182,359
35033,"Hamilton Mountain/Hamilton Mountain"," 35","Hamilton ",58,34,13,83,0,188,337
35033,"Hamilton Mountain/Hamilton Mountain"," 36","Hamilton ",48,23,11,97,1,180,361
35033,"Hamilton Mountain/Hamilton Mountain"," 37","Hamilton ",42,21,11,90,0,164,290
35033,"Hamilton Mountain/Hamilton Mountain"," 38","Hamilton ",38,22,17,83,0,160,339
35033,"Hamilton Mountain/Hamilton Mountain"," 39","Hamilton ",44,38,10,70,0,162,309
35033,"Hamilton Mountain/Hamilton Mountain"," 40","Hamilton ",39,24,9,86,0,158,315
35033,"Hamilton Mountain/Hamilton Mountain"," 41","Hamilton ",38,20,6,95,3,162,402
35033,"Hamilton Mountain/Hamilton Mountain"," 42","Hamilton ",75,41,14,81,1,212,319
35033,"Hamilton Mountain/Hamilton Mountain"," 43","Hamilton ",39,14,3,70,0,126,286
35033,"Hamilton Mountain/Hamilton Mountain"," 44","Hamilton ",26,31,16,77,2,152,351
35033,"Hamilton Mountain/Hamilton Mountain"," 45","Hamilton ",88,52,9,86,0,235,411
35033,"Hamilton Mountain/Hamilton Mountain"," 46","Hamilton ",59,58,17,95,3,232,438
35033,"Hamilton Mountain/Hamilton Mountain"," 47","Hamilton ",71,41,8,62,0,182,315
35033,"Hamilton Mountain/Hamilton Mountain"," 48","Hamilton ",43,34,8,71,1,157,376
35033,"Hamilton Mountain/Hamilton Mountain"," 49","Hamilton ",62,44,7,62,5,180,314
35033,"Hamilton Mountain/Hamilton Mountain"," 49-1","Hamilton ",47,43,0,81,0,171,279
35033,"Hamilton Mountain/Hamilton Mountain"," 50","Hamilton ",90,73,16,76,1,256,502
35033,"Hamilton Mountain/Hamilton Mountain"," 51","Hamilton ",75,60,20,47,1,203,377
35033,"Hamilton Mountain/Hamilton Mountain"," 52","Hamilton ",38,23,2,78,3,144,383
35033,"Hamilton Mountain/Hamilton Mountain"," 53","Hamilton ",68,51,11,74,0,204,399
35033,"Hamilton Mountain/Hamilton Mountain"," 54","Hamilton ",64,59,10,152,3,288,452
35033,"Hamilton Mountain/Hamilton Mountain"," 55","Hamilton ",33,33,7,84,0,157,310
35033,"Hamilton Mountain/Hamilton Mountain"," 56","Hamilton ",55,40,10,72,0,177,306
35033,"Hamilton Mountain/Hamilton Mountain"," 57","Hamilton ",33,24,16,99,0,172,367
35033,"Hamilton Mountain/Hamilton Mountain"," 58","Hamilton ",46,27,9,100,1,183,398
35033,"Hamilton Mountain/Hamilton Mountain"," 59","Hamilton ",51,38,10,108,2,209,378
35033,"Hamilton Mountain/Hamilton Mountain"," 60","Hamilton ",36,12,4,100,1,153,332
35033,"Hamilton Mountain/Hamilton Mountain"," 61","Hamilton ",31,27,8,76,1,143,337
35033,"Hamilton Mountain/Hamilton Mountain"," 62","Hamilton ",48,13,11,105,2,179,386
35033,"Hamilton Mountain/Hamilton Mountain"," 63","Hamilton ",43,23,13,126,0,205,377
35033,"Hamilton Mountain/Hamilton Mountain"," 64","Hamilton ",57,14,20,111,0,202,384
35033,"Hamilton Mountain/Hamilton Mountain"," 65","Hamilton ",51,11,15,119,0,196,366
35033,"Hamilton Mountain/Hamilton Mountain"," 66","Hamilton ",24,10,10,128,0,172,329
35033,"Hamilton Mountain/Hamilton Mountain"," 67","Hamilton ",32,27,11,102,1,173,356
35033,"Hamilton Mountain/Hamilton Mountain"," 68","Hamilton ",57,26,11,99,0,193,394
35033,"Hamilton Mountain/Hamilton Mountain"," 69","Hamilton ",31,22,9,86,0,148,293
35033,"Hamilton Mountain/Hamilton Mountain"," 70","Hamilton ",54,23,17,123,2,219,370
35033,"Hamilton Mountain/Hamilton Mountain"," 71","Hamilton ",32,14,7,82,0,135,321
35033,"Hamilton Mountain/Hamilton Mountain"," 72","Hamilton ",33,14,10,87,0,144,307
35033,"Hamilton Mountain/Hamilton Mountain"," 73","Hamilton ",49,24,17,104,0,194,344
35033,"Hamilton Mountain/Hamilton Mountain"," 74","Hamilton ",56,24,8,112,0,200,379
35033,"Hamilton Mountain/Hamilton Mountain"," 75","Hamilton ",60,36,15,119,4,234,382
35033,"Hamilton Mountain/Hamilton Mountain"," 76","Hamilton ",59,27,13,126,0,225,349
35033,"Hamilton Mountain/Hamilton Mountain"," 77","Hamilton ",67,24,21,125,0,237,405
35033,"Hamilton Mountain/Hamilton Mountain"," 78","Hamilton ",56,38,13,81,1,189,359
35033,"Hamilton Mountain/Hamilton Mountain"," 79","Hamilton ",69,43,11,119,2,244,403
35033,"Hamilton Mountain/Hamilton Mountain"," 80","Hamilton ",73,59,7,141,0,280,489
35033,"Hamilton Mountain/Hamilton Mountain"," 81","Hamilton ",46,34,3,70,0,153,264
35033,"Hamilton Mountain/Hamilton Mountain"," 82","Hamilton ",27,28,13,93,1,162,358
35033,"Hamilton Mountain/Hamilton Mountain"," 83","Hamilton ",39,45,10,125,2,221,367
35033,"Hamilton Mountain/Hamilton Mountain"," 84","Hamilton ",51,25,3,108,2,189,393
