Electoral District Number/Numéro de circonscription,Electoral District Name/Nom de circonscription,Polling Station Number/Numéro du bureau de scrutin,Polling Station Name/Nom du bureau de scrutin,Antony Tony Grochowski,Heesung Kim,Tyler Kinch,Natalie Odd,Lee Richardson,Rejected Ballots/Bulletins rejetés,Total Votes/Total des votes,Electors/Électeurs
48006,"Calgary Centre/Calgary-Centre"," 1","Calgary",1,16,23,27,114,0,181,352
48006,"Calgary Centre/Calgary-Centre"," 2","Calgary",3,26,16,34,155,3,237,407
48006,"Calgary Centre/Calgary-Centre"," 3","Calgary",3,29,6,28,108,1,175,353
48006,"Calgary Centre/Calgary-Centre"," 4","Calgary",0,19,17,17,57,0,110,278
48006,"Calgary Centre/Calgary-Centre"," 5","Calgary",2,25,8,21,88,1,145,355
48006,"Calgary Centre/Calgary-Centre"," 6","Calgary",1,4,10,8,87,1,111,261
48006,"Calgary Centre/Calgary-Centre"," 7","Calgary",3,22,12,33,115,1,186,340
48006,"Calgary Centre/Calgary-Centre"," 8","Calgary",3,18,6,19,130,0,176,316
48006,"Calgary Centre/Calgary-Centre"," 9","Calgary",2,15,20,33,114,0,184,344
48006,"Calgary Centre/Calgary-Centre"," 10","Calgary",2,30,15,28,122,0,197,381
48006,"Calgary Centre/Calgary-Centre"," 11","Calgary",1,20,17,18,82,0,138,334
48006,"Calgary Centre/Calgary-Centre"," 12","Calgary",2,10,14,23,60,1,110,271
48006,"Calgary Centre/Calgary-Centre"," 13","Calgary",1,22,13,16,68,1,121,379
48006,"Calgary Centre/Calgary-Centre"," 14","Calgary",2,10,18,12,36,1,79,278
48006,"Calgary Centre/Calgary-Centre"," 15","Calgary",0,29,13,34,159,2,237,381
48006,"Calgary Centre/Calgary-Centre"," 16","Calgary",2,27,28,40,169,3,269,455
48006,"Calgary Centre/Calgary-Centre"," 17","Calgary",1,23,21,21,122,0,188,385
48006,"Calgary Centre/Calgary-Centre"," 18","Calgary",0,18,14,33,123,1,189,339
48006,"Calgary Centre/Calgary-Centre"," 19","Calgary",2,33,13,29,174,2,253,401
48006,"Calgary Centre/Calgary-Centre"," 20","Calgary",1,16,12,17,139,1,186,305
48006,"Calgary Centre/Calgary-Centre"," 21","Calgary",2,20,9,25,144,0,200,354
48006,"Calgary Centre/Calgary-Centre"," 22","Calgary",2,22,29,28,68,0,149,394
48006,"Calgary Centre/Calgary-Centre"," 23","Calgary",0,21,17,19,56,0,113,340
48006,"Calgary Centre/Calgary-Centre"," 24","Calgary",2,23,13,30,166,1,235,438
48006,"Calgary Centre/Calgary-Centre"," 25","Calgary",1,25,27,9,125,0,187,366
48006,"Calgary Centre/Calgary-Centre"," 26","Calgary",1,27,17,30,141,2,218,382
48006,"Calgary Centre/Calgary-Centre"," 27","Calgary",2,15,22,36,74,0,149,369
48006,"Calgary Centre/Calgary-Centre"," 28","Calgary",0,16,13,30,89,1,149,281
48006,"Calgary Centre/Calgary-Centre"," 29","Calgary",2,21,17,38,83,0,161,369
48006,"Calgary Centre/Calgary-Centre"," 30","Calgary",1,28,17,34,101,0,181,407
48006,"Calgary Centre/Calgary-Centre"," 31","Calgary",0,17,11,29,70,1,128,289
48006,"Calgary Centre/Calgary-Centre"," 32","Calgary",0,26,23,19,125,0,193,399
48006,"Calgary Centre/Calgary-Centre"," 33","Calgary",3,21,15,25,70,0,134,328
48006,"Calgary Centre/Calgary-Centre"," 34","Calgary",2,23,18,41,79,0,163,287
48006,"Calgary Centre/Calgary-Centre"," 35","Calgary",4,17,11,24,46,0,102,199
48006,"Calgary Centre/Calgary-Centre"," 36","Calgary",3,40,20,37,169,1,270,529
48006,"Calgary Centre/Calgary-Centre"," 37","Calgary",1,24,19,16,60,0,120,321
48006,"Calgary Centre/Calgary-Centre"," 38","Calgary",2,44,14,42,99,0,201,382
48006,"Calgary Centre/Calgary-Centre"," 39","Calgary",1,30,7,33,75,0,146,239
48006,"Calgary Centre/Calgary-Centre"," 40","Calgary",3,47,31,55,99,0,235,439
48006,"Calgary Centre/Calgary-Centre"," 41","Calgary",0,25,20,18,72,1,136,341
48006,"Calgary Centre/Calgary-Centre"," 42","Calgary",2,31,21,21,101,0,176,364
48006,"Calgary Centre/Calgary-Centre"," 43","Calgary",1,16,6,29,61,0,113,240
48006,"Calgary Centre/Calgary-Centre"," 44","Calgary",2,26,25,34,92,1,180,366
48006,"Calgary Centre/Calgary-Centre"," 45","Calgary",4,30,16,41,107,0,198,411
48006,"Calgary Centre/Calgary-Centre"," 46","Calgary",4,35,20,27,70,0,156,320
48006,"Calgary Centre/Calgary-Centre"," 47","Calgary",0,26,17,24,91,1,159,373
48006,"Calgary Centre/Calgary-Centre"," 48","Calgary",1,30,21,30,89,1,172,353
48006,"Calgary Centre/Calgary-Centre"," 49","Calgary",2,26,11,29,97,2,167,423
48006,"Calgary Centre/Calgary-Centre"," 50","Calgary",0,39,13,38,116,0,206,406
48006,"Calgary Centre/Calgary-Centre"," 51","Calgary",1,29,11,34,144,1,220,374
48006,"Calgary Centre/Calgary-Centre"," 52","Calgary",1,26,29,41,130,4,231,392
48006,"Calgary Centre/Calgary-Centre"," 53","Calgary",1,45,12,41,91,1,191,362
48006,"Calgary Centre/Calgary-Centre"," 54","Calgary",3,57,17,28,125,0,230,594
48006,"Calgary Centre/Calgary-Centre"," 55","Calgary",0,24,16,27,52,1,120,381
48006,"Calgary Centre/Calgary-Centre"," 56","Calgary",2,27,17,21,55,0,122,343
48006,"Calgary Centre/Calgary-Centre"," 57","Calgary",1,32,23,34,70,1,161,465
48006,"Calgary Centre/Calgary-Centre"," 58","Calgary",1,31,19,31,65,1,148,439
48006,"Calgary Centre/Calgary-Centre"," 59","Calgary",3,15,20,26,34,0,98,272
48006,"Calgary Centre/Calgary-Centre"," 60","Calgary",2,20,9,35,45,0,111,321
48006,"Calgary Centre/Calgary-Centre"," 61","Calgary",1,13,15,36,32,0,97,256
48006,"Calgary Centre/Calgary-Centre"," 62","Calgary",0,28,15,19,61,0,123,330
48006,"Calgary Centre/Calgary-Centre"," 63","Calgary",3,44,28,36,59,0,170,441
48006,"Calgary Centre/Calgary-Centre"," 64","Calgary",0,22,24,33,50,0,129,321
48006,"Calgary Centre/Calgary-Centre"," 65","Calgary",3,43,16,46,100,0,208,401
48006,"Calgary Centre/Calgary-Centre"," 66","Calgary",3,33,12,34,178,1,261,407
48006,"Calgary Centre/Calgary-Centre"," 67","Calgary",1,45,25,42,90,2,205,426
48006,"Calgary Centre/Calgary-Centre"," 68","Calgary",0,28,11,19,44,0,102,260
