Electoral District Number/Numéro de circonscription,Electoral District Name/Nom de circonscription,Polling Station Number/Numéro du bureau de scrutin,Polling Station Name/Nom du bureau de scrutin,Marie Crawford,Sharon Howarth,Andrew Lang,Jack Layton,Christina Perreault,John Richardson,Marcell Rodden,Bahman Yazdanfar,Rejected Ballots/Bulletins rejetés,Total Votes/Total des votes,Electors/Électeurs
35094,"Toronto--Danforth/Toronto--Danforth"," 57","East York",0,28,52,90,32,1,0,1,2,206,414
35094,"Toronto--Danforth/Toronto--Danforth"," 58","Toronto",0,21,86,75,31,0,0,0,0,213,354
35094,"Toronto--Danforth/Toronto--Danforth"," 59","Toronto",1,29,46,80,26,1,0,0,0,183,302
35094,"Toronto--Danforth/Toronto--Danforth"," 60","Toronto",1,41,96,109,23,0,0,0,1,271,407
35094,"Toronto--Danforth/Toronto--Danforth"," 61","Toronto",0,26,96,83,19,0,0,0,0,224,340
35094,"Toronto--Danforth/Toronto--Danforth"," 62","Toronto",1,48,111,108,32,0,1,0,0,301,483
35094,"Toronto--Danforth/Toronto--Danforth"," 63","Toronto",0,26,91,75,33,1,0,0,0,226,358
35094,"Toronto--Danforth/Toronto--Danforth"," 64","Toronto",1,25,61,87,20,0,0,0,0,194,394
35094,"Toronto--Danforth/Toronto--Danforth"," 65","Toronto",0,39,63,92,20,0,0,1,0,215,388
35094,"Toronto--Danforth/Toronto--Danforth"," 66","Toronto",2,24,67,74,21,2,0,0,1,191,355
35094,"Toronto--Danforth/Toronto--Danforth"," 67","Toronto",1,35,84,111,22,0,1,0,1,255,483
35094,"Toronto--Danforth/Toronto--Danforth"," 68","Toronto",0,24,46,54,14,0,0,0,0,138,230
35094,"Toronto--Danforth/Toronto--Danforth"," 69","Toronto",0,42,91,100,21,0,0,0,1,255,492
35094,"Toronto--Danforth/Toronto--Danforth"," 70","Toronto",0,37,69,69,13,1,0,0,1,190,339
35094,"Toronto--Danforth/Toronto--Danforth"," 71","Toronto",0,21,64,111,23,0,0,0,3,222,310
35094,"Toronto--Danforth/Toronto--Danforth"," 72","Toronto",0,34,77,100,35,0,1,0,1,248,333
35094,"Toronto--Danforth/Toronto--Danforth"," 73","Toronto",0,37,59,83,19,0,1,0,0,199,319
35094,"Toronto--Danforth/Toronto--Danforth"," 74","Toronto",0,53,84,107,24,0,0,1,0,269,429
35094,"Toronto--Danforth/Toronto--Danforth"," 75","Toronto",0,22,132,96,26,0,0,0,0,276,455
35094,"Toronto--Danforth/Toronto--Danforth"," 76","Toronto",3,47,95,99,28,0,1,1,1,275,398
35094,"Toronto--Danforth/Toronto--Danforth"," 77","Toronto",1,32,53,84,28,1,0,0,1,200,323
35094,"Toronto--Danforth/Toronto--Danforth"," 78","Toronto",1,44,71,88,13,0,0,0,0,217,363
35094,"Toronto--Danforth/Toronto--Danforth"," 79","Toronto",0,24,61,82,24,3,0,0,0,194,310
35094,"Toronto--Danforth/Toronto--Danforth"," 80","Toronto",0,20,80,85,36,0,0,0,0,221,407
35094,"Toronto--Danforth/Toronto--Danforth"," 81","Toronto",1,28,79,107,7,1,0,0,0,223,422
35094,"Toronto--Danforth/Toronto--Danforth"," 82","Toronto",2,36,53,66,20,0,2,0,0,179,295
35094,"Toronto--Danforth/Toronto--Danforth"," 83","Toronto",0,37,71,68,14,0,0,1,1,192,313
35094,"Toronto--Danforth/Toronto--Danforth"," 84","Toronto",0,44,84,124,27,1,0,0,0,280,446
35094,"Toronto--Danforth/Toronto--Danforth"," 85","Toronto",0,29,59,91,26,0,0,1,0,206,379
35094,"Toronto--Danforth/Toronto--Danforth"," 86","Toronto",0,56,76,109,31,0,0,0,0,272,495
35094,"Toronto--Danforth/Toronto--Danforth"," 87","Toronto",0,37,48,87,10,0,0,2,1,185,365
35094,"Toronto--Danforth/Toronto--Danforth"," 88","Toronto",0,53,103,97,15,1,1,0,3,273,437
35094,"Toronto--Danforth/Toronto--Danforth"," 89","Toronto",1,41,97,96,34,0,2,0,4,275,469
35094,"Toronto--Danforth/Toronto--Danforth"," 90","Toronto",0,29,92,64,32,1,0,1,0,219,360
35094,"Toronto--Danforth/Toronto--Danforth"," 91","Toronto",0,29,68,117,34,0,0,1,0,249,388
35094,"Toronto--Danforth/Toronto--Danforth"," 92","Toronto",0,17,58,135,21,0,0,0,2,233,481
35094,"Toronto--Danforth/Toronto--Danforth"," 93","Toronto",0,39,74,84,18,0,0,1,2,218,395
35094,"Toronto--Danforth/Toronto--Danforth"," 94","Toronto",0,19,76,101,16,1,1,0,3,217,421
35094,"Toronto--Danforth/Toronto--Danforth"," 95","Toronto",0,30,77,134,30,0,0,0,0,271,515
35094,"Toronto--Danforth/Toronto--Danforth"," 96","Toronto",0,3,38,158,12,0,0,1,2,214,462
35094,"Toronto--Danforth/Toronto--Danforth"," 97","Toronto",0,21,75,113,20,1,0,0,0,230,376
35094,"Toronto--Danforth/Toronto--Danforth"," 98","Toronto",1,30,72,113,15,0,0,0,4,235,437
35094,"Toronto--Danforth/Toronto--Danforth"," 99","Toronto",1,39,77,113,27,3,1,0,1,262,472
35094,"Toronto--Danforth/Toronto--Danforth"," 100","Toronto",2,47,68,114,35,2,1,0,2,271,506
35094,"Toronto--Danforth/Toronto--Danforth"," 101","Toronto",0,33,87,90,20,1,0,1,0,232,409
35094,"Toronto--Danforth/Toronto--Danforth"," 102","Toronto",2,28,59,126,26,0,0,0,0,241,494
35094,"Toronto--Danforth/Toronto--Danforth"," 103","Toronto",1,9,52,72,23,2,1,1,2,163,481
35094,"Toronto--Danforth/Toronto--Danforth"," 104","Toronto",3,42,54,163,23,1,3,0,0,289,583
35094,"Toronto--Danforth/Toronto--Danforth"," 105","Toronto",0,28,75,118,20,0,1,0,0,242,452
35094,"Toronto--Danforth/Toronto--Danforth"," 106","Toronto",0,67,69,133,30,1,0,0,0,300,489
35094,"Toronto--Danforth/Toronto--Danforth"," 107","Toronto",0,47,57,115,13,0,0,0,0,232,369
35094,"Toronto--Danforth/Toronto--Danforth"," 108","Toronto",1,41,50,92,16,0,0,0,0,200,358
35094,"Toronto--Danforth/Toronto--Danforth"," 109","Toronto",0,29,68,103,18,0,1,0,1,220,371
35094,"Toronto--Danforth/Toronto--Danforth"," 110","Toronto",0,26,49,91,17,0,0,0,0,183,366
35094,"Toronto--Danforth/Toronto--Danforth"," 111","Toronto",0,23,58,87,12,1,2,0,1,184,301
35094,"Toronto--Danforth/Toronto--Danforth"," 112","Toronto",3,27,54,100,49,0,0,2,3,238,374
35094,"Toronto--Danforth/Toronto--Danforth"," 113","Toronto",3,35,98,117,25,1,0,1,3,283,519
35094,"Toronto--Danforth/Toronto--Danforth"," 114","Toronto",0,23,44,76,11,0,0,1,0,155,232
35094,"Toronto--Danforth/Toronto--Danforth"," 115","Toronto",1,47,64,134,49,0,0,0,1,296,525
35094,"Toronto--Danforth/Toronto--Danforth"," 116","Toronto",0,24,37,55,12,0,2,0,1,131,218
35094,"Toronto--Danforth/Toronto--Danforth"," 117","Toronto",1,77,64,216,18,3,3,0,0,382,588
35094,"Toronto--Danforth/Toronto--Danforth"," 118","Toronto",1,32,43,39,13,0,0,0,0,128,223
35094,"Toronto--Danforth/Toronto--Danforth"," 119","Toronto",0,58,70,95,25,2,0,0,1,251,410
35094,"Toronto--Danforth/Toronto--Danforth"," 120","Toronto",0,43,95,92,23,0,2,0,3,258,414
35094,"Toronto--Danforth/Toronto--Danforth"," 121","Toronto",1,34,75,91,22,0,0,0,0,223,379
35094,"Toronto--Danforth/Toronto--Danforth"," 122","Toronto",1,50,111,116,23,0,1,0,0,302,506
35094,"Toronto--Danforth/Toronto--Danforth"," 123","Toronto",1,33,58,66,9,1,0,0,0,168,296
