Electoral District Number/Numéro de circonscription,Electoral District Name/Nom de circonscription,Polling Station Number/Numéro du bureau de scrutin,Polling Station Name/Nom du bureau de scrutin,Lou Carcasole,Martha Hall Findlay,Jake Karns,Bernadette Michael,Bahman Roudgarnia,Susan Wallace,Rejected Ballots/Bulletins rejetés,Total Votes/Total des votes,Electors/Électeurs
35100,"Willowdale/Willowdale"," 1","North York",2,41,22,0,3,15,0,83,253
35100,"Willowdale/Willowdale"," 2","North York",15,108,65,1,4,19,1,213,414
35100,"Willowdale/Willowdale"," 3","North York",15,121,81,2,5,22,3,249,463
35100,"Willowdale/Willowdale"," 4","North York",9,111,53,0,3,22,3,201,408
35100,"Willowdale/Willowdale"," 5","North York",15,75,61,0,4,20,0,175,458
35100,"Willowdale/Willowdale"," 6","North York",10,105,86,2,6,22,0,231,473
35100,"Willowdale/Willowdale"," 7","North York",6,90,70,0,2,13,0,181,372
35100,"Willowdale/Willowdale"," 8","North York",8,87,70,0,3,11,1,180,424
35100,"Willowdale/Willowdale"," 9","North York",14,133,49,2,1,17,1,217,445
35100,"Willowdale/Willowdale"," 10","North York",16,90,71,0,8,16,0,201,454
35100,"Willowdale/Willowdale"," 11","North York",10,119,72,0,4,11,1,217,518
35100,"Willowdale/Willowdale"," 12","North York",7,104,57,3,8,15,0,194,564
35100,"Willowdale/Willowdale"," 13","North York",Void/Supprimé,,,,,,,,
35100,"Willowdale/Willowdale"," 14","North York",15,71,41,0,4,26,0,157,428
35100,"Willowdale/Willowdale"," 15","North York",12,75,52,2,1,17,1,160,446
35100,"Willowdale/Willowdale"," 16","North York",17,115,73,1,0,27,0,233,447
35100,"Willowdale/Willowdale"," 17","North York",6,76,54,0,5,16,0,157,330
35100,"Willowdale/Willowdale"," 18","North York",13,100,73,0,1,8,0,195,385
35100,"Willowdale/Willowdale"," 19","North York",13,110,63,0,7,16,0,209,394
35100,"Willowdale/Willowdale"," 20","North York",12,96,67,0,8,11,1,195,372
35100,"Willowdale/Willowdale"," 21","North York",14,110,50,2,4,21,1,202,415
35100,"Willowdale/Willowdale"," 22","North York",11,67,80,2,5,11,0,176,428
35100,"Willowdale/Willowdale"," 23A","North York",Merged with No. 24/Fusionné avec le nº 24,,,,,,,,76
35100,"Willowdale/Willowdale"," 23B","North York",0,16,17,1,0,2,0,36,53
35100,"Willowdale/Willowdale"," 24","North York",11,106,75,0,5,31,3,231,370
35100,"Willowdale/Willowdale"," 25","North York",3,107,117,0,4,12,0,243,457
35100,"Willowdale/Willowdale"," 26","North York",11,88,59,0,2,25,1,186,359
35100,"Willowdale/Willowdale"," 27","North York",8,76,108,0,5,11,3,211,388
35100,"Willowdale/Willowdale"," 28","North York",6,115,70,0,6,10,0,207,542
35100,"Willowdale/Willowdale"," 29","North York",Void/Supprimé,,,,,,,,
35100,"Willowdale/Willowdale"," 30","North York",7,62,57,0,4,19,0,149,340
35100,"Willowdale/Willowdale"," 31","North York",Void/Supprimé,,,,,,,,
35100,"Willowdale/Willowdale"," 32","North York",16,82,77,2,4,15,0,196,444
35100,"Willowdale/Willowdale"," 33","North York",6,127,42,0,1,15,0,191,381
35100,"Willowdale/Willowdale"," 34","North York",21,152,121,3,3,19,0,319,605
35100,"Willowdale/Willowdale"," 35","North York",11,123,45,3,4,27,0,213,415
35100,"Willowdale/Willowdale"," 36","North York",7,86,64,0,3,18,1,179,427
35100,"Willowdale/Willowdale"," 37","North York",12,131,77,0,1,21,1,243,480
35100,"Willowdale/Willowdale"," 38","North York",9,104,52,1,4,28,4,202,410
35100,"Willowdale/Willowdale"," 39","North York",15,91,63,2,5,33,1,210,502
35100,"Willowdale/Willowdale"," 40","North York",7,119,52,1,6,19,2,206,417
35100,"Willowdale/Willowdale"," 41","North York",23,105,50,1,3,30,2,214,512
35100,"Willowdale/Willowdale"," 42","North York",15,122,56,1,4,38,0,236,497
35100,"Willowdale/Willowdale"," 43","North York",10,93,83,0,2,35,2,225,490
35100,"Willowdale/Willowdale"," 44","North York",11,129,75,1,5,45,5,271,474
35100,"Willowdale/Willowdale"," 45","North York",15,117,89,1,6,43,0,271,536
35100,"Willowdale/Willowdale"," 46","North York",8,143,113,0,3,19,1,287,545
35100,"Willowdale/Willowdale"," 47","North York",6,75,39,4,5,25,0,154,447
35100,"Willowdale/Willowdale"," 48","North York",13,82,46,1,1,12,1,156,318
35100,"Willowdale/Willowdale"," 49","North York",21,108,70,1,1,20,2,223,465
35100,"Willowdale/Willowdale"," 50","North York",10,103,45,2,3,26,2,191,368
35100,"Willowdale/Willowdale"," 51","North York",7,119,67,0,4,19,1,217,484
35100,"Willowdale/Willowdale"," 52","North York",12,89,56,0,1,10,0,168,460
35100,"Willowdale/Willowdale"," 53","North York",16,167,62,1,5,43,1,295,507
35100,"Willowdale/Willowdale"," 54","North York",5,59,48,2,4,11,2,131,277
35100,"Willowdale/Willowdale"," 55","North York",13,101,63,3,3,18,2,203,365
35100,"Willowdale/Willowdale"," 56","North York",22,126,60,1,4,16,0,229,431
35100,"Willowdale/Willowdale"," 57","North York",8,80,63,0,3,31,0,185,483
35100,"Willowdale/Willowdale"," 58","North York",3,85,83,0,3,4,4,182,351
35100,"Willowdale/Willowdale"," 59","North York",15,144,103,1,7,29,0,299,341
35100,"Willowdale/Willowdale"," 60","North York",15,150,76,1,2,27,1,272,755
35100,"Willowdale/Willowdale"," 61","North York",9,89,42,1,2,14,2,159,277
35100,"Willowdale/Willowdale"," 62","North York",9,86,26,2,3,24,0,150,407
35100,"Willowdale/Willowdale"," 63","North York",8,101,49,0,1,26,0,185,337
35100,"Willowdale/Willowdale"," 64","North York",6,72,30,0,2,37,1,148,330
35100,"Willowdale/Willowdale"," 65","North York",18,129,51,4,8,52,0,262,527
35100,"Willowdale/Willowdale"," 66","North York",18,129,66,3,6,61,0,283,622
35100,"Willowdale/Willowdale"," 67","North York",Void/Supprimé,,,,,,,,
35100,"Willowdale/Willowdale"," 68","North York",4,132,49,4,8,27,0,224,491
35100,"Willowdale/Willowdale"," 69","North York",12,138,62,0,2,19,3,236,406
35100,"Willowdale/Willowdale"," 70","North York",8,142,73,0,2,17,2,244,451
35100,"Willowdale/Willowdale"," 71","North York",18,105,86,2,4,12,0,227,476
35100,"Willowdale/Willowdale"," 72","North York",10,116,81,0,2,14,0,223,404
35100,"Willowdale/Willowdale"," 73","North York",15,109,97,0,0,16,0,237,396
35100,"Willowdale/Willowdale"," 74","North York",10,123,90,1,4,11,1,240,459
35100,"Willowdale/Willowdale"," 75","North York",10,103,97,0,0,12,0,222,432
35100,"Willowdale/Willowdale"," 76","North York",12,133,80,1,0,17,1,244,426
35100,"Willowdale/Willowdale"," 77","North York",13,123,54,3,11,26,0,230,457
35100,"Willowdale/Willowdale"," 78","North York",14,71,33,0,3,27,0,148,384
35100,"Willowdale/Willowdale"," 79","North York",5,79,29,1,1,22,2,139,493
35100,"Willowdale/Willowdale"," 80","North York",26,121,57,1,4,38,0,247,624
35100,"Willowdale/Willowdale"," 81","North York",4,54,46,1,1,11,1,118,376
35100,"Willowdale/Willowdale"," 82","North York",12,61,34,3,2,11,3,126,332
35100,"Willowdale/Willowdale"," 83","North York",6,66,36,1,3,3,0,115,240
35100,"Willowdale/Willowdale"," 84","North York",8,118,88,2,5,21,1,243,613
35100,"Willowdale/Willowdale"," 85","North York",6,91,52,1,2,29,1,182,457
35100,"Willowdale/Willowdale"," 86","North York",11,76,70,0,5,22,0,184,439
35100,"Willowdale/Willowdale"," 87","North York",12,75,27,0,1,24,2,141,412
35100,"Willowdale/Willowdale"," 88","North York",18,131,61,0,4,38,0,252,570
35100,"Willowdale/Willowdale"," 89","North York",12,77,27,0,6,15,0,137,413
35100,"Willowdale/Willowdale"," 90","North York",5,76,40,1,0,10,0,132,355
