Electoral District Number/Numéro de circonscription,Electoral District Name/Nom de circonscription,Polling Station Number/Numéro du bureau de scrutin,Polling Station Name/Nom du bureau de scrutin,Brian Jean,John Malcolm,Shawn Reimer,Dylan Richards,Jacob Strydhorst,Mark Voyageur,John Webb,Rejected Ballots/Bulletins rejetés,Total Votes/Total des votes,Electors/Électeurs
48001,"Fort McMurray--Athabasca/Fort McMurray--Athabasca"," 73","Fort McMurray",32,3,1,7,0,23,6,1,73,468
48001,"Fort McMurray--Athabasca/Fort McMurray--Athabasca"," 74","Fort McMurray",18,1,1,2,0,9,13,1,45,455
48001,"Fort McMurray--Athabasca/Fort McMurray--Athabasca"," 75","Fort McMurray",54,2,1,11,1,15,20,1,105,410
48001,"Fort McMurray--Athabasca/Fort McMurray--Athabasca"," 76","Fort McMurray",85,2,1,8,0,20,10,1,127,420
48001,"Fort McMurray--Athabasca/Fort McMurray--Athabasca"," 77","Fort McMurray",120,2,4,5,0,20,15,0,166,426
48001,"Fort McMurray--Athabasca/Fort McMurray--Athabasca"," 78","Fort McMurray",67,1,3,10,0,10,11,0,102,300
48001,"Fort McMurray--Athabasca/Fort McMurray--Athabasca"," 79","Fort McMurray",82,0,2,9,0,10,11,0,114,372
48001,"Fort McMurray--Athabasca/Fort McMurray--Athabasca"," 80","Fort McMurray",99,3,7,6,2,25,20,3,165,611
48001,"Fort McMurray--Athabasca/Fort McMurray--Athabasca"," 81","Fort McMurray",90,1,6,11,1,16,23,0,148,480
48001,"Fort McMurray--Athabasca/Fort McMurray--Athabasca"," 82","Fort McMurray",66,1,2,9,0,19,20,0,117,521
48001,"Fort McMurray--Athabasca/Fort McMurray--Athabasca"," 83","Fort McMurray",58,3,1,2,1,27,9,0,101,518
48001,"Fort McMurray--Athabasca/Fort McMurray--Athabasca"," 84","Fort McMurray",54,1,2,4,0,14,19,0,94,484
48001,"Fort McMurray--Athabasca/Fort McMurray--Athabasca"," 85","Fort McMurray",72,1,3,9,1,21,24,1,132,751
48001,"Fort McMurray--Athabasca/Fort McMurray--Athabasca"," 86","Fort McMurray",64,1,0,4,1,14,14,0,98,373
48001,"Fort McMurray--Athabasca/Fort McMurray--Athabasca"," 86-1","Wood Buffalo",39,0,7,3,2,13,9,0,73,305
48001,"Fort McMurray--Athabasca/Fort McMurray--Athabasca"," 87","Prairie Echo ",86,0,0,8,1,9,4,1,109,234
48001,"Fort McMurray--Athabasca/Fort McMurray--Athabasca"," 88","Peavine",37,0,0,6,0,33,24,0,100,398
48001,"Fort McMurray--Athabasca/Fort McMurray--Athabasca"," 89","Gift Lake ",42,0,2,2,1,13,7,0,67,410
48001,"Fort McMurray--Athabasca/Fort McMurray--Athabasca"," 90","Grouard ",55,4,0,9,2,36,19,0,125,338
48001,"Fort McMurray--Athabasca/Fort McMurray--Athabasca"," 91","Triangle",196,4,2,12,4,15,1,1,235,350
48001,"Fort McMurray--Athabasca/Fort McMurray--Athabasca"," 92","High Prairie",114,1,1,9,1,20,16,2,164,390
48001,"Fort McMurray--Athabasca/Fort McMurray--Athabasca"," 93","High Prairie",83,3,0,7,2,20,12,0,127,389
48001,"Fort McMurray--Athabasca/Fort McMurray--Athabasca"," 94A","High Prairie",84,1,0,6,1,16,14,0,122,459
48001,"Fort McMurray--Athabasca/Fort McMurray--Athabasca"," 94B","Mobile poll/Bureau itinérant",Merged with No. 501/Fusionné avec le nº 501,,,,,,,,,16
48001,"Fort McMurray--Athabasca/Fort McMurray--Athabasca"," 95","High Prairie",85,1,2,8,1,15,13,0,125,391
48001,"Fort McMurray--Athabasca/Fort McMurray--Athabasca"," 96","High Prairie",83,1,1,15,1,12,9,0,122,330
48001,"Fort McMurray--Athabasca/Fort McMurray--Athabasca"," 97","High Prairie",28,0,0,3,0,8,1,0,40,170
48001,"Fort McMurray--Athabasca/Fort McMurray--Athabasca"," 98","High Prairie",150,0,0,10,0,12,6,0,178,355
48001,"Fort McMurray--Athabasca/Fort McMurray--Athabasca"," 99","Enilda",116,0,2,13,1,27,14,1,174,389
48001,"Fort McMurray--Athabasca/Fort McMurray--Athabasca"," 100","Sucker Creek 150A",25,3,1,9,0,35,22,0,95,328
48001,"Fort McMurray--Athabasca/Fort McMurray--Athabasca"," 101","Big Lakes",Merged with No. 91/Fusionné avec le nº 91,,,,,,,,,205
48001,"Fort McMurray--Athabasca/Fort McMurray--Athabasca"," 102","Big Lakes",30,0,0,8,0,5,0,0,43,86
48001,"Fort McMurray--Athabasca/Fort McMurray--Athabasca"," 103","East Prairie Metis Settlement",12,2,0,6,0,15,6,1,42,204
48001,"Fort McMurray--Athabasca/Fort McMurray--Athabasca"," 104","Joussard",87,2,1,16,0,31,9,0,146,300
48001,"Fort McMurray--Athabasca/Fort McMurray--Athabasca"," 105","Drift Pile River 150 ",19,1,0,4,1,25,33,2,85,405
48001,"Fort McMurray--Athabasca/Fort McMurray--Athabasca"," 106","Faust",84,0,0,16,0,20,11,1,132,301
48001,"Fort McMurray--Athabasca/Fort McMurray--Athabasca"," 107","Swan River 150E",47,1,1,5,0,14,5,0,73,168
48001,"Fort McMurray--Athabasca/Fort McMurray--Athabasca"," 108","Swan River 150E",Merged with No. 107/Fusionné avec le nº 107,,,,,,,,,66
48001,"Fort McMurray--Athabasca/Fort McMurray--Athabasca"," 109","Kinuso",58,1,0,10,0,10,10,1,90,240
48001,"Fort McMurray--Athabasca/Fort McMurray--Athabasca"," 110","Big Lakes",72,1,0,4,0,11,1,0,89,217
48001,"Fort McMurray--Athabasca/Fort McMurray--Athabasca"," 111A","Widewater",110,0,1,9,1,19,11,0,151,340
48001,"Fort McMurray--Athabasca/Fort McMurray--Athabasca"," 111B","Widewater",98,0,2,13,2,9,8,0,132,321
48001,"Fort McMurray--Athabasca/Fort McMurray--Athabasca"," 112","Slave Lake",48,1,0,2,1,11,7,0,70,315
48001,"Fort McMurray--Athabasca/Fort McMurray--Athabasca"," 113","Slave Lake",81,0,0,4,1,13,5,0,104,281
48001,"Fort McMurray--Athabasca/Fort McMurray--Athabasca"," 114","Slave Lake",81,1,0,6,0,20,5,0,113,415
48001,"Fort McMurray--Athabasca/Fort McMurray--Athabasca"," 115","Slave Lake",107,0,1,12,0,11,15,0,146,338
48001,"Fort McMurray--Athabasca/Fort McMurray--Athabasca"," 116","Slave Lake",52,0,0,2,2,8,4,0,68,312
48001,"Fort McMurray--Athabasca/Fort McMurray--Athabasca"," 117","Slave Lake",84,3,2,5,2,13,5,1,115,413
48001,"Fort McMurray--Athabasca/Fort McMurray--Athabasca"," 118","Slave Lake",135,1,1,9,1,23,15,1,186,471
48001,"Fort McMurray--Athabasca/Fort McMurray--Athabasca"," 119","Slave Lake",128,0,2,12,1,26,15,0,184,557
48001,"Fort McMurray--Athabasca/Fort McMurray--Athabasca"," 120","Slave Lake",90,0,1,6,2,11,8,0,118,255
48001,"Fort McMurray--Athabasca/Fort McMurray--Athabasca"," 121","Slave Lake",104,1,0,4,2,19,10,0,140,525
48001,"Fort McMurray--Athabasca/Fort McMurray--Athabasca"," 122","Slave Lake",114,1,1,11,2,18,18,0,165,367
48001,"Fort McMurray--Athabasca/Fort McMurray--Athabasca"," 123","Slave Lake",100,0,3,19,3,16,10,0,151,437
48001,"Fort McMurray--Athabasca/Fort McMurray--Athabasca"," 124","Slave Lake",123,1,1,12,2,8,9,0,156,329
48001,"Fort McMurray--Athabasca/Fort McMurray--Athabasca"," 125","Moose Portage",Merged with No. 126/Fusionné avec le nº 126,,,,,,,,,90
48001,"Fort McMurray--Athabasca/Fort McMurray--Athabasca"," 126","Smith",225,1,3,21,2,20,10,0,282,415
48001,"Fort McMurray--Athabasca/Fort McMurray--Athabasca"," 127","Flatbush",174,2,5,12,5,16,11,0,225,416
48001,"Fort McMurray--Athabasca/Fort McMurray--Athabasca"," 128","Grosmont",259,1,4,23,0,15,12,1,315,552
48001,"Fort McMurray--Athabasca/Fort McMurray--Athabasca"," 129","Athabasca",235,1,2,9,0,20,15,1,283,603
48001,"Fort McMurray--Athabasca/Fort McMurray--Athabasca"," 130","Athabasca",178,1,4,26,0,36,22,0,267,613
48001,"Fort McMurray--Athabasca/Fort McMurray--Athabasca"," 131","Amber Valley",131,2,1,12,0,22,8,0,176,369
48001,"Fort McMurray--Athabasca/Fort McMurray--Athabasca"," 132","Grassland",199,1,1,14,2,26,9,0,252,530
48001,"Fort McMurray--Athabasca/Fort McMurray--Athabasca"," 133","Baptiste Lake",182,0,1,17,0,14,11,0,225,489
48001,"Fort McMurray--Athabasca/Fort McMurray--Athabasca"," 134","Athabasca",80,1,2,22,2,22,9,0,138,307
48001,"Fort McMurray--Athabasca/Fort McMurray--Athabasca"," 135","Athabasca",85,0,1,5,0,16,11,0,118,367
48001,"Fort McMurray--Athabasca/Fort McMurray--Athabasca"," 136","Athabasca",88,1,1,11,1,19,8,0,129,290
48001,"Fort McMurray--Athabasca/Fort McMurray--Athabasca"," 137","Athabasca",135,4,2,30,1,21,23,1,217,459
48001,"Fort McMurray--Athabasca/Fort McMurray--Athabasca"," 138","Athabasca",Merged with No. 138-1B/Fusionné avec le nº 138-1B,,,,,,,,,155
48001,"Fort McMurray--Athabasca/Fort McMurray--Athabasca"," 138-1A","Athabasca",124,0,0,9,1,15,11,2,162,402
48001,"Fort McMurray--Athabasca/Fort McMurray--Athabasca"," 138-1B","Athabasca",109,0,1,19,1,19,10,1,160,231
48001,"Fort McMurray--Athabasca/Fort McMurray--Athabasca"," 139","Athabasca",164,2,2,13,0,15,5,0,201,466
48001,"Fort McMurray--Athabasca/Fort McMurray--Athabasca"," 140","Colinton",143,1,1,12,0,18,5,0,180,329
48001,"Fort McMurray--Athabasca/Fort McMurray--Athabasca"," 141","Colinton",127,1,0,19,0,20,14,1,182,340
48001,"Fort McMurray--Athabasca/Fort McMurray--Athabasca"," 142","Mewatha Beach",209,1,0,14,1,26,6,0,257,517
48001,"Fort McMurray--Athabasca/Fort McMurray--Athabasca"," 143A","Boyle",131,1,0,7,0,17,11,1,168,433
