Electoral District Number/Numéro de circonscription,Electoral District Name/Nom de circonscription,Polling Station Number/Numéro du bureau de scrutin,Polling Station Name/Nom du bureau de scrutin,Emily Berrigan,Elaine Couto,Dean Del Mastro,Betsy McGregor,Steve Sharpe,Rejected Ballots/Bulletins rejetés,Total Votes/Total des votes,Electors/Électeurs
35071,"Peterborough/Peterborough"," 1","Jack Lake",1,0,8,9,0,0,18,30
35071,"Peterborough/Peterborough"," 1-1","Oak Lake",6,0,46,9,5,0,66,154
35071,"Peterborough/Peterborough"," 1-2","Nephton",3,0,11,7,3,0,24,45
35071,"Peterborough/Peterborough"," 2","Cordova Mines",16,0,112,35,32,0,195,347
35071,"Peterborough/Peterborough"," 3","Round Lake",22,1,127,34,45,0,229,440
35071,"Peterborough/Peterborough"," 4","Blairton",18,1,145,36,47,1,248,535
35071,"Peterborough/Peterborough"," 5","Havelock-Belmont-Methuen",22,0,68,32,23,0,145,259
35071,"Peterborough/Peterborough"," 6","Havelock-Belmont-Methuen",11,0,88,16,22,1,138,327
35071,"Peterborough/Peterborough"," 7","Havelock",5,0,82,23,32,0,142,333
35071,"Peterborough/Peterborough"," 8","Havelock",16,0,94,38,34,1,183,394
35071,"Peterborough/Peterborough"," 9","Havelock",19,0,82,40,24,0,165,459
35071,"Peterborough/Peterborough"," 10","Havelock-Belmont-Methuen",9,0,68,29,21,2,129,296
35071,"Peterborough/Peterborough"," 11","Wesley",22,1,181,113,62,0,379,614
35071,"Peterborough/Peterborough"," 12","Curvey Lake First Nation",21,2,52,41,49,1,166,297
35071,"Peterborough/Peterborough"," 13","Curvey Lake First Nation",15,0,50,72,64,0,201,416
35071,"Peterborough/Peterborough"," 14","Selwyn",26,0,177,76,48,0,327,641
35071,"Peterborough/Peterborough"," 15","Youngs Point",15,0,96,33,13,0,157,260
35071,"Peterborough/Peterborough"," 16","Youngs Point",21,1,129,86,29,1,267,472
35071,"Peterborough/Peterborough"," 17","Smith-Ennismore-Lakefield",15,0,134,75,19,0,243,468
35071,"Peterborough/Peterborough"," 18","Lakefield",17,1,178,150,51,0,397,831
35071,"Peterborough/Peterborough"," 19","Lakefield",16,0,106,84,44,0,250,414
35071,"Peterborough/Peterborough"," 20","Lakefield",12,0,97,74,25,0,208,418
35071,"Peterborough/Peterborough"," 21","Lakefield",17,0,81,52,19,0,169,292
35071,"Peterborough/Peterborough"," 22","Lakefield",18,0,112,73,37,0,240,425
35071,"Peterborough/Peterborough"," 23","Smith-Ennismore-Lakefield",10,0,82,44,25,0,161,316
35071,"Peterborough/Peterborough"," 24","Peterborough",12,1,112,40,26,1,192,315
35071,"Peterborough/Peterborough"," 25","Peterborough",21,0,147,100,63,0,331,496
35071,"Peterborough/Peterborough"," 26","Hall's Glen",9,0,105,52,20,3,189,301
35071,"Peterborough/Peterborough"," 27","Hall's Glen",30,0,161,71,42,0,304,456
35071,"Peterborough/Peterborough"," 28","Douro-Dummer",12,0,106,61,24,0,203,386
35071,"Peterborough/Peterborough"," 29","Warsaw",19,0,140,95,28,1,283,456
35071,"Peterborough/Peterborough"," 30","Douro-Dummer",8,0,76,37,23,0,144,228
35071,"Peterborough/Peterborough"," 31","Douro",14,1,153,87,41,0,296,389
35071,"Peterborough/Peterborough"," 32","Douro",11,0,126,68,16,0,221,340
35071,"Peterborough/Peterborough"," 33","Donwood",11,0,160,90,39,2,302,528
35071,"Peterborough/Peterborough"," 34","Donwood",13,1,125,61,27,0,227,370
35071,"Peterborough/Peterborough"," 35","Donwood",8,1,109,57,27,3,205,343
35071,"Peterborough/Peterborough"," 36","Ennismore",14,0,169,52,27,0,262,510
35071,"Peterborough/Peterborough"," 36-1","Smith-Ennismore-Lakefield",4,0,82,29,21,0,136,238
35071,"Peterborough/Peterborough"," 37","Ennismore",14,0,150,58,36,0,258,438
35071,"Peterborough/Peterborough"," 38","Ennismore",13,0,154,62,18,1,248,469
35071,"Peterborough/Peterborough"," 39","Ennismore",13,0,108,59,34,0,214,415
35071,"Peterborough/Peterborough"," 40","Ennismore",12,0,77,39,17,1,146,269
35071,"Peterborough/Peterborough"," 40-1","Smith-Ennismore-Lakefield",10,0,98,47,10,1,166,299
35071,"Peterborough/Peterborough"," 41","Ennismore",8,0,131,52,23,0,214,375
35071,"Peterborough/Peterborough"," 42","Ennismore",15,0,97,33,21,0,166,325
35071,"Peterborough/Peterborough"," 43","Bridgenorth",8,0,110,35,9,0,162,305
35071,"Peterborough/Peterborough"," 44","Bridgenorth",14,0,131,55,32,0,232,424
35071,"Peterborough/Peterborough"," 45","Bridgenorth",11,0,82,33,18,0,144,271
35071,"Peterborough/Peterborough"," 46","Bridgenorth",9,0,83,49,19,0,160,267
35071,"Peterborough/Peterborough"," 47","Ennismore",18,0,192,87,25,1,323,554
35071,"Peterborough/Peterborough"," 48","Fowlers Corners",11,0,159,58,15,0,243,476
35071,"Peterborough/Peterborough"," 49","Fowlers Corners",20,0,129,84,30,0,263,550
35071,"Peterborough/Peterborough"," 50","Peterborough",25,0,164,120,56,1,366,625
35071,"Peterborough/Peterborough"," 51","Peterborough",19,0,204,92,33,2,350,519
35071,"Peterborough/Peterborough"," 52","Peterborough",17,0,147,68,26,0,258,502
35071,"Peterborough/Peterborough"," 53","Peterborough",19,1,70,91,36,3,220,486
35071,"Peterborough/Peterborough"," 54","Peterborough",79,2,130,145,90,1,447,605
35071,"Peterborough/Peterborough"," 55","Peterborough",30,0,166,105,41,1,343,476
35071,"Peterborough/Peterborough"," 56","Peterborough",19,0,139,105,57,2,322,530
35071,"Peterborough/Peterborough"," 57","Peterborough",12,0,89,94,20,0,215,331
35071,"Peterborough/Peterborough"," 58","Peterborough",6,0,101,70,35,1,213,299
35071,"Peterborough/Peterborough"," 59","Peterborough",12,0,81,77,27,1,198,294
35071,"Peterborough/Peterborough"," 60","Peterborough",13,1,70,76,24,2,186,318
