Electoral District Number/Numéro de circonscription,Electoral District Name/Nom de circonscription,Polling Station Number/Numéro du bureau de scrutin,Polling Station Name/Nom du bureau de scrutin,Rob Ballantyne,Rob Clarke,Brian Morin,George Morin,David Orchard,Rejected Ballots/Bulletins rejetés,Total Votes/Total des votes,Electors/Électeurs
47003,"Desnethé--Missinippi--Churchill River/Desnethé--Missinippi--Rivière Churchill"," 1","Camsell Portage",Merged with No. 2/Fusionné avec le nº 2,,,,,,,9
47003,"Desnethé--Missinippi--Churchill River/Desnethé--Missinippi--Rivière Churchill"," 2","Uranium City",1,14,5,2,10,0,32,70
47003,"Desnethé--Missinippi--Churchill River/Desnethé--Missinippi--Rivière Churchill"," 3","Fond-du-Lac",6,39,54,6,38,19,162,450
47003,"Desnethé--Missinippi--Churchill River/Desnethé--Missinippi--Rivière Churchill"," 4","Stony Rapids",1,20,13,2,11,0,47,160
47003,"Desnethé--Missinippi--Churchill River/Desnethé--Missinippi--Rivière Churchill"," 5A","Black Lake",0,1,10,0,49,0,60,269
47003,"Desnethé--Missinippi--Churchill River/Desnethé--Missinippi--Rivière Churchill"," 5B","Black Lake",3,2,20,0,53,2,80,277
47003,"Desnethé--Missinippi--Churchill River/Desnethé--Missinippi--Rivière Churchill"," 6A","Black Lake",Merged with No. 5A/Fusionné avec le nº 5A,,,,,,,10
47003,"Desnethé--Missinippi--Churchill River/Desnethé--Missinippi--Rivière Churchill"," 6B","Black Lake",Merged with No. 5B/Fusionné avec le nº 5B,,,,,,,39
47003,"Desnethé--Missinippi--Churchill River/Desnethé--Missinippi--Rivière Churchill"," 7","Wollaston Lake",2,8,19,1,63,3,96,461
47003,"Desnethé--Missinippi--Churchill River/Desnethé--Missinippi--Rivière Churchill"," 8","Wollaston Lake",1,6,11,1,60,1,80,146
47003,"Desnethé--Missinippi--Churchill River/Desnethé--Missinippi--Rivière Churchill"," 9","Descharme Lake",Merged with No. 11/Fusionné avec le nº 11,,,,,,,2
47003,"Desnethé--Missinippi--Churchill River/Desnethé--Missinippi--Rivière Churchill"," 10","Turnor Lake",0,7,66,1,21,2,97,319
47003,"Desnethé--Missinippi--Churchill River/Desnethé--Missinippi--Rivière Churchill"," 11","La Loche",0,2,12,0,7,0,21,134
47003,"Desnethé--Missinippi--Churchill River/Desnethé--Missinippi--Rivière Churchill"," 12","La Loche",0,14,20,1,11,0,46,154
47003,"Desnethé--Missinippi--Churchill River/Desnethé--Missinippi--Rivière Churchill"," 13A","La Loche",Merged with No. 14A/Fusionné avec le nº 14A,,,,,,,142
47003,"Desnethé--Missinippi--Churchill River/Desnethé--Missinippi--Rivière Churchill"," 13B","La Loche",Merged with No. 14B/Fusionné avec le nº 14B,,,,,,,81
47003,"Desnethé--Missinippi--Churchill River/Desnethé--Missinippi--Rivière Churchill"," 14A","La Loche",1,7,24,1,8,0,41,481
47003,"Desnethé--Missinippi--Churchill River/Desnethé--Missinippi--Rivière Churchill"," 14B","La Loche",1,12,95,3,32,0,143,432
47003,"Desnethé--Missinippi--Churchill River/Desnethé--Missinippi--Rivière Churchill"," 15","Clearwater River",0,16,61,1,7,1,86,354
47003,"Desnethé--Missinippi--Churchill River/Desnethé--Missinippi--Rivière Churchill"," 16","Garson Lake",Merged with No. 15/Fusionné avec le nº 15,,,,,,,1
47003,"Desnethé--Missinippi--Churchill River/Desnethé--Missinippi--Rivière Churchill"," 17","Bear Creek",0,0,11,0,2,0,13,18
47003,"Desnethé--Missinippi--Churchill River/Desnethé--Missinippi--Rivière Churchill"," 18","Kinoosao",0,1,2,1,17,0,21,29
47003,"Desnethé--Missinippi--Churchill River/Desnethé--Missinippi--Rivière Churchill"," 19","Southend",13,13,41,8,65,4,144,428
47003,"Desnethé--Missinippi--Churchill River/Desnethé--Missinippi--Rivière Churchill"," 20","Brabant Lake",0,3,1,0,2,0,6,31
47003,"Desnethé--Missinippi--Churchill River/Desnethé--Missinippi--Rivière Churchill"," 21","Grandmother's Bay 219",1,13,13,9,22,0,58,162
47003,"Desnethé--Missinippi--Churchill River/Desnethé--Missinippi--Rivière Churchill"," 22A","Stanley Mission",Merged with No. 23A/Fusionné avec le nº 23A,,,,,,,61
47003,"Desnethé--Missinippi--Churchill River/Desnethé--Missinippi--Rivière Churchill"," 22B","Stanley Mission",Merged with No. 23B/Fusionné avec le nº 23B,,,,,,,72
47003,"Desnethé--Missinippi--Churchill River/Desnethé--Missinippi--Rivière Churchill"," 23A","Stanley Mission",26,32,32,9,99,1,199,420
47003,"Desnethé--Missinippi--Churchill River/Desnethé--Missinippi--Rivière Churchill"," 23B","Stanley Mission",17,15,35,9,68,1,145,259
47003,"Desnethé--Missinippi--Churchill River/Desnethé--Missinippi--Rivière Churchill"," 24","Sucker River 156C",6,11,21,6,30,2,76,206
47003,"Desnethé--Missinippi--Churchill River/Desnethé--Missinippi--Rivière Churchill"," 25","Hall Lake",1,6,10,3,20,0,40,162
47003,"Desnethé--Missinippi--Churchill River/Desnethé--Missinippi--Rivière Churchill"," 26","La Ronge",2,26,23,4,24,0,79,452
47003,"Desnethé--Missinippi--Churchill River/Desnethé--Missinippi--Rivière Churchill"," 27","La Ronge",4,18,12,3,16,0,53,205
47003,"Desnethé--Missinippi--Churchill River/Desnethé--Missinippi--Rivière Churchill"," 28","La Ronge",2,86,42,12,39,0,181,487
47003,"Desnethé--Missinippi--Churchill River/Desnethé--Missinippi--Rivière Churchill"," 29","La Ronge",5,54,31,13,51,0,154,489
47003,"Desnethé--Missinippi--Churchill River/Desnethé--Missinippi--Rivière Churchill"," 30","La Ronge",6,48,24,9,52,0,139,457
47003,"Desnethé--Missinippi--Churchill River/Desnethé--Missinippi--Rivière Churchill"," 31","Air Ronge--Kitsakie 156B",2,12,7,0,30,2,53,260
47003,"Desnethé--Missinippi--Churchill River/Desnethé--Missinippi--Rivière Churchill"," 32","Air Ronge",5,37,15,5,23,0,85,240
47003,"Desnethé--Missinippi--Churchill River/Desnethé--Missinippi--Rivière Churchill"," 33","Air Ronge",0,33,11,3,10,0,57,175
47003,"Desnethé--Missinippi--Churchill River/Desnethé--Missinippi--Rivière Churchill"," 34","Air Ronge",1,43,20,10,34,0,108,384
47003,"Desnethé--Missinippi--Churchill River/Desnethé--Missinippi--Rivière Churchill"," 35","Lac la Ronge 156",1,3,10,2,11,1,28,143
47003,"Desnethé--Missinippi--Churchill River/Desnethé--Missinippi--Rivière Churchill"," 36","Lac la Ronge 156",2,4,9,2,32,0,49,224
47003,"Desnethé--Missinippi--Churchill River/Desnethé--Missinippi--Rivière Churchill"," 37","Lac la Ronge 156",3,44,29,7,47,0,130,434
47003,"Desnethé--Missinippi--Churchill River/Desnethé--Missinippi--Rivière Churchill"," 38","Dillon",2,14,47,3,18,0,84,442
47003,"Desnethé--Missinippi--Churchill River/Desnethé--Missinippi--Rivière Churchill"," 39","Michel Village",1,5,10,0,4,0,20,34
47003,"Desnethé--Missinippi--Churchill River/Desnethé--Missinippi--Rivière Churchill"," 40","St. George's Hill",0,0,5,0,3,0,8,35
47003,"Desnethé--Missinippi--Churchill River/Desnethé--Missinippi--Rivière Churchill"," 41","Buffalo Narrows--Clearwater River 229",0,5,11,0,18,0,34,155
47003,"Desnethé--Missinippi--Churchill River/Desnethé--Missinippi--Rivière Churchill"," 42A","Buffalo Narrows",Merged with No. 43A/Fusionné avec le nº 43A,,,,,,,62
47003,"Desnethé--Missinippi--Churchill River/Desnethé--Missinippi--Rivière Churchill"," 42B","Buffalo Narrows",Merged with No. 43B/Fusionné avec le nº 43B,,,,,,,61
