Electoral District Number/Numéro de circonscription,Electoral District Name/Nom de circonscription,Polling Station Number/Numéro du bureau de scrutin,Polling Station Name/Nom du bureau de scrutin,Ray Boughen,Cal Johnston,Don Mitchell,Larissa Shasko,Rejected Ballots/Bulletins rejetés,Total Votes/Total des votes,Electors/Électeurs
47005,"Palliser/Palliser"," 1","Caron",169,13,36,9,3,230,329
47005,"Palliser/Palliser"," 2","Caronport",221,3,24,10,0,258,372
47005,"Palliser/Palliser"," 3","Caronport",294,8,26,11,0,339,496
47005,"Palliser/Palliser"," 4","Mount Pleasant",88,8,14,4,1,115,199
47005,"Palliser/Palliser"," 5","Boharm",115,7,22,12,2,158,290
47005,"Palliser/Palliser"," 6","Bushell Park",35,2,5,4,0,46,111
47005,"Palliser/Palliser"," 7","Baildon",130,7,29,10,0,176,280
47005,"Palliser/Palliser"," 8","Moose Jaw",228,41,83,8,1,361,556
47005,"Palliser/Palliser"," 9","Moose Jaw",149,18,73,11,0,251,420
47005,"Palliser/Palliser"," 10","Moose Jaw",261,38,68,7,4,378,625
47005,"Palliser/Palliser"," 11","Moose Jaw",126,22,64,7,0,219,342
47005,"Palliser/Palliser"," 12","Moose Jaw",251,31,81,10,0,373,604
47005,"Palliser/Palliser"," 13","Moose Jaw",184,49,109,11,1,354,651
47005,"Palliser/Palliser"," 14","Moose Jaw",94,18,87,15,3,217,399
47005,"Palliser/Palliser"," 15","Moose Jaw",105,21,65,8,2,201,427
47005,"Palliser/Palliser"," 16","Moose Jaw",160,23,51,7,4,245,423
47005,"Palliser/Palliser"," 17","Moose Jaw",101,31,48,9,1,190,349
47005,"Palliser/Palliser"," 18","Moose Jaw",134,32,116,11,1,294,579
47005,"Palliser/Palliser"," 19","Moose Jaw",110,32,59,8,3,212,355
47005,"Palliser/Palliser"," 20","Moose Jaw",93,17,77,7,1,195,327
47005,"Palliser/Palliser"," 21","Moose Jaw",74,12,62,4,1,153,284
47005,"Palliser/Palliser"," 22","Moose Jaw",123,17,78,9,1,228,380
47005,"Palliser/Palliser"," 23","Moose Jaw",66,14,49,5,0,134,276
47005,"Palliser/Palliser"," 24","Moose Jaw",106,13,91,10,0,220,406
47005,"Palliser/Palliser"," 25","Moose Jaw",129,17,107,13,1,267,452
47005,"Palliser/Palliser"," 26","Moose Jaw",Void/Supprimé,,,,,,
47005,"Palliser/Palliser"," 27","Moose Jaw",69,14,61,10,0,154,342
47005,"Palliser/Palliser"," 28","Moose Jaw",74,18,64,13,0,169,289
47005,"Palliser/Palliser"," 29","Moose Jaw",97,11,79,9,1,197,378
47005,"Palliser/Palliser"," 30","Moose Jaw",80,11,66,11,2,170,311
47005,"Palliser/Palliser"," 31","Moose Jaw",65,8,66,20,2,161,339
47005,"Palliser/Palliser"," 32","Moose Jaw",81,13,81,8,0,183,346
47005,"Palliser/Palliser"," 33","Moose Jaw",115,24,84,10,2,235,403
47005,"Palliser/Palliser"," 34","Moose Jaw",99,22,55,8,2,186,363
47005,"Palliser/Palliser"," 35","Moose Jaw",65,16,75,8,0,164,342
47005,"Palliser/Palliser"," 36","Moose Jaw",89,14,62,6,1,172,281
47005,"Palliser/Palliser"," 37","Moose Jaw",88,14,60,6,0,168,299
47005,"Palliser/Palliser"," 38","Moose Jaw",30,11,74,13,0,128,304
47005,"Palliser/Palliser"," 39","Moose Jaw",69,26,65,10,1,171,348
47005,"Palliser/Palliser"," 40","Moose Jaw",83,25,52,17,1,178,388
47005,"Palliser/Palliser"," 41","Moose Jaw",63,9,54,13,1,140,344
47005,"Palliser/Palliser"," 42","Moose Jaw",39,8,50,7,0,104,287
47005,"Palliser/Palliser"," 43","Moose Jaw",65,25,62,5,0,157,280
47005,"Palliser/Palliser"," 44","Moose Jaw",98,46,79,6,3,232,397
47005,"Palliser/Palliser"," 45","Moose Jaw",91,27,114,3,1,236,360
47005,"Palliser/Palliser"," 46","Moose Jaw",33,15,63,11,0,122,313
47005,"Palliser/Palliser"," 47","Moose Jaw",80,19,67,13,1,180,277
47005,"Palliser/Palliser"," 48","Moose Jaw",43,20,39,17,2,121,284
47005,"Palliser/Palliser"," 49","Moose Jaw",54,10,60,7,0,131,324
47005,"Palliser/Palliser"," 50","Moose Jaw",44,13,68,8,2,135,303
47005,"Palliser/Palliser"," 51","Moose Jaw",112,11,74,5,1,203,377
47005,"Palliser/Palliser"," 52","Moose Jaw",95,10,73,7,0,185,360
47005,"Palliser/Palliser"," 53","Moose Jaw",56,10,53,20,0,139,288
47005,"Palliser/Palliser"," 54","Moose Jaw",58,11,56,3,0,128,284
47005,"Palliser/Palliser"," 55","Moose Jaw",127,26,103,19,5,280,498
47005,"Palliser/Palliser"," 56","Moose Jaw",79,14,67,7,1,168,298
47005,"Palliser/Palliser"," 57","Moose Jaw",102,12,95,12,0,221,395
47005,"Palliser/Palliser"," 58","Moose Jaw",107,19,93,7,1,227,387
47005,"Palliser/Palliser"," 59","Moose Jaw",57,6,48,4,1,116,263
47005,"Palliser/Palliser"," 60","Moose Jaw",80,10,75,4,0,169,319
47005,"Palliser/Palliser"," 61","Moose Jaw",48,14,54,5,0,121,296
47005,"Palliser/Palliser"," 62","Moose Jaw",64,9,65,9,1,148,329
47005,"Palliser/Palliser"," 63","Moose Jaw",86,20,95,8,0,209,339
47005,"Palliser/Palliser"," 64","Moose Jaw",84,18,98,15,0,215,374
47005,"Palliser/Palliser"," 65","Moose Jaw",76,14,54,8,3,155,326
47005,"Palliser/Palliser"," 66","Moose Jaw",79,13,90,6,3,191,387
47005,"Palliser/Palliser"," 67","Moose Jaw",66,22,76,11,1,176,351
47005,"Palliser/Palliser"," 68","Moose Jaw",56,17,97,11,0,181,345
47005,"Palliser/Palliser"," 69","Moose Jaw",94,10,90,13,1,208,373
47005,"Palliser/Palliser"," 70","Moose Jaw",63,10,68,7,0,148,274
47005,"Palliser/Palliser"," 71","Moose Jaw",79,10,102,11,1,203,409
47005,"Palliser/Palliser"," 72","Drinkwater",105,11,22,4,4,146,222
