Electoral District Number/Numéro de circonscription,Electoral District Name/Nom de circonscription,Polling Station Number/Numéro du bureau de scrutin,Polling Station Name/Nom du bureau de scrutin,Alex Atamanenko,Brenda Jagpal,Andy Morel,Brian Sproule,Rob Zandee,Rejected Ballots/Bulletins rejetés,Total Votes/Total des votes,Electors/Électeurs
59026,"British Columbia Southern Interior/Colombie-Britannique-Southern Interior"," 1","Tulameen--Coalmont",43,9,13,0,63,0,128,220
59026,"British Columbia Southern Interior/Colombie-Britannique-Southern Interior"," 1-1","Tulameen--Coalmont",5,2,1,0,5,0,13,27
59026,"British Columbia Southern Interior/Colombie-Britannique-Southern Interior"," 2","Princeton",96,14,21,2,102,2,237,525
59026,"British Columbia Southern Interior/Colombie-Britannique-Southern Interior"," 3","Princeton",133,18,9,1,125,1,287,531
59026,"British Columbia Southern Interior/Colombie-Britannique-Southern Interior"," 3-1","Princeton",62,5,8,0,50,0,125,267
59026,"British Columbia Southern Interior/Colombie-Britannique-Southern Interior"," 4","Princeton",110,7,8,2,107,0,234,390
59026,"British Columbia Southern Interior/Colombie-Britannique-Southern Interior"," 5","Princeton",80,4,11,1,70,1,167,325
59026,"British Columbia Southern Interior/Colombie-Britannique-Southern Interior"," 6","Princeton",75,13,23,0,65,0,176,341
59026,"British Columbia Southern Interior/Colombie-Britannique-Southern Interior"," 7","Osprey Lake",88,10,19,0,133,3,253,528
59026,"British Columbia Southern Interior/Colombie-Britannique-Southern Interior"," 8","Princeton",122,15,17,0,112,0,266,492
59026,"British Columbia Southern Interior/Colombie-Britannique-Southern Interior"," 9","Princeton",Void/Supprimé,,,,,,,
59026,"British Columbia Southern Interior/Colombie-Britannique-Southern Interior"," 10","Hedley",108,12,29,1,74,1,225,376
59026,"British Columbia Southern Interior/Colombie-Britannique-Southern Interior"," 11","Olalla",51,9,17,1,71,1,150,329
59026,"British Columbia Southern Interior/Colombie-Britannique-Southern Interior"," 12","Olalla",Void/Supprimé,,,,,,,
59026,"British Columbia Southern Interior/Colombie-Britannique-Southern Interior"," 13","Keremeos",41,16,19,0,82,0,158,349
59026,"British Columbia Southern Interior/Colombie-Britannique-Southern Interior"," 13-1","Keremeos",42,12,25,0,77,0,156,304
59026,"British Columbia Southern Interior/Colombie-Britannique-Southern Interior"," 14","Keremeos",53,12,8,0,82,2,157,319
59026,"British Columbia Southern Interior/Colombie-Britannique-Southern Interior"," 15A","Keremeos",70,16,12,0,119,0,217,390
59026,"British Columbia Southern Interior/Colombie-Britannique-Southern Interior"," 15B","Keremeos",66,12,23,0,114,1,216,407
59026,"British Columbia Southern Interior/Colombie-Britannique-Southern Interior"," 16","Keremeos",80,28,34,2,123,1,268,505
59026,"British Columbia Southern Interior/Colombie-Britannique-Southern Interior"," 17","Cawston",54,20,22,0,60,0,156,256
59026,"British Columbia Southern Interior/Colombie-Britannique-Southern Interior"," 17-1","Cawston",55,8,15,0,67,0,145,248
59026,"British Columbia Southern Interior/Colombie-Britannique-Southern Interior"," 18","Cawston",87,18,33,0,87,1,226,429
59026,"British Columbia Southern Interior/Colombie-Britannique-Southern Interior"," 19","Oliver",83,23,20,0,114,1,241,403
59026,"British Columbia Southern Interior/Colombie-Britannique-Southern Interior"," 20","Oliver",11,1,4,0,29,0,45,72
59026,"British Columbia Southern Interior/Colombie-Britannique-Southern Interior"," 21A","Oliver",53,26,20,1,72,1,173,417
59026,"British Columbia Southern Interior/Colombie-Britannique-Southern Interior"," 21B","Oliver",66,15,21,1,118,0,221,440
59026,"British Columbia Southern Interior/Colombie-Britannique-Southern Interior"," 22","Oliver",39,8,12,0,100,1,160,276
59026,"British Columbia Southern Interior/Colombie-Britannique-Southern Interior"," 23","Oliver",41,19,13,0,85,1,159,241
59026,"British Columbia Southern Interior/Colombie-Britannique-Southern Interior"," 23-1","Oliver",49,14,19,0,139,3,224,371
59026,"British Columbia Southern Interior/Colombie-Britannique-Southern Interior"," 24","Oliver",77,20,9,0,165,0,271,482
