Electoral District Number/Numéro de circonscription,Electoral District Name/Nom de circonscription,Polling Station Number/Numéro du bureau de scrutin,Polling Station Name/Nom du bureau de scrutin,Scott Cosman,Gary Goodyear,Max Lombardi,Gord Zeilstra,Rejected Ballots/Bulletins rejetés,Total Votes/Total des votes,Electors/Électeurs
35011,"Cambridge/Cambridge"," 1","Cambridge",17,143,34,43,5,242,474
35011,"Cambridge/Cambridge"," 2","Cambridge",28,142,33,78,2,283,496
35011,"Cambridge/Cambridge"," 3","Cambridge",Void/Supprimé,,,,,,
35011,"Cambridge/Cambridge"," 4","Cambridge",26,128,78,51,1,284,508
35011,"Cambridge/Cambridge"," 5","Cambridge",11,63,36,18,0,128,240
35011,"Cambridge/Cambridge"," 6","Cambridge",21,114,50,43,0,228,418
35011,"Cambridge/Cambridge"," 7","Cambridge",17,49,43,16,1,126,225
35011,"Cambridge/Cambridge"," 8","Cambridge",15,64,27,37,0,143,300
35011,"Cambridge/Cambridge"," 9","Cambridge",13,67,49,24,1,154,307
35011,"Cambridge/Cambridge"," 10","Cambridge",17,68,38,32,1,156,340
35011,"Cambridge/Cambridge"," 11","Cambridge",38,98,50,45,0,231,419
35011,"Cambridge/Cambridge"," 12","Cambridge",17,128,50,61,0,256,486
35011,"Cambridge/Cambridge"," 13","Cambridge",15,103,30,39,0,187,351
35011,"Cambridge/Cambridge"," 14","Cambridge",17,103,26,42,1,189,421
35011,"Cambridge/Cambridge"," 15","Cambridge",13,85,33,33,1,165,371
35011,"Cambridge/Cambridge"," 16","Cambridge",22,120,43,53,3,241,455
35011,"Cambridge/Cambridge"," 17","Cambridge",17,67,54,33,1,172,344
35011,"Cambridge/Cambridge"," 18","Cambridge",32,71,32,64,1,200,338
35011,"Cambridge/Cambridge"," 19","Cambridge",24,97,42,44,0,207,360
35011,"Cambridge/Cambridge"," 20","Cambridge",20,106,22,39,1,188,361
35011,"Cambridge/Cambridge"," 21","Cambridge",12,85,39,33,0,169,381
35011,"Cambridge/Cambridge"," 22","Cambridge",8,114,44,35,0,201,404
35011,"Cambridge/Cambridge"," 23","Cambridge",5,99,51,54,2,211,446
35011,"Cambridge/Cambridge"," 24A","Cambridge",14,108,37,47,0,206,409
35011,"Cambridge/Cambridge"," 24B","Cambridge",16,102,22,41,1,182,368
35011,"Cambridge/Cambridge"," 24C","Cambridge",9,119,39,39,0,206,379
35011,"Cambridge/Cambridge"," 25","Cambridge",35,112,41,68,0,256,456
35011,"Cambridge/Cambridge"," 26","Cambridge",26,97,37,43,0,203,358
35011,"Cambridge/Cambridge"," 27","Cambridge",34,102,58,58,0,252,422
35011,"Cambridge/Cambridge"," 28","Cambridge",15,128,13,82,1,239,386
35011,"Cambridge/Cambridge"," 29","Cambridge",15,102,31,33,0,181,316
35011,"Cambridge/Cambridge"," 30","Cambridge",15,110,58,55,0,238,399
35011,"Cambridge/Cambridge"," 31","Cambridge",19,56,35,16,0,126,314
35011,"Cambridge/Cambridge"," 32","Cambridge",6,58,10,18,2,94,276
35011,"Cambridge/Cambridge"," 33","Cambridge",21,66,34,26,0,147,335
35011,"Cambridge/Cambridge"," 34","Cambridge",29,78,45,36,2,190,391
35011,"Cambridge/Cambridge"," 35","Cambridge",18,73,57,16,0,164,379
35011,"Cambridge/Cambridge"," 36","Cambridge",10,122,11,37,1,181,329
35011,"Cambridge/Cambridge"," 37","Cambridge",27,113,75,46,0,261,528
35011,"Cambridge/Cambridge"," 38","Cambridge",12,57,32,22,0,123,244
35011,"Cambridge/Cambridge"," 39","Cambridge",12,44,30,16,2,104,267
35011,"Cambridge/Cambridge"," 40","Cambridge",12,73,33,19,1,138,307
35011,"Cambridge/Cambridge"," 41","Cambridge",9,64,28,34,1,136,279
35011,"Cambridge/Cambridge"," 42","Cambridge",7,59,27,38,2,133,301
35011,"Cambridge/Cambridge"," 43","Cambridge",4,46,9,28,0,87,209
35011,"Cambridge/Cambridge"," 44","Cambridge",13,92,50,42,2,199,417
35011,"Cambridge/Cambridge"," 45","Cambridge",10,70,55,23,0,158,322
35011,"Cambridge/Cambridge"," 46","Cambridge",22,93,59,43,1,218,478
35011,"Cambridge/Cambridge"," 47","Cambridge",10,78,36,39,0,163,342
35011,"Cambridge/Cambridge"," 48","Cambridge",13,87,59,40,0,199,443
35011,"Cambridge/Cambridge"," 49","Cambridge",27,93,49,39,1,209,445
35011,"Cambridge/Cambridge"," 50","Cambridge",21,60,46,33,0,160,334
35011,"Cambridge/Cambridge"," 51","Cambridge",24,82,36,26,0,168,313
35011,"Cambridge/Cambridge"," 52","Cambridge",17,62,55,28,0,162,405
35011,"Cambridge/Cambridge"," 53","Cambridge",22,92,43,56,1,214,392
35011,"Cambridge/Cambridge"," 54A","Cambridge",14,82,38,44,2,180,370
35011,"Cambridge/Cambridge"," 54B","Cambridge",8,69,38,39,1,155,296
35011,"Cambridge/Cambridge"," 55","Cambridge",43,135,44,59,0,281,435
