Electoral District Number/Numéro de circonscription,Electoral District Name/Nom de circonscription,Polling Station Number/Numéro du bureau de scrutin,Polling Station Name/Nom du bureau de scrutin,Satish Balasunderam,Melissa Bhagat,Jaymini Bhikha,Pierre Chénier,Albina Guarnieri,Rejected Ballots/Bulletins rejetés,Total Votes/Total des votes,Electors/Électeurs
35048,"Mississauga East--Cooksville/Mississauga-Est--Cooksville"," 1","Mississauga",17,64,9,2,97,2,191,455
35048,"Mississauga East--Cooksville/Mississauga-Est--Cooksville"," 2","Mississauga",10,73,11,2,72,1,169,298
35048,"Mississauga East--Cooksville/Mississauga-Est--Cooksville"," 3","Mississauga",26,61,12,1,91,2,193,399
35048,"Mississauga East--Cooksville/Mississauga-Est--Cooksville"," 4","Mississauga",18,22,4,0,48,0,92,294
35048,"Mississauga East--Cooksville/Mississauga-Est--Cooksville"," 5A","Mississauga",21,25,2,0,47,0,95,269
35048,"Mississauga East--Cooksville/Mississauga-Est--Cooksville"," 5B","Mississauga",7,35,8,2,34,2,88,272
35048,"Mississauga East--Cooksville/Mississauga-Est--Cooksville"," 6A","Mississauga",15,19,3,1,62,0,100,356
35048,"Mississauga East--Cooksville/Mississauga-Est--Cooksville"," 6B","Mississauga",13,36,4,2,63,3,121,360
35048,"Mississauga East--Cooksville/Mississauga-Est--Cooksville"," 7A","Mississauga",21,50,10,1,61,0,143,315
35048,"Mississauga East--Cooksville/Mississauga-Est--Cooksville"," 7B","Mississauga",10,46,5,0,71,0,132,295
35048,"Mississauga East--Cooksville/Mississauga-Est--Cooksville"," 8","Mississauga",23,85,16,2,112,1,239,442
35048,"Mississauga East--Cooksville/Mississauga-Est--Cooksville"," 9","Mississauga",28,60,17,0,76,0,181,452
35048,"Mississauga East--Cooksville/Mississauga-Est--Cooksville"," 10","Mississauga",18,10,1,0,17,0,46,170
35048,"Mississauga East--Cooksville/Mississauga-Est--Cooksville"," 11A","Mississauga",13,20,3,0,33,1,70,323
35048,"Mississauga East--Cooksville/Mississauga-Est--Cooksville"," 11B","Mississauga",9,16,2,1,43,1,72,319
35048,"Mississauga East--Cooksville/Mississauga-Est--Cooksville"," 12","Mississauga",15,20,1,3,60,2,101,364
35048,"Mississauga East--Cooksville/Mississauga-Est--Cooksville"," 13","Mississauga",16,22,2,1,59,0,100,463
35048,"Mississauga East--Cooksville/Mississauga-Est--Cooksville"," 14","Mississauga",15,33,4,3,108,0,163,499
35048,"Mississauga East--Cooksville/Mississauga-Est--Cooksville"," 15","Mississauga",18,12,5,1,53,0,89,349
35048,"Mississauga East--Cooksville/Mississauga-Est--Cooksville"," 16","Mississauga",14,38,5,4,41,0,102,382
35048,"Mississauga East--Cooksville/Mississauga-Est--Cooksville"," 17","Mississauga",4,27,1,0,36,0,68,234
35048,"Mississauga East--Cooksville/Mississauga-Est--Cooksville"," 18","Mississauga",19,58,14,0,56,1,148,320
35048,"Mississauga East--Cooksville/Mississauga-Est--Cooksville"," 19","Mississauga",12,61,16,1,110,1,201,392
35048,"Mississauga East--Cooksville/Mississauga-Est--Cooksville"," 20","Mississauga",18,53,7,2,92,4,176,365
35048,"Mississauga East--Cooksville/Mississauga-Est--Cooksville"," 21","Mississauga",6,53,6,1,94,0,160,290
35048,"Mississauga East--Cooksville/Mississauga-Est--Cooksville"," 22","Mississauga",21,63,5,1,139,2,231,485
35048,"Mississauga East--Cooksville/Mississauga-Est--Cooksville"," 23","Mississauga",38,119,14,4,84,3,262,434
35048,"Mississauga East--Cooksville/Mississauga-Est--Cooksville"," 24","Mississauga",24,64,10,2,127,2,229,462
35048,"Mississauga East--Cooksville/Mississauga-Est--Cooksville"," 25","Mississauga",12,35,6,1,42,0,96,298
35048,"Mississauga East--Cooksville/Mississauga-Est--Cooksville"," 26A","Mississauga",13,39,4,0,51,1,108,301
35048,"Mississauga East--Cooksville/Mississauga-Est--Cooksville"," 26B","Mississauga",12,50,5,2,37,1,107,312
35048,"Mississauga East--Cooksville/Mississauga-Est--Cooksville"," 27","Mississauga",35,74,5,6,119,3,242,517
35048,"Mississauga East--Cooksville/Mississauga-Est--Cooksville"," 28","Mississauga",12,28,3,4,40,0,87,183
35048,"Mississauga East--Cooksville/Mississauga-Est--Cooksville"," 29A","Mississauga",12,50,8,0,76,0,146,444
35048,"Mississauga East--Cooksville/Mississauga-Est--Cooksville"," 29B","Mississauga",13,57,7,0,73,0,150,466
35048,"Mississauga East--Cooksville/Mississauga-Est--Cooksville"," 30","Mississauga",15,42,9,2,73,0,141,282
35048,"Mississauga East--Cooksville/Mississauga-Est--Cooksville"," 31","Mississauga",9,51,3,0,52,2,117,192
35048,"Mississauga East--Cooksville/Mississauga-Est--Cooksville"," 32","Mississauga",21,30,3,1,60,0,115,465
35048,"Mississauga East--Cooksville/Mississauga-Est--Cooksville"," 33","Mississauga",28,83,15,2,101,0,229,456
35048,"Mississauga East--Cooksville/Mississauga-Est--Cooksville"," 34","Mississauga",10,89,18,1,119,2,239,427
35048,"Mississauga East--Cooksville/Mississauga-Est--Cooksville"," 35","Mississauga",14,104,12,0,72,0,202,381
35048,"Mississauga East--Cooksville/Mississauga-Est--Cooksville"," 36","Mississauga",17,71,15,2,88,3,196,412
35048,"Mississauga East--Cooksville/Mississauga-Est--Cooksville"," 37","Mississauga",18,98,12,0,111,1,240,421
