Electoral District Number/Numéro de circonscription,Electoral District Name/Nom de circonscription,Polling Station Number/Numéro du bureau de scrutin,Polling Station Name/Nom du bureau de scrutin,Royal Galipeau,Marc Godbout,Paul Maillet,Amy O'Dell,Rejected Ballots/Bulletins rejetés,Total Votes/Total des votes,Electors/Électeurs
35063,"Ottawa--Orléans/Ottawa--Orléans"," 1","Gloucester",92,80,17,20,1,210,337
35063,"Ottawa--Orléans/Ottawa--Orléans"," 2","Gloucester",93,75,21,34,7,230,393
35063,"Ottawa--Orléans/Ottawa--Orléans"," 3","Gloucester",109,158,25,28,0,320,496
35063,"Ottawa--Orléans/Ottawa--Orléans"," 4","Gloucester",87,83,13,12,0,195,299
35063,"Ottawa--Orléans/Ottawa--Orléans"," 5","Gloucester",109,112,12,31,2,266,416
35063,"Ottawa--Orléans/Ottawa--Orléans"," 6","Gloucester",56,61,13,27,1,158,338
35063,"Ottawa--Orléans/Ottawa--Orléans"," 7A","Gloucester",54,59,11,21,0,145,325
35063,"Ottawa--Orléans/Ottawa--Orléans"," 7B","Gloucester",70,44,9,23,0,146,363
35063,"Ottawa--Orléans/Ottawa--Orléans"," 8","Gloucester",Void/Supprimé,,,,,,
35063,"Ottawa--Orléans/Ottawa--Orléans"," 9","Gloucester",67,65,11,36,3,182,396
35063,"Ottawa--Orléans/Ottawa--Orléans"," 10","Gloucester",56,69,6,31,1,163,333
35063,"Ottawa--Orléans/Ottawa--Orléans"," 11","Gloucester",81,71,11,30,2,195,349
35063,"Ottawa--Orléans/Ottawa--Orléans"," 12","Gloucester",78,76,7,19,0,180,320
35063,"Ottawa--Orléans/Ottawa--Orléans"," 13","Gloucester",94,68,21,44,3,230,503
35063,"Ottawa--Orléans/Ottawa--Orléans"," 14","Gloucester",107,138,19,29,3,296,620
35063,"Ottawa--Orléans/Ottawa--Orléans"," 15","Gloucester",Void/Supprimé,,,,,,
35063,"Ottawa--Orléans/Ottawa--Orléans"," 16","Gloucester",84,94,19,24,1,222,362
35063,"Ottawa--Orléans/Ottawa--Orléans"," 17","Gloucester",87,76,16,14,0,193,311
35063,"Ottawa--Orléans/Ottawa--Orléans"," 18","Gloucester",106,108,17,19,1,251,391
35063,"Ottawa--Orléans/Ottawa--Orléans"," 19","Gloucester",130,98,29,24,0,281,391
35063,"Ottawa--Orléans/Ottawa--Orléans"," 20","Gloucester",94,123,16,19,1,253,426
35063,"Ottawa--Orléans/Ottawa--Orléans"," 21","Gloucester",99,90,15,44,2,250,461
35063,"Ottawa--Orléans/Ottawa--Orléans"," 22","Gloucester",122,98,23,16,1,260,375
35063,"Ottawa--Orléans/Ottawa--Orléans"," 23","Gloucester",100,102,19,13,0,234,368
35063,"Ottawa--Orléans/Ottawa--Orléans"," 24","Gloucester",79,76,9,20,0,184,285
35063,"Ottawa--Orléans/Ottawa--Orléans"," 25","Gloucester",88,55,13,42,0,198,537
35063,"Ottawa--Orléans/Ottawa--Orléans"," 26","Gloucester",36,32,12,33,3,116,236
35063,"Ottawa--Orléans/Ottawa--Orléans"," 27","Gloucester",129,101,23,43,1,297,561
35063,"Ottawa--Orléans/Ottawa--Orléans"," 28","Gloucester",106,59,15,30,1,211,404
35063,"Ottawa--Orléans/Ottawa--Orléans"," 29","Gloucester",113,65,16,20,2,216,357
35063,"Ottawa--Orléans/Ottawa--Orléans"," 30","Gloucester",100,74,11,25,1,211,355
35063,"Ottawa--Orléans/Ottawa--Orléans"," 31A","Gloucester",77,83,20,25,0,205,337
35063,"Ottawa--Orléans/Ottawa--Orléans"," 31B","Gloucester",94,65,6,30,0,195,326
35063,"Ottawa--Orléans/Ottawa--Orléans"," 32","Gloucester",Void/Supprimé,,,,,,
35063,"Ottawa--Orléans/Ottawa--Orléans"," 33","Gloucester",103,120,23,16,0,262,388
35063,"Ottawa--Orléans/Ottawa--Orléans"," 34","Cumberland",108,83,18,23,2,234,364
35063,"Ottawa--Orléans/Ottawa--Orléans"," 35","Gloucester",86,66,17,25,1,195,310
35063,"Ottawa--Orléans/Ottawa--Orléans"," 36","Gloucester",105,93,19,38,0,255,453
35063,"Ottawa--Orléans/Ottawa--Orléans"," 37A","Gloucester",81,115,15,34,1,246,382
35063,"Ottawa--Orléans/Ottawa--Orléans"," 37B","Gloucester",86,72,9,25,0,192,298
35063,"Ottawa--Orléans/Ottawa--Orléans"," 38","Gloucester",107,92,16,23,0,238,351
35063,"Ottawa--Orléans/Ottawa--Orléans"," 39","Gloucester",152,128,26,42,1,349,593
35063,"Ottawa--Orléans/Ottawa--Orléans"," 40","Gloucester",Void/Supprimé,,,,,,
35063,"Ottawa--Orléans/Ottawa--Orléans"," 41","Gloucester",74,64,7,22,2,169,301
35063,"Ottawa--Orléans/Ottawa--Orléans"," 42","Gloucester",105,102,17,37,1,262,471
35063,"Ottawa--Orléans/Ottawa--Orléans"," 43","Gloucester",130,94,14,36,0,274,454
35063,"Ottawa--Orléans/Ottawa--Orléans"," 44","Gloucester",104,92,23,38,0,257,395
35063,"Ottawa--Orléans/Ottawa--Orléans"," 45","Gloucester",134,84,17,21,1,257,403
35063,"Ottawa--Orléans/Ottawa--Orléans"," 46","Gloucester",126,111,16,21,0,274,456
35063,"Ottawa--Orléans/Ottawa--Orléans"," 47","Gloucester",75,70,22,12,1,180,301
35063,"Ottawa--Orléans/Ottawa--Orléans"," 48","Gloucester",84,55,13,13,0,165,240
35063,"Ottawa--Orléans/Ottawa--Orléans"," 49","Gloucester",127,109,28,25,0,289,452
35063,"Ottawa--Orléans/Ottawa--Orléans"," 50","Gloucester",126,102,15,19,1,263,391
35063,"Ottawa--Orléans/Ottawa--Orléans"," 51","Gloucester",108,96,15,19,0,238,340
35063,"Ottawa--Orléans/Ottawa--Orléans"," 52","Gloucester",97,93,23,12,0,225,340
35063,"Ottawa--Orléans/Ottawa--Orléans"," 53","Gloucester",105,93,17,22,0,237,397
35063,"Ottawa--Orléans/Ottawa--Orléans"," 54","Gloucester",117,86,10,10,0,223,349
35063,"Ottawa--Orléans/Ottawa--Orléans"," 55","Gloucester",100,81,13,15,1,210,328
35063,"Ottawa--Orléans/Ottawa--Orléans"," 56","Gloucester",121,84,20,25,2,252,398
35063,"Ottawa--Orléans/Ottawa--Orléans"," 57","Cumberland",88,93,20,35,0,236,415
35063,"Ottawa--Orléans/Ottawa--Orléans"," 58","Cumberland",Void/Supprimé,,,,,,
35063,"Ottawa--Orléans/Ottawa--Orléans"," 59","Cumberland",100,89,20,24,2,235,392
35063,"Ottawa--Orléans/Ottawa--Orléans"," 60","Cumberland",75,85,11,35,3,209,337
35063,"Ottawa--Orléans/Ottawa--Orléans"," 61","Cumberland",103,63,23,25,1,215,373
35063,"Ottawa--Orléans/Ottawa--Orléans"," 62","Cumberland",123,54,12,28,0,217,388
35063,"Ottawa--Orléans/Ottawa--Orléans"," 63","Cumberland",122,73,18,35,1,249,402
