Electoral District Number/Numéro de circonscription,Electoral District Name/Nom de circonscription,Polling Station Number/Numéro du bureau de scrutin,Polling Station Name/Nom du bureau de scrutin,Michel.M. Champagne,Bernard Demers,Simon Gnocchini Messier,Jean Lambert,Robert Vincent,Rejected Ballots/Bulletins rejetés,Total Votes/Total des votes,Electors/Électeurs
24069,"Shefford/Shefford"," 601","Saint-Paul-d'Abbotsford--Ange-Gardien",5,30,11,20,63,2,131,
24069,"Shefford/Shefford"," 602","Granby",11,91,38,82,173,4,399,
24069,"Shefford/Shefford"," 603","Granby",3,47,38,69,128,5,290,
24069,"Shefford/Shefford"," 604","Granby",19,200,50,211,307,11,798,
24069,"Shefford/Shefford"," 605","Granby",14,161,33,159,204,8,579,
24069,"Shefford/Shefford"," 606","Granby",9,74,34,118,170,5,410,
24069,"Shefford/Shefford"," 607","Granby",6,65,13,73,101,6,264,
24069,"Shefford/Shefford"," 608","Granby",22,196,63,203,261,10,755,
24069,"Shefford/Shefford"," 609","Shefford--Roxton Pond",16,94,30,103,245,5,493,
24069,"Shefford/Shefford"," 610","Waterloo",7,96,26,81,131,3,344,
24069,"Shefford/Shefford"," 611","Valcourt",13,101,39,101,149,3,406,
24069,"Shefford/Shefford",,Group 1/Groupe 1,7,23,2,44,40,4,120,209
24069,"Shefford/Shefford",,Group 2/Groupe 2,17,157,46,213,426,28,887,

