Electoral District Number/Numéro de circonscription,Electoral District Name/Nom de circonscription,Polling Station Number/Numéro du bureau de scrutin,Polling Station Name/Nom du bureau de scrutin,Ted Larsen,Megan Leslie,Catherine Meade,Tony Seed,Darryl Whetter,Rejected Ballots/Bulletins rejetés,Total Votes/Total des votes,Electors/Électeurs
12004,"Halifax/Halifax"," 1","Halifax",52,89,25,1,11,0,178,268
12004,"Halifax/Halifax"," 2","Halifax",41,93,55,0,14,1,204,377
12004,"Halifax/Halifax"," 2-1","Halifax",20,61,25,2,2,0,110,204
12004,"Halifax/Halifax"," 3","Halifax",22,85,39,0,14,0,160,313
12004,"Halifax/Halifax"," 4","Halifax",16,55,45,1,7,1,125,213
12004,"Halifax/Halifax"," 4-1","Halifax",12,72,20,0,6,1,111,404
12004,"Halifax/Halifax"," 5","Halifax",34,108,48,1,15,2,208,333
12004,"Halifax/Halifax"," 6","Halifax",24,91,49,0,28,3,195,373
12004,"Halifax/Halifax"," 7","Halifax",28,101,31,0,12,0,172,264
12004,"Halifax/Halifax"," 8","Halifax",53,58,65,0,17,0,193,296
12004,"Halifax/Halifax"," 9","Halifax",29,78,54,0,13,3,177,306
12004,"Halifax/Halifax"," 9-1","Halifax",33,60,38,0,4,1,136,249
12004,"Halifax/Halifax"," 10","Halifax",42,102,46,0,15,0,205,296
12004,"Halifax/Halifax"," 11","Halifax",30,98,61,3,12,0,204,324
12004,"Halifax/Halifax"," 12","Halifax",22,94,69,0,14,0,199,342
12004,"Halifax/Halifax"," 13","Halifax",26,101,34,0,7,2,170,327
12004,"Halifax/Halifax"," 14","Halifax",36,107,50,0,11,0,204,347
12004,"Halifax/Halifax"," 15","Halifax",34,105,59,0,11,1,210,321
12004,"Halifax/Halifax"," 16","Halifax",28,79,28,0,17,0,152,248
12004,"Halifax/Halifax"," 16-1","Halifax",16,39,20,1,5,0,81,184
12004,"Halifax/Halifax"," 17","Halifax",51,137,78,2,24,0,292,448
12004,"Halifax/Halifax"," 18","Halifax",17,88,39,0,9,0,153,366
12004,"Halifax/Halifax"," 18-1","Halifax",26,36,44,0,12,0,118,204
12004,"Halifax/Halifax"," 18-2","Halifax",16,56,30,0,13,0,115,251
12004,"Halifax/Halifax"," 19","Halifax",11,128,19,2,12,1,173,347
12004,"Halifax/Halifax"," 20","Halifax",38,128,25,0,8,3,202,428
12004,"Halifax/Halifax"," 21","Halifax",28,91,29,0,6,4,158,301
12004,"Halifax/Halifax"," 22","Halifax",Void/Supprimé,,,,,,,
12004,"Halifax/Halifax"," 23","Halifax",21,89,26,2,7,3,148,316
12004,"Halifax/Halifax"," 24","Halifax",58,79,110,0,18,0,265,416
12004,"Halifax/Halifax"," 25","Halifax",56,70,64,1,18,0,209,336
12004,"Halifax/Halifax"," 26","Halifax",60,55,61,0,3,0,179,262
12004,"Halifax/Halifax"," 27A","Halifax",69,38,80,0,6,0,193,297
12004,"Halifax/Halifax"," 27B","Halifax",61,39,60,1,5,0,166,251
12004,"Halifax/Halifax"," 28","Halifax",46,38,82,0,23,0,189,335
12004,"Halifax/Halifax"," 29","Halifax",32,87,46,0,18,2,185,369
12004,"Halifax/Halifax"," 30","Halifax",74,59,62,1,8,1,205,300
12004,"Halifax/Halifax"," 31","Halifax",27,108,61,0,19,2,217,449
12004,"Halifax/Halifax"," 31-1","Halifax",20,38,14,0,6,0,78,183
12004,"Halifax/Halifax"," 32","Halifax",48,92,48,0,23,4,215,342
12004,"Halifax/Halifax"," 33","Halifax",35,46,71,0,18,0,170,217
12004,"Halifax/Halifax"," 33-1","Halifax",46,54,32,1,8,0,141,198
12004,"Halifax/Halifax"," 34","Halifax",63,84,82,0,10,1,240,339
12004,"Halifax/Halifax"," 35","Halifax",31,64,20,0,12,0,127,275
