Electoral District Number/Numéro de circonscription,Electoral District Name/Nom de circonscription,Polling Station Number/Numéro du bureau de scrutin,Polling Station Name/Nom du bureau de scrutin,Caroline Alleslev,Roger Carter,Marilyn Churley,Zoran Markovski,Maria Minna,Rejected Ballots/Bulletins rejetés,Total Votes/Total des votes,Electors/Électeurs
35005,"Beaches--East York/Beaches--East York"," 1","East York",46,1,46,13,62,3,171,295
35005,"Beaches--East York/Beaches--East York"," 2","East York",66,0,64,15,105,5,255,407
35005,"Beaches--East York/Beaches--East York"," 3","East York",66,0,43,16,95,1,221,351
35005,"Beaches--East York/Beaches--East York"," 4","East York",56,0,53,13,95,1,218,362
35005,"Beaches--East York/Beaches--East York"," 5","East York",47,0,58,19,138,1,263,473
35005,"Beaches--East York/Beaches--East York"," 6","East York",43,0,37,12,37,1,130,325
35005,"Beaches--East York/Beaches--East York"," 7","East York",61,2,86,35,88,1,273,453
35005,"Beaches--East York/Beaches--East York"," 8","East York",24,0,37,4,65,0,130,301
35005,"Beaches--East York/Beaches--East York"," 9","East York",32,1,49,2,180,4,268,448
35005,"Beaches--East York/Beaches--East York"," 10","East York",28,1,62,5,162,2,260,552
35005,"Beaches--East York/Beaches--East York"," 11","East York",17,2,57,2,130,0,208,396
35005,"Beaches--East York/Beaches--East York"," 12","East York",47,2,54,13,93,0,209,352
35005,"Beaches--East York/Beaches--East York"," 13","East York",59,1,58,18,99,4,239,410
35005,"Beaches--East York/Beaches--East York"," 14","East York",61,0,54,20,94,0,229,379
35005,"Beaches--East York/Beaches--East York"," 15","East York",36,4,53,12,72,1,178,373
35005,"Beaches--East York/Beaches--East York"," 16","East York",44,1,85,26,50,0,206,433
35005,"Beaches--East York/Beaches--East York"," 17","East York",65,0,101,16,95,0,277,430
35005,"Beaches--East York/Beaches--East York"," 18","East York",36,0,64,19,65,0,184,314
35005,"Beaches--East York/Beaches--East York"," 19","East York",53,1,53,17,76,0,200,317
35005,"Beaches--East York/Beaches--East York"," 20","East York",37,0,66,15,95,0,213,376
35005,"Beaches--East York/Beaches--East York"," 21","East York",56,1,71,29,106,1,264,413
35005,"Beaches--East York/Beaches--East York"," 22","East York",36,0,83,19,31,0,169,351
35005,"Beaches--East York/Beaches--East York"," 23","East York",42,1,51,11,118,0,223,374
35005,"Beaches--East York/Beaches--East York"," 24","East York",56,1,44,20,86,0,207,354
35005,"Beaches--East York/Beaches--East York"," 25","East York",32,0,62,22,77,1,194,364
35005,"Beaches--East York/Beaches--East York"," 26","East York",19,1,82,10,81,2,195,486
35005,"Beaches--East York/Beaches--East York"," 27","East York",41,1,77,8,68,3,198,524
35005,"Beaches--East York/Beaches--East York"," 28","East York",18,0,57,4,71,3,153,432
35005,"Beaches--East York/Beaches--East York"," 29","East York",17,1,64,10,48,0,140,291
35005,"Beaches--East York/Beaches--East York"," 30","East York",42,1,52,19,70,1,185,400
35005,"Beaches--East York/Beaches--East York"," 31","East York",24,0,50,4,97,0,175,425
35005,"Beaches--East York/Beaches--East York"," 32","East York",13,2,36,17,52,1,121,225
35005,"Beaches--East York/Beaches--East York"," 33","East York",70,2,100,19,112,0,303,505
35005,"Beaches--East York/Beaches--East York"," 34","East York",20,3,54,8,57,0,142,333
35005,"Beaches--East York/Beaches--East York"," 35","East York",19,0,46,7,33,0,105,219
35005,"Beaches--East York/Beaches--East York"," 36","East York",7,2,21,4,64,0,98,203
35005,"Beaches--East York/Beaches--East York"," 37","East York",34,4,91,15,87,1,232,562
35005,"Beaches--East York/Beaches--East York"," 38","East York",Void/Supprimé,,,,,,,
35005,"Beaches--East York/Beaches--East York"," 39","East York",10,0,24,3,46,2,85,208
35005,"Beaches--East York/Beaches--East York"," 40","East York",38,0,25,5,95,0,163,382
35005,"Beaches--East York/Beaches--East York"," 41","East York",25,0,63,11,48,0,147,384
35005,"Beaches--East York/Beaches--East York"," 42","East York",37,0,112,13,105,2,269,467
35005,"Beaches--East York/Beaches--East York"," 43","East York",27,1,108,25,89,1,251,416
35005,"Beaches--East York/Beaches--East York"," 44","East York",33,0,79,24,78,0,214,417
35005,"Beaches--East York/Beaches--East York"," 45","East York",38,0,74,14,76,0,202,422
35005,"Beaches--East York/Beaches--East York"," 46","East York",31,0,75,17,100,0,223,426
35005,"Beaches--East York/Beaches--East York"," 47","East York",39,1,83,16,102,0,241,443
35005,"Beaches--East York/Beaches--East York"," 48","East York",42,1,63,21,93,0,220,394
35005,"Beaches--East York/Beaches--East York"," 49","East York",39,0,95,22,86,0,242,419
35005,"Beaches--East York/Beaches--East York"," 50","East York",52,0,48,18,106,2,226,396
35005,"Beaches--East York/Beaches--East York"," 51","East York",42,1,64,11,83,0,201,332
35005,"Beaches--East York/Beaches--East York"," 52","East York",24,1,74,13,98,1,211,360
35005,"Beaches--East York/Beaches--East York"," 53","East York",27,0,88,18,85,0,218,352
35005,"Beaches--East York/Beaches--East York"," 54","East York",38,1,44,17,78,2,180,305
35005,"Beaches--East York/Beaches--East York"," 55","East York",34,1,67,17,66,1,186,359
35005,"Beaches--East York/Beaches--East York"," 56","East York",27,0,88,36,80,2,233,390
35005,"Beaches--East York/Beaches--East York"," 57","East York",37,1,81,25,83,1,228,397
35005,"Beaches--East York/Beaches--East York"," 58","East York",31,1,74,22,72,0,200,390
35005,"Beaches--East York/Beaches--East York"," 59","East York",22,0,81,14,76,1,194,345
35005,"Beaches--East York/Beaches--East York"," 60","East York",23,1,43,25,59,0,151,288
35005,"Beaches--East York/Beaches--East York"," 61","East York",22,0,78,23,92,0,215,349
35005,"Beaches--East York/Beaches--East York"," 62","East York",30,2,81,13,86,1,213,374
35005,"Beaches--East York/Beaches--East York"," 63","East York",43,0,99,26,79,0,247,421
35005,"Beaches--East York/Beaches--East York"," 64","East York",30,1,59,20,75,0,185,301
35005,"Beaches--East York/Beaches--East York"," 65","East York",37,1,102,26,89,0,255,411
35005,"Beaches--East York/Beaches--East York"," 66","East York",34,2,91,34,97,1,259,444
35005,"Beaches--East York/Beaches--East York"," 67","East York",19,1,94,10,68,4,196,443
35005,"Beaches--East York/Beaches--East York"," 68","East York",26,0,43,4,50,1,124,296
35005,"Beaches--East York/Beaches--East York"," 69","East York",30,1,48,14,52,0,145,303
35005,"Beaches--East York/Beaches--East York"," 70","East York",14,3,42,19,33,1,112,255
35005,"Beaches--East York/Beaches--East York"," 71","East York",27,0,76,10,79,1,193,398
35005,"Beaches--East York/Beaches--East York"," 72","East York",37,2,62,13,67,0,181,397
35005,"Beaches--East York/Beaches--East York"," 73","East York",36,0,67,19,79,0,201,372
35005,"Beaches--East York/Beaches--East York"," 74","East York",22,1,80,21,96,0,220,414
35005,"Beaches--East York/Beaches--East York"," 75","Toronto",36,2,111,31,114,0,294,476
35005,"Beaches--East York/Beaches--East York"," 76","Toronto",33,3,65,17,101,3,222,451
35005,"Beaches--East York/Beaches--East York"," 77","Toronto",29,0,82,26,94,0,231,383
35005,"Beaches--East York/Beaches--East York"," 78","Toronto",15,0,54,11,46,0,126,271
35005,"Beaches--East York/Beaches--East York"," 79","Toronto",31,0,90,17,98,0,236,477
35005,"Beaches--East York/Beaches--East York"," 80","Toronto",11,2,59,5,74,0,151,398
35005,"Beaches--East York/Beaches--East York"," 81","Toronto",14,1,70,8,95,0,188,355
35005,"Beaches--East York/Beaches--East York"," 82","Toronto",26,0,104,22,77,1,230,589
35005,"Beaches--East York/Beaches--East York"," 83","East York",21,0,41,10,52,2,126,263
35005,"Beaches--East York/Beaches--East York"," 84","East York",14,1,79,16,73,0,183,371
35005,"Beaches--East York/Beaches--East York"," 85","East York",44,0,101,26,131,0,302,466
35005,"Beaches--East York/Beaches--East York"," 86","East York",26,1,88,24,84,1,224,405
35005,"Beaches--East York/Beaches--East York"," 87","East York",47,0,75,16,83,0,221,443
35005,"Beaches--East York/Beaches--East York"," 88","Toronto",16,0,57,15,112,5,205,307
35005,"Beaches--East York/Beaches--East York"," 89","Toronto",18,3,81,26,101,1,230,354
35005,"Beaches--East York/Beaches--East York"," 90","Toronto",38,2,100,36,119,1,296,492
35005,"Beaches--East York/Beaches--East York"," 91","Toronto",22,1,95,31,116,0,265,436
35005,"Beaches--East York/Beaches--East York"," 92","Toronto",18,1,58,20,79,0,176,375
35005,"Beaches--East York/Beaches--East York"," 93","Toronto",33,2,106,24,111,2,278,485
35005,"Beaches--East York/Beaches--East York"," 94","Toronto",29,0,91,32,70,1,223,361
35005,"Beaches--East York/Beaches--East York"," 95","Toronto",36,0,88,17,91,0,232,397
35005,"Beaches--East York/Beaches--East York"," 96","Toronto",39,0,93,37,106,1,276,439
35005,"Beaches--East York/Beaches--East York"," 97","Toronto",27,0,77,37,132,1,274,451
35005,"Beaches--East York/Beaches--East York"," 98","Toronto",31,0,80,38,76,0,225,334
35005,"Beaches--East York/Beaches--East York"," 99","Toronto",18,0,69,27,72,2,188,300
35005,"Beaches--East York/Beaches--East York"," 100","Toronto",20,0,103,42,82,0,247,442
35005,"Beaches--East York/Beaches--East York"," 101","Toronto",21,0,90,33,89,0,233,370
35005,"Beaches--East York/Beaches--East York"," 102","Toronto",20,0,84,15,92,1,212,406
35005,"Beaches--East York/Beaches--East York"," 103","Toronto",22,0,78,34,81,1,216,384
35005,"Beaches--East York/Beaches--East York"," 104","Toronto",33,4,128,7,111,1,284,455
35005,"Beaches--East York/Beaches--East York"," 105","Toronto",39,1,97,20,78,0,235,352
35005,"Beaches--East York/Beaches--East York"," 106","Toronto",40,1,86,29,88,0,244,417
35005,"Beaches--East York/Beaches--East York"," 107","Toronto",24,1,87,28,91,0,231,371
35005,"Beaches--East York/Beaches--East York"," 108","Toronto",25,0,92,32,98,0,247,345
35005,"Beaches--East York/Beaches--East York"," 109","Toronto",28,0,69,30,80,0,207,313
35005,"Beaches--East York/Beaches--East York"," 110","Toronto",45,1,73,23,80,0,222,408
35005,"Beaches--East York/Beaches--East York"," 111","Toronto",22,2,86,24,77,1,212,402
35005,"Beaches--East York/Beaches--East York"," 112","Toronto",34,0,67,29,98,2,230,347
35005,"Beaches--East York/Beaches--East York"," 113","Toronto",43,0,55,27,68,0,193,306
35005,"Beaches--East York/Beaches--East York"," 114","Toronto",52,1,61,28,98,0,240,349
35005,"Beaches--East York/Beaches--East York"," 115","Toronto",42,2,102,17,73,0,236,554
35005,"Beaches--East York/Beaches--East York"," 116","Toronto",37,1,50,17,64,1,170,305
35005,"Beaches--East York/Beaches--East York"," 117","Toronto",46,0,77,20,99,1,243,392
35005,"Beaches--East York/Beaches--East York"," 118","Toronto",52,0,70,21,79,0,222,376
35005,"Beaches--East York/Beaches--East York"," 119","Toronto",35,2,50,16,66,0,169,306
35005,"Beaches--East York/Beaches--East York"," 120","Toronto",68,0,75,21,124,0,288,444
