Electoral District Number/Numéro de circonscription,Electoral District Name/Nom de circonscription,Polling Station Number/Numéro du bureau de scrutin,Polling Station Name/Nom du bureau de scrutin,Aydin Cocelli,Andre Papadimitriou,Mike Sullivan,Alan Tonks,Rejected Ballots/Bulletins rejetés,Total Votes/Total des votes,Electors/Électeurs
35105,"York South--Weston/York-Sud--Weston"," 1","North York",30,9,42,53,2,136,315
35105,"York South--Weston/York-Sud--Weston"," 2","North York",46,16,61,75,1,199,371
35105,"York South--Weston/York-Sud--Weston"," 3","North York",46,8,57,104,0,215,365
35105,"York South--Weston/York-Sud--Weston"," 4","North York",50,25,79,108,0,262,458
35105,"York South--Weston/York-Sud--Weston"," 5","York",54,15,67,67,2,205,501
35105,"York South--Weston/York-Sud--Weston"," 6","North York",52,9,72,109,0,242,389
35105,"York South--Weston/York-Sud--Weston"," 7","North York",49,13,55,82,2,201,339
35105,"York South--Weston/York-Sud--Weston"," 8","North York",75,14,70,77,4,240,409
35105,"York South--Weston/York-Sud--Weston"," 9","York",11,6,23,24,0,64,228
35105,"York South--Weston/York-Sud--Weston"," 10","York",17,2,19,34,0,72,264
35105,"York South--Weston/York-Sud--Weston"," 11","York",21,2,28,45,1,97,347
35105,"York South--Weston/York-Sud--Weston"," 12","York",55,7,85,107,0,254,555
35105,"York South--Weston/York-Sud--Weston"," 13","York",31,4,84,83,2,204,427
35105,"York South--Weston/York-Sud--Weston"," 14","York",18,14,77,52,0,161,274
35105,"York South--Weston/York-Sud--Weston"," 15","York",29,9,76,74,0,188,327
35105,"York South--Weston/York-Sud--Weston"," 16","York",35,14,76,61,3,189,366
35105,"York South--Weston/York-Sud--Weston"," 17","York",24,4,65,94,0,187,404
35105,"York South--Weston/York-Sud--Weston"," 18","York",33,10,81,58,1,183,301
35105,"York South--Weston/York-Sud--Weston"," 19","York",39,12,96,49,1,197,412
35105,"York South--Weston/York-Sud--Weston"," 20","York",36,19,75,82,0,212,323
35105,"York South--Weston/York-Sud--Weston"," 21","York",37,8,69,62,0,176,304
35105,"York South--Weston/York-Sud--Weston"," 22","York",14,10,39,72,2,137,428
35105,"York South--Weston/York-Sud--Weston"," 23","York",53,17,109,83,1,263,439
35105,"York South--Weston/York-Sud--Weston"," 24","York",38,10,75,78,0,201,386
