Electoral District Number/Numéro de circonscription,Electoral District Name/Nom de circonscription,Polling Station Number/Numéro du bureau de scrutin,Polling Station Name/Nom du bureau de scrutin,Bill Cunningham,George Gidora,Ronald Leung,Doug Perry,Bill Siksay,Rejected Ballots/Bulletins rejetés,Total Votes/Total des votes,Electors/Électeurs
59002,"Burnaby--Douglas/Burnaby--Douglas"," 1","Burnaby",39,0,105,19,163,3,329,473
59002,"Burnaby--Douglas/Burnaby--Douglas"," 2","Burnaby",18,0,41,13,111,3,186,311
59002,"Burnaby--Douglas/Burnaby--Douglas"," 3A","Burnaby",10,0,36,3,43,0,92,123
59002,"Burnaby--Douglas/Burnaby--Douglas"," 3B","Mobile poll/Bureau itinérant",27,4,52,8,58,2,151,246
59002,"Burnaby--Douglas/Burnaby--Douglas"," 4","Burnaby",48,0,66,19,111,2,246,391
59002,"Burnaby--Douglas/Burnaby--Douglas"," 5","Burnaby",48,1,88,22,136,2,297,460
59002,"Burnaby--Douglas/Burnaby--Douglas"," 6","Burnaby",72,1,101,20,131,1,326,541
59002,"Burnaby--Douglas/Burnaby--Douglas"," 7","Burnaby",56,0,84,10,101,1,252,434
59002,"Burnaby--Douglas/Burnaby--Douglas"," 8","Burnaby",59,4,75,21,170,4,333,679
59002,"Burnaby--Douglas/Burnaby--Douglas"," 9","Burnaby",45,3,70,16,88,1,223,476
59002,"Burnaby--Douglas/Burnaby--Douglas"," 10","Burnaby",24,1,63,5,67,1,161,369
59002,"Burnaby--Douglas/Burnaby--Douglas"," 11","Burnaby",56,1,145,9,82,2,295,497
59002,"Burnaby--Douglas/Burnaby--Douglas"," 12","Burnaby",55,0,89,23,155,1,323,588
59002,"Burnaby--Douglas/Burnaby--Douglas"," 13","Burnaby",36,0,53,19,96,1,205,398
59002,"Burnaby--Douglas/Burnaby--Douglas"," 14","Burnaby",38,1,60,6,71,2,178,357
59002,"Burnaby--Douglas/Burnaby--Douglas"," 15","Burnaby",42,2,80,21,112,0,257,504
59002,"Burnaby--Douglas/Burnaby--Douglas"," 16","Burnaby",65,3,80,6,97,3,254,462
59002,"Burnaby--Douglas/Burnaby--Douglas"," 17","Burnaby",44,3,77,13,82,2,221,430
59002,"Burnaby--Douglas/Burnaby--Douglas"," 18","Burnaby",35,2,74,12,82,1,206,403
59002,"Burnaby--Douglas/Burnaby--Douglas"," 19","Burnaby",27,1,114,14,82,4,242,470
59002,"Burnaby--Douglas/Burnaby--Douglas"," 20","Burnaby",60,1,120,15,75,0,271,559
59002,"Burnaby--Douglas/Burnaby--Douglas"," 21","Burnaby",53,1,92,13,118,1,278,457
59002,"Burnaby--Douglas/Burnaby--Douglas"," 22","Burnaby",46,1,84,14,83,1,229,426
59002,"Burnaby--Douglas/Burnaby--Douglas"," 23","Burnaby",49,1,64,17,87,2,220,377
59002,"Burnaby--Douglas/Burnaby--Douglas"," 24","Burnaby",28,0,72,14,119,0,233,407
59002,"Burnaby--Douglas/Burnaby--Douglas"," 25","Burnaby",31,0,60,4,85,1,181,413
59002,"Burnaby--Douglas/Burnaby--Douglas"," 26","Burnaby",48,2,71,14,83,3,221,414
59002,"Burnaby--Douglas/Burnaby--Douglas"," 27","Burnaby",62,1,129,12,112,5,321,610
59002,"Burnaby--Douglas/Burnaby--Douglas"," 28","Burnaby",27,2,56,9,46,1,141,283
59002,"Burnaby--Douglas/Burnaby--Douglas"," 29","Burnaby",22,0,40,12,49,0,123,272
59002,"Burnaby--Douglas/Burnaby--Douglas"," 30","Burnaby",39,3,77,14,82,0,215,476
59002,"Burnaby--Douglas/Burnaby--Douglas"," 31","Burnaby",46,0,74,15,111,0,246,462
59002,"Burnaby--Douglas/Burnaby--Douglas"," 32","Burnaby",25,0,52,11,97,0,185,439
59002,"Burnaby--Douglas/Burnaby--Douglas"," 33","Burnaby",28,3,47,10,57,1,146,307
59002,"Burnaby--Douglas/Burnaby--Douglas"," 34","Burnaby",35,0,69,12,90,0,206,363
59002,"Burnaby--Douglas/Burnaby--Douglas"," 35","Burnaby",32,2,65,14,106,0,219,480
59002,"Burnaby--Douglas/Burnaby--Douglas"," 36","Burnaby",15,2,44,9,23,1,94,163
59002,"Burnaby--Douglas/Burnaby--Douglas"," 37A","Burnaby",27,0,79,16,94,0,216,413
59002,"Burnaby--Douglas/Burnaby--Douglas"," 37B","Burnaby",37,0,86,14,88,1,226,409
59002,"Burnaby--Douglas/Burnaby--Douglas"," 38","Burnaby",25,0,68,14,100,0,207,449
59002,"Burnaby--Douglas/Burnaby--Douglas"," 39","Burnaby",Void/Supprimé,,,,,,,
59002,"Burnaby--Douglas/Burnaby--Douglas"," 40","Burnaby",58,1,89,15,46,1,210,408
59002,"Burnaby--Douglas/Burnaby--Douglas"," 40-1","Burnaby",43,1,131,12,75,1,263,560
59002,"Burnaby--Douglas/Burnaby--Douglas"," 41","Burnaby",40,0,59,20,90,0,209,400
59002,"Burnaby--Douglas/Burnaby--Douglas"," 42","Burnaby",56,0,102,15,92,0,265,485
59002,"Burnaby--Douglas/Burnaby--Douglas"," 43","Burnaby",25,1,103,14,94,1,238,471
59002,"Burnaby--Douglas/Burnaby--Douglas"," 44","Burnaby",37,0,69,16,51,0,173,320
59002,"Burnaby--Douglas/Burnaby--Douglas"," 45","Burnaby",60,2,87,5,57,3,214,364
59002,"Burnaby--Douglas/Burnaby--Douglas"," 46","Burnaby",57,1,105,8,117,0,288,493
59002,"Burnaby--Douglas/Burnaby--Douglas"," 47","Burnaby",25,0,55,14,61,1,156,309
59002,"Burnaby--Douglas/Burnaby--Douglas"," 48","Burnaby",48,0,74,3,74,2,201,370
59002,"Burnaby--Douglas/Burnaby--Douglas"," 49A","Burnaby",49,1,82,14,82,2,230,431
59002,"Burnaby--Douglas/Burnaby--Douglas"," 49B","Burnaby",20,0,59,5,50,4,138,313
59002,"Burnaby--Douglas/Burnaby--Douglas"," 50","Burnaby",39,1,33,12,21,1,107,209
59002,"Burnaby--Douglas/Burnaby--Douglas"," 50-1","Burnaby",76,1,108,22,91,0,298,715
59002,"Burnaby--Douglas/Burnaby--Douglas"," 50-2","Burnaby",53,2,99,11,59,0,224,492
59002,"Burnaby--Douglas/Burnaby--Douglas"," 51","Burnaby",44,2,66,19,109,1,241,470
59002,"Burnaby--Douglas/Burnaby--Douglas"," 51-1","Burnaby",60,1,124,15,113,3,316,572
59002,"Burnaby--Douglas/Burnaby--Douglas"," 51-2","Burnaby",34,1,76,12,41,0,164,216
59002,"Burnaby--Douglas/Burnaby--Douglas"," 52","Burnaby",65,3,93,16,80,0,257,412
59002,"Burnaby--Douglas/Burnaby--Douglas"," 53","Burnaby",38,0,97,8,59,1,203,367
59002,"Burnaby--Douglas/Burnaby--Douglas"," 54","Burnaby",45,1,89,11,77,1,224,430
59002,"Burnaby--Douglas/Burnaby--Douglas"," 55","Burnaby",87,2,116,16,128,0,349,582
59002,"Burnaby--Douglas/Burnaby--Douglas"," 56","Burnaby",38,1,54,17,87,0,197,434
59002,"Burnaby--Douglas/Burnaby--Douglas"," 57A","Burnaby",42,1,78,13,95,4,233,475
59002,"Burnaby--Douglas/Burnaby--Douglas"," 57B","Burnaby",51,1,62,8,89,0,211,457
59002,"Burnaby--Douglas/Burnaby--Douglas"," 58","Burnaby",27,2,70,16,75,0,190,406
59002,"Burnaby--Douglas/Burnaby--Douglas"," 59","Burnaby",Void/Supprimé,,,,,,,
59002,"Burnaby--Douglas/Burnaby--Douglas"," 60","Burnaby",28,1,30,7,30,1,97,206
59002,"Burnaby--Douglas/Burnaby--Douglas"," 61","Burnaby",46,1,67,12,79,0,205,501
59002,"Burnaby--Douglas/Burnaby--Douglas"," 62","Burnaby",52,0,119,25,84,0,280,500
59002,"Burnaby--Douglas/Burnaby--Douglas"," 63","Burnaby",63,2,108,11,109,2,295,572
59002,"Burnaby--Douglas/Burnaby--Douglas"," 64","Burnaby",Void/Supprimé,,,,,,,
59002,"Burnaby--Douglas/Burnaby--Douglas"," 65","Burnaby",62,1,103,13,97,0,276,494
59002,"Burnaby--Douglas/Burnaby--Douglas"," 66","Burnaby",46,0,88,11,93,0,238,432
59002,"Burnaby--Douglas/Burnaby--Douglas"," 67","Burnaby",46,0,82,7,56,1,192,345
59002,"Burnaby--Douglas/Burnaby--Douglas"," 68","Burnaby",44,4,72,5,66,0,191,385
59002,"Burnaby--Douglas/Burnaby--Douglas"," 69","Burnaby",24,0,89,4,79,0,196,377
59002,"Burnaby--Douglas/Burnaby--Douglas"," 70","Burnaby",31,0,73,10,73,0,187,370
59002,"Burnaby--Douglas/Burnaby--Douglas"," 71","Burnaby",62,3,96,12,71,2,246,460
59002,"Burnaby--Douglas/Burnaby--Douglas"," 72","Burnaby",36,1,76,10,71,0,194,314
59002,"Burnaby--Douglas/Burnaby--Douglas"," 73","Burnaby",38,1,61,9,88,2,199,403
59002,"Burnaby--Douglas/Burnaby--Douglas"," 74","Burnaby",60,0,131,8,89,2,290,549
59002,"Burnaby--Douglas/Burnaby--Douglas"," 75","Burnaby",56,2,90,12,83,0,243,480
59002,"Burnaby--Douglas/Burnaby--Douglas"," 76","Burnaby",47,0,104,14,104,0,269,498
59002,"Burnaby--Douglas/Burnaby--Douglas"," 77","Burnaby",47,1,125,15,77,1,266,495
59002,"Burnaby--Douglas/Burnaby--Douglas"," 78","Burnaby",49,2,112,6,123,1,293,508
59002,"Burnaby--Douglas/Burnaby--Douglas"," 79","Burnaby",40,0,86,8,59,0,193,368
59002,"Burnaby--Douglas/Burnaby--Douglas"," 80","Burnaby",55,2,68,48,130,0,303,496
59002,"Burnaby--Douglas/Burnaby--Douglas"," 80-1A","Burnaby",62,1,91,32,126,1,313,619
59002,"Burnaby--Douglas/Burnaby--Douglas"," 80-1B","Burnaby",57,1,58,21,106,0,243,459
59002,"Burnaby--Douglas/Burnaby--Douglas"," 81","Burnaby",37,0,113,23,65,2,240,478
59002,"Burnaby--Douglas/Burnaby--Douglas"," 82","Burnaby",60,1,117,16,116,0,310,530
59002,"Burnaby--Douglas/Burnaby--Douglas"," 83","Burnaby",Void/Supprimé,,,,,,,
59002,"Burnaby--Douglas/Burnaby--Douglas"," 84","Burnaby",44,0,102,4,69,0,219,446
59002,"Burnaby--Douglas/Burnaby--Douglas"," 85","Burnaby",30,1,41,10,55,0,137,345
59002,"Burnaby--Douglas/Burnaby--Douglas"," 86","Burnaby",26,1,64,13,69,2,175,361
59002,"Burnaby--Douglas/Burnaby--Douglas"," 87","Burnaby",66,1,132,6,60,0,265,534
59002,"Burnaby--Douglas/Burnaby--Douglas"," 88","Burnaby",52,0,101,31,94,0,278,442
59002,"Burnaby--Douglas/Burnaby--Douglas"," 89A","Burnaby",27,1,52,10,81,2,173,298
59002,"Burnaby--Douglas/Burnaby--Douglas"," 89B","Burnaby",19,1,33,4,40,1,98,162
59002,"Burnaby--Douglas/Burnaby--Douglas"," 90","Burnaby",37,1,81,12,89,2,222,395
59002,"Burnaby--Douglas/Burnaby--Douglas"," 91","Burnaby",38,2,104,14,99,0,257,432
59002,"Burnaby--Douglas/Burnaby--Douglas"," 92","Burnaby",45,0,120,15,100,2,282,562
59002,"Burnaby--Douglas/Burnaby--Douglas"," 93A","Burnaby",52,1,73,8,52,0,186,358
59002,"Burnaby--Douglas/Burnaby--Douglas"," 93B","Burnaby",54,0,99,9,66,0,228,373
