Electoral District Number/Numéro de circonscription,Electoral District Name/Nom de circonscription,Polling Station Number/Numéro du bureau de scrutin,Polling Station Name/Nom du bureau de scrutin,John Cannis,Natalie Hundt,Roxanne James,Ella Ng,Rejected Ballots/Bulletins rejetés,Total Votes/Total des votes,Electors/Électeurs
35081,"Scarborough Centre/Scarborough-Centre"," 1","Scarborough",133,42,75,17,2,269,472
35081,"Scarborough Centre/Scarborough-Centre"," 2","Scarborough",57,32,44,5,0,138,334
35081,"Scarborough Centre/Scarborough-Centre"," 3","Scarborough",123,35,66,17,0,241,432
35081,"Scarborough Centre/Scarborough-Centre"," 4","Scarborough",125,35,60,13,1,234,473
35081,"Scarborough Centre/Scarborough-Centre"," 5","Scarborough",99,31,76,21,0,227,432
35081,"Scarborough Centre/Scarborough-Centre"," 6","Scarborough",97,27,69,13,1,207,388
35081,"Scarborough Centre/Scarborough-Centre"," 7","Scarborough",98,28,63,13,1,203,393
35081,"Scarborough Centre/Scarborough-Centre"," 8","Scarborough",133,46,75,16,0,270,494
35081,"Scarborough Centre/Scarborough-Centre"," 9","Scarborough",105,27,68,8,0,208,430
35081,"Scarborough Centre/Scarborough-Centre"," 10A","Scarborough",60,20,51,6,0,137,320
35081,"Scarborough Centre/Scarborough-Centre"," 10B","Scarborough",96,35,45,6,1,183,440
35081,"Scarborough Centre/Scarborough-Centre"," 10-1","Scarborough",93,37,20,3,3,156,361
35081,"Scarborough Centre/Scarborough-Centre"," 11","Scarborough",Void/Supprimé,,,,,,
35081,"Scarborough Centre/Scarborough-Centre"," 12","Scarborough",139,33,64,7,2,245,611
35081,"Scarborough Centre/Scarborough-Centre"," 13","Scarborough",100,55,50,9,0,214,540
35081,"Scarborough Centre/Scarborough-Centre"," 14","Scarborough",52,20,18,2,0,92,294
35081,"Scarborough Centre/Scarborough-Centre"," 15","Scarborough",59,16,17,6,0,98,264
35081,"Scarborough Centre/Scarborough-Centre"," 16","Scarborough",52,13,7,1,1,74,188
35081,"Scarborough Centre/Scarborough-Centre"," 17","Scarborough",84,28,22,11,1,146,431
35081,"Scarborough Centre/Scarborough-Centre"," 18","Scarborough",108,46,42,7,2,205,397
35081,"Scarborough Centre/Scarborough-Centre"," 19A","Scarborough",78,14,30,11,0,133,622
35081,"Scarborough Centre/Scarborough-Centre"," 19B","Scarborough",185,48,86,12,1,332,652
35081,"Scarborough Centre/Scarborough-Centre"," 20","Scarborough",Void/Supprimé,,,,,,
