Electoral District Number/Numéro de circonscription,Electoral District Name/Nom de circonscription,Polling Station Number/Numéro du bureau de scrutin,Polling Station Name/Nom du bureau de scrutin,Nina Erfani,James Ford,Brian LaBelle,Rick Szostak,Tim Uppal,Rejected Ballots/Bulletins rejetés,Total Votes/Total des votes,Electors/Électeurs
48016,"Edmonton--Sherwood Park/Edmonton--Sherwood Park"," 1","Fort Saskatchewan",22,86,15,19,50,1,193,400
48016,"Edmonton--Sherwood Park/Edmonton--Sherwood Park"," 2","Fort Saskatchewan",8,48,10,15,32,0,113,318
48016,"Edmonton--Sherwood Park/Edmonton--Sherwood Park"," 3","Fort Saskatchewan",10,94,7,24,48,0,183,385
48016,"Edmonton--Sherwood Park/Edmonton--Sherwood Park"," 4","Fort Saskatchewan",13,50,30,12,27,0,132,376
48016,"Edmonton--Sherwood Park/Edmonton--Sherwood Park"," 5","Fort Saskatchewan",11,52,17,13,35,0,128,310
48016,"Edmonton--Sherwood Park/Edmonton--Sherwood Park"," 6","Fort Saskatchewan",16,101,15,21,68,0,221,395
48016,"Edmonton--Sherwood Park/Edmonton--Sherwood Park"," 7","Fort Saskatchewan",13,80,21,10,32,0,156,398
48016,"Edmonton--Sherwood Park/Edmonton--Sherwood Park"," 8","Fort Saskatchewan",23,55,23,33,41,0,175,353
48016,"Edmonton--Sherwood Park/Edmonton--Sherwood Park"," 9","Fort Saskatchewan",15,86,13,18,28,0,160,352
48016,"Edmonton--Sherwood Park/Edmonton--Sherwood Park"," 10","Fort Saskatchewan",10,31,26,10,29,0,106,344
48016,"Edmonton--Sherwood Park/Edmonton--Sherwood Park"," 11","Fort Saskatchewan",22,63,23,22,56,1,187,335
48016,"Edmonton--Sherwood Park/Edmonton--Sherwood Park"," 12","Fort Saskatchewan",16,77,25,14,57,2,191,375
48016,"Edmonton--Sherwood Park/Edmonton--Sherwood Park"," 13","Fort Saskatchewan",13,86,21,20,44,2,186,346
48016,"Edmonton--Sherwood Park/Edmonton--Sherwood Park"," 14","Fort Saskatchewan",9,127,20,19,57,0,232,444
