Electoral District Number/Numéro de circonscription,Electoral District Name/Nom de circonscription,Polling Station Number/Numéro du bureau de scrutin,Polling Station Name/Nom du bureau de scrutin,David Anderson,Bill Clary,Duane Filson,Scott Wilson,Rejected Ballots/Bulletins rejetés,Total Votes/Total des votes,Electors/Électeurs
47004,"Cypress Hills--Grasslands/Cypress Hills--Grasslands"," 1","Eatonia",123,9,32,29,1,194,327
47004,"Cypress Hills--Grasslands/Cypress Hills--Grasslands"," 2","Eatonia",122,23,30,37,0,212,369
47004,"Cypress Hills--Grasslands/Cypress Hills--Grasslands"," 3","Glidden",77,14,4,16,0,111,232
47004,"Cypress Hills--Grasslands/Cypress Hills--Grasslands"," 4","Eston",108,8,23,20,0,159,226
47004,"Cypress Hills--Grasslands/Cypress Hills--Grasslands"," 5","Eston",197,20,67,33,2,319,527
47004,"Cypress Hills--Grasslands/Cypress Hills--Grasslands"," 6","Eston",112,9,37,23,1,182,338
47004,"Cypress Hills--Grasslands/Cypress Hills--Grasslands"," 7","Mendham",55,4,1,0,0,60,161
47004,"Cypress Hills--Grasslands/Cypress Hills--Grasslands"," 8","Burstall",140,17,10,27,0,194,295
47004,"Cypress Hills--Grasslands/Cypress Hills--Grasslands"," 9","Leader",94,14,22,7,1,138,272
47004,"Cypress Hills--Grasslands/Cypress Hills--Grasslands"," 10","Leader",142,57,29,35,1,264,492
47004,"Cypress Hills--Grasslands/Cypress Hills--Grasslands"," 11","Leader",61,16,6,11,0,94,168
47004,"Cypress Hills--Grasslands/Cypress Hills--Grasslands"," 12","Sceptre",84,26,11,21,0,142,227
47004,"Cypress Hills--Grasslands/Cypress Hills--Grasslands"," 13","Lancer",65,4,22,6,0,97,166
47004,"Cypress Hills--Grasslands/Cypress Hills--Grasslands"," 14","Abbey",87,16,16,24,1,144,209
47004,"Cypress Hills--Grasslands/Cypress Hills--Grasslands"," 15","Richmound",86,14,13,24,0,137,205
47004,"Cypress Hills--Grasslands/Cypress Hills--Grasslands"," 16","Fox Valley",129,29,21,31,2,212,411
47004,"Cypress Hills--Grasslands/Cypress Hills--Grasslands"," 17","Elrose",132,14,27,28,1,202,368
47004,"Cypress Hills--Grasslands/Cypress Hills--Grasslands"," 18","Elrose",166,19,34,57,1,277,410
47004,"Cypress Hills--Grasslands/Cypress Hills--Grasslands"," 19","Wiseton",Void/Supprimé,,,,,,
47004,"Cypress Hills--Grasslands/Cypress Hills--Grasslands"," 20","Milden",131,10,13,22,0,176,241
47004,"Cypress Hills--Grasslands/Cypress Hills--Grasslands"," 21","Conquest",106,13,16,40,0,175,297
47004,"Cypress Hills--Grasslands/Cypress Hills--Grasslands"," 22","Macrorie",79,5,21,28,0,133,191
47004,"Cypress Hills--Grasslands/Cypress Hills--Grasslands"," 23","Dinsmore",213,13,21,58,1,306,492
47004,"Cypress Hills--Grasslands/Cypress Hills--Grasslands"," 24","Birsay",175,8,22,15,0,220,340
47004,"Cypress Hills--Grasslands/Cypress Hills--Grasslands"," 25","Lacadena",113,12,79,79,0,283,409
47004,"Cypress Hills--Grasslands/Cypress Hills--Grasslands"," 26","Kyle",101,15,31,78,1,226,348
47004,"Cypress Hills--Grasslands/Cypress Hills--Grasslands"," 27","Beechy",155,9,29,29,0,222,370
47004,"Cypress Hills--Grasslands/Cypress Hills--Grasslands"," 28","Beechy",64,6,16,17,0,103,151
