Electoral District Number/Numéro de circonscription,Electoral District Name/Nom de circonscription,Polling Station Number/Numéro du bureau de scrutin,Polling Station Name/Nom du bureau de scrutin,Jean-Serge Brisson,Hijal De Sarkar,Qais Ghanem,Al Gullon,David McGuinty,Elie Salibi,Rejected Ballots/Bulletins rejetés,Total Votes/Total des votes,Electors/Électeurs
35064,"Ottawa South/Ottawa-Sud"," 1","Ottawa",3,27,24,4,150,105,4,317,486
35064,"Ottawa South/Ottawa-Sud"," 2","Ottawa",2,23,6,4,71,66,3,175,329
35064,"Ottawa South/Ottawa-Sud"," 3","Ottawa",1,46,21,1,90,44,1,204,290
35064,"Ottawa South/Ottawa-Sud"," 4","Ottawa",1,24,15,6,153,102,1,302,452
35064,"Ottawa South/Ottawa-Sud"," 5","Ottawa",2,28,21,1,93,56,1,202,281
35064,"Ottawa South/Ottawa-Sud"," 6","Ottawa",0,22,24,2,151,61,0,260,499
35064,"Ottawa South/Ottawa-Sud"," 7","Ottawa",2,25,24,0,98,34,1,184,532
35064,"Ottawa South/Ottawa-Sud"," 8","Ottawa",0,12,25,1,127,79,3,247,372
35064,"Ottawa South/Ottawa-Sud"," 9","Ottawa",0,18,24,3,150,65,6,266,427
35064,"Ottawa South/Ottawa-Sud"," 10","Ottawa",1,21,21,2,152,46,1,244,450
35064,"Ottawa South/Ottawa-Sud"," 11","Ottawa",1,19,32,5,174,78,1,310,440
35064,"Ottawa South/Ottawa-Sud"," 12","Ottawa",2,14,20,4,80,45,0,165,299
35064,"Ottawa South/Ottawa-Sud"," 13","Ottawa",0,26,34,1,143,81,0,285,431
35064,"Ottawa South/Ottawa-Sud"," 14","Ottawa",1,10,9,2,57,62,0,141,312
35064,"Ottawa South/Ottawa-Sud"," 15","Ottawa",2,23,13,6,145,45,0,234,357
35064,"Ottawa South/Ottawa-Sud"," 16","Ottawa",0,12,23,2,149,86,0,272,423
35064,"Ottawa South/Ottawa-Sud"," 17","Ottawa",1,30,10,2,108,28,2,181,426
35064,"Ottawa South/Ottawa-Sud"," 18","Ottawa",2,7,7,2,84,32,5,139,284
35064,"Ottawa South/Ottawa-Sud"," 19","Ottawa",1,14,19,0,110,69,0,213,371
35064,"Ottawa South/Ottawa-Sud"," 20","Ottawa",0,9,27,1,119,72,1,229,384
35064,"Ottawa South/Ottawa-Sud"," 21","Ottawa",0,14,31,0,121,65,6,237,372
35064,"Ottawa South/Ottawa-Sud"," 22","Ottawa",1,16,31,1,139,45,1,234,423
35064,"Ottawa South/Ottawa-Sud"," 23","Ottawa",1,24,19,1,151,66,2,264,414
35064,"Ottawa South/Ottawa-Sud"," 24","Ottawa",0,13,45,0,130,56,1,245,376
35064,"Ottawa South/Ottawa-Sud"," 25","Ottawa",0,8,21,5,114,70,1,219,336
35064,"Ottawa South/Ottawa-Sud"," 26","Ottawa",3,10,24,1,118,63,0,219,437
35064,"Ottawa South/Ottawa-Sud"," 27","Ottawa",1,25,21,2,111,66,2,228,388
35064,"Ottawa South/Ottawa-Sud"," 28","Ottawa",0,9,23,2,147,50,2,233,370
