Electoral District Number/Numéro de circonscription,Electoral District Name/Nom de circonscription,Polling Station Number/Numéro du bureau de scrutin,Polling Station Name/Nom du bureau de scrutin,Justin Chatwin,Andrew James,Joe Oliver,Joseph Volpe,Rejected Ballots/Bulletins rejetés,Total Votes/Total des votes,Electors/Électeurs
35019,"Eglinton--Lawrence/Eglinton--Lawrence"," 1","North York",7,17,112,89,0,225,376
35019,"Eglinton--Lawrence/Eglinton--Lawrence"," 2","North York",25,25,60,68,0,178,398
35019,"Eglinton--Lawrence/Eglinton--Lawrence"," 3","North York",11,10,57,51,1,130,269
35019,"Eglinton--Lawrence/Eglinton--Lawrence"," 4","North York",12,12,69,63,2,158,374
35019,"Eglinton--Lawrence/Eglinton--Lawrence"," 5","North York",20,25,54,56,1,156,385
35019,"Eglinton--Lawrence/Eglinton--Lawrence"," 6","North York",17,21,84,64,2,188,361
35019,"Eglinton--Lawrence/Eglinton--Lawrence"," 7","North York",6,11,124,77,0,218,312
35019,"Eglinton--Lawrence/Eglinton--Lawrence"," 8A","North York",Merged with No. 11/Fusionné avec le nº 11,,,,,,188
35019,"Eglinton--Lawrence/Eglinton--Lawrence"," 8B","North York",20,28,87,114,3,252,361
35019,"Eglinton--Lawrence/Eglinton--Lawrence"," 9A","North York",3,4,78,27,0,112,209
35019,"Eglinton--Lawrence/Eglinton--Lawrence"," 9B","North York",1,2,91,48,0,142,197
35019,"Eglinton--Lawrence/Eglinton--Lawrence"," 10","North York",7,34,142,67,0,250,420
35019,"Eglinton--Lawrence/Eglinton--Lawrence"," 11","North York",7,21,165,167,1,361,356
35019,"Eglinton--Lawrence/Eglinton--Lawrence"," 12","North York",4,20,92,72,0,188,351
35019,"Eglinton--Lawrence/Eglinton--Lawrence"," 13","North York",9,16,118,63,0,206,417
35019,"Eglinton--Lawrence/Eglinton--Lawrence"," 14","North York",7,22,101,87,0,217,404
35019,"Eglinton--Lawrence/Eglinton--Lawrence"," 15","North York",19,13,83,94,0,209,477
35019,"Eglinton--Lawrence/Eglinton--Lawrence"," 16","North York",6,14,60,85,1,166,352
35019,"Eglinton--Lawrence/Eglinton--Lawrence"," 17","North York",12,9,115,82,2,220,449
35019,"Eglinton--Lawrence/Eglinton--Lawrence"," 18","North York",5,5,60,47,0,117,331
35019,"Eglinton--Lawrence/Eglinton--Lawrence"," 19","North York",9,12,67,49,0,137,395
35019,"Eglinton--Lawrence/Eglinton--Lawrence"," 20","North York",7,17,103,66,0,193,399
35019,"Eglinton--Lawrence/Eglinton--Lawrence"," 21","North York",19,11,139,88,1,258,458
35019,"Eglinton--Lawrence/Eglinton--Lawrence"," 22","North York",12,13,95,53,0,173,309
35019,"Eglinton--Lawrence/Eglinton--Lawrence"," 23","North York",6,5,76,53,1,141,289
35019,"Eglinton--Lawrence/Eglinton--Lawrence"," 24","North York",9,24,87,84,0,204,393
35019,"Eglinton--Lawrence/Eglinton--Lawrence"," 25","Toronto",15,37,91,100,0,243,415
35019,"Eglinton--Lawrence/Eglinton--Lawrence"," 26","Toronto",11,20,87,110,0,228,415
35019,"Eglinton--Lawrence/Eglinton--Lawrence"," 27","Toronto",10,39,97,135,3,284,433
35019,"Eglinton--Lawrence/Eglinton--Lawrence"," 28","Toronto",10,39,112,124,0,285,441
35019,"Eglinton--Lawrence/Eglinton--Lawrence"," 29","Toronto",4,33,101,111,2,251,389
35019,"Eglinton--Lawrence/Eglinton--Lawrence"," 30","North York",15,13,83,66,0,177,424
35019,"Eglinton--Lawrence/Eglinton--Lawrence"," 31","North York",9,13,80,62,2,166,360
35019,"Eglinton--Lawrence/Eglinton--Lawrence"," 32","Toronto",6,29,104,116,1,256,372
35019,"Eglinton--Lawrence/Eglinton--Lawrence"," 33","Toronto",14,31,96,111,1,253,361
35019,"Eglinton--Lawrence/Eglinton--Lawrence"," 34","Toronto",15,50,79,115,2,261,463
35019,"Eglinton--Lawrence/Eglinton--Lawrence"," 35","Toronto",17,43,79,109,0,248,438
35019,"Eglinton--Lawrence/Eglinton--Lawrence"," 36","Toronto",17,29,82,88,1,217,344
35019,"Eglinton--Lawrence/Eglinton--Lawrence"," 37","Toronto",12,42,100,137,0,291,432
35019,"Eglinton--Lawrence/Eglinton--Lawrence"," 38","Toronto",15,42,99,132,2,290,424
35019,"Eglinton--Lawrence/Eglinton--Lawrence"," 39","North York",14,21,82,95,0,212,469
35019,"Eglinton--Lawrence/Eglinton--Lawrence"," 40","North York",2,8,73,51,1,135,289
35019,"Eglinton--Lawrence/Eglinton--Lawrence"," 41","North York",8,8,107,73,0,196,384
35019,"Eglinton--Lawrence/Eglinton--Lawrence"," 42","North York",14,23,114,79,1,231,491
35019,"Eglinton--Lawrence/Eglinton--Lawrence"," 43","North York",18,11,86,64,0,179,482
35019,"Eglinton--Lawrence/Eglinton--Lawrence"," 44","Toronto",12,32,105,109,1,259,394
35019,"Eglinton--Lawrence/Eglinton--Lawrence"," 45","Toronto",28,33,87,130,1,279,466
35019,"Eglinton--Lawrence/Eglinton--Lawrence"," 46","Toronto",18,38,55,89,2,202,365
35019,"Eglinton--Lawrence/Eglinton--Lawrence"," 47","North York",21,18,41,160,0,240,438
35019,"Eglinton--Lawrence/Eglinton--Lawrence"," 48","North York",17,7,40,123,3,190,415
35019,"Eglinton--Lawrence/Eglinton--Lawrence"," 49","North York",12,4,29,70,2,117,235
35019,"Eglinton--Lawrence/Eglinton--Lawrence"," 50","North York",24,12,78,68,1,183,377
35019,"Eglinton--Lawrence/Eglinton--Lawrence"," 51","North York",24,13,49,122,4,212,475
