Electoral District Number/Numéro de circonscription,Electoral District Name/Nom de circonscription,Polling Station Number/Numéro du bureau de scrutin,Polling Station Name/Nom du bureau de scrutin,Stella Ambler,Frank Chilelli,Gurbax S. Malhi,Mark Pajot,Jash Puniya,Rejected Ballots/Bulletins rejetés,Total Votes/Total des votes,Electors/Électeurs
35006,"Bramalea--Gore--Malton/Bramalea--Gore--Malton"," 56","Brampton",83,0,33,13,18,0,147,315
35006,"Bramalea--Gore--Malton/Bramalea--Gore--Malton"," 57","Brampton",85,0,30,9,19,0,143,321
35006,"Bramalea--Gore--Malton/Bramalea--Gore--Malton"," 58","Brampton",122,0,36,7,19,0,184,391
35006,"Bramalea--Gore--Malton/Bramalea--Gore--Malton"," 59","Brampton",69,1,34,7,20,0,131,267
35006,"Bramalea--Gore--Malton/Bramalea--Gore--Malton"," 60","Brampton",86,1,34,18,18,0,157,316
35006,"Bramalea--Gore--Malton/Bramalea--Gore--Malton"," 61","Brampton",143,1,47,14,21,1,227,378
35006,"Bramalea--Gore--Malton/Bramalea--Gore--Malton"," 62","Brampton",92,1,51,25,23,0,192,370
35006,"Bramalea--Gore--Malton/Bramalea--Gore--Malton"," 63","Brampton",80,0,39,11,29,1,160,346
35006,"Bramalea--Gore--Malton/Bramalea--Gore--Malton"," 64","Brampton",51,0,39,14,30,1,135,397
35006,"Bramalea--Gore--Malton/Bramalea--Gore--Malton"," 65","Brampton",89,2,36,20,23,2,172,357
35006,"Bramalea--Gore--Malton/Bramalea--Gore--Malton"," 66","Brampton",73,4,19,8,29,0,133,291
35006,"Bramalea--Gore--Malton/Bramalea--Gore--Malton"," 67","Brampton",103,1,39,18,25,1,187,391
35006,"Bramalea--Gore--Malton/Bramalea--Gore--Malton"," 68","Brampton",118,1,44,12,19,1,195,337
35006,"Bramalea--Gore--Malton/Bramalea--Gore--Malton"," 69","Brampton",79,0,35,15,15,1,145,316
35006,"Bramalea--Gore--Malton/Bramalea--Gore--Malton"," 70","Brampton",114,1,51,21,27,1,215,394
