Electoral District Number/Numéro de circonscription,Electoral District Name/Nom de circonscription,Polling Station Number/Numéro du bureau de scrutin,Polling Station Name/Nom du bureau de scrutin,Stella Ambler,Frank Chilelli,Gurbax S. Malhi,Mark Pajot,Jash Puniya,Rejected Ballots/Bulletins rejetés,Total Votes/Total des votes,Electors/Électeurs
35006,"Bramalea--Gore--Malton/Bramalea--Gore--Malton"," 11-1","Brampton",38,0,60,6,7,2,113,276
35006,"Bramalea--Gore--Malton/Bramalea--Gore--Malton"," 11-2","Brampton",34,0,114,7,14,1,170,535
35006,"Bramalea--Gore--Malton/Bramalea--Gore--Malton"," 11-3","Brampton",20,1,52,1,23,0,97,252
35006,"Bramalea--Gore--Malton/Bramalea--Gore--Malton"," 11-4","Brampton",39,1,98,4,10,0,152,392
35006,"Bramalea--Gore--Malton/Bramalea--Gore--Malton"," 12A","Brampton",102,2,130,6,16,1,257,505
35006,"Bramalea--Gore--Malton/Bramalea--Gore--Malton"," 12B","Brampton",136,1,75,13,28,0,253,530
35006,"Bramalea--Gore--Malton/Bramalea--Gore--Malton"," 12C","Brampton",160,2,109,24,33,1,329,594
35006,"Bramalea--Gore--Malton/Bramalea--Gore--Malton"," 12-1A","Brampton",89,2,122,12,31,3,259,532
35006,"Bramalea--Gore--Malton/Bramalea--Gore--Malton"," 12-1B","Brampton",103,1,118,4,38,2,266,529
35006,"Bramalea--Gore--Malton/Bramalea--Gore--Malton"," 12-2A","Brampton",41,0,148,4,24,1,218,457
35006,"Bramalea--Gore--Malton/Bramalea--Gore--Malton"," 12-2B","Brampton",29,1,113,6,15,4,168,412
35006,"Bramalea--Gore--Malton/Bramalea--Gore--Malton"," 12-3A","Brampton",49,2,57,3,10,1,122,343
35006,"Bramalea--Gore--Malton/Bramalea--Gore--Malton"," 12-3B","Brampton",71,0,152,8,46,6,283,549
35006,"Bramalea--Gore--Malton/Bramalea--Gore--Malton"," 12-3C","Brampton",46,4,105,4,25,1,185,406
35006,"Bramalea--Gore--Malton/Bramalea--Gore--Malton"," 12-3D","Brampton",73,2,78,7,33,2,195,423
35006,"Bramalea--Gore--Malton/Bramalea--Gore--Malton"," 12-4A","Brampton",43,0,134,5,17,0,199,482
35006,"Bramalea--Gore--Malton/Bramalea--Gore--Malton"," 12-4B","Brampton",45,0,79,0,15,2,141,395
35006,"Bramalea--Gore--Malton/Bramalea--Gore--Malton"," 12-4C","Brampton",57,4,98,7,17,1,184,440
35006,"Bramalea--Gore--Malton/Bramalea--Gore--Malton"," 12-5","Brampton",59,1,112,17,29,2,220,548
35006,"Bramalea--Gore--Malton/Bramalea--Gore--Malton"," 12-6A","Brampton",51,4,104,5,16,1,181,398
35006,"Bramalea--Gore--Malton/Bramalea--Gore--Malton"," 12-6B","Brampton",45,1,117,2,14,3,182,360
35006,"Bramalea--Gore--Malton/Bramalea--Gore--Malton"," 12-6C","Brampton",45,2,175,3,14,1,240,492
35006,"Bramalea--Gore--Malton/Bramalea--Gore--Malton"," 12-7A","Brampton",52,0,72,4,26,0,154,315
35006,"Bramalea--Gore--Malton/Bramalea--Gore--Malton"," 12-7B","Brampton",72,2,115,2,22,0,213,468
35006,"Bramalea--Gore--Malton/Bramalea--Gore--Malton"," 12-7C","Brampton",107,1,148,10,26,5,297,525
35006,"Bramalea--Gore--Malton/Bramalea--Gore--Malton"," 12-7D","Brampton",68,0,69,4,12,2,155,305
35006,"Bramalea--Gore--Malton/Bramalea--Gore--Malton"," 13","Brampton",72,0,46,9,14,0,141,342
35006,"Bramalea--Gore--Malton/Bramalea--Gore--Malton"," 13-1","Brampton",52,0,76,7,11,0,146,366
35006,"Bramalea--Gore--Malton/Bramalea--Gore--Malton"," 14","Brampton",72,2,78,10,15,0,177,479
35006,"Bramalea--Gore--Malton/Bramalea--Gore--Malton"," 15A","Brampton",29,1,47,1,6,0,84,272
35006,"Bramalea--Gore--Malton/Bramalea--Gore--Malton"," 15B","Brampton",36,0,78,3,10,3,130,377
35006,"Bramalea--Gore--Malton/Bramalea--Gore--Malton"," 16","Brampton",106,1,147,13,26,3,296,646
35006,"Bramalea--Gore--Malton/Bramalea--Gore--Malton"," 17","Brampton",54,0,134,4,21,4,217,488
35006,"Bramalea--Gore--Malton/Bramalea--Gore--Malton"," 17-1","Brampton",49,0,106,7,37,1,200,496
35006,"Bramalea--Gore--Malton/Bramalea--Gore--Malton"," 18","Brampton",87,2,110,9,28,0,236,510
