Electoral District Number/Numéro de circonscription,Electoral District Name/Nom de circonscription,Polling Station Number/Numéro du bureau de scrutin,Polling Station Name/Nom du bureau de scrutin,Helen Kormendy,Barbara Lebeau,Harold J. Ludwig,Dorothy-Jean O'Donnell,Chuck Strahl,Myra Sweeney,Rejected Ballots/Bulletins rejetés,Total Votes/Total des votes,Electors/Électeurs
59005,"Chilliwack--Fraser Canyon/Chilliwack--Fraser Canyon"," 1","Squamish",Void/Supprimé,,,,,,,,
59005,"Chilliwack--Fraser Canyon/Chilliwack--Fraser Canyon"," 2","Pemberton Meadows",17,29,0,1,57,15,2,121,185
59005,"Chilliwack--Fraser Canyon/Chilliwack--Fraser Canyon"," 3","Whistler",Void/Supprimé,,,,,,,,
59005,"Chilliwack--Fraser Canyon/Chilliwack--Fraser Canyon"," 4","Whistler",Void/Supprimé,,,,,,,,
59005,"Chilliwack--Fraser Canyon/Chilliwack--Fraser Canyon"," 5","Pemberton",19,27,1,0,45,34,0,126,247
59005,"Chilliwack--Fraser Canyon/Chilliwack--Fraser Canyon"," 6","Mount Currie 6",110,44,0,2,57,67,1,281,693
59005,"Chilliwack--Fraser Canyon/Chilliwack--Fraser Canyon"," 7A","Pemberton",33,62,0,0,88,50,0,233,471
59005,"Chilliwack--Fraser Canyon/Chilliwack--Fraser Canyon"," 7B","Pemberton",48,56,0,0,80,32,0,216,441
59005,"Chilliwack--Fraser Canyon/Chilliwack--Fraser Canyon"," 7-1","Pemberton",86,103,3,0,117,83,0,392,722
59005,"Chilliwack--Fraser Canyon/Chilliwack--Fraser Canyon"," 7-2","Pemberton",21,35,0,0,42,34,0,132,251
59005,"Chilliwack--Fraser Canyon/Chilliwack--Fraser Canyon"," 8","D'Arcy",55,44,0,0,42,26,1,168,345
59005,"Chilliwack--Fraser Canyon/Chilliwack--Fraser Canyon"," 9","Gold Bridge",14,18,0,1,52,8,1,94,144
59005,"Chilliwack--Fraser Canyon/Chilliwack--Fraser Canyon"," 10","Lillooet",56,22,0,0,56,12,0,146,309
59005,"Chilliwack--Fraser Canyon/Chilliwack--Fraser Canyon"," 11","Shalalth",41,20,0,0,23,4,1,89,211
59005,"Chilliwack--Fraser Canyon/Chilliwack--Fraser Canyon"," 12","Lillooet",70,26,3,1,35,16,1,152,358
59005,"Chilliwack--Fraser Canyon/Chilliwack--Fraser Canyon"," 13","Lillooet",34,23,0,0,69,9,0,135,257
59005,"Chilliwack--Fraser Canyon/Chilliwack--Fraser Canyon"," 14","Lillooet",49,13,2,1,96,8,0,169,364
59005,"Chilliwack--Fraser Canyon/Chilliwack--Fraser Canyon"," 15","Lillooet",51,12,2,1,57,7,0,130,462
59005,"Chilliwack--Fraser Canyon/Chilliwack--Fraser Canyon"," 16","Lillooet",55,27,4,0,130,21,0,237,493
59005,"Chilliwack--Fraser Canyon/Chilliwack--Fraser Canyon"," 17","Lillooet",53,14,1,0,70,16,0,154,307
59005,"Chilliwack--Fraser Canyon/Chilliwack--Fraser Canyon"," 18","Fountain Valley",27,5,0,0,6,1,0,39,167
59005,"Chilliwack--Fraser Canyon/Chilliwack--Fraser Canyon"," 19","Clinton ",Void/Supprimé,,,,,,,,
59005,"Chilliwack--Fraser Canyon/Chilliwack--Fraser Canyon"," 20","Cache Creek",38,8,0,0,57,10,0,113,248
59005,"Chilliwack--Fraser Canyon/Chilliwack--Fraser Canyon"," 21","Cache Creek",46,9,0,1,71,8,0,135,298
59005,"Chilliwack--Fraser Canyon/Chilliwack--Fraser Canyon"," 22","Cache Creek",15,3,0,0,47,6,0,71,213
59005,"Chilliwack--Fraser Canyon/Chilliwack--Fraser Canyon"," 22-1","Cache Creek",46,19,0,0,168,10,0,243,415
59005,"Chilliwack--Fraser Canyon/Chilliwack--Fraser Canyon"," 23","Walhachin",25,9,0,0,69,8,0,111,179
59005,"Chilliwack--Fraser Canyon/Chilliwack--Fraser Canyon"," 24","Ashcroft",84,14,1,0,75,14,0,188,387
59005,"Chilliwack--Fraser Canyon/Chilliwack--Fraser Canyon"," 25","Ashcroft",57,10,1,0,93,20,0,181,361
59005,"Chilliwack--Fraser Canyon/Chilliwack--Fraser Canyon"," 26","Ashcroft",89,16,1,0,146,28,1,281,488
59005,"Chilliwack--Fraser Canyon/Chilliwack--Fraser Canyon"," 27","Ashcroft",77,23,2,0,115,16,1,234,444
59005,"Chilliwack--Fraser Canyon/Chilliwack--Fraser Canyon"," 28","Spences Bridge",50,16,0,1,48,14,0,129,218
59005,"Chilliwack--Fraser Canyon/Chilliwack--Fraser Canyon"," 29","Boston Bar",70,25,0,0,64,16,0,175,351
59005,"Chilliwack--Fraser Canyon/Chilliwack--Fraser Canyon"," 30","Lytton",111,28,1,1,61,28,0,230,614
59005,"Chilliwack--Fraser Canyon/Chilliwack--Fraser Canyon"," 31","Lytton",79,13,0,0,22,6,0,120,154
59005,"Chilliwack--Fraser Canyon/Chilliwack--Fraser Canyon"," 32","Skookumchuck",Void/Supprimé,,,,,,,,
59005,"Chilliwack--Fraser Canyon/Chilliwack--Fraser Canyon"," 33","Chehalis 5",74,26,0,0,93,33,0,226,513
59005,"Chilliwack--Fraser Canyon/Chilliwack--Fraser Canyon"," 34","Harrison Hot Springs",35,19,1,1,119,24,0,199,343
59005,"Chilliwack--Fraser Canyon/Chilliwack--Fraser Canyon"," 34-1","Harrison Hot Springs",17,17,3,0,81,22,0,140,265
59005,"Chilliwack--Fraser Canyon/Chilliwack--Fraser Canyon"," 35","Harrison Hot Springs",39,20,0,0,169,36,0,264,431
59005,"Chilliwack--Fraser Canyon/Chilliwack--Fraser Canyon"," 35-1","Harrison Hot Springs",24,17,1,4,97,11,2,156,253
