Electoral District Number/Numéro de circonscription,Electoral District Name/Nom de circonscription,Polling Station Number/Numéro du bureau de scrutin,Polling Station Name/Nom du bureau de scrutin,Jean-Pierre Ducasse,Karen Parhar,Scott Ruston,Brad Trost,Rejected Ballots/Bulletins rejetés,Total Votes/Total des votes,Electors/Électeurs
47009,"Saskatoon--Humboldt/Saskatoon--Humboldt"," 1","St. Louis",13,14,89,87,0,203,375
47009,"Saskatoon--Humboldt/Saskatoon--Humboldt"," 2","St-Laurent-Grandin",5,6,26,41,0,78,170
47009,"Saskatoon--Humboldt/Saskatoon--Humboldt"," 3","St-Isidore-de-Bellevue",6,24,39,84,0,153,238
47009,"Saskatoon--Humboldt/Saskatoon--Humboldt"," 4","Batoche",5,2,21,34,0,62,81
47009,"Saskatoon--Humboldt/Saskatoon--Humboldt"," 5","Domremy",9,4,47,106,0,166,266
47009,"Saskatoon--Humboldt/Saskatoon--Humboldt"," 6","One Arrow 95",1,4,11,8,0,24,101
47009,"Saskatoon--Humboldt/Saskatoon--Humboldt"," 7","Sokal",2,4,12,53,0,71,130
47009,"Saskatoon--Humboldt/Saskatoon--Humboldt"," 8","Bonne Madone",8,12,29,74,0,123,196
47009,"Saskatoon--Humboldt/Saskatoon--Humboldt"," 9","Wakaw",6,4,12,34,1,57,132
47009,"Saskatoon--Humboldt/Saskatoon--Humboldt"," 10","Wakaw",3,4,19,43,0,69,124
47009,"Saskatoon--Humboldt/Saskatoon--Humboldt"," 11A","Wakaw",2,6,29,75,0,112,269
47009,"Saskatoon--Humboldt/Saskatoon--Humboldt"," 11B","Wakaw",3,11,45,91,1,151,318
47009,"Saskatoon--Humboldt/Saskatoon--Humboldt"," 12","Cudworth",2,9,9,85,0,105,176
47009,"Saskatoon--Humboldt/Saskatoon--Humboldt"," 13","Cudworth",5,9,22,96,1,133,221
47009,"Saskatoon--Humboldt/Saskatoon--Humboldt"," 14","Cudworth",8,14,54,126,0,202,357
47009,"Saskatoon--Humboldt/Saskatoon--Humboldt"," 15","Waitville",4,3,26,52,0,85,137
47009,"Saskatoon--Humboldt/Saskatoon--Humboldt"," 16","Crystal Springs",5,7,30,62,0,104,162
47009,"Saskatoon--Humboldt/Saskatoon--Humboldt"," 17","Tarnopol",1,0,23,37,0,61,130
47009,"Saskatoon--Humboldt/Saskatoon--Humboldt"," 18","St. Brieux",9,4,13,77,0,103,174
