Electoral District Number/Numéro de circonscription,Electoral District Name/Nom de circonscription,Polling Station Number/Numéro du bureau de scrutin,Polling Station Name/Nom du bureau de scrutin,Ariane Blais,Geneviève Boivin,Paule Brunelle,Claude Durand,Marcos G. Simard,Rejected Ballots/Bulletins rejetés,Total Votes/Total des votes,Electors/Électeurs
24072,"Trois-Rivières/Trois-Rivières"," 56","Trois-Rivières",8,26,114,69,59,0,276,407
24072,"Trois-Rivières/Trois-Rivières"," 57","Trois-Rivières",3,17,66,56,43,0,185,323
24072,"Trois-Rivières/Trois-Rivières"," 58","Trois-Rivières",0,17,63,43,28,4,155,287
24072,"Trois-Rivières/Trois-Rivières"," 59","Trois-Rivières",13,30,115,52,31,2,243,439
24072,"Trois-Rivières/Trois-Rivières"," 59-1","Trois-Rivières",5,14,86,43,34,3,185,310
24072,"Trois-Rivières/Trois-Rivières"," 60","Trois-Rivières",6,31,90,43,41,6,217,400
24072,"Trois-Rivières/Trois-Rivières"," 61","Trois-Rivières",1,15,74,31,17,5,143,298
24072,"Trois-Rivières/Trois-Rivières"," 62","Trois-Rivières",8,13,121,35,27,9,213,403
24072,"Trois-Rivières/Trois-Rivières"," 63","Trois-Rivières",5,22,91,44,32,4,198,378
24072,"Trois-Rivières/Trois-Rivières"," 64","Trois-Rivières",6,12,66,35,20,1,140,354
24072,"Trois-Rivières/Trois-Rivières"," 65","Trois-Rivières",7,21,103,76,46,8,261,445
24072,"Trois-Rivières/Trois-Rivières"," 66","Trois-Rivières",11,23,97,55,33,3,222,369
24072,"Trois-Rivières/Trois-Rivières"," 67","Trois-Rivières",5,36,88,71,43,6,249,435
24072,"Trois-Rivières/Trois-Rivières"," 67-1","Trois-Rivières",6,11,59,31,17,2,126,213
24072,"Trois-Rivières/Trois-Rivières"," 68","Trois-Rivières",6,24,108,68,50,4,260,453
24072,"Trois-Rivières/Trois-Rivières"," 69","Trois-Rivières",1,17,78,35,21,2,154,279
24072,"Trois-Rivières/Trois-Rivières"," 70","Trois-Rivières",3,17,57,32,45,5,159,338
24072,"Trois-Rivières/Trois-Rivières"," 71","Trois-Rivières",8,34,142,63,48,9,304,591
24072,"Trois-Rivières/Trois-Rivières"," 71-1","Trois-Rivières",5,20,83,49,43,1,201,455
24072,"Trois-Rivières/Trois-Rivières"," 72","Trois-Rivières",9,10,91,22,18,4,154,389
24072,"Trois-Rivières/Trois-Rivières"," 73","Trois-Rivières",7,19,75,22,17,5,145,314
24072,"Trois-Rivières/Trois-Rivières"," 74","Trois-Rivières",8,22,96,39,37,7,209,425
24072,"Trois-Rivières/Trois-Rivières"," 75","Trois-Rivières",5,32,106,55,28,4,230,379
24072,"Trois-Rivières/Trois-Rivières"," 76","Trois-Rivières",3,21,71,20,30,3,148,371
24072,"Trois-Rivières/Trois-Rivières"," 77","Trois-Rivières",2,20,72,69,35,2,200,420
24072,"Trois-Rivières/Trois-Rivières"," 78","Trois-Rivières",6,21,82,48,34,2,193,443
24072,"Trois-Rivières/Trois-Rivières"," 79","Trois-Rivières",5,35,142,77,52,1,312,506
24072,"Trois-Rivières/Trois-Rivières"," 80","Trois-Rivières",9,16,119,50,37,6,237,392
24072,"Trois-Rivières/Trois-Rivières"," 81","Trois-Rivières",9,18,95,41,47,3,213,423
24072,"Trois-Rivières/Trois-Rivières"," 82","Trois-Rivières",4,8,51,38,28,1,130,274
24072,"Trois-Rivières/Trois-Rivières"," 83","Trois-Rivières",4,10,71,25,25,2,137,329
24072,"Trois-Rivières/Trois-Rivières"," 84","Trois-Rivières",8,16,78,29,32,6,169,316
24072,"Trois-Rivières/Trois-Rivières"," 85","Trois-Rivières",2,13,79,56,40,3,193,342
24072,"Trois-Rivières/Trois-Rivières"," 86","Trois-Rivières",3,25,93,43,29,3,196,346
24072,"Trois-Rivières/Trois-Rivières"," 87","Trois-Rivières",8,23,84,30,48,7,200,315
24072,"Trois-Rivières/Trois-Rivières"," 88","Trois-Rivières",9,22,87,43,31,2,194,384
24072,"Trois-Rivières/Trois-Rivières"," 89","Trois-Rivières",2,10,42,29,20,1,104,256
24072,"Trois-Rivières/Trois-Rivières"," 90","Trois-Rivières",5,9,86,40,35,5,180,366
24072,"Trois-Rivières/Trois-Rivières"," 91","Trois-Rivières",9,21,89,30,24,5,178,325
24072,"Trois-Rivières/Trois-Rivières"," 92","Trois-Rivières",4,18,71,50,30,3,176,313
24072,"Trois-Rivières/Trois-Rivières"," 93","Trois-Rivières",1,8,57,30,33,5,134,325
24072,"Trois-Rivières/Trois-Rivières"," 94","Trois-Rivières",3,15,83,56,58,2,217,406
24072,"Trois-Rivières/Trois-Rivières"," 94-1","Trois-Rivières",1,15,58,28,13,3,118,249
24072,"Trois-Rivières/Trois-Rivières"," 95","Trois-Rivières",6,13,68,24,25,2,138,324
24072,"Trois-Rivières/Trois-Rivières"," 96","Trois-Rivières",8,4,101,47,22,3,185,341
24072,"Trois-Rivières/Trois-Rivières"," 97","Trois-Rivières",5,12,89,25,26,1,158,326
24072,"Trois-Rivières/Trois-Rivières"," 98","Trois-Rivières",5,16,66,39,30,10,166,372
24072,"Trois-Rivières/Trois-Rivières"," 99","Trois-Rivières",4,19,100,46,22,2,193,449
24072,"Trois-Rivières/Trois-Rivières"," 100","Trois-Rivières",4,28,76,43,25,2,178,387
24072,"Trois-Rivières/Trois-Rivières"," 101","Trois-Rivières",5,18,86,37,33,7,186,325
24072,"Trois-Rivières/Trois-Rivières"," 102","Trois-Rivières",7,14,63,28,23,2,137,271
24072,"Trois-Rivières/Trois-Rivières"," 103","Trois-Rivières",2,16,71,42,46,5,182,274
24072,"Trois-Rivières/Trois-Rivières"," 104","Trois-Rivières",4,12,79,55,25,8,183,345
24072,"Trois-Rivières/Trois-Rivières"," 105","Trois-Rivières",6,25,96,52,32,3,214,382
24072,"Trois-Rivières/Trois-Rivières"," 106","Trois-Rivières",7,16,106,25,30,10,194,400
24072,"Trois-Rivières/Trois-Rivières"," 107","Trois-Rivières",9,13,82,48,28,2,182,361
24072,"Trois-Rivières/Trois-Rivières"," 108","Trois-Rivières",9,34,83,38,38,4,206,365
24072,"Trois-Rivières/Trois-Rivières"," 109","Trois-Rivières",6,19,83,32,22,3,165,345
24072,"Trois-Rivières/Trois-Rivières"," 110","Trois-Rivières",6,22,94,36,50,6,214,420
24072,"Trois-Rivières/Trois-Rivières"," 111","Trois-Rivières",9,15,83,52,57,1,217,330
24072,"Trois-Rivières/Trois-Rivières"," 112","Trois-Rivières",6,26,78,35,26,5,176,290
24072,"Trois-Rivières/Trois-Rivières"," 113","Trois-Rivières",8,13,62,41,36,5,165,316
24072,"Trois-Rivières/Trois-Rivières"," 114","Trois-Rivières",7,15,109,49,34,4,218,421
24072,"Trois-Rivières/Trois-Rivières"," 115","Trois-Rivières",3,19,102,33,45,9,211,414
24072,"Trois-Rivières/Trois-Rivières"," 116","Trois-Rivières",4,19,108,57,35,7,230,408
24072,"Trois-Rivières/Trois-Rivières"," 117","Trois-Rivières",7,32,92,58,58,1,248,415
24072,"Trois-Rivières/Trois-Rivières"," 118","Trois-Rivières",15,27,109,55,64,2,272,392
24072,"Trois-Rivières/Trois-Rivières"," 119","Trois-Rivières",4,14,77,40,26,5,166,338
24072,"Trois-Rivières/Trois-Rivières"," 120","Trois-Rivières",4,13,78,33,18,3,149,377
24072,"Trois-Rivières/Trois-Rivières"," 121","Trois-Rivières",9,16,59,49,21,3,157,351
24072,"Trois-Rivières/Trois-Rivières"," 122","Trois-Rivières",4,26,85,33,37,5,190,400
24072,"Trois-Rivières/Trois-Rivières"," 123","Trois-Rivières",7,12,57,26,20,2,124,333
24072,"Trois-Rivières/Trois-Rivières"," 124","Trois-Rivières",6,12,89,20,20,4,151,376
24072,"Trois-Rivières/Trois-Rivières"," 125","Trois-Rivières",3,7,69,25,23,4,131,348
24072,"Trois-Rivières/Trois-Rivières"," 126","Trois-Rivières",11,14,89,22,25,5,166,384
24072,"Trois-Rivières/Trois-Rivières"," 127","Trois-Rivières",11,21,92,32,22,1,179,371
24072,"Trois-Rivières/Trois-Rivières"," 128","Trois-Rivières",7,8,90,31,41,3,180,387
24072,"Trois-Rivières/Trois-Rivières"," 129","Trois-Rivières",9,20,110,35,33,3,210,412
24072,"Trois-Rivières/Trois-Rivières"," 130","Trois-Rivières",4,15,62,19,15,3,118,301
24072,"Trois-Rivières/Trois-Rivières"," 131","Trois-Rivières",4,6,64,24,24,3,125,324
24072,"Trois-Rivières/Trois-Rivières"," 132","Trois-Rivières",6,14,86,30,21,2,159,345
24072,"Trois-Rivières/Trois-Rivières"," 133","Trois-Rivières",5,12,37,16,5,2,77,301
24072,"Trois-Rivières/Trois-Rivières"," 134","Trois-Rivières",10,13,71,34,21,4,153,344
24072,"Trois-Rivières/Trois-Rivières"," 135","Trois-Rivières",5,21,54,29,14,2,125,292
24072,"Trois-Rivières/Trois-Rivières"," 136","Trois-Rivières",4,20,73,14,17,2,130,411
24072,"Trois-Rivières/Trois-Rivières"," 137","Trois-Rivières",6,21,98,31,37,3,196,461
24072,"Trois-Rivières/Trois-Rivières"," 138","Trois-Rivières",Void/Supprimé,,,,,,,
24072,"Trois-Rivières/Trois-Rivières"," 139","Trois-Rivières",8,21,118,34,31,5,217,505
24072,"Trois-Rivières/Trois-Rivières"," 140","Trois-Rivières",7,34,101,41,59,5,247,434
24072,"Trois-Rivières/Trois-Rivières"," 141","Trois-Rivières",6,18,105,51,46,2,228,414
24072,"Trois-Rivières/Trois-Rivières"," 142","Trois-Rivières",5,12,109,50,39,3,218,292
24072,"Trois-Rivières/Trois-Rivières"," 143","Trois-Rivières",10,15,115,30,37,1,208,389
24072,"Trois-Rivières/Trois-Rivières"," 144","Trois-Rivières",4,22,91,40,54,5,216,310
24072,"Trois-Rivières/Trois-Rivières"," 145","Trois-Rivières",11,28,103,28,45,2,217,356
24072,"Trois-Rivières/Trois-Rivières"," 146","Trois-Rivières",13,19,97,57,48,5,239,359
24072,"Trois-Rivières/Trois-Rivières"," 147","Trois-Rivières",4,23,108,53,51,5,244,357
24072,"Trois-Rivières/Trois-Rivières"," 148","Trois-Rivières",5,12,62,31,26,0,136,290
24072,"Trois-Rivières/Trois-Rivières"," 149","Trois-Rivières",3,15,91,38,31,6,184,402
24072,"Trois-Rivières/Trois-Rivières"," 150","Trois-Rivières",9,12,45,36,22,2,126,279
24072,"Trois-Rivières/Trois-Rivières"," 151","Trois-Rivières",9,11,39,21,20,2,102,297
24072,"Trois-Rivières/Trois-Rivières"," 152","Trois-Rivières",5,10,39,6,16,2,78,252
24072,"Trois-Rivières/Trois-Rivières"," 153","Trois-Rivières",2,8,58,32,30,2,132,276
24072,"Trois-Rivières/Trois-Rivières"," 154","Trois-Rivières",3,7,66,36,38,1,151,319
24072,"Trois-Rivières/Trois-Rivières"," 155","Trois-Rivières",3,20,60,53,25,5,166,410
24072,"Trois-Rivières/Trois-Rivières"," 156","Trois-Rivières",7,26,111,53,57,5,259,486
24072,"Trois-Rivières/Trois-Rivières"," 157","Trois-Rivières",2,14,67,54,30,3,170,387
24072,"Trois-Rivières/Trois-Rivières"," 158","Trois-Rivières",5,24,96,61,49,3,238,395
24072,"Trois-Rivières/Trois-Rivières"," 159","Trois-Rivières",3,17,43,35,28,2,128,313
24072,"Trois-Rivières/Trois-Rivières"," 160","Trois-Rivières",6,31,94,61,52,3,247,379
24072,"Trois-Rivières/Trois-Rivières"," 161","Trois-Rivières",4,14,28,23,17,1,87,274
24072,"Trois-Rivières/Trois-Rivières"," 162","Trois-Rivières",7,17,90,40,41,6,201,353
24072,"Trois-Rivières/Trois-Rivières"," 163","Trois-Rivières",5,17,57,22,15,1,117,296
24072,"Trois-Rivières/Trois-Rivières"," 164","Trois-Rivières",4,4,64,39,21,1,133,300
24072,"Trois-Rivières/Trois-Rivières"," 165","Trois-Rivières",8,24,97,47,58,4,238,420
24072,"Trois-Rivières/Trois-Rivières"," 166","Trois-Rivières",12,22,85,32,43,1,195,357
24072,"Trois-Rivières/Trois-Rivières"," 167","Trois-Rivières",4,8,39,17,24,4,96,234
24072,"Trois-Rivières/Trois-Rivières"," 168","Trois-Rivières",0,12,43,26,35,1,117,285
24072,"Trois-Rivières/Trois-Rivières"," 169","Trois-Rivières",5,31,99,41,43,2,221,369
24072,"Trois-Rivières/Trois-Rivières"," 170","Trois-Rivières",6,33,114,22,38,0,213,363
24072,"Trois-Rivières/Trois-Rivières"," 171","Trois-Rivières",7,12,52,14,28,2,115,287
24072,"Trois-Rivières/Trois-Rivières"," 172","Trois-Rivières",6,10,33,19,15,0,83,235
24072,"Trois-Rivières/Trois-Rivières"," 173","Trois-Rivières",1,12,68,25,24,1,131,302
24072,"Trois-Rivières/Trois-Rivières"," 174","Trois-Rivières",5,12,47,30,28,1,123,249
24072,"Trois-Rivières/Trois-Rivières"," 175","Trois-Rivières",9,23,80,30,38,2,182,366
24072,"Trois-Rivières/Trois-Rivières"," 176","Trois-Rivières",6,19,59,34,80,2,200,442
24072,"Trois-Rivières/Trois-Rivières"," 177","Trois-Rivières",8,8,58,23,24,0,121,234
24072,"Trois-Rivières/Trois-Rivières"," 178","Trois-Rivières",8,24,92,43,32,2,201,312
24072,"Trois-Rivières/Trois-Rivières"," 179","Trois-Rivières",5,39,61,28,23,5,161,308
24072,"Trois-Rivières/Trois-Rivières"," 180","Trois-Rivières",6,20,132,49,29,14,250,420
24072,"Trois-Rivières/Trois-Rivières"," 181","Trois-Rivières",3,9,64,38,19,6,139,291
24072,"Trois-Rivières/Trois-Rivières"," 182","Trois-Rivières",2,9,50,37,32,2,132,273
24072,"Trois-Rivières/Trois-Rivières"," 183","Trois-Rivières",6,16,54,18,15,0,109,230
24072,"Trois-Rivières/Trois-Rivières"," 184","Trois-Rivières",2,16,62,19,23,2,124,263
24072,"Trois-Rivières/Trois-Rivières"," 185","Trois-Rivières",5,21,104,39,53,9,231,402
24072,"Trois-Rivières/Trois-Rivières"," 186","Trois-Rivières",5,22,123,34,33,6,223,397
24072,"Trois-Rivières/Trois-Rivières"," 187","Trois-Rivières",11,31,122,59,44,0,267,402
24072,"Trois-Rivières/Trois-Rivières"," 188","Trois-Rivières",7,17,73,40,25,2,164,350
24072,"Trois-Rivières/Trois-Rivières"," 189","Trois-Rivières",7,7,57,40,43,1,155,331
24072,"Trois-Rivières/Trois-Rivières"," 190","Trois-Rivières",13,18,65,37,22,1,156,423
24072,"Trois-Rivières/Trois-Rivières"," 191","Trois-Rivières",6,19,99,27,33,3,187,406
24072,"Trois-Rivières/Trois-Rivières"," 192","Trois-Rivières",3,5,61,26,22,2,119,260
24072,"Trois-Rivières/Trois-Rivières"," 193","Trois-Rivières",4,8,65,30,19,3,129,315
24072,"Trois-Rivières/Trois-Rivières"," 194","Trois-Rivières",1,14,60,14,13,4,106,326
24072,"Trois-Rivières/Trois-Rivières"," 195","Trois-Rivières",4,18,65,25,23,3,138,322
24072,"Trois-Rivières/Trois-Rivières"," 400","Trois-Rivières",1,4,39,50,52,1,147,172
24072,"Trois-Rivières/Trois-Rivières"," 500","Mobile poll/Bureau itinérant",3,4,17,15,14,3,56,77
24072,"Trois-Rivières/Trois-Rivières"," 501","Mobile poll/Bureau itinérant",3,2,23,31,52,6,117,142
24072,"Trois-Rivières/Trois-Rivières"," 502","Mobile poll/Bureau itinérant",3,4,24,22,29,4,86,122
24072,"Trois-Rivières/Trois-Rivières"," 503","Mobile poll/Bureau itinérant",4,3,36,35,38,0,116,151
24072,"Trois-Rivières/Trois-Rivières"," 504","Mobile poll/Bureau itinérant",2,5,17,15,18,5,62,192
24072,"Trois-Rivières/Trois-Rivières"," 505","Mobile poll/Bureau itinérant",2,2,17,10,15,2,48,94
24072,"Trois-Rivières/Trois-Rivières"," 506","Mobile poll/Bureau itinérant",1,1,6,3,10,0,21,109
24072,"Trois-Rivières/Trois-Rivières"," 507","Mobile poll/Bureau itinérant",6,2,28,15,17,3,71,236
24072,"Trois-Rivières/Trois-Rivières"," 508","Mobile poll/Bureau itinérant",7,5,57,70,61,8,208,255
24072,"Trois-Rivières/Trois-Rivières"," 509","Mobile poll/Bureau itinérant",2,3,65,65,75,0,210,262
24072,"Trois-Rivières/Trois-Rivières"," 600","Trois-Rivières",24,34,310,201,78,3,650,
24072,"Trois-Rivières/Trois-Rivières"," 601","Trois-Rivières",25,57,446,265,141,7,941,
24072,"Trois-Rivières/Trois-Rivières"," 602","Trois-Rivières",5,14,203,146,117,16,501,
