Electoral District Number/Numéro de circonscription,Electoral District Name/Nom de circonscription,Polling Station Number/Numéro du bureau de scrutin,Polling Station Name/Nom du bureau de scrutin,Richard Banigan,Steve Clarke,Valerie Powell,Bruce Stanton,Rejected Ballots/Bulletins rejetés,Total Votes/Total des votes,Electors/Électeurs
35086,"Simcoe North/Simcoe-Nord"," 1","Christian Island 30",46,73,12,26,1,158,344
35086,"Simcoe North/Simcoe-Nord"," 2","Tiny",44,100,31,114,3,292,492
35086,"Simcoe North/Simcoe-Nord"," 3","Tiny",16,42,35,47,0,140,310
35086,"Simcoe North/Simcoe-Nord"," 3-1","Tiny",26,57,26,61,3,173,357
35086,"Simcoe North/Simcoe-Nord"," 4","Tiny",28,49,30,69,0,176,384
35086,"Simcoe North/Simcoe-Nord"," 5","Tiny",38,50,27,75,0,190,375
35086,"Simcoe North/Simcoe-Nord"," 6","Tiny",52,82,48,78,2,262,449
35086,"Simcoe North/Simcoe-Nord"," 7","Tiny",42,70,19,74,2,207,370
35086,"Simcoe North/Simcoe-Nord"," 7-1","Tiny",16,58,9,38,0,121,171
35086,"Simcoe North/Simcoe-Nord"," 8","Tiny",21,44,10,37,0,112,197
35086,"Simcoe North/Simcoe-Nord"," 9","Tiny",29,67,30,85,0,211,403
35086,"Simcoe North/Simcoe-Nord"," 10","Tiny",14,45,20,62,0,141,295
35086,"Simcoe North/Simcoe-Nord"," 10-1","Tiny",31,57,16,80,0,184,368
35086,"Simcoe North/Simcoe-Nord"," 11","Tiny",42,97,34,94,0,267,427
35086,"Simcoe North/Simcoe-Nord"," 12","Tiny",27,88,20,113,0,248,463
35086,"Simcoe North/Simcoe-Nord"," 13","Tiny",19,68,33,109,0,229,412
35086,"Simcoe North/Simcoe-Nord"," 14","Tiny",13,46,22,77,0,158,265
35086,"Simcoe North/Simcoe-Nord"," 14-1","Tiny",21,66,19,96,1,203,360
35086,"Simcoe North/Simcoe-Nord"," 15A","Tiny",13,37,26,95,0,171,301
35086,"Simcoe North/Simcoe-Nord"," 15B","Tiny",Merged with No. 15-1/Fusionné avec le nº 15-1,,,,,,126
35086,"Simcoe North/Simcoe-Nord"," 15-1","Tiny",24,32,25,101,0,182,205
35086,"Simcoe North/Simcoe-Nord"," 16","Tiny",32,81,37,168,0,318,492
35086,"Simcoe North/Simcoe-Nord"," 17","Tiny",30,42,35,95,0,202,316
35086,"Simcoe North/Simcoe-Nord"," 18","Tiny",7,18,20,45,0,90,176
35086,"Simcoe North/Simcoe-Nord"," 19","Penetanguishene",27,61,27,65,2,182,430
35086,"Simcoe North/Simcoe-Nord"," 20","Penetanguishene",17,36,10,46,0,109,249
35086,"Simcoe North/Simcoe-Nord"," 21","Penetanguishene",42,56,27,81,0,206,399
35086,"Simcoe North/Simcoe-Nord"," 22","Penetanguishene",23,81,21,72,0,197,370
35086,"Simcoe North/Simcoe-Nord"," 23A","Penetanguishene",21,85,24,96,1,227,443
35086,"Simcoe North/Simcoe-Nord"," 23B","Mobile poll/Bureau itinérant",Merged with No. 501/Fusionné avec le nº 501,,,,,,27
35086,"Simcoe North/Simcoe-Nord"," 24","Penetanguishene",29,30,13,43,1,116,328
35086,"Simcoe North/Simcoe-Nord"," 25","Penetanguishene",38,67,32,62,0,199,413
35086,"Simcoe North/Simcoe-Nord"," 26","Penetanguishene",31,115,27,94,1,268,447
35086,"Simcoe North/Simcoe-Nord"," 27","Penetanguishene",33,83,7,53,0,176,303
35086,"Simcoe North/Simcoe-Nord"," 28","Penetanguishene",42,95,17,72,0,226,398
35086,"Simcoe North/Simcoe-Nord"," 29A","Penetanguishene",19,50,16,42,1,128,275
35086,"Simcoe North/Simcoe-Nord"," 29B","Penetanguishene",25,60,15,43,2,145,275
35086,"Simcoe North/Simcoe-Nord"," 30A","Penetanguishene",22,70,10,65,2,169,292
35086,"Simcoe North/Simcoe-Nord"," 30B","Penetanguishene",20,49,16,52,0,137,315
35086,"Simcoe North/Simcoe-Nord"," 31","Penetanguishene",18,28,14,26,0,86,186
35086,"Simcoe North/Simcoe-Nord"," 32","Penetanguishene",34,79,20,59,0,192,376
35086,"Simcoe North/Simcoe-Nord"," 33","Penetanguishene",40,45,11,42,0,138,305
35086,"Simcoe North/Simcoe-Nord"," 34","Penetanguishene",46,50,14,62,1,173,342
35086,"Simcoe North/Simcoe-Nord"," 35","Midland",31,71,21,90,0,213,490
35086,"Simcoe North/Simcoe-Nord"," 36","Midland",21,37,13,55,0,126,254
35086,"Simcoe North/Simcoe-Nord"," 37","Midland",6,24,13,61,0,104,281
35086,"Simcoe North/Simcoe-Nord"," 38","Midland",17,36,26,49,0,128,317
35086,"Simcoe North/Simcoe-Nord"," 39","Midland",48,61,31,82,0,222,489
35086,"Simcoe North/Simcoe-Nord"," 40A","Midland",15,48,15,70,0,148,259
35086,"Simcoe North/Simcoe-Nord"," 40B","Midland",18,42,21,68,0,149,272
35086,"Simcoe North/Simcoe-Nord"," 41A","Midland",27,46,19,61,3,156,345
35086,"Simcoe North/Simcoe-Nord"," 41B","Mobile poll/Bureau itinérant",Merged with No. 501/Fusionné avec le nº 501,,,,,,36
35086,"Simcoe North/Simcoe-Nord"," 42","Midland",33,72,15,95,0,215,384
35086,"Simcoe North/Simcoe-Nord"," 43A","Midland",14,49,14,59,0,136,259
35086,"Simcoe North/Simcoe-Nord"," 43B","Midland",20,53,16,44,1,134,256
