Electoral District Number/Numéro de circonscription,Electoral District Name/Nom de circonscription,Polling Station Number/Numéro du bureau de scrutin,Polling Station Name/Nom du bureau de scrutin,Patrick Brown,Myrna Clark,Paolo Fabrizio,Erich Jacoby-Hawkins,Rick Jones,Christine Anne Nugent,Rejected Ballots/Bulletins rejetés,Total Votes/Total des votes,Electors/Électeurs
35004,"Barrie/Barrie"," 1","Barrie",129,33,1,28,55,0,0,246,406
35004,"Barrie/Barrie"," 2","Barrie",95,20,2,15,34,0,1,167,305
35004,"Barrie/Barrie"," 3","Barrie",129,20,1,20,59,1,1,231,409
35004,"Barrie/Barrie"," 4","Barrie",71,39,0,22,31,1,0,164,349
35004,"Barrie/Barrie"," 5","Barrie",120,19,4,23,47,0,0,213,377
35004,"Barrie/Barrie"," 6","Barrie",120,31,0,31,61,0,0,243,425
35004,"Barrie/Barrie"," 7","Barrie",57,15,2,25,35,0,1,135,330
35004,"Barrie/Barrie"," 8","Barrie",103,25,1,20,57,0,0,206,407
35004,"Barrie/Barrie"," 9","Barrie",104,23,3,23,57,0,0,210,378
35004,"Barrie/Barrie"," 10","Barrie",46,14,1,9,18,1,0,89,293
35004,"Barrie/Barrie"," 11","Barrie",86,16,1,18,39,0,1,161,299
35004,"Barrie/Barrie"," 12","Barrie",70,23,0,8,32,0,0,133,282
35004,"Barrie/Barrie"," 13","Barrie",94,22,4,27,63,0,1,211,421
35004,"Barrie/Barrie"," 14","Barrie",77,12,1,19,41,0,0,150,295
35004,"Barrie/Barrie"," 15A","Barrie",94,13,0,14,42,0,0,163,298
35004,"Barrie/Barrie"," 15B","Barrie",35,10,3,2,19,0,4,73,159
35004,"Barrie/Barrie"," 16","Barrie",73,23,0,16,35,0,0,147,314
35004,"Barrie/Barrie"," 16-1","Barrie",56,17,0,15,30,0,0,118,250
35004,"Barrie/Barrie"," 17","Barrie",71,26,2,11,35,2,0,147,219
35004,"Barrie/Barrie"," 18","Barrie",107,17,1,23,59,0,0,207,389
35004,"Barrie/Barrie"," 19","Barrie",71,26,1,18,29,1,0,146,396
35004,"Barrie/Barrie"," 20","Barrie",73,41,1,20,29,1,2,167,403
35004,"Barrie/Barrie"," 21","Barrie",66,38,3,16,32,0,1,156,363
35004,"Barrie/Barrie"," 22","Barrie",89,11,0,17,41,0,0,158,341
35004,"Barrie/Barrie"," 23","Barrie",54,26,0,11,22,0,1,114,329
35004,"Barrie/Barrie"," 24","Barrie",146,19,1,23,54,1,0,244,392
35004,"Barrie/Barrie"," 24-1","Barrie",90,21,0,23,38,0,2,174,309
35004,"Barrie/Barrie"," 25","Barrie",148,26,0,19,53,1,0,247,412
35004,"Barrie/Barrie"," 26","Barrie",99,24,2,20,43,0,1,189,426
35004,"Barrie/Barrie"," 27","Barrie",91,27,1,20,38,0,1,178,395
35004,"Barrie/Barrie"," 27-1","Barrie",66,16,0,11,29,0,0,122,268
