Electoral District Number/Numéro de circonscription,Electoral District Name/Nom de circonscription,Polling Station Number/Numéro du bureau de scrutin,Polling Station Name/Nom du bureau de scrutin,Steven Fletcher,Bob Friesen,Mark Price,Fiona Shiells,Brian Timlick,Rejected Ballots/Bulletins rejetés,Total Votes/Total des votes,Electors/Électeurs
46002,"Charleswood--St. James--Assiniboia/Charleswood--St. James--Assiniboia"," 1","Winnipeg",228,59,3,50,18,0,358,587
46002,"Charleswood--St. James--Assiniboia/Charleswood--St. James--Assiniboia"," 2","Winnipeg",108,31,2,69,20,0,230,435
46002,"Charleswood--St. James--Assiniboia/Charleswood--St. James--Assiniboia"," 3","Winnipeg",140,42,0,74,7,0,263,417
46002,"Charleswood--St. James--Assiniboia/Charleswood--St. James--Assiniboia"," 4","Winnipeg",95,27,0,42,16,2,182,366
46002,"Charleswood--St. James--Assiniboia/Charleswood--St. James--Assiniboia"," 5","Winnipeg",90,13,0,67,11,1,182,314
46002,"Charleswood--St. James--Assiniboia/Charleswood--St. James--Assiniboia"," 6","Winnipeg",91,24,0,40,9,0,164,316
46002,"Charleswood--St. James--Assiniboia/Charleswood--St. James--Assiniboia"," 7","Winnipeg",99,43,1,56,18,0,217,374
46002,"Charleswood--St. James--Assiniboia/Charleswood--St. James--Assiniboia"," 8","Winnipeg",98,37,1,65,6,0,207,376
46002,"Charleswood--St. James--Assiniboia/Charleswood--St. James--Assiniboia"," 9","Winnipeg",57,20,0,48,9,1,135,307
46002,"Charleswood--St. James--Assiniboia/Charleswood--St. James--Assiniboia"," 10","Winnipeg",114,25,2,52,9,1,203,362
46002,"Charleswood--St. James--Assiniboia/Charleswood--St. James--Assiniboia"," 11","Winnipeg",133,41,2,62,20,1,259,421
46002,"Charleswood--St. James--Assiniboia/Charleswood--St. James--Assiniboia"," 12","Winnipeg",93,34,1,56,9,1,194,301
46002,"Charleswood--St. James--Assiniboia/Charleswood--St. James--Assiniboia"," 13","Winnipeg",90,37,0,85,15,0,227,413
46002,"Charleswood--St. James--Assiniboia/Charleswood--St. James--Assiniboia"," 14","Winnipeg",104,34,1,65,9,3,216,377
46002,"Charleswood--St. James--Assiniboia/Charleswood--St. James--Assiniboia"," 15","Winnipeg",103,27,0,54,6,0,190,348
46002,"Charleswood--St. James--Assiniboia/Charleswood--St. James--Assiniboia"," 16","Winnipeg",79,38,0,78,11,0,206,381
46002,"Charleswood--St. James--Assiniboia/Charleswood--St. James--Assiniboia"," 17","Winnipeg",132,34,4,73,10,0,253,381
46002,"Charleswood--St. James--Assiniboia/Charleswood--St. James--Assiniboia"," 18","Winnipeg",96,26,0,72,8,0,202,355
46002,"Charleswood--St. James--Assiniboia/Charleswood--St. James--Assiniboia"," 19","Winnipeg",102,34,0,60,14,0,210,350
46002,"Charleswood--St. James--Assiniboia/Charleswood--St. James--Assiniboia"," 20","Winnipeg",58,23,0,35,10,0,126,282
46002,"Charleswood--St. James--Assiniboia/Charleswood--St. James--Assiniboia"," 21","Winnipeg",50,23,1,23,5,0,102,312
46002,"Charleswood--St. James--Assiniboia/Charleswood--St. James--Assiniboia"," 22","Winnipeg",66,15,2,28,7,0,118,246
46002,"Charleswood--St. James--Assiniboia/Charleswood--St. James--Assiniboia"," 23","Winnipeg",120,50,4,46,14,1,235,404
46002,"Charleswood--St. James--Assiniboia/Charleswood--St. James--Assiniboia"," 24","Winnipeg",83,24,2,48,7,0,164,346
46002,"Charleswood--St. James--Assiniboia/Charleswood--St. James--Assiniboia"," 25","Winnipeg",105,54,0,33,16,0,208,380
46002,"Charleswood--St. James--Assiniboia/Charleswood--St. James--Assiniboia"," 26","Headingley",186,46,0,36,18,0,286,473
46002,"Charleswood--St. James--Assiniboia/Charleswood--St. James--Assiniboia"," 27","Headingley",223,61,0,24,17,0,325,524
46002,"Charleswood--St. James--Assiniboia/Charleswood--St. James--Assiniboia"," 27-1","Headingley",127,34,0,20,13,1,195,300
46002,"Charleswood--St. James--Assiniboia/Charleswood--St. James--Assiniboia"," 28","Winnipeg",188,55,1,24,13,0,281,445
46002,"Charleswood--St. James--Assiniboia/Charleswood--St. James--Assiniboia"," 29","Winnipeg",135,38,2,34,25,0,234,395
46002,"Charleswood--St. James--Assiniboia/Charleswood--St. James--Assiniboia"," 30","Winnipeg",135,48,0,36,17,1,237,382
