Electoral District Number/Numéro de circonscription,Electoral District Name/Nom de circonscription,Polling Station Number/Numéro du bureau de scrutin,Polling Station Name/Nom du bureau de scrutin,Jen Antony,Bryan H. Bell,Garry Breitkreuz,Doug Ottenbreit,Rejected Ballots/Bulletins rejetés,Total Votes/Total des votes,Electors/Électeurs
47014,"Yorkton--Melville/Yorkton--Melville"," 1","McKague",4,10,41,22,0,77,137
47014,"Yorkton--Melville/Yorkton--Melville"," 2","Archerwill",11,10,119,55,0,195,376
47014,"Yorkton--Melville/Yorkton--Melville"," 3","Crooked River",4,1,63,12,0,80,134
47014,"Yorkton--Melville/Yorkton--Melville"," 4","Mistatim",1,16,85,12,0,114,196
47014,"Yorkton--Melville/Yorkton--Melville"," 5","Bjorkdale",13,12,119,27,0,171,335
47014,"Yorkton--Melville/Yorkton--Melville"," 6","Chelan",2,9,41,30,0,82,161
47014,"Yorkton--Melville/Yorkton--Melville"," 7","Porcupine Plain",12,10,128,29,1,180,310
47014,"Yorkton--Melville/Yorkton--Melville"," 8","Porcupine Plain",16,16,125,58,1,216,413
47014,"Yorkton--Melville/Yorkton--Melville"," 9","Porcupine Plain",5,3,61,28,1,98,213
47014,"Yorkton--Melville/Yorkton--Melville"," 10","Prairie River",0,0,55,17,0,72,129
47014,"Yorkton--Melville/Yorkton--Melville"," 11","Carragana",6,1,59,19,0,85,160
47014,"Yorkton--Melville/Yorkton--Melville"," 12","Weekes",3,2,82,16,0,103,199
47014,"Yorkton--Melville/Yorkton--Melville"," 13","Hudson Bay",16,10,176,51,3,256,473
47014,"Yorkton--Melville/Yorkton--Melville"," 14","Hudson Bay",2,10,121,42,0,175,399
47014,"Yorkton--Melville/Yorkton--Melville"," 15A","Hudson Bay",7,3,76,20,0,106,256
47014,"Yorkton--Melville/Yorkton--Melville"," 15B","Hudson Bay",4,6,54,34,2,100,245
47014,"Yorkton--Melville/Yorkton--Melville"," 16","Hudson Bay",6,14,85,49,1,155,251
47014,"Yorkton--Melville/Yorkton--Melville"," 17","Hudson Bay",6,10,107,35,0,158,350
47014,"Yorkton--Melville/Yorkton--Melville"," 18","Hudson Bay",3,1,52,6,0,62,116
