Electoral District Number/Numéro de circonscription,Electoral District Name/Nom de circonscription,Polling Station Number/Numéro du bureau de scrutin,Polling Station Name/Nom du bureau de scrutin,Kurtis Baily,Ken Dryden,Rosemary Frei,Rochelle Wilner,Rejected Ballots/Bulletins rejetés,Total Votes/Total des votes,Electors/Électeurs
35103,"York Centre/York-Centre"," 1","North York",18,67,15,55,0,155,368
35103,"York Centre/York-Centre"," 2","North York",Void/Supprimé,,,,,,
35103,"York Centre/York-Centre"," 3","North York",28,92,12,63,0,195,472
35103,"York Centre/York-Centre"," 4","North York",36,90,11,59,1,197,431
35103,"York Centre/York-Centre"," 5","North York",Void/Supprimé,,,,,,
35103,"York Centre/York-Centre"," 6","North York",Void/Supprimé,,,,,,
35103,"York Centre/York-Centre"," 7","North York",15,92,15,61,4,187,372
35103,"York Centre/York-Centre"," 8","North York",Void/Supprimé,,,,,,
35103,"York Centre/York-Centre"," 9","North York",18,68,16,89,3,194,462
35103,"York Centre/York-Centre"," 10","North York",10,40,13,64,0,127,292
35103,"York Centre/York-Centre"," 11A","North York",Merged with No. 13/Fusionné avec le nº 13,,,,,,156
35103,"York Centre/York-Centre"," 11B","North York",14,47,2,48,2,113,238
35103,"York Centre/York-Centre"," 11C","North York",Merged with No. 410/Fusionné avec le nº 410,,,,,,84
35103,"York Centre/York-Centre"," 12","North York",Void/Supprimé,,,,,,
35103,"York Centre/York-Centre"," 13","North York",14,47,14,30,0,105,159
35103,"York Centre/York-Centre"," 14","North York",15,21,8,53,1,98,307
35103,"York Centre/York-Centre"," 15","North York",15,55,8,46,0,124,324
35103,"York Centre/York-Centre"," 16","North York",17,84,12,97,0,210,435
35103,"York Centre/York-Centre"," 17","North York",26,103,16,81,2,228,424
35103,"York Centre/York-Centre"," 18","North York",17,84,11,48,0,160,355
35103,"York Centre/York-Centre"," 19A","North York",15,47,10,18,1,91,234
35103,"York Centre/York-Centre"," 19B","North York",25,63,10,45,0,143,289
35103,"York Centre/York-Centre"," 20A","North York",17,59,6,60,0,142,245
35103,"York Centre/York-Centre"," 20B","North York",19,39,3,40,0,101,213
35103,"York Centre/York-Centre"," 21A","North York",17,83,9,55,0,164,389
35103,"York Centre/York-Centre"," 21B","North York",Merged with No. 20A/Fusionné avec le nº 20A,,,,,,137
35103,"York Centre/York-Centre"," 22","North York",16,76,6,63,2,163,382
35103,"York Centre/York-Centre"," 23","North York",7,94,20,58,1,180,435
35103,"York Centre/York-Centre"," 24","North York",8,84,19,56,0,167,347
35103,"York Centre/York-Centre"," 25","North York",26,77,9,70,3,185,402
35103,"York Centre/York-Centre"," 26A","North York",3,6,1,3,6,19,160
35103,"York Centre/York-Centre"," 26B","North York",6,37,5,31,2,81,228
35103,"York Centre/York-Centre"," 27","North York",12,49,11,51,0,123,285
35103,"York Centre/York-Centre"," 28","North York",16,43,11,33,0,103,276
