Electoral District Number/Numéro de circonscription,Electoral District Name/Nom de circonscription,Polling Station Number/Numéro du bureau de scrutin,Polling Station Name/Nom du bureau de scrutin,Jean-Pierre Blackburn,Chantale Bouchard,Marc Dupéré,Jean-François Paradis,Rejected Ballots/Bulletins rejetés,Total Votes/Total des votes,Electors/Électeurs
24026,"Jonquière--Alma/Jonquière--Alma"," 1","Bégin",70,56,14,16,2,158,289
24026,"Jonquière--Alma/Jonquière--Alma"," 2","Saint-David-de-Falardeau",114,112,29,17,5,277,581
24026,"Jonquière--Alma/Jonquière--Alma"," 3","Saint-David-de-Falardeau",116,102,13,18,0,249,454
24026,"Jonquière--Alma/Jonquière--Alma"," 3-1","Saint-David-de-Falardeau",190,117,15,14,5,341,555
24026,"Jonquière--Alma/Jonquière--Alma"," 4","Bégin",95,79,17,11,2,204,384
24026,"Jonquière--Alma/Jonquière--Alma"," 5","Saint-David-de-Falardeau",97,74,8,13,0,192,412
24026,"Jonquière--Alma/Jonquière--Alma"," 6","Saint-Ambroise",83,73,5,15,1,177,364
24026,"Jonquière--Alma/Jonquière--Alma"," 7","Saint-Ambroise",88,79,2,13,1,183,364
24026,"Jonquière--Alma/Jonquière--Alma"," 8","Saint-Ambroise",131,107,16,12,5,271,437
24026,"Jonquière--Alma/Jonquière--Alma"," 9","Saint-Ambroise",120,105,4,6,1,236,439
24026,"Jonquière--Alma/Jonquière--Alma"," 10","Saint-Ambroise",127,103,7,15,3,255,401
24026,"Jonquière--Alma/Jonquière--Alma"," 11","Saint-Ambroise",116,83,10,6,2,217,435
24026,"Jonquière--Alma/Jonquière--Alma"," 12","Saint-Charles-de-Bourget",107,78,9,6,1,201,287
24026,"Jonquière--Alma/Jonquière--Alma"," 13","Saint-Charles-de-Bourget",75,81,6,4,2,168,273
24026,"Jonquière--Alma/Jonquière--Alma"," 14","Saint-Ambroise",76,61,6,10,3,156,304
24026,"Jonquière--Alma/Jonquière--Alma"," 15","Shipshaw",101,64,17,16,4,202,312
24026,"Jonquière--Alma/Jonquière--Alma"," 16","Shipshaw",64,46,6,6,1,123,232
24026,"Jonquière--Alma/Jonquière--Alma"," 17","Shipshaw",154,114,26,20,6,320,560
24026,"Jonquière--Alma/Jonquière--Alma"," 18","Shipshaw",163,95,17,24,5,304,496
24026,"Jonquière--Alma/Jonquière--Alma"," 19","Shipshaw",165,93,10,15,6,289,412
24026,"Jonquière--Alma/Jonquière--Alma"," 20","Shipshaw",78,49,16,11,5,159,266
24026,"Jonquière--Alma/Jonquière--Alma"," 21","Delisle",51,86,17,9,2,165,309
24026,"Jonquière--Alma/Jonquière--Alma"," 21-1","Delisle",79,74,8,3,5,169,308
24026,"Jonquière--Alma/Jonquière--Alma"," 22","Delisle",112,101,3,11,2,229,394
24026,"Jonquière--Alma/Jonquière--Alma"," 23","Delisle",110,78,19,10,2,219,447
24026,"Jonquière--Alma/Jonquière--Alma"," 24","Delisle",93,88,8,20,7,216,326
24026,"Jonquière--Alma/Jonquière--Alma"," 25","Delisle",74,88,5,6,3,176,357
24026,"Jonquière--Alma/Jonquière--Alma"," 26","Delisle",99,112,10,18,4,243,425
24026,"Jonquière--Alma/Jonquière--Alma"," 27","Delisle",125,109,17,25,3,279,504
24026,"Jonquière--Alma/Jonquière--Alma"," 28","Alma",114,109,8,18,5,254,468
24026,"Jonquière--Alma/Jonquière--Alma"," 29","Alma",139,99,9,13,1,261,459
24026,"Jonquière--Alma/Jonquière--Alma"," 30","Alma",99,135,5,9,3,251,404
24026,"Jonquière--Alma/Jonquière--Alma"," 31","Alma",86,79,15,11,4,195,300
24026,"Jonquière--Alma/Jonquière--Alma"," 32","Alma",77,89,9,8,1,184,262
24026,"Jonquière--Alma/Jonquière--Alma"," 33","Alma",57,79,8,13,1,158,276
24026,"Jonquière--Alma/Jonquière--Alma"," 34","Alma",82,71,3,2,2,160,286
24026,"Jonquière--Alma/Jonquière--Alma"," 35","Alma",72,78,6,9,4,169,331
24026,"Jonquière--Alma/Jonquière--Alma"," 36","Alma",75,59,6,15,1,156,253
24026,"Jonquière--Alma/Jonquière--Alma"," 37A","Alma",152,119,20,16,9,316,627
24026,"Jonquière--Alma/Jonquière--Alma"," 37B","Alma",Merged with No. 400/Fusionné avec le nº 400,,,,,,25
24026,"Jonquière--Alma/Jonquière--Alma"," 38","Alma",86,66,5,15,0,172,319
24026,"Jonquière--Alma/Jonquière--Alma"," 39","Alma",109,111,13,9,0,242,415
24026,"Jonquière--Alma/Jonquière--Alma"," 39-1","Alma",50,64,8,7,3,132,223
24026,"Jonquière--Alma/Jonquière--Alma"," 40","Alma",59,77,5,9,2,152,361
24026,"Jonquière--Alma/Jonquière--Alma"," 41","Alma",80,79,8,6,1,174,296
24026,"Jonquière--Alma/Jonquière--Alma"," 42","Alma",74,86,5,3,4,172,351
24026,"Jonquière--Alma/Jonquière--Alma"," 43","Alma",64,122,15,13,3,217,363
24026,"Jonquière--Alma/Jonquière--Alma"," 44","Alma",36,73,11,6,3,129,286
24026,"Jonquière--Alma/Jonquière--Alma"," 45","Alma",40,65,3,5,5,118,287
24026,"Jonquière--Alma/Jonquière--Alma"," 46","Alma",87,67,11,6,2,173,336
24026,"Jonquière--Alma/Jonquière--Alma"," 47","Alma",62,74,9,5,1,151,332
24026,"Jonquière--Alma/Jonquière--Alma"," 48","Alma",72,102,8,4,0,186,351
24026,"Jonquière--Alma/Jonquière--Alma"," 49","Alma",62,92,10,11,1,176,305
24026,"Jonquière--Alma/Jonquière--Alma"," 50","Alma",70,84,7,11,0,172,310
24026,"Jonquière--Alma/Jonquière--Alma"," 51","Alma",120,99,5,15,7,246,436
24026,"Jonquière--Alma/Jonquière--Alma"," 52","Alma",87,94,11,12,2,206,343
24026,"Jonquière--Alma/Jonquière--Alma"," 53","Alma",109,90,9,5,0,213,383
24026,"Jonquière--Alma/Jonquière--Alma"," 54","Alma",61,57,10,6,1,135,287
24026,"Jonquière--Alma/Jonquière--Alma"," 55","Alma",64,70,8,10,4,156,361
24026,"Jonquière--Alma/Jonquière--Alma"," 56","Alma",65,96,12,5,3,181,406
24026,"Jonquière--Alma/Jonquière--Alma"," 57","Alma",99,102,15,13,3,232,394
24026,"Jonquière--Alma/Jonquière--Alma"," 58","Alma",61,85,6,9,2,163,327
24026,"Jonquière--Alma/Jonquière--Alma"," 59","Alma",59,82,14,12,3,170,317
24026,"Jonquière--Alma/Jonquière--Alma"," 60","Alma",75,106,12,7,1,201,323
24026,"Jonquière--Alma/Jonquière--Alma"," 61","Alma",78,89,7,10,3,187,357
24026,"Jonquière--Alma/Jonquière--Alma"," 62","Alma",93,82,12,11,0,198,372
24026,"Jonquière--Alma/Jonquière--Alma"," 63","Alma",138,117,8,16,5,284,441
24026,"Jonquière--Alma/Jonquière--Alma"," 64","Alma",94,124,14,14,0,246,376
24026,"Jonquière--Alma/Jonquière--Alma"," 65","Alma",125,132,11,16,0,284,426
24026,"Jonquière--Alma/Jonquière--Alma"," 66","Alma",88,95,14,15,7,219,372
24026,"Jonquière--Alma/Jonquière--Alma"," 67","Alma",87,58,12,12,3,172,306
24026,"Jonquière--Alma/Jonquière--Alma"," 68","Alma",89,77,16,9,0,191,354
24026,"Jonquière--Alma/Jonquière--Alma"," 69","Alma",176,99,16,15,4,310,441
24026,"Jonquière--Alma/Jonquière--Alma"," 70","Alma",83,70,12,6,0,171,318
24026,"Jonquière--Alma/Jonquière--Alma"," 71","Alma",117,85,11,15,3,231,375
24026,"Jonquière--Alma/Jonquière--Alma"," 72","Alma",120,82,15,14,1,232,356
24026,"Jonquière--Alma/Jonquière--Alma"," 73","Alma",136,141,14,21,5,317,498
24026,"Jonquière--Alma/Jonquière--Alma"," 74","Alma",113,90,8,11,2,224,392
24026,"Jonquière--Alma/Jonquière--Alma"," 75","Alma",110,66,9,11,2,198,331
24026,"Jonquière--Alma/Jonquière--Alma"," 75-1","Alma",133,70,19,13,6,241,373
24026,"Jonquière--Alma/Jonquière--Alma"," 76A","Alma",125,90,12,14,1,242,394
24026,"Jonquière--Alma/Jonquière--Alma"," 76B","Mobile poll/Bureau itinérant",Merged with No. 502/Fusionné avec le nº 502,,,,,,36
24026,"Jonquière--Alma/Jonquière--Alma"," 77","Alma",107,110,14,9,2,242,369
24026,"Jonquière--Alma/Jonquière--Alma"," 78","Alma",100,61,11,5,4,181,293
24026,"Jonquière--Alma/Jonquière--Alma"," 79","Alma",124,139,12,8,5,288,485
24026,"Jonquière--Alma/Jonquière--Alma"," 80","Alma",175,154,12,15,6,362,616
24026,"Jonquière--Alma/Jonquière--Alma"," 81","Alma",130,104,11,9,0,254,414
24026,"Jonquière--Alma/Jonquière--Alma"," 82","Larouche",189,138,15,22,5,369,595
24026,"Jonquière--Alma/Jonquière--Alma"," 83","Larouche",136,99,8,16,6,265,391
24026,"Jonquière--Alma/Jonquière--Alma"," 84","Lac-Kénogami",68,67,10,6,2,153,238
24026,"Jonquière--Alma/Jonquière--Alma"," 85","Lac-Kénogami",199,106,7,7,1,320,522
24026,"Jonquière--Alma/Jonquière--Alma"," 86","Lac-Kénogami",98,53,9,6,0,166,264
24026,"Jonquière--Alma/Jonquière--Alma"," 86-1","Lac-Kénogami",96,71,13,13,3,196,349
24026,"Jonquière--Alma/Jonquière--Alma"," 87","Lac-Kénogami",154,100,9,10,1,274,412
24026,"Jonquière--Alma/Jonquière--Alma"," 88","Lac-Kénogami",103,51,11,8,1,174,277
24026,"Jonquière--Alma/Jonquière--Alma"," 89","Jonquière",120,76,14,8,3,221,416
24026,"Jonquière--Alma/Jonquière--Alma"," 90","Jonquière",138,53,10,6,2,209,340
24026,"Jonquière--Alma/Jonquière--Alma"," 91","Jonquière",214,103,14,14,4,349,551
24026,"Jonquière--Alma/Jonquière--Alma"," 92","Jonquière",230,85,16,8,6,345,509
24026,"Jonquière--Alma/Jonquière--Alma"," 93","Jonquière",154,62,2,9,5,232,374
24026,"Jonquière--Alma/Jonquière--Alma"," 94","Jonquière",137,51,7,6,4,205,327
24026,"Jonquière--Alma/Jonquière--Alma"," 95","Jonquière",106,57,2,2,3,170,377
24026,"Jonquière--Alma/Jonquière--Alma"," 96","Jonquière",147,65,6,9,1,228,357
24026,"Jonquière--Alma/Jonquière--Alma"," 97","Jonquière",90,55,11,5,1,162,283
24026,"Jonquière--Alma/Jonquière--Alma"," 98","Jonquière",241,132,19,23,3,418,664
24026,"Jonquière--Alma/Jonquière--Alma"," 99","Jonquière",78,57,3,12,3,153,318
24026,"Jonquière--Alma/Jonquière--Alma"," 100","Jonquière",88,56,13,14,2,173,306
24026,"Jonquière--Alma/Jonquière--Alma"," 101","Jonquière",131,76,13,17,0,237,398
24026,"Jonquière--Alma/Jonquière--Alma"," 102","Jonquière",107,66,4,10,2,189,389
24026,"Jonquière--Alma/Jonquière--Alma"," 103","Jonquière",40,45,6,3,1,95,193
24026,"Jonquière--Alma/Jonquière--Alma"," 104","Jonquière",95,40,5,10,0,150,303
24026,"Jonquière--Alma/Jonquière--Alma"," 105","Jonquière",63,41,3,5,4,116,213
24026,"Jonquière--Alma/Jonquière--Alma"," 106","Jonquière",113,64,6,10,4,197,364
24026,"Jonquière--Alma/Jonquière--Alma"," 107","Jonquière",162,78,10,15,7,272,394
24026,"Jonquière--Alma/Jonquière--Alma"," 108","Jonquière",100,62,4,3,3,172,276
24026,"Jonquière--Alma/Jonquière--Alma"," 109","Jonquière",208,89,12,12,0,321,518
24026,"Jonquière--Alma/Jonquière--Alma"," 110","Jonquière",138,61,19,4,2,224,378
24026,"Jonquière--Alma/Jonquière--Alma"," 111","Jonquière",110,60,12,8,3,193,411
24026,"Jonquière--Alma/Jonquière--Alma"," 112","Jonquière",98,81,2,9,2,192,331
24026,"Jonquière--Alma/Jonquière--Alma"," 113","Jonquière",163,69,6,8,0,246,380
24026,"Jonquière--Alma/Jonquière--Alma"," 114","Jonquière",113,66,9,5,5,198,394
24026,"Jonquière--Alma/Jonquière--Alma"," 115","Jonquière",127,53,7,12,4,203,387
24026,"Jonquière--Alma/Jonquière--Alma"," 116","Jonquière",128,74,12,10,3,227,372
24026,"Jonquière--Alma/Jonquière--Alma"," 117","Jonquière",168,64,9,9,4,254,388
24026,"Jonquière--Alma/Jonquière--Alma"," 118","Jonquière",176,56,24,15,0,271,423
24026,"Jonquière--Alma/Jonquière--Alma"," 119","Jonquière",122,59,11,9,1,202,374
