Electoral District Number/Numéro de circonscription,Electoral District Name/Nom de circonscription,Polling Station Number/Numéro du bureau de scrutin,Polling Station Name/Nom du bureau de scrutin,Annick Corriveau,Jean Courchesne,Réginald Gagnon,André Komlosy,Roger Pomerleau,Rejected Ballots/Bulletins rejetés,Total Votes/Total des votes,Electors/Électeurs
24018,"Drummond/Drummond"," 1","Notre-Dame-du-Bon-Conseil",17,19,6,37,65,2,146,232
24018,"Drummond/Drummond"," 2","Notre-Dame-du-Bon-Conseil",41,54,5,93,95,9,297,481
24018,"Drummond/Drummond"," 3","Notre-Dame-du-Bon-Conseil",17,42,3,45,49,2,158,246
24018,"Drummond/Drummond"," 4","Notre-Dame-du-Bon-Conseil",45,47,5,32,61,7,197,302
24018,"Drummond/Drummond"," 5","Notre-Dame-du-Bon-Conseil",30,57,6,80,97,3,273,452
24018,"Drummond/Drummond"," 6","Sainte-Brigitte-des-Saults",26,43,1,65,87,6,228,347
24018,"Drummond/Drummond"," 7","Sainte-Brigitte-des-Saults",23,32,5,48,43,2,153,261
24018,"Drummond/Drummond"," 8","Saint-Joachim-de-Courval",63,35,13,81,175,5,372,589
24018,"Drummond/Drummond"," 9","Saint-Cyrille-de-Wendover",48,30,3,32,75,4,192,316
24018,"Drummond/Drummond"," 10","Saint-Cyrille-de-Wendover",27,30,7,38,56,5,163,281
24018,"Drummond/Drummond"," 11A","Saint-Cyrille-de-Wendover",46,44,12,44,94,2,242,380
24018,"Drummond/Drummond"," 11B","Saint-Cyrille-de-Wendover",46,30,2,57,86,7,228,394
24018,"Drummond/Drummond"," 12","Saint-Cyrille-de-Wendover",43,48,9,57,75,6,238,410
24018,"Drummond/Drummond"," 13","Saint-Cyrille-de-Wendover",47,52,5,53,96,4,257,460
24018,"Drummond/Drummond"," 14","Saint-Cyrille-de-Wendover",64,51,3,100,110,11,339,579
24018,"Drummond/Drummond"," 15","Saint-Cyrille-de-Wendover",31,30,2,48,68,3,182,336
24018,"Drummond/Drummond"," 16A","Saint-Lucien",37,25,4,42,91,2,201,377
24018,"Drummond/Drummond"," 16B","Saint-Lucien",31,16,8,42,74,3,174,388
24018,"Drummond/Drummond"," 17","Saint-Lucien",33,56,3,73,105,9,279,480
24018,"Drummond/Drummond"," 18","Kingsey",36,37,9,47,77,8,214,346
24018,"Drummond/Drummond"," 19","Kingsey",51,47,11,84,101,7,301,522
24018,"Drummond/Drummond"," 20","Kingsey",37,46,6,62,50,4,205,311
24018,"Drummond/Drummond"," 21","Saint-Pie-de-Guire",40,30,6,31,105,7,219,346
24018,"Drummond/Drummond"," 22","Saint-Bonaventure",36,34,7,53,114,11,255,392
24018,"Drummond/Drummond"," 23","Saint-Bonaventure",56,26,5,55,110,9,261,394
24018,"Drummond/Drummond"," 24","Saint-Majorique",60,65,9,89,140,7,370,599
24018,"Drummond/Drummond"," 25","Saint-Majorique",29,24,7,29,74,6,169,257
24018,"Drummond/Drummond"," 26","Saint-Edmond-de-Grantham",73,45,6,82,126,3,335,544
24018,"Drummond/Drummond"," 27","Saint-Guillaume",24,31,6,41,54,6,162,261
24018,"Drummond/Drummond"," 28","Saint-Guillaume",29,29,8,49,90,6,211,350
24018,"Drummond/Drummond"," 29","Saint-Guillaume",16,26,6,29,61,6,144,235
24018,"Drummond/Drummond"," 30","Saint-Guillaume",40,34,5,67,77,8,231,332
24018,"Drummond/Drummond"," 31","Saint-Eugène",44,27,6,59,132,5,273,413
24018,"Drummond/Drummond"," 32","Saint-Eugène",46,28,6,53,119,6,258,445
24018,"Drummond/Drummond"," 33","Saint-Germain-de-Grantham",42,39,3,56,94,6,240,435
24018,"Drummond/Drummond"," 34","Saint-Germain-de-Grantham",44,31,6,63,114,8,266,431
24018,"Drummond/Drummond"," 35","Saint-Germain-de-Grantham",61,62,13,71,165,10,382,539
24018,"Drummond/Drummond"," 36A","Saint-Germain-de-Grantham",41,40,2,63,97,6,249,380
24018,"Drummond/Drummond"," 36B","Saint-Germain-de-Grantham",38,40,6,56,102,6,248,396
24018,"Drummond/Drummond"," 37","Saint-Germain-de-Grantham",60,40,10,64,131,12,317,528
24018,"Drummond/Drummond"," 38","Saint-Germain-de-Grantham",33,33,3,40,85,5,199,378
24018,"Drummond/Drummond"," 39","Drummondville",44,42,7,76,91,6,266,462
24018,"Drummond/Drummond"," 40","Drummondville",49,55,6,68,119,7,304,476
24018,"Drummond/Drummond"," 41","Drummondville",47,27,10,62,134,8,288,644
24018,"Drummond/Drummond"," 42","Drummondville",30,32,7,80,97,4,250,451
24018,"Drummond/Drummond"," 43","Drummondville",81,60,11,90,156,5,403,634
24018,"Drummond/Drummond"," 44","Drummondville",24,23,4,38,57,5,151,260
24018,"Drummond/Drummond"," 45","Drummondville",42,25,9,40,102,5,223,514
24018,"Drummond/Drummond"," 46","Drummondville",37,61,7,65,96,5,271,610
24018,"Drummond/Drummond"," 47","Drummondville",42,28,7,43,76,4,200,414
24018,"Drummond/Drummond"," 48","Drummondville",44,46,3,80,84,0,257,396
24018,"Drummond/Drummond"," 49A","Drummondville",57,43,3,66,91,2,262,420
24018,"Drummond/Drummond"," 49B","Drummondville",40,44,7,74,87,8,260,442
24018,"Drummond/Drummond"," 50","Drummondville",41,36,6,61,112,7,263,678
24018,"Drummond/Drummond"," 51A","Drummondville",30,60,3,73,90,5,261,514
24018,"Drummond/Drummond"," 51B","Drummondville",32,48,7,75,98,9,269,497
24018,"Drummond/Drummond"," 52","Drummondville",39,84,6,117,118,2,366,562
24018,"Drummond/Drummond"," 53","Drummondville",21,59,11,69,80,3,243,376
24018,"Drummond/Drummond"," 54","Drummondville",43,64,5,53,58,3,226,534
24018,"Drummond/Drummond"," 55","Drummondville",28,35,3,45,71,1,183,304
24018,"Drummond/Drummond"," 56","Drummondville",26,22,1,43,77,1,170,294
24018,"Drummond/Drummond"," 57","Drummondville",16,42,6,68,47,3,182,322
24018,"Drummond/Drummond"," 58","Drummondville",47,47,4,70,90,3,261,501
24018,"Drummond/Drummond"," 59","Drummondville",34,54,5,71,76,2,242,460
24018,"Drummond/Drummond"," 60","Drummondville",27,34,2,33,58,8,162,357
24018,"Drummond/Drummond"," 61","Drummondville",38,27,1,36,82,4,188,322
24018,"Drummond/Drummond"," 62","Drummondville",28,38,7,26,47,3,149,248
24018,"Drummond/Drummond"," 63","Drummondville",23,35,8,20,54,2,142,307
24018,"Drummond/Drummond"," 64","Drummondville",38,72,3,126,90,5,334,626
24018,"Drummond/Drummond"," 65","Saint-Charles-de-Drummond",42,42,4,49,90,6,233,357
24018,"Drummond/Drummond"," 66A","Saint-Charles-de-Drummond",36,37,7,62,87,3,232,399
24018,"Drummond/Drummond"," 66B","Saint-Charles-de-Drummond",38,44,8,58,88,3,239,393
24018,"Drummond/Drummond"," 66C","Saint-Charles-de-Drummond",66,44,6,70,81,3,270,427
24018,"Drummond/Drummond"," 67","Saint-Charles-de-Drummond",43,30,2,50,105,3,233,424
24018,"Drummond/Drummond"," 68","Saint-Charles-de-Drummond",88,66,9,73,107,16,359,627
24018,"Drummond/Drummond"," 69","Saint-Charles-de-Drummond",26,18,7,43,68,5,167,294
24018,"Drummond/Drummond"," 70","Saint-Charles-de-Drummond",32,31,3,47,81,4,198,343
24018,"Drummond/Drummond"," 71","Saint-Charles-de-Drummond",42,37,8,58,106,10,261,453
24018,"Drummond/Drummond"," 72","Drummondville",55,61,6,102,117,4,345,728
24018,"Drummond/Drummond"," 73","Saint-Charles-de-Drummond",40,43,3,36,76,8,206,353
24018,"Drummond/Drummond"," 74","Saint-Charles-de-Drummond",58,64,9,103,166,6,406,718
24018,"Drummond/Drummond"," 75","Saint-Charles-de-Drummond",40,36,13,77,104,2,272,464
24018,"Drummond/Drummond"," 76","Drummondville",19,21,6,30,41,8,125,250
24018,"Drummond/Drummond"," 77","Drummondville",12,13,3,19,36,0,83,218
24018,"Drummond/Drummond"," 78","Drummondville",26,24,4,33,72,7,166,370
24018,"Drummond/Drummond"," 79","Drummondville",23,24,5,35,73,6,166,445
24018,"Drummond/Drummond"," 80","Drummondville",18,31,4,24,62,2,141,352
24018,"Drummond/Drummond"," 81","Drummondville",5,10,0,25,18,4,62,241
24018,"Drummond/Drummond"," 82","Drummondville",6,24,3,28,37,4,102,257
24018,"Drummond/Drummond"," 83","Drummondville",21,21,4,15,50,2,113,348
24018,"Drummond/Drummond"," 84","Drummondville",24,21,6,30,64,1,146,325
24018,"Drummond/Drummond"," 85","Drummondville",20,13,1,33,62,3,132,416
24018,"Drummond/Drummond"," 86","Drummondville",35,25,2,30,57,8,157,330
