district_code,district_name_english,district_name_french,party,candidate_last,candidate_first
10001,Avalon,Avalon,NDP,,
10001,Avalon,Avalon,Conservative,,
10001,Avalon,Avalon,Green,,
10001,Avalon,Avalon,Liberal,McDonald,Ken
10002,Bonavista--Burin--Trinity,Bonavista--Burin--Trinity,NDP,,
10002,Bonavista--Burin--Trinity,Bonavista--Burin--Trinity,Green,,
10002,Bonavista--Burin--Trinity,Bonavista--Burin--Trinity,Liberal,Rogers,Churence
10002,Bonavista--Burin--Trinity,Bonavista--Burin--Trinity,Conservative,Windsor,Mike
10003,Coast of Bays--Central--Notre Dame,Coast of Bays--Central--Notre Dame,NDP,,
10003,Coast of Bays--Central--Notre Dame,Coast of Bays--Central--Notre Dame,Conservative,,
10003,Coast of Bays--Central--Notre Dame,Coast of Bays--Central--Notre Dame,Green,,
10003,Coast of Bays--Central--Notre Dame,Coast of Bays--Central--Notre Dame,Liberal,Simms,Scott
10004,Labrador,Labrador,Liberal,Jones,Yvonne
10004,Labrador,Labrador,Conservative,,
10004,Labrador,Labrador,NDP,,
10004,Labrador,Labrador,Green,,
10005,Long Range Mountains,Long Range Mountains,NDP,,
10005,Long Range Mountains,Long Range Mountains,Green,,
10005,Long Range Mountains,Long Range Mountains,Liberal,Hutchings,Gudie
10005,Long Range Mountains,Long Range Mountains,Conservative,,
10006,St. John's East,St. John's-Est,Communist,,
10006,St. John's East,St. John's-Est,NDP,,
10006,St. John's East,St. John's-Est,Green,,
10006,St. John's East,St. John's-Est,Conservative,,
10006,St. John's East,St. John's-Est,Liberal,Whalen,Nick
10007,St. John's South--Mount Pearl,St. John's-Sud--Mount Pearl,NDP,,
10007,St. John's South--Mount Pearl,St. John's-Sud--Mount Pearl,Conservative,,
10007,St. John's South--Mount Pearl,St. John's-Sud--Mount Pearl,Green,,
10007,St. John's South--Mount Pearl,St. John's-Sud--Mount Pearl,Liberal,O'Regan,Seamus
11001,Cardigan,Cardigan,NDP,,
11001,Cardigan,Cardigan,Green,,
11001,Cardigan,Cardigan,Liberal,MacAulay,Lawrence
11001,Cardigan,Cardigan,Conservative,Patkai,Julius
11001,Cardigan,Cardigan,Christian Heritage,,
11002,Charlottetown,Charlottetown,NDP,,
11002,Charlottetown,Charlottetown,Liberal,Casey,Sean
11002,Charlottetown,Charlottetown,Conservative,Campbell,Robert
11002,Charlottetown,Charlottetown,Green,Lanthier,Darcie
11003,Egmont,Egmont,NDP,,
11003,Egmont,Egmont,Green,,
11003,Egmont,Egmont,Liberal,Morrissey,Bobby
11003,Egmont,Egmont,Conservative,McLellan,Logan
11004,Malpeque,Malpeque,Liberal,Easter,Wayne
11004,Malpeque,Malpeque,NDP,,
11004,Malpeque,Malpeque,Green,,
11004,Malpeque,Malpeque,Conservative,Stewart,Stephen
12001,Cape Breton--Canso,Cape Breton--Canso,Green,,
12001,Cape Breton--Canso,Cape Breton--Canso,Liberal,,
12001,Cape Breton--Canso,Cape Breton--Canso,Conservative,,
12001,Cape Breton--Canso,Cape Breton--Canso,NDP,,
12002,Central Nova,Nova-Centre,Conservative,Anderson,Harvey
12002,Central Nova,Nova-Centre,Liberal,Fraser,Sean
12002,Central Nova,Nova-Centre,Green,,
12002,Central Nova,Nova-Centre,NDP,,
12002,Central Nova,Nova-Centre,Independent,,
12003,Cumberland--Colchester,Cumberland--Colchester,Conservative,Armstrong,Scott
12003,Cumberland--Colchester,Cumberland--Colchester,Green,Blanch,Jason
12003,Cumberland--Colchester,Cumberland--Colchester,Liberal,,
12003,Cumberland--Colchester,Cumberland--Colchester,Independent,,
12003,Cumberland--Colchester,Cumberland--Colchester,Independent,,
12003,Cumberland--Colchester,Cumberland--Colchester,NDP,,
12004,Dartmouth--Cole Harbour,Dartmouth--Cole Harbour,NDP,Zaman,Rana
12004,Dartmouth--Cole Harbour,Dartmouth--Cole Harbour,Conservative,Cole,Jason
12004,Dartmouth--Cole Harbour,Dartmouth--Cole Harbour,Liberal,Fisher,Darren
12004,Dartmouth--Cole Harbour,Dartmouth--Cole Harbour,Green,MacPherson,Lil
12005,Halifax,Halifax,Marxist-Leninist,,
12005,Halifax,Halifax,Conservative,Holland,Bruce
12005,Halifax,Halifax,Liberal,Fillmore,Andy
12005,Halifax,Halifax,NDP,Saulnier,Christine
12005,Halifax,Halifax,Green,Roberts,Jo-Ann
12006,Halifax West,Halifax-Ouest,NDP,,
12006,Halifax West,Halifax-Ouest,Conservative,,
12006,Halifax West,Halifax-Ouest,Liberal,Regan,Geoff
12006,Halifax West,Halifax-Ouest,Green,Zurawski,Richard
12007,Kings--Hants,Kings--Hants,Liberal,,
12007,Kings--Hants,Kings--Hants,People's,,
12007,Kings--Hants,Kings--Hants,Green,Anderson,Brogan
12007,Kings--Hants,Kings--Hants,NDP,Schneider,Stephen
12007,Kings--Hants,Kings--Hants,Conservative,MacQuarrie,Martha
12008,Sackville--Preston--Chezzetcook,Sackville--Preston--Chezzetcook,Green,Edmonds,Anthony
12008,Sackville--Preston--Chezzetcook,Sackville--Preston--Chezzetcook,Liberal,Samson,Darrell
12008,Sackville--Preston--Chezzetcook,Sackville--Preston--Chezzetcook,NDP,,
12008,Sackville--Preston--Chezzetcook,Sackville--Preston--Chezzetcook,Conservative,,
12009,South Shore--St. Margarets,South Shore--St. Margarets,Communist,,
12009,South Shore--St. Margarets,South Shore--St. Margarets,Green,Trappenberg,Thomas
12009,South Shore--St. Margarets,South Shore--St. Margarets,Conservative,Perkins,Richard
12009,South Shore--St. Margarets,South Shore--St. Margarets,NDP,,
12009,South Shore--St. Margarets,South Shore--St. Margarets,Liberal,Jordan,Bernadette
12010,Sydney--Victoria,Sydney--Victoria,Conservative,,
12010,Sydney--Victoria,Sydney--Victoria,NDP,,
12010,Sydney--Victoria,Sydney--Victoria,Liberal,,
12010,Sydney--Victoria,Sydney--Victoria,Libertarian,,
12010,Sydney--Victoria,Sydney--Victoria,Green,,
12011,West Nova,Nova-Ouest,NDP,,
12011,West Nova,Nova-Ouest,Liberal,,
12011,West Nova,Nova-Ouest,Conservative,,
12011,West Nova,Nova-Ouest,Green,Green,Judy
13001,Acadie--Bathurst,Acadie--Bathurst,Green,,
13001,Acadie--Bathurst,Acadie--Bathurst,Liberal,Cormier,Serge
13001,Acadie--Bathurst,Acadie--Bathurst,Conservative,,
13001,Acadie--Bathurst,Acadie--Bathurst,NDP,,
13002,Beauséjour,Beauséjour,Conservative,,
13002,Beauséjour,Beauséjour,NDP,,
13002,Beauséjour,Beauséjour,Green,,
13002,Beauséjour,Beauséjour,Liberal,LeBlanc,Dominic
13002,Beauséjour,Beauséjour,People's,Mercier,Nancy
13003,Fredericton,Fredericton,Conservative,Johnson,Andrea
13003,Fredericton,Fredericton,Green,,
13003,Fredericton,Fredericton,Liberal,DeCourcey,Matt
13003,Fredericton,Fredericton,NDP,,
13004,Fundy Royal,Fundy Royal,Green,,
