district_code,district_name_english,district_name_french,party,candidate_last,candidate_first,candidate_middle
35085,Simcoe--Grey,Simcoe--Grey,Conservative,Guergis,Helena,
35085,Simcoe--Grey,Simcoe--Grey,Green,Ellis,Peter,
35086,Simcoe North,Simcoe-Nord,Liberal,DeVillers,Paul,
35086,Simcoe North,Simcoe-Nord,NDP,Hill,Jen,
35086,Simcoe North,Simcoe-Nord,Conservative,Stock,Peter,
35086,Simcoe North,Simcoe-Nord,Christian Heritage,Kooger,Adrian,
35086,Simcoe North,Simcoe-Nord,Canadian Action,Woods,Ian,
35086,Simcoe North,Simcoe-Nord,Green,Kirby,Mary Lou,
35087,Stormont--Dundas--South Glengarry,Stormont--Dundas--South Glengarry,Liberal,Kilger,Bob,
35087,Stormont--Dundas--South Glengarry,Stormont--Dundas--South Glengarry,Conservative,Lauzon,Guy,
35087,Stormont--Dundas--South Glengarry,Stormont--Dundas--South Glengarry,Green,Manley,Tom,
35087,Stormont--Dundas--South Glengarry,Stormont--Dundas--South Glengarry,NDP,MacDonald,Elaine,
35088,Sudbury,Sudbury,Liberal,Marleau,Diane,
35088,Sudbury,Sudbury,Marxist-Leninist,Starbuck,Dave,
35088,Sudbury,Sudbury,Conservative,Butcher,Stephen,L.
35088,Sudbury,Sudbury,Green,Norton,Luke,
35088,Sudbury,Sudbury,NDP,McIntaggart,Gerry,
35089,Thornhill,Thornhill,Liberal,Kadis,Susan,
35089,Thornhill,Thornhill,Conservative,Cooper,Josh,
35089,Thornhill,Thornhill,Independent,Iron,Simion,
35089,Thornhill,Thornhill,Independent,Fitzerman,Benjamin,
35089,Thornhill,Thornhill,Green,Helferty,Lloyd,
35089,Thornhill,Thornhill,NDP,Morelli,Rick,
35090,Thunder Bay--Rainy River,Thunder Bay--Rainy River,Liberal,Boshcoff,Ken,
35090,Thunder Bay--Rainy River,Thunder Bay--Rainy River,Conservative,Leskowski,David,
35090,Thunder Bay--Rainy River,Thunder Bay--Rainy River,Christian Heritage,Scheibler,Johannes,
35090,Thunder Bay--Rainy River,Thunder Bay--Rainy River,Marijuana,Thompson,Doug,
35090,Thunder Bay--Rainy River,Thunder Bay--Rainy River,Green,Aegard,Russ,
35090,Thunder Bay--Rainy River,Thunder Bay--Rainy River,NDP,Rafferty,John,
35091,Thunder Bay--Superior North,Thunder Bay--Superior-Nord,Liberal,Comuzzi,Joe,
35091,Thunder Bay--Superior North,Thunder Bay--Superior-Nord,Conservative,Sarafin,Bev,
35091,Thunder Bay--Superior North,Thunder Bay--Superior-Nord,NDP,Hyer,Bruce,
35091,Thunder Bay--Superior North,Thunder Bay--Superior-Nord,Marijuana,Carrière,Denis,A.
35091,Thunder Bay--Superior North,Thunder Bay--Superior-Nord,Green,Rose,Carl,
35092,Timmins--James Bay,Timmins--Baie James,Liberal,Chénier,Raymond,
35092,Timmins--James Bay,Timmins--Baie James,Green,Kriss,Marsha,Gail
35092,Timmins--James Bay,Timmins--Baie James,NDP,Angus,Charlie,
35092,Timmins--James Bay,Timmins--Baie James,Conservative,Van Oosten,Andrew,
35093,Toronto Centre,Toronto-Centre,Liberal,Graham,Bill,
35093,Toronto Centre,Toronto-Centre,NDP,Shapcott,Michael,
35093,Toronto Centre,Toronto-Centre,Marxist-Leninist,Fernandez,Philip,
35093,Toronto Centre,Toronto-Centre,Canadian Action,Peck,Kevin,
35093,Toronto Centre,Toronto-Centre,Conservative,Harris,Megan,
35093,Toronto Centre,Toronto-Centre,Marijuana,Wagner,Jay,
35093,Toronto Centre,Toronto-Centre,Communist,Goldstick,Dan,
35093,Toronto Centre,Toronto-Centre,Green,Draven,Gabriel,
35094,Toronto--Danforth,Toronto--Danforth,Liberal,Mills,Dennis,
35094,Toronto--Danforth,Toronto--Danforth,NDP,Layton,Jack,
35094,Toronto--Danforth,Toronto--Danforth,Conservative,Cuddy,Loftus,
35094,Toronto--Danforth,Toronto--Danforth,Marijuana,Yee,Scott,
35094,Toronto--Danforth,Toronto--Danforth,Marxist-Leninist,Rodden,Marcell,
35094,Toronto--Danforth,Toronto--Danforth,Green,Harris,Jim,
35095,Trinity--Spadina,Trinity--Spadina,Liberal,Ianno,Tony,
35095,Trinity--Spadina,Trinity--Spadina,Conservative,Watters,David,
35095,Trinity--Spadina,Trinity--Spadina,PC,Hossain,Asif,
35095,Trinity--Spadina,Trinity--Spadina,Marxist-Leninist,Lin,Nick,
35095,Trinity--Spadina,Trinity--Spadina,No Affiliation,Knezetic,Daniel,
35095,Trinity--Spadina,Trinity--Spadina,Canadian Action,Downe - Dewdney,Tristan Alexander,
35095,Trinity--Spadina,Trinity--Spadina,Green,Viitala,Mark,
35095,Trinity--Spadina,Trinity--Spadina,NDP,Chow,Olivia,
35096,Vaughan,Vaughan,Liberal,Bevilacqua,Maurizio,
35096,Vaughan,Vaughan,Libertarian,Fabrizio,Paolo,
35096,Vaughan,Vaughan,Conservative,Spina,Joe,
35096,Vaughan,Vaughan,Canadian Action,Aolari,Walter,
35096,Vaughan,Vaughan,Green,Korus,Russell,
35096,Vaughan,Vaughan,NDP,Beckles,Octavia,
35097,Welland,Welland,Liberal,Maloney,John,
35097,Welland,Welland,Marxist-Leninist,Walker,Ron,
35097,Welland,Welland,NDP,Di Bartolomeo,Jody,
35097,Welland,Welland,Green,McLaughlin,Ryan,
35097,Welland,Welland,Christian Heritage,Ruiter,Irma,D.
35097,Welland,Welland,Conservative,Grunstein,Mel,
35098,Wellington--Halton Hills,Wellington--Halton Hills,Liberal,Hood,Bruce,
35098,Wellington--Halton Hills,Wellington--Halton Hills,Green,Bouteiller,Brent,
35098,Wellington--Halton Hills,Wellington--Halton Hills,Christian Heritage,Woode,Pat,
35098,Wellington--Halton Hills,Wellington--Halton Hills,NDP,Duignan,Noel,
35098,Wellington--Halton Hills,Wellington--Halton Hills,Conservative,Chong,Mike,
35099,Whitby--Oshawa,Whitby--Oshawa,Liberal,Longfield,Judi,
35099,Whitby--Oshawa,Whitby--Oshawa,Green,MacDonald,Michael,
35099,Whitby--Oshawa,Whitby--Oshawa,Conservative,MacNeil,Ian,
35099,Whitby--Oshawa,Whitby--Oshawa,NDP,Sadem-Thompson,Maret,
35100,Willowdale,Willowdale,Liberal,Peterson,Jim,
35100,Willowdale,Willowdale,PC,Behrouzi,Ardavan,
35100,Willowdale,Willowdale,Conservative,Boseovski,Jovan,
35100,Willowdale,Willowdale,Independent,Michael,Bernadette,
35100,Willowdale,Willowdale,Green,Vettese,Sharolyn,
35100,Willowdale,Willowdale,NDP,Bobb,Yvonne,
35101,Windsor--Tecumseh,Windsor--Tecumseh,Liberal,Limoges,Rick,
35101,Windsor--Tecumseh,Windsor--Tecumseh,Conservative,Fuschi,Rick,
35101,Windsor--Tecumseh,Windsor--Tecumseh,Marxist-Leninist,Chesnik,Laura,
35101,Windsor--Tecumseh,Windsor--Tecumseh,NDP,Comartin,Joe,
35101,Windsor--Tecumseh,Windsor--Tecumseh,Green,Powles,Élizabeth,
35102,Windsor West,Windsor-Ouest,Liberal,Pollock,Richard,
35102,Windsor West,Windsor-Ouest,Conservative,Katz,Jordan,
35102,Windsor West,Windsor-Ouest,NDP,Masse,Brian,
35102,Windsor West,Windsor-Ouest,Marxist-Leninist,Villamizar,Enver,
35102,Windsor West,Windsor-Ouest,Green,Spring,Rob,
35103,York Centre,York-Centre,Liberal,Dryden,Ken,
35103,York Centre,York-Centre,NDP,Flaherty,Peter,
35103,York Centre,York-Centre,Independent,Royz,Max,
35103,York Centre,York-Centre,Conservative,Mostyn,Michael,
35103,York Centre,York-Centre,Green,Kritsonis,Constantine,
35104,York--Simcoe,York--Simcoe,Liberal,Wilson,Kate,
35104,York--Simcoe,York--Simcoe,PC,Sircelj,Stephen,
35104,York--Simcoe,York--Simcoe,Conservative,Van Loan,Peter,
35104,York--Simcoe,York--Simcoe,Christian Heritage,Gunn,Vicki,
35104,York--Simcoe,York--Simcoe,Green,Burrows,Bob,
35104,York--Simcoe,York--Simcoe,NDP,Gerl,Sylvia,
35105,York South--Weston,York-Sud--Weston,Liberal,Tonks,Alan,
35105,York South--Weston,York-Sud--Weston,Conservative,Halicki,Stephen,
35105,York South--Weston,York-Sud--Weston,Communist,Hawley,Shirley,
35105,York South--Weston,York-Sud--Weston,Green,Fracassi,Jessica,
35105,York South--Weston,York-Sud--Weston,NDP,Ferreira,Paul,
35106,York West,York-Ouest,Liberal,Sgro,Judy,
35106,York West,York-Ouest,Christian Heritage,Grubb,Joseph,
35106,York West,York-Ouest,Conservative,Soobrian,Leslie,
35106,York West,York-Ouest,Green,McKellar,Tim,
35106,York West,York-Ouest,NDP,Romano Anthony,Sandra,
46001,Brandon--Souris,Brandon--Souris,Liberal,Downing,Murray,
46001,Brandon--Souris,Brandon--Souris,Communist,Gallagher,Lisa,
46001,Brandon--Souris,Brandon--Souris,Conservative,Tweed,Merv,
46001,Brandon--Souris,Brandon--Souris,Christian Heritage,Atkins,Colin,
46001,Brandon--Souris,Brandon--Souris,Green,Kattenburg,David,
46001,Brandon--Souris,Brandon--Souris,NDP,Abbey,Mike,
46002,Charleswood--St. James,Charleswood--St. James,Liberal,Murray,Glen,
46002,Charleswood--St. James,Charleswood--St. James,Conservative,Fletcher,Steven,John
46002,Charleswood--St. James,Charleswood--St. James,Marijuana,Zupansky,Dan,
46002,Charleswood--St. James,Charleswood--St. James,Communist,Alas,Beatriz,
46002,Charleswood--St. James,Charleswood--St. James,Green,Basham,Andrew,
46002,Charleswood--St. James,Charleswood--St. James,NDP,Carney,Peter,
46003,Churchill,Churchill,Liberal,Evans,Ron,
46003,Churchill,Churchill,NDP,Desjarlais,Bev,
46003,Churchill,Churchill,Conservative,Archer,Bill,
46003,Churchill,Churchill,Green,Nickarz,C. David,
46004,Dauphin--Swan River,Dauphin--Swan River,Liberal,Dewar,Don,
46004,Dauphin--Swan River,Dauphin--Swan River,Conservative,Mark,Inky,
46004,Dauphin--Swan River,Dauphin--Swan River,Christian Heritage,Andres,David,C.
46004,Dauphin--Swan River,Dauphin--Swan River,NDP,Kolisnyk,Walter,
46004,Dauphin--Swan River,Dauphin--Swan River,Green,Clubb,Lindy,
46005,Elmwood--Transcona,Elmwood--Transcona,Liberal,Parks,Tanya,
46005,Elmwood--Transcona,Elmwood--Transcona,Marijuana,Whittaker,Gavin,
46005,Elmwood--Transcona,Elmwood--Transcona,Conservative,McLeod,Bryan,
46005,Elmwood--Transcona,Elmwood--Transcona,Christian Heritage,Scott,Robert,
46005,Elmwood--Transcona,Elmwood--Transcona,Communist,Sidon,Paul,
46005,Elmwood--Transcona,Elmwood--Transcona,Green,Gair,Elijah,
46005,Elmwood--Transcona,Elmwood--Transcona,NDP,Blaikie,Bill,
46006,Kildonan--St. Paul,Kildonan--St. Paul,Liberal,Duguid,Terry,
46006,Kildonan--St. Paul,Kildonan--St. Paul,Conservative,Smith,Joy,
46006,Kildonan--St. Paul,Kildonan--St. Paul,Christian Heritage,Reimer,Katharine,
46006,Kildonan--St. Paul,Kildonan--St. Paul,Marijuana,Whittaker,Rebecca ,
46006,Kildonan--St. Paul,Kildonan--St. Paul,Green,Giesbrecht,Jacob,
46006,Kildonan--St. Paul,Kildonan--St. Paul,NDP,Mahoney,Lorene,
46007,Portage--Lisgar,Portage--Lisgar,Liberal,Kuhl,Don,
46007,Portage--Lisgar,Portage--Lisgar,NDP,Van Den Bussche,Daren,
46007,Portage--Lisgar,Portage--Lisgar,Conservative,Pallister,Brian,
46007,Portage--Lisgar,Portage--Lisgar,Green,Payette,Marc,
46007,Portage--Lisgar,Portage--Lisgar,Christian Heritage,Reimer,David,
46007,Portage--Lisgar,Portage--Lisgar,Communist,Cucksey,Allister,
46008,Provencher,Provencher,Liberal,Epp,Peter,
46008,Provencher,Provencher,Conservative,Toews,Vic,
46008,Provencher,Provencher,NDP,Zaharia,Sarah,
46008,Provencher,Provencher,Green,Gibson,Janine,G.
46009,Saint Boniface,Saint-Boniface,Liberal,Simard,Raymond,
46009,Saint Boniface,Saint-Boniface,NDP,Allard,Mathieu,
46009,Saint Boniface,Saint-Boniface,Conservative,Cooper,Ken,
46009,Saint Boniface,Saint-Boniface,Christian Heritage,Moquin-Perry,Jeannine,
46009,Saint Boniface,Saint-Boniface,Marijuana,Buors,Chris,
46009,Saint Boniface,Saint-Boniface,Communist,Guay,Gérard,
46009,Saint Boniface,Saint-Boniface,Green,Backé,Daniel,
46010,Selkirk--Interlake,Selkirk--Interlake,Liberal,Benson,Bruce,
46010,Selkirk--Interlake,Selkirk--Interlake,Conservative,Bezan,James,
46010,Selkirk--Interlake,Selkirk--Interlake,Christian Heritage,Barendregt,Anthony,
46010,Selkirk--Interlake,Selkirk--Interlake,NDP,Nicol,Duane,
46010,Selkirk--Interlake,Selkirk--Interlake,Green,Farley,Trevor,
46011,Winnipeg Centre,Winnipeg-Centre,Liberal,Northcott,David,
46011,Winnipeg Centre,Winnipeg-Centre,Communist,Carr,Anna-Celestrya,
46011,Winnipeg Centre,Winnipeg-Centre,Marijuana,Siedleski,John,M.
46011,Winnipeg Centre,Winnipeg-Centre,Conservative,Eng,Robert,
46011,Winnipeg Centre,Winnipeg-Centre,Independent,Schweitzer,Douglas,Edward
46011,Winnipeg Centre,Winnipeg-Centre,Green,Faye,Robin (Pilar),
46011,Winnipeg Centre,Winnipeg-Centre,NDP,Martin,Pat,
46012,Winnipeg North,Winnipeg-Nord,Liberal,Pagtakhan,Rey,D.
46012,Winnipeg North,Winnipeg-Nord,Conservative,Stevenson,Kris,
46012,Winnipeg North,Winnipeg-Nord,Christian Heritage,Truijen,Eric,
46012,Winnipeg North,Winnipeg-Nord,Communist,Rankin,Darrell,
46012,Winnipeg North,Winnipeg-Nord,Green,Weinberg,Alon,
46012,Winnipeg North,Winnipeg-Nord,NDP,Wasylycia-Leis,Judy,
46013,Winnipeg South,Winnipeg-Sud,Liberal,Alcock,Reg,
46013,Winnipeg South,Winnipeg-Sud,Conservative,Bruinooge,Rod,
46013,Winnipeg South,Winnipeg-Sud,Christian Heritage,MacDiarmid,Jane,
46013,Winnipeg South,Winnipeg-Sud,Green,Cameron,Ron,
46013,Winnipeg South,Winnipeg-Sud,NDP,Green,Catherine,
46014,Winnipeg South Centre,Winnipeg-Centre-Sud,Liberal,Neville,Anita,
46014,Winnipeg South Centre,Winnipeg-Centre-Sud,NDP,Allum,James,
46014,Winnipeg South Centre,Winnipeg-Centre-Sud,Green,Scott,Ian,
46014,Winnipeg South Centre,Winnipeg-Centre-Sud,Canadian Action,Thompson,Magnus,
46014,Winnipeg South Centre,Winnipeg-Centre-Sud,Conservative,Joshi,Raj,
46014,Winnipeg South Centre,Winnipeg-Centre-Sud,Marijuana,Caisse,Andy,
46014,Winnipeg South Centre,Winnipeg-Centre-Sud,Communist,Dalgliesh,Andrew,
47001,Battlefords--Lloydminster,Battlefords--Lloydminster,Liberal,Price,Del,
47001,Battlefords--Lloydminster,Battlefords--Lloydminster,NDP,McKee,Shawn,
47001,Battlefords--Lloydminster,Battlefords--Lloydminster,Conservative,Ritz,Gerry,
47001,Battlefords--Lloydminster,Battlefords--Lloydminster,Christian Heritage,Stephan,Diane,
47001,Battlefords--Lloydminster,Battlefords--Lloydminster,Green,Pearson,Kelsey,
47002,Blackstrap,Blackstrap,Liberal,Paulsen,Tiffany,
47002,Blackstrap,Blackstrap,NDP,Kossick,Don,
47002,Blackstrap,Blackstrap,Conservative,Yelich,Lynne,
47002,Blackstrap,Blackstrap,Christian Heritage,Sundberg,Clayton,A.
47002,Blackstrap,Blackstrap,Green,Oliphant,Lynn,
47003,Churchill River,Rivière Churchill,Liberal,Ducharme,Al,
47003,Churchill River,Rivière Churchill,Conservative,Harrison,Jeremy,
47003,Churchill River,Rivière Churchill,Independent,Laliberte,Rick,
47003,Churchill River,Rivière Churchill,Green,Gall,Marcella,
47003,Churchill River,Rivière Churchill,NDP,Cook,Earl,
47004,Cypress Hills--Grasslands,Cypress Hills--Grasslands,Liberal,Caton,Bill,
47004,Cypress Hills--Grasslands,Cypress Hills--Grasslands,Conservative,Anderson,David,
47004,Cypress Hills--Grasslands,Cypress Hills--Grasslands,Green,Currie,Bev,
47004,Cypress Hills--Grasslands,Cypress Hills--Grasslands,NDP,Potts,Jeff,
47005,Palliser,Palliser,Liberal,Williams,John,
47005,Palliser,Palliser,Christian Heritage,Stephan,Harold,
47005,Palliser,Palliser,Conservative,Batters,Dave,
47005,Palliser,Palliser,Green,Rands,Brian,
47005,Palliser,Palliser,NDP,Proctor,Dick,
47006,Prince Albert,Prince Albert,Liberal,Jahn,Patrick,W.
47006,Prince Albert,Prince Albert,Conservative,Fitzpatrick,Brian,
47006,Prince Albert,Prince Albert,Green,Loiselle,Marc,
47006,Prince Albert,Prince Albert,NDP,Hovdebo,Don,
47007,Regina--Lumsden--Lake Centre,Regina--Lumsden--Lake Centre,Liberal,Anderson,Gary,
47007,Regina--Lumsden--Lake Centre,Regina--Lumsden--Lake Centre,Green,Agi,Fiorindo,
47007,Regina--Lumsden--Lake Centre,Regina--Lumsden--Lake Centre,Conservative,Lukiwski,Tom,
47007,Regina--Lumsden--Lake Centre,Regina--Lumsden--Lake Centre,Independent,Spencer,Larry,
47007,Regina--Lumsden--Lake Centre,Regina--Lumsden--Lake Centre,NDP,Kovatch,Moe,
47008,Regina--Qu'Appelle,Regina--Qu'Appelle,Liberal,Herle,Allyce,
47008,Regina--Qu'Appelle,Regina--Qu'Appelle,Green,Robilliard,Deanna,
47008,Regina--Qu'Appelle,Regina--Qu'Appelle,No Affiliation,Widger,Lorne,Edward
47008,Regina--Qu'Appelle,Regina--Qu'Appelle,Conservative,Scheer,Andrew,
47008,Regina--Qu'Appelle,Regina--Qu'Appelle,Christian Heritage,Nelson,Mary,Sylvia
47008,Regina--Qu'Appelle,Regina--Qu'Appelle,NDP,Nystrom,Lorne,Edmund
47009,Saskatoon--Humboldt,Saskatoon--Humboldt,Liberal,Wolfe,Patrick,
47009,Saskatoon--Humboldt,Saskatoon--Humboldt,Green,Schriml,Ron,
47009,Saskatoon--Humboldt,Saskatoon--Humboldt,NDP,Wiebe,Nettie,
47009,Saskatoon--Humboldt,Saskatoon--Humboldt,Conservative,Trost,Bradley,R.
47009,Saskatoon--Humboldt,Saskatoon--Humboldt,Independent,Pankiw,Jim,
47009,Saskatoon--Humboldt,Saskatoon--Humboldt,No Affiliation,Zarysky,Larry,
47010,Saskatoon--Rosetown--Biggar,Saskatoon--Rosetown--Biggar,Liberal,Luczka,Myron,
47010,Saskatoon--Rosetown--Biggar,Saskatoon--Rosetown--Biggar,Conservative,Skelton,Carol,
47010,Saskatoon--Rosetown--Biggar,Saskatoon--Rosetown--Biggar,NDP,Gruending,Dennis,
47010,Saskatoon--Rosetown--Biggar,Saskatoon--Rosetown--Biggar,Green,Barsky,Rick,
47011,Saskatoon--Wanuskewin,Saskatoon--Wanuskewin,Liberal,Axworthy,Chris,
47011,Saskatoon--Wanuskewin,Saskatoon--Wanuskewin,Conservative,Vellacott,Maurice,
47011,Saskatoon--Wanuskewin,Saskatoon--Wanuskewin,Green,Greenfield,David,
47011,Saskatoon--Wanuskewin,Saskatoon--Wanuskewin,NDP,Settee,Priscilla,
47012,Souris--Moose Mountain,Souris--Moose Mountain,Liberal,McKague,Lonny,
47012,Souris--Moose Mountain,Souris--Moose Mountain,NDP,Stringer,Robert,Stephen
47012,Souris--Moose Mountain,Souris--Moose Mountain,Green,Gonzalez,Sigfredo,
47012,Souris--Moose Mountain,Souris--Moose Mountain,Christian Heritage,Jacobson,Robert,Thomas
47012,Souris--Moose Mountain,Souris--Moose Mountain,Conservative,Komarnicki,Ed,
47012,Souris--Moose Mountain,Souris--Moose Mountain,Independent,Devine,Grant,
47013,Wascana,Wascana,Liberal,Goodale,Ralph,
47013,Wascana,Wascana,NDP,Weir,Erin,M. K.
47013,Wascana,Wascana,Conservative,Cryer,Doug,
47013,Wascana,Wascana,Green,Robilliard,Darcy,
47014,Yorkton--Melville,Yorkton--Melville,Liberal,Quewezance,Ted,
47014,Yorkton--Melville,Yorkton--Melville,NDP,Olson,Don,
47014,Yorkton--Melville,Yorkton--Melville,Conservative,Breitkreuz,Garry,
47014,Yorkton--Melville,Yorkton--Melville,Independent,Sawkiw,David,
47014,Yorkton--Melville,Yorkton--Melville,Green,Pilchner,Ralph,
48001,Athabasca,Athabasca,Liberal,Faulkner,Doug,
48001,Athabasca,Athabasca,Conservative,Jean,Brian,
48001,Athabasca,Athabasca,NDP,Cree,Robert,
48001,Athabasca,Athabasca,Green,Hopfe,Ian,
48002,Calgary East,Calgary-Est,Liberal,Maxim,James,
48002,Calgary East,Calgary-Est,NDP,Thomas,Elizabeth,
48002,Calgary East,Calgary-Est,Communist,Devine,Jason,Corey
48002,Calgary East,Calgary-Est,Conservative,Obhrai,Deepak,
48002,Calgary East,Calgary-Est,Green,Christie,Dean,Kenneth
48003,Calgary North Centre,Calgary-Centre-Nord,Liberal,McClusky,Cathy,
48003,Calgary North Centre,Calgary-Centre-Nord,Marxist-Leninist,Askin,Margaret,Peggy
48003,Calgary North Centre,Calgary-Centre-Nord,Conservative,Prentice,Jim,
48003,Calgary North Centre,Calgary-Centre-Nord,Independent,Falconar,Michael,
48003,Calgary North Centre,Calgary-Centre-Nord,NDP,Chan,John,
48003,Calgary North Centre,Calgary-Centre-Nord,Green,MacGillivray,Mark,
48004,Calgary Northeast,Calgary-Nord-Est,Liberal,Muti,Dale,
48004,Calgary Northeast,Calgary-Nord-Est,Conservative,Hanger,Art,
48004,Calgary Northeast,Calgary-Nord-Est,Canadian Action,Garland,Steve,
48004,Calgary Northeast,Calgary-Nord-Est,Green,DuFord,Morgan,
48004,Calgary Northeast,Calgary-Nord-Est,NDP,Cattabeni,Giorgio,
48005,Calgary--Nose Hill,Calgary--Nose Hill,Liberal,Haney,Ted,
48005,Calgary--Nose Hill,Calgary--Nose Hill,Conservative,Ablonczy,Diane,
48005,Calgary--Nose Hill,Calgary--Nose Hill,Green,Larson,Richard,
48005,Calgary--Nose Hill,Calgary--Nose Hill,NDP,Dey,Vinay,
48006,Calgary South Centre,Calgary-Centre-Sud,Liberal,Turnbull,Julia,
48006,Calgary South Centre,Calgary-Centre-Sud,Conservative,Richardson,Lee,
48006,Calgary South Centre,Calgary-Centre-Sud,Canadian Action,Grover,Trevor,
48006,Calgary South Centre,Calgary-Centre-Sud,Green,Liesemer,Phillip,K.
48006,Calgary South Centre,Calgary-Centre-Sud,NDP,Purdy,Keith,
48007,Calgary Southeast,Calgary-Sud-Est,Liberal,Tanner,Jim,
48007,Calgary Southeast,Calgary-Sud-Est,Green,Read,George,
48007,Calgary Southeast,Calgary-Sud-Est,Conservative,Kenney,Jason,
48007,Calgary Southeast,Calgary-Sud-Est,NDP,Pincott,Brian,
48008,Calgary Southwest,Calgary-Sud-Ouest,Liberal,Roberts,Avalon,
48008,Calgary Southwest,Calgary-Sud-Ouest,Conservative,Harper,Stephen,J.
48008,Calgary Southwest,Calgary-Sud-Ouest,Christian Heritage,Heather,Larry,R.
48008,Calgary Southwest,Calgary-Sud-Ouest,Marijuana,de Pelham,Mark,
48008,Calgary Southwest,Calgary-Sud-Ouest,Green,Kraus,Darcy,
48008,Calgary Southwest,Calgary-Sud-Ouest,NDP,Fox,Daria,
48009,Calgary West,Calgary-Ouest,Liberal,Thompson,Justin,
48009,Calgary West,Calgary-Ouest,Canadian Action,Kohut,James,S.
48009,Calgary West,Calgary-Ouest,Marxist-Leninist,Vachon,André,
48009,Calgary West,Calgary-Ouest,Green,Roberts,Danielle,
48009,Calgary West,Calgary-Ouest,NDP,Patterson,Tim,
48009,Calgary West,Calgary-Ouest,Conservative,Anders,Rob,
48010,Crowfoot,Crowfoot,Liberal,Campbell,Adam,
48010,Crowfoot,Crowfoot,Green,Baker,Arnold,
48010,Crowfoot,Crowfoot,Marijuana,Cornelssen,Max,Leonard
48010,Crowfoot,Crowfoot,NDP,Parker,Ellen,
48010,Crowfoot,Crowfoot,Conservative,Sorenson,Kevin,
48011,Edmonton--Beaumont,Edmonton--Beaumont,Liberal,Kilgour,David,
48011,Edmonton--Beaumont,Edmonton--Beaumont,Communist,Rankin,Naomi,
48011,Edmonton--Beaumont,Edmonton--Beaumont,Green,Garfinkle,Michael,
48011,Edmonton--Beaumont,Edmonton--Beaumont,Conservative,Uppal,Tim,
48011,Edmonton--Beaumont,Edmonton--Beaumont,NDP,Reikie,Paul,
48012,Edmonton Centre,Edmonton-Centre,Liberal,McLellan,Anne,
48012,Edmonton Centre,Edmonton-Centre,PC,Tisdall,Sean,
48012,Edmonton Centre,Edmonton-Centre,Conservative,Hawn,Laurie,
48012,Edmonton Centre,Edmonton-Centre,Marijuana,Kenny,Lyle,
48012,Edmonton Centre,Edmonton-Centre,Independent,Baloun,John,
48012,Edmonton Centre,Edmonton-Centre,Marxist-Leninist,Morton,Peggy,
48012,Edmonton Centre,Edmonton-Centre,Green,Parker,David,J.
48012,Edmonton Centre,Edmonton-Centre,NDP,McMaster,Meghan,
48013,Edmonton East,Edmonton-Est,Liberal,Bethel,John,
48013,Edmonton East,Edmonton-Est,NDP,Strudwick,Janina,
48013,Edmonton East,Edmonton-Est,Green,Light,Harlan,
48013,Edmonton East,Edmonton-Est,Christian Heritage,Spronk,Ed,
48013,Edmonton East,Edmonton-Est,Conservative,Goldring,Peter,
48014,Edmonton--Leduc,Edmonton--Leduc,Liberal,King,Bruce,
48014,Edmonton--Leduc,Edmonton--Leduc,Green,Sinclair,Bruce,
48014,Edmonton--Leduc,Edmonton--Leduc,NDP,McLachlan,Doug,
48014,Edmonton--Leduc,Edmonton--Leduc,Conservative,Rajotte,James,
48015,Edmonton--St. Albert,Edmonton--St. Albert,Liberal,Saeed,Moe,
48015,Edmonton--St. Albert,Edmonton--St. Albert,NDP,Melymick,Mike,
48015,Edmonton--St. Albert,Edmonton--St. Albert,Conservative,Williams,John,
48015,Edmonton--St. Albert,Edmonton--St. Albert,Green,Bitangcol,Conrad,A.
48016,Edmonton--Sherwood Park,Edmonton--Sherwood Park,Liberal,Towns,Maureen,
48016,Edmonton--Sherwood Park,Edmonton--Sherwood Park,Green,Marean,Margaret,
48016,Edmonton--Sherwood Park,Edmonton--Sherwood Park,NDP,Harwood,Chris,
48016,Edmonton--Sherwood Park,Edmonton--Sherwood Park,Conservative,Epp,Ken,
48017,Edmonton--Spruce Grove,Edmonton--Spruce Grove,Liberal,Mather,Neil,
48017,Edmonton--Spruce Grove,Edmonton--Spruce Grove,NDP,Phillips,Hayley,
48017,Edmonton--Spruce Grove,Edmonton--Spruce Grove,Conservative,Ambrose,Rona,
48017,Edmonton--Spruce Grove,Edmonton--Spruce Grove,Green,Paschen,Jerry,
48018,Edmonton--Strathcona,Edmonton--Strathcona,Liberal,Carlson,Debby,
48018,Edmonton--Strathcona,Edmonton--Strathcona,Green,Wakefield,Cameron,
48018,Edmonton--Strathcona,Edmonton--Strathcona,Marxist-Leninist,Hunter,Kevan,
48018,Edmonton--Strathcona,Edmonton--Strathcona,Conservative,Jaffer,Rahim,
48018,Edmonton--Strathcona,Edmonton--Strathcona,Marijuana,Dowling,Dave,
48018,Edmonton--Strathcona,Edmonton--Strathcona,NDP,Azania,Malcolm,
48019,Lethbridge,Lethbridge,Liberal,Nicol,Ken,
48019,Lethbridge,Lethbridge,NDP,Thomas,Melanee,
48019,Lethbridge,Lethbridge,Marijuana,Sobie,Dustin,
48019,Lethbridge,Lethbridge,Conservative,Casson,Rick,
48019,Lethbridge,Lethbridge,Christian Heritage,Vanden Broek,Ken,
48019,Lethbridge,Lethbridge,Green,Matthews,Erin,Marie
48020,Macleod,Macleod,Liberal,Shade,Chris,
48020,Macleod,Macleod,NDP,Thomas,Joyce,
