pollster,spread
Abacus Data,4
Ipsos,4
Forum Research,2
Nanos Research,3
Leger,6
EKOS,12
Mainstreet Research,3
Innovative Research,11
Pollara,4
DART,7
Angus Reid,5
Insights West,3
Environics,12
Stratcom,3
Campaign Research,3
Corbett Communications,2
Research Co.,3
Narrative Research,20
DART/Maru,1
