district_code,district_name_english,district_name_french,party,candidate_last,candidate_first
10001,Avalon,Avalon,No affiliation,Andrews,Scott
10001,Avalon,Avalon,NDP,Baldwin,Jeannie
10001,Avalon,Avalon,Conservative,Barnett,Lorraine E.
10001,Avalon,Avalon,Green,Byrne-Puumala,Krista
10001,Avalon,Avalon,Forces,McCreath,Jennifer
10001,Avalon,Avalon,Liberal,McDonald,Ken
10002,Bonavista--Burin--Trinity,Bonavista--Burin--Trinity,NDP,Brown,Jenn
10002,Bonavista--Burin--Trinity,Bonavista--Burin--Trinity,Green,Colbourne,Tyler John
10002,Bonavista--Burin--Trinity,Bonavista--Burin--Trinity,Liberal,Foote,Judy M.
10002,Bonavista--Burin--Trinity,Bonavista--Burin--Trinity,Conservative,Windsor,Mike
10003,Coast of Bays--Central--Notre Dame,Coast of Bays--Central--Notre Dame,NDP,Menchenton,Claudette
10003,Coast of Bays--Central--Notre Dame,Coast of Bays--Central--Notre Dame,Conservative,O'Brien,Kevin George
10003,Coast of Bays--Central--Notre Dame,Coast of Bays--Central--Notre Dame,Green,Perry,Elizabeth
10003,Coast of Bays--Central--Notre Dame,Coast of Bays--Central--Notre Dame,Liberal,Simms,Scott
10004,Labrador,Labrador,Liberal,Jones,Yvonne
10004,Labrador,Labrador,Conservative,Penashue,Peter
10004,Labrador,Labrador,NDP,Rudkowski,Edward
10005,Long Range Mountains,Long Range Mountains,NDP,Babstock,Devon
10005,Long Range Mountains,Long Range Mountains,Green,Cormier,Terry
10005,Long Range Mountains,Long Range Mountains,Liberal,Hutchings,Gudie
10005,Long Range Mountains,Long Range Mountains,Conservative,Ruth,Wayne
10006,St. John's East,St. John's-Est,Communist,Burton,Sean
10006,St. John's East,St. John's-Est,NDP,Harris,Jack
10006,St. John's East,St. John's-Est,Green,Peters,David Anthony
10006,St. John's East,St. John's-Est,Conservative,Stapleton,Deanne
10006,St. John's East,St. John's-Est,Liberal,Whalen,Nick
10007,St. John's South--Mount Pearl,St. John's-Sud--Mount Pearl,NDP,Cleary,Ryan
