pollster,date,mode,moe,CPC,LPC,NDP,BQ,Green
Forum Research,2011-05-01,Phone (IVR),1.6,36,19,33,5,6
EKOS Research Associates[note 1],2011-05-01,Phone (IVR),1.8,33.9,21,31.2,6.4,6
Nanos Research[note 1],2011-05-01,Phone,3,37.1,20.5,31.6,5.7,3.8
Harris-Decima,2011-05-01,Phone,3.1,36,19,30,6,6
EKOS Research Associates[note 1],2011-04-30,Phone (IVR),1.8,34.6,20.4,31.4,5.4,6.3
Forum Research,2011-04-30,Phone (IVR),1.6,35,19,33,5,7
Nanos Research[note 1],2011-04-30,Phone,3,37,22.7,30.6,5.5,3.2
Abacus Data,2011-04-29,Online,3.2,37,18,32,7,7
COMPAS,2011-04-29,Phone,3.6,46,17,26,7,4
Nanos Research[note 1],2011-04-29,Phone,3,38,23.3,29.6,5.2,3.1
Angus Reid Public Opinion,2011-04-29,Online,2.2,37,19,33,6,4
Leger Marketing,2011-04-28,Online,1.7,36,21,31,7,4
Ipsos Reid,2011-04-28,Phone,3.1,38,18,33,6,4
EKOS Research Associates[note 1],2011-04-28,Phone (IVR),1.8,34.5,20,29.7,6.3,6.9
Nanos Research[note 1],2011-04-28,Phone,3.1,36.4,22,31.2,5.7,4
Harris-Decima,2011-04-27,Phone,3.1,35,22,30,5,7
EKOS Research Associates[note 1],2011-04-27,Phone (IVR),1.9,34.8,22.3,27.5,6.1,6.8
Nanos Research[note 1],2011-04-27,Phone,3.1,36.6,21.9,30.4,6,4.1
EKOS Research Associates[note 1],2011-04-26,Phone (IVR),1.9,34,22.9,28.1,6.6,6.5
Forum Research,2011-04-26,Phone (IVR),1.8,34,22,31,6,7
Nanos Research[note 1],2011-04-26,Phone,3.1,37.8,22.9,27.8,5.8,4.7
Angus Reid Public Opinion,2011-04-26,Online,2.2,35,22,30,7,5
EKOS Research Associates[note 1],2011-04-25,Phone (IVR),2,33.9,24,27.9,6,6.8
Innovative Research Group,2011-04-25,Phone,2.49,38.4,24.9,23.9,6.4,5.3
EKOS Research Associates,2011-04-24,Phone (IVR),1.9,33.7,23.7,28,6.2,7.2
Nanos Research[note 1],2011-04-24,Phone,3.1,39.2,25.6,23.6,6.5,3.6
Nanos Research[note 1],2011-04-23,Phone,3.1,38.6,25.9,23.2,7.2,3.7
Environics,2011-04-21,Phone,3.2,39,22,25,7,6
Nanos Research[note 1],2011-04-21,Phone,3.1,37.8,26.1,23.7,7.4,3.5
Ipsos Reid,2011-04-20,Phone,3.1,43,21,24,6,4
Forum Research,2011-04-20,Phone (IVR),2.2,36,23,25,6,6
Nanos Research[note 1],2011-04-20,Phone,3.1,39,26.7,22.1,7.5,3.4
EKOS Research Associates,2011-04-20,Phone (IVR),2.2,34.4,24.7,24.7,6.5,7.8
Nanos Research[note 1],2011-04-19,Phone,3.1,39.1,28.4,19.8,7.7,3.9
Nanos Research[note 1],2011-04-18,Phone,3.1,39.8,30.2,17.3,8.6,3.1
Innovative Research Group,2011-04-17,Phone,2.25,39,28,17,9,6
Environics,2011-04-17,Phone,3.2,39,24,22,9,6
EKOS Research Associates,2011-04-17,Phone (IVR),2.2,37.4,24.9,20,7.8,8.4
Harris-Decima,2011-04-17,Phone,3.1,36,28,19,8,7
Nanos Research[note 1],2011-04-17,Phone,3.1,39.8,29.8,17.4,8.6,3.4
Leger Marketing,2011-04-17,Online,1.7,38,26,22,8,5
Angus Reid Public Opinion,2011-04-16,Online,2.2,36,25,25,9,5
Nanos Research[note 1],2011-04-16,Phone,3.1,39,28.3,18.4,9.6,3.6
Abacus Data,2011-04-15,Online,3.2,37,29,20,8,5
Nanos Research[note 1],2011-04-15,Phone,3.1,38.8,28.8,19.2,8.5,3.4
Forum Research,2011-04-14,Phone,2.2,36,25,22,7,8
EKOS Research Associates,2011-04-14,Phone (IVR),2.8,35.3,27.8,18,7.1,9.6
Nanos Research[note 1],2011-04-14,Phone,3.1,38.7,28.8,18.6,9,3.7
Nanos Research[note 1],2011-04-13,Phone,3.1,38.9,31.1,18.3,7.5,3.1
EKOS Research Associates,2011-04-12,Phone (IVR),2.9,33.8,28.8,19.1,7.8,9
Nanos Research[note 1],2011-04-12,Phone,3.1,39.9,30.4,16.3,9.1,3.8
COMPAS,2011-04-11,Phone,2.1,45,24,16,8,7
Innovative Research Group,2011-04-11,Online,2.16,39,28,17,9,7
Nanos Research[note 1],2011-04-11,Phone,3.1,39.7,31.2,16.8,7.8,4
Harris-Decima,2011-04-10,Phone,3.1,40,28,15,8,8
Nanos Research[note 1],2011-04-10,Phone,3.1,41.2,30.4,15.2,7.8,4.6
Nanos Research[note 1],2011-04-09,Phone,3.1,39.5,31.6,14.7,8.1,4.8
TNS Canada,2011-04-08,Phone,3.1,36,25,18,9,9
Nanos Research[note 1],2011-04-08,Phone,3.1,40.5,31.7,13.2,9.2,4
Ipsos Reid,2011-04-07,Phone,3.1,41,26,19,9,4
EKOS Research Associates,2011-04-07,Phone (IVR),2.1,36.2,27.7,16.6,8.3,8.5
Nanos Research[note 1],2011-04-07,Phone,3.1,40.6,31.1,14.7,8.7,3.4
Forum Research,2011-04-06,Phone,2.2,38,26,20,8,9
Nanos Research[note 1],2011-04-06,Phone,3.1,39.6,30.4,17.2,8.3,3.2
Environics,2011-04-05,Phone,3.1,38,25,20,8,8
Angus Reid Public Opinion,2011-04-05,Online,2.2,38,27,21,8,6
EKOS Research Associates,2011-04-05,Phone (IVR),3,37,27.8,16.1,6.9,9.3
Nanos Research[note 1],2011-04-05,Phone,3.1,39.7,29.9,17.4,8.3,3.8
Nanos Research[note 1],2011-04-04,Phone,3.1,39.8,30.2,16.5,8.3,4
Harris-Decima,2011-04-03,Phone,3.1,35,28,17,10,8
Nanos Research[note 1],2011-04-03,Phone,3.1,42.3,28.4,16.4,8,3.8
Leger Marketing,2011-04-02,Online,1.7,37,26,18,10,8
Nanos Research[note 1],2011-04-02,Phone,3.1,40.7,29.4,16.9,8,4
Nanos Research[note 1],2011-04-01,Phone,3.1,41.3,30.3,16,8.5,3.7
EKOS Research Associates,2011-03-31,Phone (IVR),1.9,36.9,26.2,17.2,8.5,8.7
