district_code,name_english,population,last_winner,incumbent_running
10001,Avalon,78381,Liberal,FALSE
10002,Bonavista–Gander–Grand Falls–Windsor1,86394,Liberal,TRUE
10003,Humber–St. Barbe–Baie Verte,73171,Liberal,TRUE
10004,Labrador,26364,Liberal,TRUE
10005,Random–Burin–St. George's,71219,Liberal,TRUE
10006,St. John's East 1,88002,Conservative,TRUE
10007,St. John's South–Mount Pearl1,81938,Conservative,TRUE
11001,Cardigan,35067,Liberal,TRUE
11002,Charlottetown,32174,Liberal,TRUE
11003,Egmont,34814,Liberal,TRUE
11004,Malpeque,33796,Liberal,TRUE
12001,Cape Breton–Canso,71968,Liberal,TRUE
12002,Central Nova,72966,Conservative,TRUE
12003,Dartmouth–Cole Harbour,87886,Liberal,TRUE
12004,Halifax,89448,NDP,TRUE
12005,Halifax West,88756,Liberal,TRUE
12006,Kings–Hants,81531,Liberal,TRUE
12007,Cumberland–Colchester–Musquodoboit Valley1,87895,Conservative,TRUE
12008,Sackville–Eastern Shore,86963,NDP,TRUE
12009,South Shore–St. Margaret's,82855,Conservative,TRUE
12010,Sydney–Victoria,76801,Liberal,TRUE
12011,West Nova,86393,Liberal,TRUE
13001,Acadie–Bathurst,78948,NDP,TRUE
13002,Beauséjour,76259,Liberal,TRUE
13003,Fredericton,85886,Liberal,TRUE
13004,Fundy Royal1,69471,Conservative,TRUE
13005,Madawaska–Restigouche,62593,Liberal,TRUE
13006,Miramichi,53844,Liberal,TRUE
13007,Moncton–Riverview–Dieppe,89334,Liberal,FALSE
13008,New Brunswick Southwest 1,63232,Conservative,TRUE
13009,Saint John,82078,Liberal,TRUE
13010,Tobique–Mactaquac,68352,Liberal,TRUE
24001,Abitibi–Témiscamingue,102795,Bloc,TRUE
24002,Ahuntsic,100471,Liberal,TRUE
24003,Alfred-Pellan,104765,Bloc,TRUE
24004,Argenteuil–Papineau–Mirabel1,111534,Bloc,TRUE
24005,Beauce,103617,Liberal,FALSE
24006,Beauharnois–Salaberry,106856,Bloc,FALSE
24007,Beauport–Limoilou1,101331,Bloc,TRUE
24008,Berthier–Maskinongé,107911,Bloc,TRUE
24009,Bourassa,100683,Bloc,TRUE
24010,Brome–Missisquoi,92591,Liberal,TRUE
24011,Brossard–La Prairie,113985,Liberal,TRUE
24012,Chambly–Borduas,116925,Bloc,TRUE
24013,Charlesbourg–Haute-Saint-Charles1,94522,Bloc,TRUE
24014,Montmorency–Charlevoix–Haute-Côte-Nord1,90535,Bloc,TRUE
24015,Châteauguay–Saint-Constant,107165,Bloc,FALSE
24016,Chicoutimi–Le Fjord,96483,Bloc,TRUE
24017,Compton–Stanstead,100148,Bloc,TRUE
24018,Drummond,92982,Bloc,TRUE
24019,Gaspésie–Îles-de-la-Madeleine,82007,Bloc,TRUE
24020,Gatineau,108742,Liberal,TRUE
24021,Hochelaga,100915,Bloc,TRUE
24022,Honoré-Mercier,106196,Liberal,TRUE
24023,Hull–Aylmer,110902,Liberal,TRUE
24024,Jeanne-Le Ber,112863,Liberal,TRUE
24025,Joliette,108169,Bloc,TRUE
