district_code,name_english,name_french,population
10001,Avalon,Avalon,81540
10002,Bonavista--Burin--Trinity,Bonavista--Burin--Trinity,76704
10003,Coast of Bays--Central--Notre Dame,Coast of Bays--Central--Notre Dame,78092
10004,Labrador,Labrador,26728
10005,Long Range Mountains,Long Range Mountains,87592
10006,St. John's East,St. John's-Est,81936
10007,St. John's South--Mount Pearl,St. John's-Sud--Mount Pearl,81944
11001,Cardigan,Cardigan,36005
11002,Charlottetown,Charlottetown,34562
11003,Egmont,Egmont,34598
11004,Malpeque,Malpeque,35039
12001,Cape Breton--Canso,Cape Breton--Canso,75247
12002,Central Nova,Nova-Centre,74597
12003,Cumberland--Colchester,Cumberland--Colchester,82321
12004,Dartmouth--Cole Harbour,Dartmouth--Cole Harbour,91212
12005,Halifax,Halifax,92643
12006,Halifax West,Halifax-Ouest,87275
12007,Kings--Hants,Kings--Hants,83306
12008,Sackville--Preston--Chezzetcook,Sackville--Preston--Chezzetcook,85583
12009,South Shore--St. Margarets,South Shore--St. Margarets,92561
12010,Sydney--Victoria,Sydney--Victoria,73328
12011,West Nova,Nova-Ouest,83654
13001,Acadie--Bathurst,Acadie--Bathurst,79340
13002,Beauséjour,Beauséjour,80416
13003,Fredericton,Fredericton,81759
13004,Fundy Royal,Fundy Royal,79331
13005,Madawaska--Restigouche,Madawaska--Restigouche,62540
13006,Miramichi--Grand Lake,Miramichi--Grand Lake,59343
13007,Moncton--Riverview--Dieppe,Moncton--Riverview--Dieppe,89484
13008,New Brunswick Southwest,Nouveau-Brunswick-Sud-Ouest,66197
13009,Saint John--Rothesay,Saint John--Rothesay,82129
13010,Tobique--Mactaquac,Tobique--Mactaquac,70632
24001,Abitibi--Baie-James--Nunavik--Eeyou,Abitibi--Baie-James--Nunavik--Eeyou,85475
24002,Abitibi--Témiscamingue,Abitibi--Témiscamingue,102794
24003,Ahuntsic-Cartierville,Ahuntsic-Cartierville,110473
24004,Alfred-Pellan,Alfred-Pellan,98045
24005,Argenteuil--La Petite-Nation,Argenteuil--La Petite-Nation,94208
24006,Avignon--La Mitis--Matane--Matapédia,Avignon--La Mitis--Matane--Matapédia,74547
24007,Beauce,Beauce,106337
24008,Beauport--Limoilou,Beauport--Limoilou,92944
24009,Bécancour--Nicolet--Saurel,Bécancour--Nicolet--Saurel,93779
24010,Bellechasse--Les Etchemins--Lévis,Bellechasse--Les Etchemins--Lévis,112385
24011,Beloeil--Chambly,Beloeil--Chambly,109955
24012,Berthier--Maskinongé,Berthier--Maskinongé,98590
24013,Thérèse-De Blainville,Thérèse-De Blainville,98499
24014,Pierre-Boucher--Les Patriotes--Verchères,Pierre-Boucher--Les Patriotes--Verchères,95326
24015,Bourassa,Bourassa,100286
24016,Brome--Missisquoi,Brome--Missisquoi,98616
24017,Brossard--Saint-Lambert,Brossard--Saint-Lambert,100828
24018,Rimouski-Neigette--Témiscouata--Les Basques,Rimouski-Neigette--Témiscouata--Les Basques,84809
24019,Charlesbourg--Haute-Saint-Charles,Charlesbourg--Haute-Saint-Charles,103331
24020,Beauport-Côte-de-Beaupré-Île d'Orléans-Charlevoix,Beauport-Côte-de-Beaupré-Île d'Orléans-Charlevoix,92496
24021,Châteauguay--Lacolle,Châteauguay--Lacolle,92169
24022,Chicoutimi--Le Fjord,Chicoutimi--Le Fjord,81501
24023,Compton--Stanstead,Compton--Stanstead,101946
24024,Dorval--Lachine--LaSalle,Dorval--Lachine--LaSalle,106886
24025,Drummond,Drummond,98681
24026,Gaspésie--Les Îles-de-la-Madeleine,Gaspésie--Les Îles-de-la-Madeleine,78833
24027,Gatineau,Gatineau,106424
24028,Hochelaga,Hochelaga,103436
24029,Honoré-Mercier,Honoré-Mercier,102587
24030,Hull--Aylmer,Hull--Aylmer,103447
24031,Joliette,Joliette,100683
24032,Jonquière,Jonquière,87596
24033,La Pointe-de-l'Île,La Pointe-de-l'Île,103512
24034,La Prairie,La Prairie,99811
24035,Lac-Saint-Jean,Lac-Saint-Jean,105783
24036,Lac-Saint-Louis,Lac-Saint-Louis,108795
24037,LaSalle--Émard--Verdun,LaSalle--Émard--Verdun,105317
24038,Laurentides--Labelle,Laurentides--Labelle,111357
24039,Laurier--Sainte-Marie,Laurier--Sainte-Marie,107034
24040,Laval--Les Îles,Laval--Les Îles,103053
24041,Longueuil--Charles-LeMoyne,Longueuil--Charles-LeMoyne,104895
24042,Lévis--Lotbinière,Lévis--Lotbinière,107593
24043,Longueuil--Saint-Hubert,Longueuil--Saint-Hubert,104366
24044,Louis-Hébert,Louis-Hébert,104038
24045,Louis-Saint-Laurent,Louis-Saint-Laurent,106888
24046,Manicouagan,Manicouagan,94766
24047,Mégantic--L'Érable,Mégantic--L'Érable,88745
24048,Mirabel,Mirabel,103536
24049,Montarville,Montarville,95095
24050,Montcalm,Montcalm,99518
24051,Montmagny--L'Islet--Kamouraska--Rivière-du-Loup,Montmagny--L'Islet--Kamouraska--Rivière-du-Loup,97261
24052,Mount Royal,Mont-Royal,101258
24053,Notre-Dame-de-Grâce--Westmount,Notre-Dame-de-Grâce--Westmount,104410
24054,Outremont,Outremont,100916
24055,Papineau,Papineau,108977
24056,Pierrefonds--Dollard,Pierrefonds--Dollard,108740
24057,Pontiac,Pontiac,106499
24058,Portneuf--Jacques-Cartier,Portneuf--Jacques-Cartier,104394
24059,Québec,Québec,96525
24060,Repentigny,Repentigny,111191
24061,Richmond--Arthabaska,Richmond--Arthabaska,103897
24062,Rivière-des-Mille-Îles,Rivière-des-Mille-Îles,102816
24063,Rivière-du-Nord,Rivière-du-Nord,102085
24064,Rosemont--La Petite-Patrie,Rosemont--La Petite-Patrie,106293
24065,Marc-Aurèle-Fortin,Marc-Aurèle-Fortin,96082
24066,Saint-Hyacinthe--Bagot,Saint-Hyacinthe--Bagot,99629
24067,Saint-Jean,Saint-Jean,108244
24068,Saint-Laurent,Saint-Laurent,93842
24069,Saint-Léonard--Saint-Michel,Saint-Léonard--Saint-Michel,110649
24070,Saint-Maurice--Champlain,Saint-Maurice--Champlain,110273
24071,Salaberry--Suroît,Salaberry--Suroît,107036
24072,Shefford,Shefford,107538
24073,Sherbrooke,Sherbrooke,107988
24074,Vaudreuil--Soulanges,Vaudreuil--Soulanges,111905
24075,Terrebonne,Terrebonne,106322
24076,Trois-Rivières,Trois-Rivières,108774
24077,Ville-Marie--Le Sud-Ouest--Île-des-Soeurs,Ville-Marie--Le Sud-Ouest--Île-des-Soeurs,103070
24078,Vimy,Vimy,104373
35001,Ajax,Ajax,109600
35002,Algoma--Manitoulin--Kapuskasing,Algoma--Manitoulin--Kapuskasing,79801
35003,Aurora--Oak Ridges--Richmond Hill,Aurora--Oak Ridges--Richmond Hill,106064
35004,Barrie--Innisfil,Barrie--Innisfil,101584
35005,Barrie--Springwater--Oro-Medonte,Barrie--Springwater--Oro-Medonte,97876
35006,Bay of Quinte,Baie de Quinte,109488
35007,Beaches--East York,Beaches--East York,107084
35008,Brampton Centre,Brampton-Centre,103122
35009,Brampton East,Brampton-Est,99712
35010,Brampton North,Brampton-Nord,111951
35011,Brampton South,Brampton-Sud,107364
35012,Brampton West,Brampton-Ouest,101762
35013,Brantford--Brant,Brantford--Brant,132443
35014,Bruce--Grey--Owen Sound,Bruce--Grey--Owen Sound,106475
35015,Burlington,Burlington,120569
35016,Cambridge,Cambridge,111693
35017,Chatham-Kent--Leamington,Chatham-Kent--Leamington,111866
35018,Davenport,Davenport,102360
35019,Don Valley East,Don Valley-Est,93007
35020,Don Valley North,Don Valley-Nord,103073
35021,Don Valley West,Don Valley-Ouest,99820
35022,Dufferin--Caledon,Dufferin--Caledon,116341
35023,Durham,Durham,115395
35024,Eglinton--Lawrence,Eglinton--Lawrence,113150
35025,Elgin--Middlesex--London,Elgin--Middlesex--London,110109
35026,Essex,Essex,120477
35027,Etobicoke Centre,Etobicoke-Centre,114910
35028,Etobicoke--Lakeshore,Etobicoke--Lakeshore,115437
35029,Etobicoke North,Etobicoke-Nord,117601
35030,Flamborough--Glanbrook,Flamborough--Glanbrook,97081
35031,Glengarry--Prescott--Russell,Glengarry--Prescott--Russell,106240
35032,Guelph,Guelph,121688
35033,Haldimand--Norfolk,Haldimand--Norfolk,108051
35034,Haliburton--Kawartha Lakes--Brock,Haliburton--Kawartha Lakes--Brock,110182
35035,Hamilton Centre,Hamilton-Centre,101932
35036,Hamilton East--Stoney Creek,Hamilton-Est--Stoney Creek,107786
35037,Hamilton Mountain,Hamilton Mountain,103615
35038,Hamilton West--Ancaster--Dundas,Hamilton-Ouest--Ancaster--Dundas,109535
35039,Hastings--Lennox and Addington,Hastings--Lennox and Addington,92528
35040,Huron--Bruce,Huron--Bruce,104842
35041,Kanata--Carleton,Kanata--Carleton,100846
35042,Kenora,Kenora,55977
35043,King--Vaughan,King--Vaughan,109235
35044,Kingston and the Islands,Kingston et les Îles,116996
35045,Kitchener Centre,Kitchener-Centre,102433
35046,Kitchener--Conestoga,Kitchener--Conestoga,93827
35047,Kitchener South--Hespeler,Kitchener-Sud--Hespeler,97673
35048,Lambton--Kent--Middlesex,Lambton--Kent--Middlesex,105919
35049,Lanark--Frontenac--Kingston,Lanark--Frontenac--Kingston,98409
35050,Leeds-Grenville-Thousand Islands and Rideau Lakes,Leeds-Grenville-Thousand Islands et Rideau Lakes,99306
35051,London--Fanshawe,London--Fanshawe,119334
35052,London North Centre,London-Centre-Nord,118079
35053,London West,London-Ouest,119090
35054,Markham--Stouffville,Markham--Stouffville,109780
35055,Markham--Thornhill,Markham--Thornhill,102221
35056,Markham--Unionville,Markham--Unionville,104693
35057,Milton,Milton,88065
35058,Mississauga Centre,Mississauga-Centre,118756
35059,Mississauga East--Cooksville,Mississauga-Est--Cooksville,121792
35060,Mississauga--Erin Mills,Mississauga--Erin Mills,117199
35061,Mississauga--Lakeshore,Mississauga--Lakeshore,118893
35062,Mississauga--Malton,Mississauga--Malton,118046
