election_date,name_english,district_code,pollster,median_date,n,party,pct
2015-10-19,Calgary Centre,48004,Mainstreet Research,2015-10-13,688,LPC,39
2015-10-19,Calgary Centre,48004,Mainstreet Research,2015-10-13,688,CPC,38
2015-10-19,Calgary Centre,48004,Mainstreet Research,2015-10-13,688,NDP,19
2015-10-19,Calgary Centre,48004,Mainstreet Research,2015-10-13,688,Green,6
2015-10-19,Calgary Centre,48004,Environics,2015-09-20,531,LPC,39
2015-10-19,Calgary Centre,48004,Environics,2015-09-20,531,CPC,47
2015-10-19,Calgary Centre,48004,Environics,2015-09-20,531,NDP,11
2015-10-19,Calgary Centre,48004,Environics,2015-09-20,531,Green,3
2015-10-19,Calgary Centre,48004,Environics,2015-08-18,517,LPC,32
2015-10-19,Calgary Centre,48004,Environics,2015-08-18,517,CPC,44
2015-10-19,Calgary Centre,48004,Environics,2015-08-18,517,NDP,17
2015-10-19,Calgary Centre,48004,Environics,2015-08-18,517,Green,7
2015-10-19,Calgary Confederation,48005,Mainstreet Research,2015-09-14,679,LPC,38
2015-10-19,Calgary Confederation,48005,Mainstreet Research,2015-09-14,679,CPC,37
2015-10-19,Calgary Confederation,48005,Mainstreet Research,2015-09-14,679,NDP,19
2015-10-19,Calgary Confederation,48005,Mainstreet Research,2015-09-14,679,Green,6
2015-10-19,Edmonton Centre,48014,ThinkHQ,2015-10-15,517,LPC,33
2015-10-19,Edmonton Centre,48014,ThinkHQ,2015-10-15,517,CPC,36
2015-10-19,Edmonton Centre,48014,ThinkHQ,2015-10-15,517,NDP,24
2015-10-19,Edmonton Centre,48014,ThinkHQ,2015-10-15,517,Green,4
2015-10-19,Edmonton Centre,48014,Mainstreet Research,2015-10-08,701,LPC,27
2015-10-19,Edmonton Centre,48014,Mainstreet Research,2015-10-08,701,CPC,31
2015-10-19,Edmonton Centre,48014,Mainstreet Research,2015-10-08,701,NDP,38
2015-10-19,Edmonton Centre,48014,Mainstreet Research,2015-10-08,701,Green,3
2015-10-19,Edmonton Centre,48014,Forum Research,2015-09-25,524,LPC,27
2015-10-19,Edmonton Centre,48014,Forum Research,2015-09-25,524,CPC,40
2015-10-19,Edmonton Centre,48014,Forum Research,2015-09-25,524,NDP,30
2015-10-19,Edmonton Centre,48014,Forum Research,2015-09-25,524,Green,4
2015-10-19,Edmonton Centre,48014,Environics,2015-09-16,547,LPC,22
2015-10-19,Edmonton Centre,48014,Environics,2015-09-16,547,CPC,39
2015-10-19,Edmonton Centre,48014,Environics,2015-09-16,547,NDP,35
2015-10-19,Edmonton Centre,48014,Environics,2015-09-16,547,Green,5
