Political Affiliation,0-9.9,10-19.9,20-29.9,30-39.9,40 or more,Total
"Bloc Québécois/Bloc Québécois",1,4,3,9,58,75
"Canadian Action Party/Parti action canadienne",45,0,0,0,0,45
"Christian Heritage Party/Parti de l'Héritage Chrétien",62,0,0,0,0,62
"Communist Party of Canada/Parti communiste du Canada",35,0,0,0,0,35
"Conservative Party of Canada/Parti conservateur du Canada",56,44,61,65,82,308
"Green Party of Canada/Le Parti Vert du Canada",305,3,0,0,0,308
"Liberal Party of Canada/Parti libéral du Canada",1,31,71,78,127,308
"Libertarian Party of Canada/Parti Libertarien du Canada",8,0,0,0,0,8
"Marijuana Party/Parti Marijuana",71,0,0,0,0,71
"Marxist-Leninist Party of Canada/Parti Marxiste-Léniniste du Canada",76,0,0,0,0,76
"New Democratic Party/Nouveau Parti Démocratique",113,103,47,29,16,308
"Progressive Canadian Party/Parti Progressiste Canadien",16,0,0,0,0,16
"Independent/Indépendant",49,3,2,0,0,54
"No Affiliation/Aucune appartenance",10,0,0,0,1,11
