District,Poll Number,Poll Name,Dianne Brushett,Bill Casey,Jack Moors,Sheila G. Richardson,Margaret E. Sagar,Rejected Ballots,Total Vote,Electors
North Nova/Nova-Nord,1,Fort Lawrence,19,52,0,1,12,1,85,158
North Nova/Nova-Nord,2,Tyndal Road,88,189,0,4,37,1,319,560
North Nova/Nova-Nord,3,Hastings,21,104,1,2,16,0,144,209
North Nova/Nova-Nord,4,Brookdale,23,110,0,8,27,0,168,243
North Nova/Nova-Nord,5,Hastings,33,97,1,6,30,1,168,285
North Nova/Nova-Nord,6,West Amherst,71,151,0,11,31,0,264,428
North Nova/Nova-Nord,7,Lower Cove,33,136,4,1,44,3,221,394
North Nova/Nova-Nord,8,Joggins,5,19,2,0,4,0,30,60
North Nova/Nova-Nord,9,River Hebert,44,158,5,7,64,1,279,460
North Nova/Nova-Nord,10,Strathcona,42,90,0,4,26,1,163,282
North Nova/Nova-Nord,11,Maccan,49,173,2,4,61,4,293,479
North Nova/Nova-Nord,12,Nappan,27,147,0,2,36,0,212,326
North Nova/Nova-Nord,13,Brookdale,16,95,0,1,19,0,131,217
North Nova/Nova-Nord,14,Springhill Junction,13,47,0,1,16,1,78,157
North Nova/Nova-Nord,15,Athol,10,20,2,2,6,0,40,134
North Nova/Nova-Nord,16,Amherst,53,116,2,9,24,3,207,361
North Nova/Nova-Nord,17,Amherst,43,135,1,5,49,3,236,436
North Nova/Nova-Nord,18,Amherst,28,66,0,4,17,2,117,332
North Nova/Nova-Nord,19,Amherst,50,118,1,4,29,1,203,438
North Nova/Nova-Nord,20,Amherst,44,140,0,7,43,2,236,387
North Nova/Nova-Nord,21,Amherst,47,130,0,6,25,0,208,337
North Nova/Nova-Nord,22,Amherst,92,181,0,8,32,3,316,490
North Nova/Nova-Nord,23,Amherst,53,121,0,7,37,0,218,384
North Nova/Nova-Nord,24,Amherst,40,135,2,5,36,1,219,364
North Nova/Nova-Nord,25,Amherst,33,123,1,4,20,3,184,350
North Nova/Nova-Nord,26,Amherst,25,56,2,0,25,0,108,194
North Nova/Nova-Nord,27,Amherst,43,86,0,3,19,2,153,316
North Nova/Nova-Nord,28,Amherst,29,76,0,2,16,1,124,286
North Nova/Nova-Nord,29,Amherst,19,64,0,1,13,0,97,243
North Nova/Nova-Nord,30,Amherst,29,77,0,2,22,1,131,334
North Nova/Nova-Nord,31,Amherst,57,86,1,3,31,1,179,374
North Nova/Nova-Nord,32,Amherst,26,80,2,8,13,2,131,340
North Nova/Nova-Nord,33,Amherst,35,112,4,4,29,1,185,368
North Nova/Nova-Nord,34,Amherst,33,104,2,1,30,1,171,445
North Nova/Nova-Nord,35,Amherst,38,166,0,6,44,1,255,492
North Nova/Nova-Nord,36,Amherst Shore,20,93,0,7,29,1,150,259
North Nova/Nova-Nord,37,Tidnish,59,177,0,8,24,2,270,374
North Nova/Nova-Nord,38,Amherst Head,34,96,0,6,21,0,157,249
North Nova/Nova-Nord,39,Mount Pleasant,42,99,1,5,12,1,160,264
North Nova/Nova-Nord,40,Oxford Junction,43,128,1,13,22,3,210,320
