District,Poll Number,Poll Name,Daniel Blackburn,Jean-Pierre Bonenfant,Charles Bussières,Louis Plamondon,Daniel A. Proulx,Ghislaine Provencher,Rejected Ballots,Total Vote,Electors
Richelieu/Richelieu,1,Deschaillons-sur-Saint-Laurent,4,3,8,135,26,86,4,266,353
Richelieu/Richelieu,2,Deschaillons-sur-Saint-Laurent,3,8,9,118,20,64,8,230,415
Richelieu/Richelieu,3,Deschaillons-sur-Saint-Laurent,Merged with No. 1,,,,,,,,46
Richelieu/Richelieu,4,Parisville,3,6,2,126,57,74,20,288,420
Richelieu/Richelieu,5,Fortierville,5,8,6,157,45,81,6,308,507
Richelieu/Richelieu,6,Sainte-Françoise,5,5,4,109,36,77,3,239,365
Richelieu/Richelieu,7,Saint-Pierre-les-Becquets,1,3,5,90,2,58,2,161,282
Richelieu/Richelieu,8,Saint-Pierre-les-Becquets,1,5,11,113,24,54,3,211,346
Richelieu/Richelieu,9,Saint-Pierre-les-Becquets,2,3,4,113,27,41,7,197,351
Richelieu/Richelieu,10,Sainte-Cécile-de-Lévrard,2,4,7,113,20,36,4,186,327
Richelieu/Richelieu,11,Sainte-Sophie-de-Lévrard,2,1,3,99,19,44,3,171,308
Richelieu/Richelieu,12,Sainte-Sophie-de-Lévrard,4,5,7,69,17,52,3,157,283
Richelieu/Richelieu,13,Saint-Joseph-de-Blandford,2,3,3,109,28,44,6,195,358
Richelieu/Richelieu,14,Manseau,6,2,7,154,20,66,5,260,424
Richelieu/Richelieu,15,Sainte-Marie-de-Blandford,3,4,8,152,30,68,7,272,405
Richelieu/Richelieu,16,Lemieux,2,1,7,86,22,35,1,154,229
Richelieu/Richelieu,17,Bécancour,6,5,10,144,21,66,7,259,408
Richelieu/Richelieu,18,Bécancour,3,9,8,219,40,43,8,330,503
Richelieu/Richelieu,19A,Bécancour,7,4,7,131,14,70,3,236,339
Richelieu/Richelieu,19B,Mobile poll/Bureau itinérant,Merged with No. 500,,,,,,,,49
Richelieu/Richelieu,20,Bécancour,6,3,3,109,13,84,6,224,385
Richelieu/Richelieu,21,Bécancour,5,6,4,183,31,40,3,272,437
Richelieu/Richelieu,22,Bécancour,4,10,4,111,12,46,2,189,316
Richelieu/Richelieu,23,Bécancour,6,2,7,170,34,57,8,284,452
Richelieu/Richelieu,24,Saint-Sylvère,2,3,4,74,11,36,0,130,221
Richelieu/Richelieu,25,Bécancour,9,7,7,175,17,35,3,253,470
Richelieu/Richelieu,26,Bécancour,5,5,8,174,33,27,6,258,451
Richelieu/Richelieu,27,Bécancour,2,8,3,157,21,76,7,274,453
Richelieu/Richelieu,28,Saint-Sylvère,10,1,5,150,18,115,10,309,453
Richelieu/Richelieu,29A,Bécancour,3,2,3,91,14,16,3,132,305
Richelieu/Richelieu,29B,Bécancour,3,6,3,104,6,23,3,148,306
Richelieu/Richelieu,30,Bécancour,6,3,5,117,24,50,5,210,314
Richelieu/Richelieu,31,Bécancour,1,2,6,126,23,45,7,210,324
Richelieu/Richelieu,32,Bécancour,6,2,6,134,27,55,9,239,420
Richelieu/Richelieu,33,Bécancour,1,7,7,172,14,55,1,257,381
Richelieu/Richelieu,34,Bécancour,3,10,4,178,18,60,4,277,461
Richelieu/Richelieu,35,Bécancour,3,3,8,179,43,47,12,295,475
Richelieu/Richelieu,36,Bécancour,2,7,7,209,26,73,8,332,493
Richelieu/Richelieu,37,Bécancour,1,7,12,151,51,131,10,363,575
Richelieu/Richelieu,38,Bécancour,2,12,11,123,38,33,12,231,430
Richelieu/Richelieu,39,Bécancour,2,6,2,133,18,36,1,198,304
Richelieu/Richelieu,40,Saint-Célestin-Station,9,11,5,109,35,16,2,187,256
Richelieu/Richelieu,41,Saint-Wenceslas,1,3,1,52,7,13,6,83,132
Richelieu/Richelieu,42,Saint-Wenceslas,5,1,2,106,19,40,3,176,311
Richelieu/Richelieu,43,Saint-Wenceslas,7,5,10,160,37,68,5,292,458
Richelieu/Richelieu,44,Saint-Raphaël-Partie-Sud,7,6,4,106,31,39,10,203,274
Richelieu/Richelieu,45,Sainte-Eulalie,4,5,5,121,35,48,8,226,366
Richelieu/Richelieu,46,Saint-Célestin,3,3,4,118,13,29,4,174,243
Richelieu/Richelieu,47,Saint-Célestin,4,2,2,145,25,42,10,230,331
Richelieu/Richelieu,48,Saint-Célestin-Station,2,6,7,91,15,32,3,156,213
Richelieu/Richelieu,49,Saint-Léonard,2,5,5,106,17,41,8,184,302
Richelieu/Richelieu,50,Saint-Léonard-d'Aston,3,1,3,144,17,57,9,234,414
Richelieu/Richelieu,51,Saint-Léonard-d'Aston,6,1,3,108,13,45,8,184,314
Richelieu/Richelieu,52,Saint-Léonard,1,2,1,163,17,35,9,228,355
