District,Poll Number,Poll Name,Derrall Bellaire,Irene Mathyssen,John Mazzilli,Ed Moore,Pat O'Brien,Cameron Switzer,Rejected Ballots,Total Vote,Electors
London--Fanshawe/London--Fanshawe,1,London,1,30,54,0,49,1,1,136,291
London--Fanshawe/London--Fanshawe,2,London,2,83,76,18,65,0,1,245,461
London--Fanshawe/London--Fanshawe,3,London,2,40,29,5,62,1,0,139,325
London--Fanshawe/London--Fanshawe,4,London,1,80,39,9,76,0,0,205,376
London--Fanshawe/London--Fanshawe,5,London,1,84,39,10,123,5,0,262,590
London--Fanshawe/London--Fanshawe,6,London,3,54,53,8,80,1,1,200,422
London--Fanshawe/London--Fanshawe,7,London,2,85,44,4,99,1,2,237,506
London--Fanshawe/London--Fanshawe,8,London,0,27,36,7,71,2,0,143,275
London--Fanshawe/London--Fanshawe,9,London,2,63,56,16,107,1,2,247,561
London--Fanshawe/London--Fanshawe,10,London,0,50,45,7,69,0,0,171,373
London--Fanshawe/London--Fanshawe,11,London,3,48,21,5,69,1,3,150,351
London--Fanshawe/London--Fanshawe,12,London,0,53,39,8,78,0,2,180,351
London--Fanshawe/London--Fanshawe,13,London,2,43,45,1,68,0,0,159,309
London--Fanshawe/London--Fanshawe,14,London,0,52,30,4,43,0,1,130,346
London--Fanshawe/London--Fanshawe,15,London,5,61,57,6,66,0,0,195,331
London--Fanshawe/London--Fanshawe,16,London,2,57,41,6,70,0,3,179,334
London--Fanshawe/London--Fanshawe,17,London,2,52,39,9,38,1,1,142,301
London--Fanshawe/London--Fanshawe,18,London,3,49,49,12,77,0,0,190,387
London--Fanshawe/London--Fanshawe,19,London,1,69,64,6,70,0,0,210,360
London--Fanshawe/London--Fanshawe,20,London,0,56,56,6,57,0,0,175,362
London--Fanshawe/London--Fanshawe,21,London,2,81,41,13,55,0,0,192,382
London--Fanshawe/London--Fanshawe,22,London,1,103,36,10,42,0,1,193,408
London--Fanshawe/London--Fanshawe,23,London,2,41,42,6,41,0,0,132,273
London--Fanshawe/London--Fanshawe,24,London,0,63,37,6,47,1,0,154,307
London--Fanshawe/London--Fanshawe,25,London,0,63,46,10,58,1,1,179,442
London--Fanshawe/London--Fanshawe,26,London,2,70,28,12,63,1,1,177,414
London--Fanshawe/London--Fanshawe,27,London,3,103,50,12,68,0,0,236,378
London--Fanshawe/London--Fanshawe,28,London,3,101,28,6,60,0,0,198,504
London--Fanshawe/London--Fanshawe,29,London,4,48,36,12,55,0,3,158,462
London--Fanshawe/London--Fanshawe,30A,London,3,39,18,2,54,0,1,117,194
London--Fanshawe/London--Fanshawe,30B,London,2,11,10,1,19,0,4,47,83
London--Fanshawe/London--Fanshawe,31,London,4,79,41,0,69,1,2,196,339
London--Fanshawe/London--Fanshawe,32,London,4,70,46,12,67,0,1,200,376
London--Fanshawe/London--Fanshawe,33,London,0,91,56,6,70,0,2,225,390
London--Fanshawe/London--Fanshawe,34,London,3,46,24,5,39,1,0,118,342
London--Fanshawe/London--Fanshawe,35,London,3,61,49,2,37,0,0,152,318
London--Fanshawe/London--Fanshawe,36,London,1,95,32,9,58,1,1,197,328
London--Fanshawe/London--Fanshawe,37,London,1,61,49,10,75,0,4,200,325
London--Fanshawe/London--Fanshawe,38,London,1,51,22,6,72,0,0,152,324
London--Fanshawe/London--Fanshawe,39,London,3,87,46,3,60,0,0,199,417
London--Fanshawe/London--Fanshawe,40,London,1,76,26,3,42,0,2,150,309
London--Fanshawe/London--Fanshawe,41,London,2,69,48,10,81,0,0,210,416
London--Fanshawe/London--Fanshawe,42,London,1,54,34,13,23,0,1,126,263
London--Fanshawe/London--Fanshawe,43,London,0,65,58,4,111,0,0,238,425
London--Fanshawe/London--Fanshawe,44,London,3,78,52,7,90,0,3,233,406
London--Fanshawe/London--Fanshawe,45,London,1,78,47,14,74,0,2,216,408
London--Fanshawe/London--Fanshawe,46,London,2,76,37,3,58,1,0,177,374
London--Fanshawe/London--Fanshawe,47,London,4,70,50,9,102,1,2,238,422
London--Fanshawe/London--Fanshawe,48,London,3,68,19,6,34,0,1,131,429
London--Fanshawe/London--Fanshawe,49,London,2,128,82,3,95,1,0,311,624
London--Fanshawe/London--Fanshawe,50,London,2,61,34,10,56,0,0,163,328
London--Fanshawe/London--Fanshawe,51,London,4,88,38,3,89,0,0,222,394
London--Fanshawe/London--Fanshawe,52,London,5,68,57,8,61,0,0,199,431
London--Fanshawe/London--Fanshawe,53,London,2,91,40,11,72,0,0,216,423
London--Fanshawe/London--Fanshawe,54,London,3,84,55,3,81,0,2,228,449
London--Fanshawe/London--Fanshawe,55A,London,2,68,30,7,25,0,3,135,290
London--Fanshawe/London--Fanshawe,55B,London,4,68,20,5,54,1,0,152,311
London--Fanshawe/London--Fanshawe,56,London,3,88,60,9,71,0,3,234,526
