District,Poll Number,Poll Name,Brian Fitzpatrick,Don Hovdebo,Patrick W. Jahn,Marc Loiselle,Rejected Ballots,Total Vote,Electors
Prince Albert/Prince Albert,1,Shellbrook,154,61,34,9,0,258,479
Prince Albert/Prince Albert,2,Holbein,75,71,40,11,1,198,342
Prince Albert/Prince Albert,3,Shellbrook,91,41,26,3,1,162,415
Prince Albert/Prince Albert,4,Shellbrook,56,33,34,4,1,128,195
Prince Albert/Prince Albert,5,Shellbrook,55,35,21,7,0,118,189
Prince Albert/Prince Albert,6,Shellbrook,78,42,22,4,0,146,239
Prince Albert/Prince Albert,7,Paddockwood,136,44,46,10,1,237,429
Prince Albert/Prince Albert,8,Meath Park,151,77,54,13,0,295,522
Prince Albert/Prince Albert,9,Albertville,64,49,46,6,0,165,235
Prince Albert/Prince Albert,10,Kalyna,87,23,24,0,1,135,203
Prince Albert/Prince Albert,11,Spruce Home,69,55,38,10,0,172,307
Prince Albert/Prince Albert,12,Spruce Home,41,21,18,1,0,81,113
Prince Albert/Prince Albert,13,Wahpeton,34,33,62,0,0,129,271
Prince Albert/Prince Albert,14,Buckland,90,42,43,2,0,177,386
Prince Albert/Prince Albert,15,Buckland,25,7,24,4,0,60,82
Prince Albert/Prince Albert,16,Buckland,142,82,71,9,1,305,482
Prince Albert/Prince Albert,17,Buckland,138,74,67,7,0,286,467
Prince Albert/Prince Albert,18,Prince Albert,104,48,46,12,0,210,408
Prince Albert/Prince Albert,19,Prince Albert,67,59,41,11,1,179,407
Prince Albert/Prince Albert,20,Prince Albert,45,48,52,4,0,149,404
Prince Albert/Prince Albert,21,Prince Albert,42,50,29,10,0,131,450
Prince Albert/Prince Albert,22,Prince Albert,36,38,38,7,0,119,473
Prince Albert/Prince Albert,23,Prince Albert,41,47,72,6,2,168,530
Prince Albert/Prince Albert,24,Prince Albert,21,41,52,7,1,122,314
Prince Albert/Prince Albert,25,Prince Albert,33,36,34,10,1,114,458
Prince Albert/Prince Albert,26,Prince Albert,11,47,26,3,0,87,330
Prince Albert/Prince Albert,27,Prince Albert,61,58,70,5,2,196,414
Prince Albert/Prince Albert,28,Prince Albert,68,44,44,6,0,162,506
Prince Albert/Prince Albert,29A,Prince Albert,23,22,27,5,1,78,153
Prince Albert/Prince Albert,29B,Prince Albert,45,39,28,4,0,116,389
Prince Albert/Prince Albert,30,Prince Albert,67,47,90,6,0,210,366
Prince Albert/Prince Albert,31,Prince Albert,58,55,91,9,1,214,427
Prince Albert/Prince Albert,32,Prince Albert,63,44,69,5,1,182,469
Prince Albert/Prince Albert,33,Prince Albert,67,38,85,7,1,198,356
Prince Albert/Prince Albert,34,Prince Albert,100,55,57,4,1,217,415
Prince Albert/Prince Albert,35,Prince Albert,87,69,111,6,1,274,502
Prince Albert/Prince Albert,36,Prince Albert,76,24,106,7,1,214,415
Prince Albert/Prince Albert,37,Prince Albert,35,93,47,3,1,179,301
Prince Albert/Prince Albert,38,Prince Albert,63,94,55,5,0,217,412
Prince Albert/Prince Albert,39,Prince Albert,47,36,42,7,0,132,384
Prince Albert/Prince Albert,40,Prince Albert,63,46,56,10,2,177,481
Prince Albert/Prince Albert,41,Prince Albert,64,81,62,11,0,218,518
Prince Albert/Prince Albert,42,Prince Albert,38,58,29,8,0,133,394
Prince Albert/Prince Albert,43,Prince Albert,49,63,45,6,1,164,382
Prince Albert/Prince Albert,44,Prince Albert,40,37,32,3,0,112,344
Prince Albert/Prince Albert,45,Prince Albert,45,54,35,7,1,142,378
Prince Albert/Prince Albert,46,Prince Albert,61,76,63,8,1,209,412
Prince Albert/Prince Albert,47,Prince Albert,62,67,57,6,0,192,433
Prince Albert/Prince Albert,48,Prince Albert,90,67,70,9,0,236,493
Prince Albert/Prince Albert,49,Prince Albert,68,73,41,5,1,188,445
Prince Albert/Prince Albert,50,Prince Albert,41,37,27,5,0,110,320
Prince Albert/Prince Albert,51,Prince Albert,49,35,59,5,0,148,382
Prince Albert/Prince Albert,52,Prince Albert,39,35,45,4,0,123,351
Prince Albert/Prince Albert,53,Prince Albert,94,68,61,11,1,235,506
Prince Albert/Prince Albert,54,Prince Albert,51,50,56,10,0,167,374
Prince Albert/Prince Albert,55,Prince Albert,68,75,63,10,1,217,436
Prince Albert/Prince Albert,56,Prince Albert,100,71,71,7,0,249,661
Prince Albert/Prince Albert,57,Prince Albert,48,54,73,9,0,184,441
Prince Albert/Prince Albert,58,Prince Albert,39,75,52,12,1,179,477
Prince Albert/Prince Albert,59,Prince Albert,34,48,36,5,0,123,361
Prince Albert/Prince Albert,60,Prince Albert,56,65,37,7,1,166,404
Prince Albert/Prince Albert,61,Prince Albert,38,43,37,9,0,127,422
Prince Albert/Prince Albert,62,Prince Albert,41,49,30,6,1,127,323
Prince Albert/Prince Albert,63,Prince Albert,74,63,87,7,0,231,406
Prince Albert/Prince Albert,64,Prince Albert,71,52,51,5,0,179,360
Prince Albert/Prince Albert,65,Prince Albert,43,48,48,4,0,143,433
Prince Albert/Prince Albert,66,Prince Albert,88,72,66,8,0,234,420
Prince Albert/Prince Albert,67,Prince Albert,66,58,81,2,0,207,448
