District,Poll Number,Poll Name,Gary Dale,Tim Dobson,Dan McTeague,Matthew Pollesel,Rejected Ballots,Total Vote,Electors
Pickering--Scarborough East/Pickering--Scarborough-Est,66,Pickering,32,57,144,7,1,241,485
Pickering--Scarborough East/Pickering--Scarborough-Est,67,Pickering,22,48,135,9,0,214,379
Pickering--Scarborough East/Pickering--Scarborough-Est,68A,Pickering,12,55,81,5,1,154,275
Pickering--Scarborough East/Pickering--Scarborough-Est,68B,Pickering,6,35,111,4,0,156,267
Pickering--Scarborough East/Pickering--Scarborough-Est,69,Pickering,32,44,96,13,0,185,344
Pickering--Scarborough East/Pickering--Scarborough-Est,70,Pickering,20,41,132,7,0,200,349
Pickering--Scarborough East/Pickering--Scarborough-Est,71,Pickering,17,95,142,5,0,259,470
Pickering--Scarborough East/Pickering--Scarborough-Est,72,Pickering,37,70,202,8,0,317,512
Pickering--Scarborough East/Pickering--Scarborough-Est,73,Pickering,18,53,122,9,0,202,347
Pickering--Scarborough East/Pickering--Scarborough-Est,74,Pickering,19,48,101,4,0,172,317
Pickering--Scarborough East/Pickering--Scarborough-Est,75A,Pickering,19,62,107,14,0,202,370
Pickering--Scarborough East/Pickering--Scarborough-Est,75B,Pickering,30,69,106,8,0,213,360
Pickering--Scarborough East/Pickering--Scarborough-Est,76,Pickering,33,80,209,6,0,328,515
Pickering--Scarborough East/Pickering--Scarborough-Est,77,Pickering,39,85,145,9,0,278,541
Pickering--Scarborough East/Pickering--Scarborough-Est,78,Pickering,38,81,222,17,0,358,593
Pickering--Scarborough East/Pickering--Scarborough-Est,79,Pickering,21,54,141,6,0,222,341
Pickering--Scarborough East/Pickering--Scarborough-Est,80,Pickering,26,70,145,11,2,254,416
Pickering--Scarborough East/Pickering--Scarborough-Est,81,Pickering,11,56,106,6,0,179,306
Pickering--Scarborough East/Pickering--Scarborough-Est,82,Pickering,30,45,115,7,0,197,324
Pickering--Scarborough East/Pickering--Scarborough-Est,83,Pickering,18,63,200,11,0,292,484
Pickering--Scarborough East/Pickering--Scarborough-Est,84,Pickering,26,77,130,11,0,244,456
Pickering--Scarborough East/Pickering--Scarborough-Est,85,Pickering,26,80,219,7,1,333,531
Pickering--Scarborough East/Pickering--Scarborough-Est,86,Pickering,17,77,157,5,1,257,394
Pickering--Scarborough East/Pickering--Scarborough-Est,87,Pickering,41,82,180,11,0,314,490
Pickering--Scarborough East/Pickering--Scarborough-Est,88,Pickering,11,105,207,14,2,339,577
Pickering--Scarborough East/Pickering--Scarborough-Est,89,Pickering,31,81,155,14,1,282,466
Pickering--Scarborough East/Pickering--Scarborough-Est,90A,Pickering,17,58,96,8,0,179,298
Pickering--Scarborough East/Pickering--Scarborough-Est,90B,Pickering,25,25,89,7,2,148,292
Pickering--Scarborough East/Pickering--Scarborough-Est,91,Pickering,10,37,107,12,0,166,331
Pickering--Scarborough East/Pickering--Scarborough-Est,92,Pickering,28,65,71,17,0,181,333
Pickering--Scarborough East/Pickering--Scarborough-Est,93,Pickering,26,61,139,18,1,245,462
Pickering--Scarborough East/Pickering--Scarborough-Est,94,Pickering,21,51,92,1,0,165,231
Pickering--Scarborough East/Pickering--Scarborough-Est,95,Pickering,20,63,182,13,3,281,433
Pickering--Scarborough East/Pickering--Scarborough-Est,96,Pickering,15,57,151,9,0,232,389
Pickering--Scarborough East/Pickering--Scarborough-Est,97,Pickering,9,61,62,6,0,138,214
Pickering--Scarborough East/Pickering--Scarborough-Est,98,Pickering,25,125,178,11,0,339,519
Pickering--Scarborough East/Pickering--Scarborough-Est,99A,Scarborough,24,33,98,3,4,162,313
Pickering--Scarborough East/Pickering--Scarborough-Est,99B,Scarborough,19,37,124,4,0,184,319
Pickering--Scarborough East/Pickering--Scarborough-Est,100,Scarborough,Void,,,,,,
Pickering--Scarborough East/Pickering--Scarborough-Est,101,Scarborough,29,44,173,5,0,251,426
Pickering--Scarborough East/Pickering--Scarborough-Est,102,Scarborough,21,39,168,12,1,241,435
Pickering--Scarborough East/Pickering--Scarborough-Est,103,Scarborough,32,33,133,4,0,202,426
Pickering--Scarborough East/Pickering--Scarborough-Est,104A,Scarborough,13,20,30,3,0,66,206
Pickering--Scarborough East/Pickering--Scarborough-Est,104B,Scarborough,31,25,126,4,2,188,374
Pickering--Scarborough East/Pickering--Scarborough-Est,104C,Scarborough,16,23,82,2,0,123,292
Pickering--Scarborough East/Pickering--Scarborough-Est,105,Scarborough,28,54,145,8,0,235,382
Pickering--Scarborough East/Pickering--Scarborough-Est,106,Scarborough,41,46,166,5,2,260,476
Pickering--Scarborough East/Pickering--Scarborough-Est,107,Scarborough,50,55,133,8,0,246,387
Pickering--Scarborough East/Pickering--Scarborough-Est,108,Scarborough,Merged with No. 107,,,,,,55
Pickering--Scarborough East/Pickering--Scarborough-Est,109A,Scarborough,37,23,67,2,0,129,303
Pickering--Scarborough East/Pickering--Scarborough-Est,109B,Scarborough,27,34,40,5,4,110,272
Pickering--Scarborough East/Pickering--Scarborough-Est,110,Scarborough,22,59,199,1,2,283,494
Pickering--Scarborough East/Pickering--Scarborough-Est,111,Scarborough,12,43,113,3,0,171,311
Pickering--Scarborough East/Pickering--Scarborough-Est,112,Scarborough,25,35,132,5,0,197,317
Pickering--Scarborough East/Pickering--Scarborough-Est,113A,Scarborough,28,16,122,4,0,170,323
Pickering--Scarborough East/Pickering--Scarborough-Est,113B,Scarborough,23,28,133,4,1,189,352
Pickering--Scarborough East/Pickering--Scarborough-Est,114A,Scarborough,14,21,112,0,0,147,269
