District,Poll Number,Poll Name,Janice Hagan,Joe Li,John McCallum,Ed Wong,Rejected Ballots,Total Vote,Electors
Markham--Unionville/Markham--Unionville,1,Markham,20,49,116,7,0,192,365
Markham--Unionville/Markham--Unionville,2,Markham,20,67,196,6,0,289,521
Markham--Unionville/Markham--Unionville,3,Markham,25,85,210,5,0,325,642
Markham--Unionville/Markham--Unionville,4,Markham,11,82,210,7,2,312,575
Markham--Unionville/Markham--Unionville,5,Markham,15,95,189,12,0,311,482
Markham--Unionville/Markham--Unionville,6,Markham,23,57,109,8,0,197,358
Markham--Unionville/Markham--Unionville,7,Markham,14,56,143,8,2,223,328
Markham--Unionville/Markham--Unionville,8,Markham,13,78,228,6,2,327,602
Markham--Unionville/Markham--Unionville,9,Markham,14,67,225,7,2,315,587
Markham--Unionville/Markham--Unionville,10,Markham,17,60,174,2,1,254,455
Markham--Unionville/Markham--Unionville,11,Markham,30,106,242,9,1,388,753
Markham--Unionville/Markham--Unionville,12,Markham,18,67,211,5,1,302,609
Markham--Unionville/Markham--Unionville,13,Markham,18,59,187,4,0,268,531
Markham--Unionville/Markham--Unionville,14,Markham,21,65,177,8,0,271,438
Markham--Unionville/Markham--Unionville,15,Markham,17,60,243,3,3,326,593
Markham--Unionville/Markham--Unionville,16,Markham,20,79,205,11,3,318,608
Markham--Unionville/Markham--Unionville,17,Markham,20,42,84,9,0,155,380
Markham--Unionville/Markham--Unionville,18,Markham,11,43,69,13,0,136,215
Markham--Unionville/Markham--Unionville,19,Markham,14,42,218,5,0,279,509
Markham--Unionville/Markham--Unionville,20,Markham,14,51,134,6,0,205,426
Markham--Unionville/Markham--Unionville,21,Markham,13,45,143,4,0,205,423
Markham--Unionville/Markham--Unionville,22,Markham,19,76,205,2,3,305,571
Markham--Unionville/Markham--Unionville,23A,Markham,17,38,105,5,1,166,409
Markham--Unionville/Markham--Unionville,23B,Markham,31,49,151,8,0,239,584
Markham--Unionville/Markham--Unionville,24,Markham,3,10,38,2,2,55,126
Markham--Unionville/Markham--Unionville,25,Markham,17,48,129,8,0,202,449
Markham--Unionville/Markham--Unionville,26,Markham,13,95,157,11,0,276,427
Markham--Unionville/Markham--Unionville,27,Markham,39,94,184,15,2,334,515
Markham--Unionville/Markham--Unionville,28,Markham,14,77,110,4,2,207,369
Markham--Unionville/Markham--Unionville,29,Markham,18,90,129,4,0,241,375
Markham--Unionville/Markham--Unionville,30,Markham,11,122,207,17,1,358,558
Markham--Unionville/Markham--Unionville,31,Markham,13,89,198,11,2,313,459
Markham--Unionville/Markham--Unionville,32,Markham,20,110,173,9,2,314,548
Markham--Unionville/Markham--Unionville,33,Markham,13,85,170,6,2,276,444
Markham--Unionville/Markham--Unionville,34,Markham,11,85,162,3,1,262,419
Markham--Unionville/Markham--Unionville,35,Markham,15,66,159,5,2,247,390
Markham--Unionville/Markham--Unionville,36,Markham,15,63,109,13,3,203,313
Markham--Unionville/Markham--Unionville,37,Markham,28,82,208,3,2,323,524
Markham--Unionville/Markham--Unionville,38,Markham,29,65,138,12,0,244,353
Markham--Unionville/Markham--Unionville,39,Markham,24,81,179,17,1,302,481
Markham--Unionville/Markham--Unionville,40,Markham,15,87,121,9,1,233,383
Markham--Unionville/Markham--Unionville,41,Markham,9,46,85,2,0,142,235
Markham--Unionville/Markham--Unionville,42,Markham,18,60,138,8,1,225,351
Markham--Unionville/Markham--Unionville,43,Markham,18,84,147,10,0,259,488
Markham--Unionville/Markham--Unionville,44,Markham,14,74,162,13,1,264,495
Markham--Unionville/Markham--Unionville,45,Markham,21,95,188,8,1,313,667
Markham--Unionville/Markham--Unionville,46,Markham,28,70,213,10,0,321,545
Markham--Unionville/Markham--Unionville,47,Markham,23,60,219,15,4,321,612
Markham--Unionville/Markham--Unionville,48,Markham,29,67,199,8,2,305,531
Markham--Unionville/Markham--Unionville,49,Markham,17,46,160,8,0,231,454
Markham--Unionville/Markham--Unionville,50,Markham,26,37,94,6,1,164,388
Markham--Unionville/Markham--Unionville,51,Markham,23,62,121,5,2,213,497
Markham--Unionville/Markham--Unionville,52,Markham,10,36,96,5,1,148,331
Markham--Unionville/Markham--Unionville,53,Markham,11,34,77,2,0,124,297
Markham--Unionville/Markham--Unionville,54,Markham,32,51,122,7,1,213,476
Markham--Unionville/Markham--Unionville,55,Markham,22,66,98,5,2,193,454
Markham--Unionville/Markham--Unionville,56,Markham,14,64,127,7,2,214,483
Markham--Unionville/Markham--Unionville,57,Markham,20,58,142,2,0,222,436
Markham--Unionville/Markham--Unionville,58,Markham,21,69,195,15,0,300,523
Markham--Unionville/Markham--Unionville,59,Markham,26,62,142,6,0,236,473
Markham--Unionville/Markham--Unionville,60,Markham,70,131,307,9,0,517,957
Markham--Unionville/Markham--Unionville,61,Markham,24,62,205,5,1,297,666
Markham--Unionville/Markham--Unionville,62,Markham,8,16,117,6,1,148,341
Markham--Unionville/Markham--Unionville,63,Markham,21,77,128,12,1,239,538
Markham--Unionville/Markham--Unionville,64,Markham,30,56,184,2,3,275,645
Markham--Unionville/Markham--Unionville,65,Markham,13,32,156,3,1,205,468
Markham--Unionville/Markham--Unionville,66,Markham,20,48,168,4,1,241,516
Markham--Unionville/Markham--Unionville,67,Markham,21,43,229,6,4,303,620
Markham--Unionville/Markham--Unionville,68,Markham,24,47,203,2,1,277,581
Markham--Unionville/Markham--Unionville,69,Markham,27,37,199,0,2,265,557
Markham--Unionville/Markham--Unionville,70,Markham,17,44,136,8,0,205,454
Markham--Unionville/Markham--Unionville,71,Markham,35,104,174,7,1,321,818
Markham--Unionville/Markham--Unionville,72,Markham,Void,,,,,,
Markham--Unionville/Markham--Unionville,73,Markham,25,44,215,9,1,294,522
Markham--Unionville/Markham--Unionville,74A,Markham,24,29,130,5,3,191,426
Markham--Unionville/Markham--Unionville,74B,Markham,23,42,184,6,6,261,587
Markham--Unionville/Markham--Unionville,75,Markham,Merged with No. 76,,,,,,22
Markham--Unionville/Markham--Unionville,76,Markham,27,50,184,1,1,263,611
Markham--Unionville/Markham--Unionville,77,Markham,30,45,186,11,4,276,541
Markham--Unionville/Markham--Unionville,78,Markham,24,44,118,5,0,191,366
Markham--Unionville/Markham--Unionville,79,Markham,14,29,139,2,1,185,346
Markham--Unionville/Markham--Unionville,80,Markham,26,52,176,9,3,266,479
Markham--Unionville/Markham--Unionville,81,Markham,16,57,152,9,0,234,522
Markham--Unionville/Markham--Unionville,82,Markham,25,58,133,5,1,222,469
Markham--Unionville/Markham--Unionville,83,Markham,31,54,214,9,3,311,541
Markham--Unionville/Markham--Unionville,84,Markham,26,48,198,2,1,275,548
Markham--Unionville/Markham--Unionville,85,Markham,15,44,164,4,1,228,447
Markham--Unionville/Markham--Unionville,86,Markham,24,53,140,5,4,226,431
Markham--Unionville/Markham--Unionville,87,Markham,33,24,208,3,0,268,530
Markham--Unionville/Markham--Unionville,88,Markham,47,42,225,9,2,325,624
Markham--Unionville/Markham--Unionville,89,Markham,37,58,160,3,0,258,493
Markham--Unionville/Markham--Unionville,90,Markham,21,33,145,4,0,203,491
Markham--Unionville/Markham--Unionville,91,Markham,17,41,168,6,0,232,470
Markham--Unionville/Markham--Unionville,92,Markham,27,34,177,6,2,246,494
Markham--Unionville/Markham--Unionville,93,Markham,24,42,148,4,1,219,541
Markham--Unionville/Markham--Unionville,94,Markham,36,56,214,6,2,314,619
Markham--Unionville/Markham--Unionville,95,Markham,32,24,189,4,0,249,484
Markham--Unionville/Markham--Unionville,96,Markham,18,49,136,1,0,204,481
Markham--Unionville/Markham--Unionville,97,Markham,12,44,157,6,0,219,605
Markham--Unionville/Markham--Unionville,98,Markham,21,49,91,1,0,162,372
Markham--Unionville/Markham--Unionville,99,Markham,16,34,129,4,0,183,392
Markham--Unionville/Markham--Unionville,100,Markham,12,50,171,7,2,242,537
Markham--Unionville/Markham--Unionville,101,Markham,26,38,190,3,3,260,552
Markham--Unionville/Markham--Unionville,102,Markham,28,69,197,3,1,298,592
Markham--Unionville/Markham--Unionville,103,Markham,28,39,85,5,2,159,295
Markham--Unionville/Markham--Unionville,104,Markham,18,36,138,6,0,198,410
Markham--Unionville/Markham--Unionville,105,Markham,24,48,203,8,4,287,590
Markham--Unionville/Markham--Unionville,106,Markham,36,66,247,9,2,360,665
Markham--Unionville/Markham--Unionville,107,Markham,14,22,119,3,3,161,355
Markham--Unionville/Markham--Unionville,108,Markham,8,25,80,2,3,118,240
Markham--Unionville/Markham--Unionville,109,Markham,38,63,162,7,1,271,595
Markham--Unionville/Markham--Unionville,110,Markham,30,57,263,2,1,353,667
Markham--Unionville/Markham--Unionville,111,Markham,30,45,215,8,0,298,542
Markham--Unionville/Markham--Unionville,112,Markham,21,31,171,6,0,229,443
Markham--Unionville/Markham--Unionville,113,Markham,30,22,191,5,0,248,567
Markham--Unionville/Markham--Unionville,114A,Markham,40,34,192,1,1,268,532
Markham--Unionville/Markham--Unionville,114B,Markham,27,29,172,5,2,235,485
Markham--Unionville/Markham--Unionville,115A,Markham,28,38,210,1,2,279,536
Markham--Unionville/Markham--Unionville,115B,Markham,34,28,199,3,1,265,584
Markham--Unionville/Markham--Unionville,115-1,Markham,6,15,141,4,2,168,320
Markham--Unionville/Markham--Unionville,116,Markham,19,27,190,4,2,242,550
Markham--Unionville/Markham--Unionville,117,Markham,24,46,236,3,3,312,608
Markham--Unionville/Markham--Unionville,118,Markham,17,14,191,4,2,228,497
Markham--Unionville/Markham--Unionville,119,Markham,22,35,149,1,1,208,463
Markham--Unionville/Markham--Unionville,120,Markham,26,30,190,7,2,255,568
Markham--Unionville/Markham--Unionville,121,Markham,19,38,198,2,0,257,528
Markham--Unionville/Markham--Unionville,122,Markham,38,46,238,4,3,329,658
Markham--Unionville/Markham--Unionville,123,Markham,11,19,77,0,3,110,267
Markham--Unionville/Markham--Unionville,124,Markham,21,28,188,7,0,244,589
Markham--Unionville/Markham--Unionville,125,Markham,16,42,187,2,1,248,515
Markham--Unionville/Markham--Unionville,126,Markham,19,19,142,3,0,183,423
Markham--Unionville/Markham--Unionville,127,Markham,23,23,173,5,0,224,517
Markham--Unionville/Markham--Unionville,128,Markham,14,15,161,2,1,193,394
Markham--Unionville/Markham--Unionville,129,Markham,22,27,149,2,1,201,439
Markham--Unionville/Markham--Unionville,130,Markham,16,19,102,2,1,140,306
Markham--Unionville/Markham--Unionville,131,Markham,20,29,177,1,3,230,462
Markham--Unionville/Markham--Unionville,132,Markham,22,30,185,2,1,240,492
Markham--Unionville/Markham--Unionville,133,Markham,14,24,196,4,1,239,514
Markham--Unionville/Markham--Unionville,134,Markham,9,13,74,1,1,98,208
Markham--Unionville/Markham--Unionville,135,Markham,28,45,159,3,3,238,536
Markham--Unionville/Markham--Unionville,136,Markham,20,53,190,4,1,268,556
Markham--Unionville/Markham--Unionville,137,Markham,22,56,220,7,3,308,585
Markham--Unionville/Markham--Unionville,138,Markham,23,55,195,6,0,279,546
Markham--Unionville/Markham--Unionville,139,Markham,32,45,198,5,1,281,691
Markham--Unionville/Markham--Unionville,140,Markham,15,47,131,3,0,196,461
Markham--Unionville/Markham--Unionville,141,Markham,22,49,124,2,2,199,523
Markham--Unionville/Markham--Unionville,142,Markham,17,61,117,5,4,204,326
Markham--Unionville/Markham--Unionville,143,Markham,25,41,84,11,1,162,228
Markham--Unionville/Markham--Unionville,144,Markham,13,71,101,7,0,192,284
Markham--Unionville/Markham--Unionville,145,Markham,22,40,80,8,1,151,309
Markham--Unionville/Markham--Unionville,146,Markham,18,57,88,8,1,172,306
Markham--Unionville/Markham--Unionville,147,Markham,9,80,124,5,1,219,410
Markham--Unionville/Markham--Unionville,148,Markham,25,72,130,6,0,233,562
Markham--Unionville/Markham--Unionville,149,Markham,19,73,111,8,0,211,348
Markham--Unionville/Markham--Unionville,150,Markham,24,38,83,13,1,159,255
Markham--Unionville/Markham--Unionville,151,Markham,13,49,81,12,0,155,262
Markham--Unionville/Markham--Unionville,152,Markham,17,68,156,12,0,253,419
Markham--Unionville/Markham--Unionville,153,Markham,14,53,127,5,1,200,314
Markham--Unionville/Markham--Unionville,154,Markham,17,67,162,6,0,252,415
Markham--Unionville/Markham--Unionville,155,Markham,34,68,157,18,2,279,487
Markham--Unionville/Markham--Unionville,156,Markham,24,76,201,9,0,310,556
Markham--Unionville/Markham--Unionville,157,Markham,12,70,140,6,0,228,428
Markham--Unionville/Markham--Unionville,158,Markham,22,36,201,6,2,267,441
Markham--Unionville/Markham--Unionville,159,Markham,9,78,196,4,4,291,518
Markham--Unionville/Markham--Unionville,160,Markham,20,46,192,13,2,273,510
Markham--Unionville/Markham--Unionville,161,Markham,24,49,213,5,0,291,565
Markham--Unionville/Markham--Unionville,162,Markham,22,26,98,3,2,151,318
Markham--Unionville/Markham--Unionville,163,Markham,Void,,,,,,
Markham--Unionville/Markham--Unionville,164,Markham,29,60,200,2,3,294,490
Markham--Unionville/Markham--Unionville,165,Markham,16,51,200,4,2,273,586
Markham--Unionville/Markham--Unionville,166,Markham,18,46,218,7,1,290,652
Markham--Unionville/Markham--Unionville,167,Markham,43,81,310,4,7,445,955
Markham--Unionville/Markham--Unionville,400,Markham,8,9,20,2,1,40,178
Markham--Unionville/Markham--Unionville,500,Mobile poll/Bureau itinérant,7,35,34,5,0,81,202
Markham--Unionville/Markham--Unionville,600,Markham,56,265,476,24,0,821,
Markham--Unionville/Markham--Unionville,601,Markham,59,355,544,29,5,992,
Markham--Unionville/Markham--Unionville,602,Markham,36,138,305,11,3,493,
Markham--Unionville/Markham--Unionville,603,Markham,58,113,338,13,6,528,
Markham--Unionville/Markham--Unionville,604,Markham,88,117,419,14,5,643,
Markham--Unionville/Markham--Unionville,605,Markham,48,210,411,23,2,694,
Markham--Unionville/Markham--Unionville,,Group 1/Groupe 1,3,13,27,4,2,49,81
Markham--Unionville/Markham--Unionville,,Group 2/Groupe 2,16,100,176,8,0,300,
