District,Poll Number,Poll Name,Jody Di Bartolomeo,Mel Grunstein,John Maloney,Ryan McLaughlin,Irma D. Ruiter,Ron Walker,Rejected Ballots,Total Vote,Electors
Welland/Welland,1,St. Catharines,34,112,65,10,4,0,0,225,374
Welland/Welland,2,St. Catharines,69,87,93,11,4,0,0,264,492
Welland/Welland,3,St. Catharines,50,91,106,8,5,0,1,261,397
Welland/Welland,4,St. Catharines,62,77,73,3,0,2,0,217,375
Welland/Welland,5,St. Catharines,66,46,44,3,2,0,2,163,296
Welland/Welland,6,St. Catharines,65,33,52,4,3,0,0,157,394
Welland/Welland,7,St. Catharines,65,25,45,8,2,0,1,146,340
Welland/Welland,8,St. Catharines,50,46,53,5,0,1,1,156,282
Welland/Welland,9,St. Catharines,75,33,30,7,1,0,2,148,370
Welland/Welland,10,St. Catharines,43,32,30,9,2,0,1,117,300
Welland/Welland,11,St. Catharines,50,45,56,6,3,1,3,164,408
Welland/Welland,12,St. Catharines,91,52,39,7,3,0,2,194,395
Welland/Welland,13,St. Catharines,124,47,45,4,2,2,3,227,475
Welland/Welland,14,St. Catharines,59,51,62,4,4,0,0,180,281
Welland/Welland,15,St. Catharines,54,66,47,7,5,1,1,181,381
Welland/Welland,16,St. Catharines,55,97,136,14,5,0,1,308,506
Welland/Welland,17A,St. Catharines,32,77,108,3,3,0,0,223,361
Welland/Welland,17B,St. Catharines,33,99,113,7,0,1,1,254,399
Welland/Welland,18,St. Catharines,39,98,96,12,3,4,2,254,480
Welland/Welland,19,St. Catharines,55,89,85,10,1,1,1,242,416
Welland/Welland,20,St. Catharines,19,46,104,6,0,1,0,176,353
Welland/Welland,21,St. Catharines,32,61,104,5,0,0,1,203,316
Welland/Welland,22,St. Catharines,30,82,112,5,2,0,1,232,393
Welland/Welland,23,St. Catharines,37,94,136,12,1,0,0,280,424
Welland/Welland,24,St. Catharines,28,48,72,9,0,0,0,157,283
Welland/Welland,25,St. Catharines,44,60,135,9,4,0,0,252,400
Welland/Welland,26,St. Catharines,49,76,90,9,1,0,0,225,385
Welland/Welland,27,St. Catharines,41,55,80,8,2,0,0,186,404
Welland/Welland,28,St. Catharines,43,83,135,5,4,1,0,271,462
Welland/Welland,29,St. Catharines,54,62,90,6,0,0,2,214,371
Welland/Welland,30,St. Catharines,50,39,70,3,2,0,1,165,291
Welland/Welland,31,St. Catharines,63,54,76,12,0,2,3,210,370
Welland/Welland,32,St. Catharines,86,43,33,9,4,0,0,175,342
Welland/Welland,33,St. Catharines,132,52,54,11,0,1,4,254,507
Welland/Welland,34,Thorold,49,44,58,3,1,0,0,155,263
Welland/Welland,35,Thorold,84,66,110,11,1,0,0,272,448
Welland/Welland,36,Thorold,81,83,109,13,4,1,0,291,496
Welland/Welland,37,Thorold,81,76,61,6,2,0,5,231,406
Welland/Welland,38,Thorold,90,65,73,7,0,0,0,235,456
Welland/Welland,39,Thorold,50,71,111,8,4,0,1,245,448
Welland/Welland,40,Thorold,73,40,62,8,0,0,3,186,362
Welland/Welland,41,Thorold,104,42,80,7,3,0,0,236,370
Welland/Welland,42,Thorold,80,36,101,8,3,1,2,231,368
Welland/Welland,43,Thorold,87,63,100,4,6,0,0,260,431
Welland/Welland,44,Thorold,117,35,77,5,1,1,3,239,372
Welland/Welland,45,Thorold,94,28,73,3,5,0,1,204,327
Welland/Welland,46,Thorold,62,31,65,3,4,0,4,169,321
Welland/Welland,47,Thorold,79,35,92,5,3,0,0,214,363
Welland/Welland,48,Thorold,75,36,55,5,2,1,0,174,350
Welland/Welland,49,Thorold,78,13,42,10,1,0,3,147,292
Welland/Welland,50,Thorold,54,27,56,4,1,0,3,145,303
Welland/Welland,51,Thorold,78,25,58,4,2,0,2,169,308
Welland/Welland,52,Thorold,105,49,48,5,3,0,0,210,404
Welland/Welland,53,Thorold,69,50,50,4,2,0,1,176,364
Welland/Welland,54,Thorold,73,36,48,4,2,0,1,164,336
Welland/Welland,55,Thorold,61,32,42,6,4,1,2,148,383
Welland/Welland,56,Thorold,76,18,40,0,0,0,3,137,301
Welland/Welland,57,Thorold,85,43,81,5,0,1,3,218,421
Welland/Welland,58,Thorold,90,51,83,11,2,0,1,238,401
Welland/Welland,59,Thorold,50,53,55,5,0,1,2,166,361
Welland/Welland,60,Thorold,83,68,30,10,2,0,0,193,519
Welland/Welland,61,Thorold,114,48,49,10,6,0,2,229,458
Welland/Welland,62,Thorold,103,47,53,7,0,1,4,215,434
Welland/Welland,63,Thorold,68,39,40,4,0,1,6,158,285
Welland/Welland,64,Thorold,81,46,32,9,2,0,1,171,332
Welland/Welland,65,Thorold,79,63,47,5,0,1,0,195,384
Welland/Welland,66,Thorold,51,91,64,10,7,1,0,224,397
Welland/Welland,67,Thorold,50,61,49,10,1,0,1,172,324
Welland/Welland,68,Thorold,59,40,50,3,1,0,1,154,248
Welland/Welland,69,Thorold,74,70,53,5,7,0,2,211,502
Welland/Welland,70,Welland,64,73,121,8,4,0,0,270,464
Welland/Welland,71,Welland,61,74,129,5,0,0,4,273,430
Welland/Welland,72,Welland,56,59,89,7,5,2,3,221,357
Welland/Welland,73,Welland,55,89,115,6,12,0,1,278,510
Welland/Welland,74,Welland,49,72,101,9,4,0,0,235,525
Welland/Welland,75,Welland,51,35,91,6,8,1,0,192,355
Welland/Welland,76,Welland,46,58,69,3,1,1,0,178,328
Welland/Welland,77,Welland,58,55,136,9,2,0,1,261,407
Welland/Welland,78,Welland,62,78,100,9,1,0,2,252,429
Welland/Welland,79,Welland,37,43,108,6,3,0,4,201,337
Welland/Welland,80,Welland,67,36,58,4,3,0,1,169,308
Welland/Welland,81,Welland,59,39,85,8,3,0,0,194,319
Welland/Welland,82,Welland,59,49,105,6,1,2,1,223,426
Welland/Welland,83,Welland,72,80,105,10,5,1,0,273,452
Welland/Welland,84,Welland,60,76,112,2,4,1,4,259,465
Welland/Welland,85,Welland,34,42,52,4,5,0,1,138,262
Welland/Welland,86,Welland,66,47,68,2,7,1,1,192,381
Welland/Welland,87,Welland,60,68,142,7,2,0,4,283,528
Welland/Welland,88,Welland,62,52,72,7,1,0,0,194,356
Welland/Welland,89,Welland,50,47,86,5,1,1,0,190,315
Welland/Welland,90,Welland,45,61,75,5,2,0,1,189,318
Welland/Welland,91,Welland,38,44,70,5,6,0,2,165,279
Welland/Welland,92,Welland,77,68,98,6,1,1,1,252,464
Welland/Welland,93,Welland,53,43,88,3,4,0,1,192,383
Welland/Welland,94,Welland,59,61,79,5,6,0,1,211,440
Welland/Welland,95,Welland,81,27,88,10,5,0,1,212,432
Welland/Welland,96,Welland,44,36,57,2,1,0,2,142,280
Welland/Welland,97,Welland,59,62,127,7,0,0,2,257,407
Welland/Welland,98,Welland,76,62,105,7,0,1,1,252,463
Welland/Welland,99,Welland,66,60,123,3,3,0,1,256,460
Welland/Welland,100,Welland,44,44,68,8,1,0,0,165,298
Welland/Welland,101,Welland,60,61,105,6,7,0,2,241,387
Welland/Welland,102,Welland,66,58,96,6,7,0,1,234,363
Welland/Welland,103,Welland,44,51,81,3,5,0,0,184,323
Welland/Welland,104,Welland,40,37,71,5,3,1,0,157,288
Welland/Welland,105,Welland,59,42,110,10,3,0,0,224,437
Welland/Welland,106,Welland,67,55,104,6,1,2,0,235,412
Welland/Welland,107,Welland,67,56,80,5,4,1,0,213,405
Welland/Welland,108,Welland,64,45,90,4,2,1,0,206,400
Welland/Welland,109,Welland,36,54,78,11,4,1,1,185,378
Welland/Welland,110,Welland,55,35,67,2,1,0,0,160,397
Welland/Welland,111,Welland,19,28,52,6,0,0,0,105,201
Welland/Welland,112,Welland,38,46,75,2,2,0,0,163,292
Welland/Welland,113,Welland,29,57,91,7,2,0,0,186,300
Welland/Welland,114,Welland,38,36,122,1,5,1,4,207,390
Welland/Welland,115,Welland,79,54,107,10,6,0,4,260,476
Welland/Welland,116,Welland,53,61,100,4,1,1,2,222,403
Welland/Welland,117,Welland,48,55,69,9,1,0,0,182,360
Welland/Welland,118,Welland,56,29,47,6,2,0,0,140,302
Welland/Welland,119,Welland,71,20,49,2,6,1,0,149,346
Welland/Welland,120,Welland,61,26,45,8,1,1,2,144,395
Welland/Welland,121,Welland,79,29,36,1,6,1,1,153,365
Welland/Welland,122,Welland,65,26,53,7,6,2,2,161,341
Welland/Welland,123,Welland,29,15,38,7,1,1,0,91,231
Welland/Welland,124,Welland,61,49,74,5,2,1,1,193,480
Welland/Welland,125,Welland,52,25,34,8,6,0,0,125,346
Welland/Welland,126,Welland,75,31,60,9,1,0,1,177,357
Welland/Welland,127,Welland,57,33,71,6,5,0,1,173,371
Welland/Welland,128,Welland,45,33,37,2,1,1,1,120,228
Welland/Welland,129,Welland,55,61,87,9,9,0,0,221,459
Welland/Welland,130,Welland,58,27,53,4,2,1,0,145,341
Welland/Welland,131,Welland,55,14,41,4,4,0,1,119,337
Welland/Welland,132,Welland,55,29,63,8,0,1,2,158,379
Welland/Welland,133,Welland,81,29,41,4,3,0,0,158,361
Welland/Welland,134,Welland,81,32,41,5,10,0,0,169,336
Welland/Welland,135,Welland,90,41,65,9,0,0,1,206,402
Welland/Welland,136,Welland,50,19,22,5,0,0,1,97,262
Welland/Welland,137,Welland,101,35,85,2,4,1,7,235,361
Welland/Welland,138,Welland,68,37,56,5,7,0,0,173,330
Welland/Welland,139,Welland,77,58,73,5,2,1,0,216,393
Welland/Welland,140,Welland,116,52,76,7,5,1,2,259,508
Welland/Welland,141,Welland,40,23,31,1,1,0,0,96,188
Welland/Welland,142,Welland,65,37,75,3,1,0,0,181,368
Welland/Welland,143,Welland,73,46,61,4,1,0,0,185,326
Welland/Welland,144,Welland,56,59,46,6,6,0,0,173,397
Welland/Welland,145,Welland,44,52,72,6,3,0,2,179,434
Welland/Welland,146,Welland,82,18,46,4,4,1,1,156,379
Welland/Welland,147,Welland,61,37,41,7,4,0,1,151,383
Welland/Welland,148,Welland,56,19,78,7,2,0,0,162,408
Welland/Welland,149,Welland,47,15,58,2,1,0,0,123,263
Welland/Welland,150,Welland,79,30,57,9,3,2,2,182,410
Welland/Welland,151,Welland,83,25,70,3,2,0,2,185,352
Welland/Welland,152,Welland,87,37,120,5,2,0,3,254,414
Welland/Welland,153,Welland,60,23,101,6,2,0,2,194,375
Welland/Welland,154,Welland,62,21,106,2,2,0,4,197,308
Welland/Welland,155,Welland,54,14,47,4,1,0,3,123,215
Welland/Welland,156,Welland,91,21,76,7,3,0,1,199,437
Welland/Welland,157,Welland,68,19,37,2,0,2,0,128,280
Welland/Welland,158,Welland,85,28,53,3,1,3,6,179,379
Welland/Welland,159,Welland,44,22,67,1,0,0,1,135,293
Welland/Welland,160,Welland,49,46,118,4,1,0,2,220,339
Welland/Welland,161,Welland,69,32,93,4,3,1,2,204,352
Welland/Welland,162,Welland,60,35,56,2,0,0,4,157,256
Welland/Welland,163,Welland,90,25,41,2,2,2,1,163,301
Welland/Welland,164,Welland,60,17,44,9,1,0,3,134,325
Welland/Welland,165,Welland,67,25,53,4,0,0,3,152,320
Welland/Welland,166,Welland,67,20,76,5,2,1,3,174,317
Welland/Welland,167,Welland,47,22,44,7,0,0,1,121,327
Welland/Welland,168,Welland,40,54,91,9,2,2,1,199,339
Welland/Welland,169,Welland,60,59,83,8,1,1,5,217,379
Welland/Welland,170,Welland,77,58,69,16,2,0,1,223,400
Welland/Welland,171,Wainfleet,22,105,37,6,17,0,3,190,295
Welland/Welland,172,Wainfleet,27,106,48,2,20,0,0,203,327
Welland/Welland,173,Wainfleet,21,141,70,6,15,1,3,257,383
Welland/Welland,174,Wainfleet,36,91,61,2,12,0,0,202,352
Welland/Welland,175,O'Reilly's Bridge,45,117,83,7,19,1,4,276,445
Welland/Welland,176,Wainfleet,44,82,47,4,14,0,2,193,303
Welland/Welland,177,Winger,11,94,32,5,4,0,0,146,255
Welland/Welland,178,Wainfleet,40,99,41,5,14,3,1,203,348
Welland/Welland,179,Willow Bay,54,88,69,7,4,0,2,224,359
Welland/Welland,180,Ostryhon Corners,28,66,67,8,8,0,1,178,324
Welland/Welland,181,Burnaby,40,89,95,4,8,0,0,236,433
Welland/Welland,182,Wainfleet,35,48,45,2,6,0,3,139,239
Welland/Welland,183,Camelot Beach,44,53,92,10,2,0,0,201,324
Welland/Welland,184,Port Colborne,41,37,76,3,4,0,0,161,277
Welland/Welland,185,Port Colborne,58,67,138,7,4,0,6,280,468
Welland/Welland,186,Port Colborne,72,58,62,13,4,1,0,210,390
Welland/Welland,187,Port Colborne,47,51,80,5,0,0,1,184,310
Welland/Welland,188,Port Colborne,70,49,62,2,1,1,1,186,390
Welland/Welland,189,Port Colborne,30,43,85,6,0,1,3,168,285
Welland/Welland,190,Port Colborne,32,92,171,1,6,1,6,309,490
Welland/Welland,191,Port Colborne,34,36,82,2,2,0,1,157,261
Welland/Welland,192,Port Colborne,46,33,102,8,1,0,2,192,380
Welland/Welland,193,Port Colborne,49,27,74,8,6,1,0,165,353
Welland/Welland,194,Port Colborne,39,14,43,6,3,0,1,106,188
Welland/Welland,195,Port Colborne,48,17,59,2,0,0,1,127,225
Welland/Welland,196,Port Colborne,88,28,74,6,0,0,3,199,318
Welland/Welland,197,Port Colborne,66,27,109,4,2,0,1,209,325
Welland/Welland,198,Port Colborne,63,23,51,4,1,1,1,144,270
Welland/Welland,199,Port Colborne,68,35,76,7,2,0,0,188,328
Welland/Welland,200,Port Colborne,79,26,65,6,0,0,1,177,370
Welland/Welland,201,Port Colborne,61,19,29,2,0,1,2,114,272
Welland/Welland,202,Port Colborne,52,36,82,6,0,1,1,178,293
Welland/Welland,203,Port Colborne,43,27,50,5,0,0,0,125,286
Welland/Welland,204,Port Colborne,28,34,79,3,5,1,0,150,279
Welland/Welland,205,Port Colborne,44,34,96,3,2,0,3,182,316
Welland/Welland,206,Port Colborne,34,55,73,8,1,0,0,171,309
Welland/Welland,207,Port Colborne,47,37,102,8,4,0,0,198,307
Welland/Welland,208,Port Colborne,51,63,118,6,2,0,1,241,350
Welland/Welland,209,Port Colborne,41,56,94,5,1,0,1,198,337
Welland/Welland,210,Port Colborne,45,84,162,3,0,0,2,296,436
Welland/Welland,211,Port Colborne,38,55,149,5,1,1,2,251,376
Welland/Welland,212,Port Colborne,30,84,133,5,3,0,0,255,464
Welland/Welland,213,Port Colborne,33,52,148,5,5,1,2,246,490
Welland/Welland,214,Port Colborne,62,47,134,3,1,0,2,249,472
Welland/Welland,215,Port Colborne,50,52,119,4,4,0,2,231,358
Welland/Welland,216,Port Colborne,49,31,50,11,0,0,0,141,298
Welland/Welland,217,Port Colborne,84,100,71,6,1,1,1,264,442
Welland/Welland,218,Port Colborne,48,64,45,6,3,2,1,169,312
Welland/Welland,219,Port Colborne,51,23,46,3,0,0,4,127,322
Welland/Welland,220,Port Colborne,63,18,85,7,1,0,4,178,305
Welland/Welland,221,Port Colborne,65,16,47,1,1,2,1,133,275
Welland/Welland,222,Port Colborne,42,52,60,3,3,0,2,162,256
Welland/Welland,223,Port Colborne,67,110,95,11,4,1,0,288,483
Welland/Welland,224,Port Colborne,52,49,88,3,1,0,2,195,342
Welland/Welland,225,Port Colborne,76,93,80,11,4,0,2,266,464
Welland/Welland,500,Mobile poll/Bureau itinérant,6,11,20,4,0,2,7,50,299
Welland/Welland,501,Mobile poll/Bureau itinérant,19,17,88,2,3,1,1,131,208
Welland/Welland,502,Mobile poll/Bureau itinérant,23,22,47,2,0,3,0,97,249
Welland/Welland,600,St. Catharines,71,135,129,17,2,0,1,355,
Welland/Welland,601,St. Catharines,59,130,140,7,3,0,1,340,
Welland/Welland,602,Thorold,158,104,218,10,5,0,0,495,
Welland/Welland,603,Thorold,26,51,40,3,4,0,0,124,
Welland/Welland,604,Welland,83,171,222,11,6,0,1,494,
Welland/Welland,605,Welland,82,137,138,7,10,0,0,374,
Welland/Welland,606,Welland,86,166,263,7,9,0,0,531,
Welland/Welland,607,Welland,173,103,185,4,8,2,2,477,
Welland/Welland,608,Welland,115,86,247,7,3,1,3,462,
Welland/Welland,609,Wainfleet,22,114,80,9,4,0,0,229,
Welland/Welland,610,Port Colborne,39,90,111,4,0,0,2,246,
