District,Poll Number,Poll Name,Dan Biocchi,Marc Godbout,Crystal Leblanc,Walter Robinson,Rejected Ballots,Total Vote,Electors
Ottawa--Orléans/Ottawa--Orléans,201A,Gloucester,4,25,4,55,0,88,133
Ottawa--Orléans/Ottawa--Orléans,201B,Gloucester,6,39,3,45,1,94,207
Ottawa--Orléans/Ottawa--Orléans,400,Gloucester,10,106,36,71,1,224,369
Ottawa--Orléans/Ottawa--Orléans,401,Gloucester,11,88,35,51,0,185,350
Ottawa--Orléans/Ottawa--Orléans,500,Mobile poll/Bureau itinérant,1,62,10,67,5,145,265
Ottawa--Orléans/Ottawa--Orléans,600,Ottawa,21,207,56,199,4,487,
Ottawa--Orléans/Ottawa--Orléans,601,Ottawa,30,313,58,369,1,771,
Ottawa--Orléans/Ottawa--Orléans,602,Ottawa,49,339,97,523,0,1008,
Ottawa--Orléans/Ottawa--Orléans,603,Ottawa,29,292,72,411,2,806,
Ottawa--Orléans/Ottawa--Orléans,604,Ottawa,18,293,62,364,5,742,
Ottawa--Orléans/Ottawa--Orléans,605,Ottawa,38,396,55,496,5,990,
Ottawa--Orléans/Ottawa--Orléans,606,Ottawa,28,252,67,370,4,721,
Ottawa--Orléans/Ottawa--Orléans,607,Ottawa,40,389,56,530,4,1019,
Ottawa--Orléans/Ottawa--Orléans,608,Ottawa,13,129,36,163,2,343,
Ottawa--Orléans/Ottawa--Orléans,609,Ottawa,9,201,36,169,3,418,
Ottawa--Orléans/Ottawa--Orléans,,Group 1/Groupe 1,22,180,31,231,12,476,1002
Ottawa--Orléans/Ottawa--Orléans,,Group 2/Groupe 2,36,409,78,429,7,959,
