District,Poll Number,Poll Name,Jim Dunlap,Erik Matthew Millett,David Szemerda,Greg Thompson,Patrick Webber,Rejected Ballots,Total Vote,Electors
St. Croix--Belleisle/St. Croix--Belleisle,1,Kingsclear,18,3,0,2,16,0,39,359
St. Croix--Belleisle/St. Croix--Belleisle,1-1,Kingsclear,Void,,,,,,,
St. Croix--Belleisle/St. Croix--Belleisle,2,Kingsclear,90,4,1,110,33,1,239,353
St. Croix--Belleisle/St. Croix--Belleisle,3,Island View,104,7,0,98,26,1,236,399
St. Croix--Belleisle/St. Croix--Belleisle,4A,Hanwell,83,0,1,83,25,0,192,324
St. Croix--Belleisle/St. Croix--Belleisle,4B,Hanwell,86,7,1,58,52,1,205,326
St. Croix--Belleisle/St. Croix--Belleisle,5,Hanwell,156,16,0,122,45,0,339,512
St. Croix--Belleisle/St. Croix--Belleisle,6,Hanwell,98,2,1,74,35,3,213,377
St. Croix--Belleisle/St. Croix--Belleisle,7,Parc Greenwood Park,39,1,2,37,19,0,98,362
St. Croix--Belleisle/St. Croix--Belleisle,8,Hanwell,94,6,0,116,20,1,237,351
St. Croix--Belleisle/St. Croix--Belleisle,9,Hanwell,147,8,0,135,36,0,326,485
St. Croix--Belleisle/St. Croix--Belleisle,10,Hanwell,113,6,0,117,39,0,275,486
St. Croix--Belleisle/St. Croix--Belleisle,11,Mazerolle Settlement,83,10,0,108,51,1,253,390
St. Croix--Belleisle/St. Croix--Belleisle,12,Mazerolle Settlement,65,10,0,67,27,0,169,254
St. Croix--Belleisle/St. Croix--Belleisle,13,Newmarket,117,5,0,112,37,2,273,430
St. Croix--Belleisle/St. Croix--Belleisle,14,Prince William,73,9,0,122,32,0,236,412
St. Croix--Belleisle/St. Croix--Belleisle,15,Magaguadavic,59,3,2,93,14,1,172,247
St. Croix--Belleisle/St. Croix--Belleisle,16,Hawkshaw--Dumfries,70,11,1,81,24,0,187,311
St. Croix--Belleisle/St. Croix--Belleisle,17,McAdam,36,5,0,139,18,0,198,342
St. Croix--Belleisle/St. Croix--Belleisle,18,McAdam,24,1,0,90,8,2,125,289
St. Croix--Belleisle/St. Croix--Belleisle,19,McAdam,11,1,0,138,2,0,152,294
St. Croix--Belleisle/St. Croix--Belleisle,20,McAdam,28,1,0,83,12,2,126,232
St. Croix--Belleisle/St. Croix--Belleisle,21,York Mills,42,4,1,75,9,1,132,234
St. Croix--Belleisle/St. Croix--Belleisle,22,Manners Sutton,63,11,0,114,22,0,210,303
St. Croix--Belleisle/St. Croix--Belleisle,23,Tweedside,53,7,0,131,24,0,215,334
St. Croix--Belleisle/St. Croix--Belleisle,24,Harvey,93,15,0,119,37,1,265,457
