District,Poll Number,Poll Name,Chris Foote,Jeff Horvath,Judy Stewart,Myron Thompson,Rejected Ballots,Total Vote,Electors
Wild Rose/Wild Rose,1A,Big Horn 144A,0,6,20,5,0,31,83
Wild Rose/Wild Rose,1B,Big Horn 144A,15,8,1,66,0,90,197
Wild Rose/Wild Rose,2,Strachan,Merged with No. 3,,,,,,23
Wild Rose/Wild Rose,3,Ricinus,6,5,9,132,0,152,192
Wild Rose/Wild Rose,4,Chedderville,16,14,10,193,0,233,365
Wild Rose/Wild Rose,5,Stauffer,14,11,12,147,0,184,314
Wild Rose/Wild Rose,6,Caroline,15,7,8,289,0,319,483
Wild Rose/Wild Rose,7A,Caroline,4,9,8,124,0,145,381
Wild Rose/Wild Rose,7B,Caroline,6,11,8,121,1,147,338
Wild Rose/Wild Rose,8,Crammond,14,14,4,137,0,169,270
Wild Rose/Wild Rose,9,Clearwater No. 99,Merged with No. 16,,,,,,6
Wild Rose/Wild Rose,10,Lake Louise,73,61,64,69,1,268,501
Wild Rose/Wild Rose,11,Lake Louise,42,20,46,55,2,165,285
Wild Rose/Wild Rose,12,Banff,23,24,40,33,2,122,253
Wild Rose/Wild Rose,13,Water Valley,Merged with No. 14,,,,,,14
Wild Rose/Wild Rose,14,Elkton,19,8,11,157,0,195,288
Wild Rose/Wild Rose,15,Dartique,12,17,16,70,0,115,194
Wild Rose/Wild Rose,16,Bearberry,19,12,14,138,0,183,260
Wild Rose/Wild Rose,17,Garrington,11,5,23,269,0,308,563
Wild Rose/Wild Rose,18,Garrington,14,4,7,199,0,224,353
Wild Rose/Wild Rose,19,Sundre,21,12,20,222,0,275,470
Wild Rose/Wild Rose,20,Sundre,14,10,15,195,1,235,405
Wild Rose/Wild Rose,21A,Sundre,9,9,5,142,0,165,395
Wild Rose/Wild Rose,21B,Sundre,15,8,18,155,1,197,451
Wild Rose/Wild Rose,21C,Sundre,10,6,8,135,0,159,411
Wild Rose/Wild Rose,22,Sundre,4,11,7,153,1,176,367
Wild Rose/Wild Rose,23A,Pioneer Ranch,Merged with No. 24,,,,,,226
Wild Rose/Wild Rose,23B,Pioneer Ranch,15,7,21,334,0,377,512
Wild Rose/Wild Rose,24,Harmattan,17,4,16,254,0,291,244
Wild Rose/Wild Rose,25,Garrington,22,12,21,286,0,341,492
Wild Rose/Wild Rose,26,Netook,8,11,7,229,0,255,371
Wild Rose/Wild Rose,27,Olds,4,2,4,84,0,94,200
Wild Rose/Wild Rose,28,Harmattan,13,7,16,255,0,291,419
Wild Rose/Wild Rose,29,Neapolis,3,6,9,125,0,143,221
Wild Rose/Wild Rose,30,Westcott,18,14,11,264,1,308,424
Wild Rose/Wild Rose,31,Didsbury,29,21,34,293,0,377,625
Wild Rose/Wild Rose,32,Didsbury,11,19,19,171,0,220,361
Wild Rose/Wild Rose,33,Didsbury,14,10,11,158,0,193,343
Wild Rose/Wild Rose,34A,Didsbury,10,8,17,150,0,185,505
Wild Rose/Wild Rose,34B,Didsbury,10,14,16,166,0,206,518
Wild Rose/Wild Rose,35,Didsbury,8,16,20,132,0,176,303
Wild Rose/Wild Rose,36,Didsbury,25,24,31,249,0,329,561
Wild Rose/Wild Rose,37,Neapolis,12,9,15,250,0,286,331
Wild Rose/Wild Rose,38,Garfield,14,14,27,265,0,320,494
Wild Rose/Wild Rose,39,Carstairs,9,12,24,264,0,309,565
Wild Rose/Wild Rose,40A,Carstairs,16,17,32,190,0,255,471
Wild Rose/Wild Rose,40B,Mobile poll/Bureau itinérant,Merged with No. 502,,,,,,12
Wild Rose/Wild Rose,41A,Carstairs,20,21,26,279,0,346,434
Wild Rose/Wild Rose,41B,Carstairs,26,20,41,310,2,399,554
Wild Rose/Wild Rose,42,Neapolis,Merged with No. 41A,,,,,,125
Wild Rose/Wild Rose,43,Wessex,5,0,16,113,0,134,238
Wild Rose/Wild Rose,44,Dogpound,12,3,3,197,0,215,316
Wild Rose/Wild Rose,45,Cremona,9,5,16,208,1,239,334
Wild Rose/Wild Rose,46,Cremona,24,9,25,224,2,284,525
Wild Rose/Wild Rose,47,Pioneer Ranch,24,26,17,243,0,310,432
Wild Rose/Wild Rose,48,Olds,4,6,9,96,0,115,235
Wild Rose/Wild Rose,49,Olds,12,10,17,236,0,275,469
Wild Rose/Wild Rose,50,Olds,11,3,13,146,0,173,279
Wild Rose/Wild Rose,51,Olds,7,20,25,200,0,252,379
Wild Rose/Wild Rose,52,Olds,11,13,20,117,0,161,350
Wild Rose/Wild Rose,53,Olds,13,16,22,164,1,216,382
Wild Rose/Wild Rose,54,Olds,12,6,19,123,0,160,297
Wild Rose/Wild Rose,55,Olds,9,14,13,104,1,141,277
Wild Rose/Wild Rose,56,Olds,14,15,18,188,0,235,417
Wild Rose/Wild Rose,57,Olds,14,12,23,132,0,181,322
Wild Rose/Wild Rose,58,Olds,19,7,10,107,0,143,255
Wild Rose/Wild Rose,59,Olds,18,13,16,143,0,190,371
Wild Rose/Wild Rose,60,Olds,21,21,19,155,0,216,374
Wild Rose/Wild Rose,61,Olds,11,14,34,222,0,281,446
Wild Rose/Wild Rose,62,Olds,17,7,17,143,0,184,283
Wild Rose/Wild Rose,63,Madden,17,1,10,209,1,238,314
Wild Rose/Wild Rose,64,Wessex,6,3,9,129,0,147,202
Wild Rose/Wild Rose,65,Crossfield,19,14,27,231,0,291,424
Wild Rose/Wild Rose,66,Crossfield,14,20,23,221,0,278,475
Wild Rose/Wild Rose,67A,Crossfield,22,21,24,277,1,345,474
Wild Rose/Wild Rose,67B,Crossfield,9,21,20,217,0,267,496
Wild Rose/Wild Rose,68,Crossfield,Merged with No. 67A,,,,,,91
Wild Rose/Wild Rose,69,Kersey,5,2,13,158,0,178,250
Wild Rose/Wild Rose,70,Airdrie,17,11,14,247,0,289,401
Wild Rose/Wild Rose,71,Airdrie,2,5,7,142,0,156,225
Wild Rose/Wild Rose,72,Airdrie,9,8,20,203,0,240,339
Wild Rose/Wild Rose,73,Bearspaw,18,10,43,207,0,278,530
Wild Rose/Wild Rose,74,Balzac,17,7,38,218,0,280,390
Wild Rose/Wild Rose,75A,Balzac,12,13,16,295,1,337,442
Wild Rose/Wild Rose,75B,Balzac,14,16,27,279,1,337,596
Wild Rose/Wild Rose,76,Balzac,Merged with No. 75A,,,,,,120
Wild Rose/Wild Rose,77A,Airdrie,25,11,34,244,0,314,526
Wild Rose/Wild Rose,77B,Airdrie,16,14,23,195,0,248,468
Wild Rose/Wild Rose,78A,Airdrie,12,15,20,136,0,183,393
Wild Rose/Wild Rose,78B,Airdrie,16,11,19,172,0,218,407
Wild Rose/Wild Rose,79,Airdrie,12,20,38,228,0,298,526
Wild Rose/Wild Rose,80,Airdrie,16,16,51,316,0,399,679
Wild Rose/Wild Rose,81,Airdrie,17,17,34,244,0,312,485
Wild Rose/Wild Rose,82,Airdrie,4,5,19,134,1,163,344
Wild Rose/Wild Rose,83A,Airdrie,10,23,28,161,1,223,448
Wild Rose/Wild Rose,83B,Airdrie,8,16,48,175,0,247,463
Wild Rose/Wild Rose,84,Airdrie,19,27,31,221,0,298,506
Wild Rose/Wild Rose,85,Airdrie,18,26,40,197,0,281,586
Wild Rose/Wild Rose,86,Airdrie,16,21,16,154,0,207,336
Wild Rose/Wild Rose,87,Airdrie,26,19,36,208,1,290,505
Wild Rose/Wild Rose,88,Airdrie,21,18,26,143,1,209,378
Wild Rose/Wild Rose,89,Airdrie,13,18,23,154,1,209,454
Wild Rose/Wild Rose,90,Airdrie,13,25,27,131,0,196,298
Wild Rose/Wild Rose,91,Airdrie,15,15,15,111,1,157,338
Wild Rose/Wild Rose,92,Airdrie,17,11,16,142,0,186,319
Wild Rose/Wild Rose,93A,Airdrie,20,32,24,227,0,303,532
Wild Rose/Wild Rose,93B,Airdrie,25,21,42,211,0,299,560
Wild Rose/Wild Rose,94,Airdrie,15,21,13,105,0,154,331
Wild Rose/Wild Rose,95,Airdrie,16,16,32,176,0,240,454
Wild Rose/Wild Rose,96,Airdrie,16,14,21,96,0,147,256
Wild Rose/Wild Rose,97,Airdrie,17,15,24,143,0,199,357
Wild Rose/Wild Rose,98,Airdrie,13,21,27,155,0,216,410
Wild Rose/Wild Rose,99,Airdrie,11,24,29,166,1,231,364
Wild Rose/Wild Rose,100,Airdrie,14,17,32,182,0,245,412
Wild Rose/Wild Rose,101,Airdrie,11,20,12,81,0,124,353
Wild Rose/Wild Rose,102,Airdrie,13,11,19,136,0,179,392
Wild Rose/Wild Rose,103,Airdrie,19,14,10,169,1,213,430
Wild Rose/Wild Rose,104,Airdrie,4,13,9,110,0,136,323
Wild Rose/Wild Rose,105A,Airdrie,12,21,16,134,0,183,370
Wild Rose/Wild Rose,105B,Airdrie,10,20,24,153,0,207,432
Wild Rose/Wild Rose,106A,Airdrie,19,19,20,197,0,255,456
Wild Rose/Wild Rose,106B,Airdrie,26,21,34,221,1,303,485
Wild Rose/Wild Rose,107,Airdrie,9,10,11,90,0,120,226
Wild Rose/Wild Rose,108,Airdrie,12,15,7,125,1,160,247
Wild Rose/Wild Rose,109,Airdrie,4,19,23,137,0,183,385
Wild Rose/Wild Rose,110,Airdrie,15,16,16,120,0,167,299
Wild Rose/Wild Rose,111,Airdrie,16,9,21,138,0,184,362
Wild Rose/Wild Rose,112,Airdrie,16,20,17,145,1,199,312
Wild Rose/Wild Rose,113,Dartique,22,18,22,318,0,380,617
Wild Rose/Wild Rose,114,Bottrel,21,11,20,207,0,259,407
Wild Rose/Wild Rose,115,Radnor,Merged with No. 116A,,,,,,103
Wild Rose/Wild Rose,116A,Rocky View No. 44,11,18,22,187,0,238,270
Wild Rose/Wild Rose,116B,Rocky View No. 44,15,10,18,121,0,164,273
