Province,Stationary Polls,Mobile Polls,Advance Polls,SVR,Valid Votes
"Newfoundland and Labrador/Terre-Neuve-et-Labrador",181405,1402,11420,4265,198492
"Prince Edward Island/Île-du-Prince-Édouard",67560,640,6839,1556,76595
"Nova Scotia/Nouvelle-Écosse",389002,2294,36722,9825,437843
"New Brunswick/Nouveau-Brunswick",320288,3747,38267,7682,369984
"Quebec/Québec",3031114,20993,313003,73145,3438255
"Ontario",4476878,26538,519735,77328,5100479
"Manitoba",431021,3672,31531,8343,474567
"Saskatchewan",379894,3879,35845,7064,426682
"Alberta",1134316,15327,103641,21713,1274997
"British Columbia/Colombie-Britannique",1537717,12882,149046,33715,1733360
"Yukon",10831,42,973,682,12528
"Northwest Territories/Territoires du Nord-Ouest",12092,0,892,494,13478
"Nunavut",6688,0,555,199,7442
