District,Poll Number,Poll Name,Jean Augustine,John Capobianco,John Huculiak,Margaret Anne McHugh,Janice Murray,Rejected Ballots,Total Vote,Electors
Etobicoke--Lakeshore/Etobicoke--Lakeshore,1,Etobicoke,65,29,10,21,0,0,125,288
Etobicoke--Lakeshore/Etobicoke--Lakeshore,2,Etobicoke,118,49,17,38,3,0,225,668
Etobicoke--Lakeshore/Etobicoke--Lakeshore,3,Etobicoke,151,75,10,23,0,0,259,481
Etobicoke--Lakeshore/Etobicoke--Lakeshore,4,Etobicoke,52,29,7,23,1,0,112,239
Etobicoke--Lakeshore/Etobicoke--Lakeshore,5,Etobicoke,120,80,14,48,0,2,264,415
Etobicoke--Lakeshore/Etobicoke--Lakeshore,6,Etobicoke,125,82,5,32,0,3,247,392
Etobicoke--Lakeshore/Etobicoke--Lakeshore,7,Etobicoke,137,55,3,30,3,0,228,415
Etobicoke--Lakeshore/Etobicoke--Lakeshore,8,Etobicoke,140,77,11,19,1,3,251,397
Etobicoke--Lakeshore/Etobicoke--Lakeshore,9,Etobicoke,119,59,7,26,0,0,211,327
Etobicoke--Lakeshore/Etobicoke--Lakeshore,10,Etobicoke,116,74,8,25,0,1,224,388
Etobicoke--Lakeshore/Etobicoke--Lakeshore,11,Etobicoke,113,70,6,17,0,1,207,320
Etobicoke--Lakeshore/Etobicoke--Lakeshore,12,Etobicoke,134,93,11,26,0,2,266,388
Etobicoke--Lakeshore/Etobicoke--Lakeshore,13,Etobicoke,110,98,8,27,1,2,246,364
Etobicoke--Lakeshore/Etobicoke--Lakeshore,14,Etobicoke,126,77,12,23,1,3,242,362
Etobicoke--Lakeshore/Etobicoke--Lakeshore,15,Etobicoke,121,68,11,38,1,0,239,417
Etobicoke--Lakeshore/Etobicoke--Lakeshore,16,Etobicoke,145,72,7,22,1,0,247,358
Etobicoke--Lakeshore/Etobicoke--Lakeshore,17,Etobicoke,120,87,6,34,0,1,248,405
Etobicoke--Lakeshore/Etobicoke--Lakeshore,18,Etobicoke,136,72,3,28,1,3,243,383
Etobicoke--Lakeshore/Etobicoke--Lakeshore,19,Etobicoke,169,98,14,28,0,0,309,458
Etobicoke--Lakeshore/Etobicoke--Lakeshore,20,Etobicoke,143,73,10,37,2,0,265,478
Etobicoke--Lakeshore/Etobicoke--Lakeshore,21,Etobicoke,95,55,14,23,1,1,189,386
Etobicoke--Lakeshore/Etobicoke--Lakeshore,22,Etobicoke,117,60,12,14,0,0,203,323
Etobicoke--Lakeshore/Etobicoke--Lakeshore,23,Etobicoke,135,82,14,26,0,3,260,409
Etobicoke--Lakeshore/Etobicoke--Lakeshore,24,Etobicoke,120,62,12,8,0,1,203,316
Etobicoke--Lakeshore/Etobicoke--Lakeshore,25,Etobicoke,132,84,9,5,0,2,232,391
Etobicoke--Lakeshore/Etobicoke--Lakeshore,26,Etobicoke,231,144,11,20,0,0,406,718
Etobicoke--Lakeshore/Etobicoke--Lakeshore,27,Etobicoke,78,35,9,31,0,1,154,428
Etobicoke--Lakeshore/Etobicoke--Lakeshore,28,Etobicoke,122,79,11,26,0,0,238,392
Etobicoke--Lakeshore/Etobicoke--Lakeshore,29A,Etobicoke,221,86,18,74,1,0,400,704
Etobicoke--Lakeshore/Etobicoke--Lakeshore,29B,Mobile poll/Bureau itinérant,Merged with No. 500,,,,,,,36
Etobicoke--Lakeshore/Etobicoke--Lakeshore,30,Etobicoke,119,20,5,33,0,1,178,464
Etobicoke--Lakeshore/Etobicoke--Lakeshore,31,Etobicoke,111,57,6,27,0,0,201,317
Etobicoke--Lakeshore/Etobicoke--Lakeshore,32,Etobicoke,121,83,8,26,1,3,242,457
Etobicoke--Lakeshore/Etobicoke--Lakeshore,33,Etobicoke,151,72,15,55,1,2,296,634
Etobicoke--Lakeshore/Etobicoke--Lakeshore,34,Etobicoke,168,95,10,36,2,2,313,521
Etobicoke--Lakeshore/Etobicoke--Lakeshore,35,Etobicoke,132,72,16,21,1,0,242,381
