District,Poll Number,Poll Name,Susan MacAlpine-Gillis,Mike MacDonald,Michael Marshall,Tracy Parsons,Michael John Savage,Charles Spurr,Rejected Ballots,Total Vote,Electors
Dartmouth--Cole Harbour/Dartmouth--Cole Harbour,30,Halifax,59,17,5,3,35,0,1,120,325
Dartmouth--Cole Harbour/Dartmouth--Cole Harbour,31,Halifax,86,24,4,1,46,0,2,163,367
Dartmouth--Cole Harbour/Dartmouth--Cole Harbour,32,Halifax,73,31,4,4,57,0,0,169,327
Dartmouth--Cole Harbour/Dartmouth--Cole Harbour,33,Halifax,85,19,4,0,34,0,0,142,294
Dartmouth--Cole Harbour/Dartmouth--Cole Harbour,34,Halifax,65,21,2,2,39,1,0,130,357
Dartmouth--Cole Harbour/Dartmouth--Cole Harbour,35,Halifax,97,8,8,2,40,2,0,157,467
Dartmouth--Cole Harbour/Dartmouth--Cole Harbour,36,Halifax,65,15,6,3,22,1,0,112,418
Dartmouth--Cole Harbour/Dartmouth--Cole Harbour,37,Halifax,50,22,0,1,40,1,0,114,299
Dartmouth--Cole Harbour/Dartmouth--Cole Harbour,38,Halifax,48,18,4,0,32,0,0,102,323
Dartmouth--Cole Harbour/Dartmouth--Cole Harbour,39A,Halifax,34,13,1,0,9,0,1,58,342
Dartmouth--Cole Harbour/Dartmouth--Cole Harbour,39B,Halifax,Merged with No. 25,,,,,,,,151
Dartmouth--Cole Harbour/Dartmouth--Cole Harbour,40,Halifax,82,18,5,1,42,1,1,150,568
Dartmouth--Cole Harbour/Dartmouth--Cole Harbour,41A,Halifax,68,35,10,1,137,0,0,251,431
Dartmouth--Cole Harbour/Dartmouth--Cole Harbour,41B,Halifax,Merged with No. 85,,,,,,,,127
Dartmouth--Cole Harbour/Dartmouth--Cole Harbour,42A,Halifax,47,44,5,4,119,0,0,219,448
Dartmouth--Cole Harbour/Dartmouth--Cole Harbour,42B,Halifax,Merged with No. 50,,,,,,,,155
Dartmouth--Cole Harbour/Dartmouth--Cole Harbour,42C,Halifax,Merged with No. 47,,,,,,,,45
Dartmouth--Cole Harbour/Dartmouth--Cole Harbour,43,Halifax,69,51,8,3,151,0,1,283,486
Dartmouth--Cole Harbour/Dartmouth--Cole Harbour,44,Halifax,42,61,3,2,128,0,0,236,370
Dartmouth--Cole Harbour/Dartmouth--Cole Harbour,45,Halifax,80,43,12,1,137,0,0,273,404
Dartmouth--Cole Harbour/Dartmouth--Cole Harbour,46,Halifax,46,59,6,1,153,0,1,266,399
Dartmouth--Cole Harbour/Dartmouth--Cole Harbour,47,Halifax,54,46,4,1,162,0,0,267,379
Dartmouth--Cole Harbour/Dartmouth--Cole Harbour,48,Halifax,35,52,5,0,130,0,1,223,343
Dartmouth--Cole Harbour/Dartmouth--Cole Harbour,49,Halifax,58,60,8,2,77,2,0,207,318
Dartmouth--Cole Harbour/Dartmouth--Cole Harbour,50,Halifax,69,42,5,0,113,1,1,231,285
Dartmouth--Cole Harbour/Dartmouth--Cole Harbour,51,Halifax,54,48,4,0,80,1,1,188,330
Dartmouth--Cole Harbour/Dartmouth--Cole Harbour,52,Halifax,64,35,3,1,62,0,0,165,315
Dartmouth--Cole Harbour/Dartmouth--Cole Harbour,53,Halifax,91,50,7,3,115,0,1,267,443
Dartmouth--Cole Harbour/Dartmouth--Cole Harbour,54,Halifax,57,13,7,2,29,0,0,108,335
Dartmouth--Cole Harbour/Dartmouth--Cole Harbour,55,Halifax,61,39,11,0,76,0,0,187,334
Dartmouth--Cole Harbour/Dartmouth--Cole Harbour,56,Halifax,35,10,3,5,27,0,1,81,181
Dartmouth--Cole Harbour/Dartmouth--Cole Harbour,57,Halifax,87,31,10,3,51,0,1,183,387
Dartmouth--Cole Harbour/Dartmouth--Cole Harbour,58A,Halifax,66,21,4,3,42,0,0,136,357
Dartmouth--Cole Harbour/Dartmouth--Cole Harbour,58B,Halifax,Merged with No. 24,,,,,,,,169
Dartmouth--Cole Harbour/Dartmouth--Cole Harbour,58C,Halifax,Merged with No. 61,,,,,,,,112
Dartmouth--Cole Harbour/Dartmouth--Cole Harbour,58D,Halifax,Merged with No. 37,,,,,,,,71
Dartmouth--Cole Harbour/Dartmouth--Cole Harbour,59A,Halifax,53,13,12,3,34,1,2,118,344
Dartmouth--Cole Harbour/Dartmouth--Cole Harbour,59B,Halifax,78,24,13,0,46,0,2,163,326
Dartmouth--Cole Harbour/Dartmouth--Cole Harbour,60,Halifax,83,31,15,2,69,0,2,202,349
Dartmouth--Cole Harbour/Dartmouth--Cole Harbour,61,Halifax,37,18,2,1,32,2,1,93,237
Dartmouth--Cole Harbour/Dartmouth--Cole Harbour,62,Halifax,41,22,10,1,37,0,0,111,232
Dartmouth--Cole Harbour/Dartmouth--Cole Harbour,63,Halifax,37,14,7,1,31,0,0,90,206
Dartmouth--Cole Harbour/Dartmouth--Cole Harbour,64,Halifax,51,18,11,2,34,1,0,117,268
Dartmouth--Cole Harbour/Dartmouth--Cole Harbour,65,Halifax,77,51,8,2,97,0,5,240,358
Dartmouth--Cole Harbour/Dartmouth--Cole Harbour,66,Halifax,81,47,1,1,88,0,0,218,333
Dartmouth--Cole Harbour/Dartmouth--Cole Harbour,67,Halifax,46,58,4,2,88,3,1,202,316
Dartmouth--Cole Harbour/Dartmouth--Cole Harbour,68,Halifax,63,48,5,2,83,0,1,202,341
Dartmouth--Cole Harbour/Dartmouth--Cole Harbour,69,Halifax,50,38,2,1,62,1,1,155,310
Dartmouth--Cole Harbour/Dartmouth--Cole Harbour,70,Halifax,45,42,3,2,93,0,1,186,286
Dartmouth--Cole Harbour/Dartmouth--Cole Harbour,71,Halifax,54,49,11,4,68,0,1,187,309
Dartmouth--Cole Harbour/Dartmouth--Cole Harbour,72,Halifax,56,50,8,1,56,0,0,171,307
Dartmouth--Cole Harbour/Dartmouth--Cole Harbour,73,Halifax,26,17,6,1,37,0,0,87,274
Dartmouth--Cole Harbour/Dartmouth--Cole Harbour,74,Halifax,44,17,5,2,37,0,1,106,309
Dartmouth--Cole Harbour/Dartmouth--Cole Harbour,75,Halifax,48,25,2,1,78,2,1,157,261
Dartmouth--Cole Harbour/Dartmouth--Cole Harbour,76,Halifax,32,48,4,1,111,0,1,197,334
Dartmouth--Cole Harbour/Dartmouth--Cole Harbour,77,Halifax,32,46,3,2,85,0,0,168,261
Dartmouth--Cole Harbour/Dartmouth--Cole Harbour,78,Halifax,35,38,5,0,121,0,0,199,317
Dartmouth--Cole Harbour/Dartmouth--Cole Harbour,79,Halifax,59,62,4,0,107,0,0,232,334
Dartmouth--Cole Harbour/Dartmouth--Cole Harbour,80,Halifax,70,37,11,0,89,1,1,209,334
Dartmouth--Cole Harbour/Dartmouth--Cole Harbour,81,Halifax,106,35,7,4,65,0,0,217,525
Dartmouth--Cole Harbour/Dartmouth--Cole Harbour,82,Halifax,115,36,17,1,141,0,0,310,433
Dartmouth--Cole Harbour/Dartmouth--Cole Harbour,83,Halifax,88,62,22,2,151,0,1,326,480
Dartmouth--Cole Harbour/Dartmouth--Cole Harbour,84,Halifax,33,17,8,1,64,0,1,124,201
Dartmouth--Cole Harbour/Dartmouth--Cole Harbour,85,Halifax,85,30,15,1,97,0,0,228,292
Dartmouth--Cole Harbour/Dartmouth--Cole Harbour,86,Halifax,78,25,9,1,115,0,0,228,374
Dartmouth--Cole Harbour/Dartmouth--Cole Harbour,87,Halifax,88,24,8,4,56,0,2,182,359
Dartmouth--Cole Harbour/Dartmouth--Cole Harbour,88,Halifax,91,21,11,0,56,0,1,180,329
Dartmouth--Cole Harbour/Dartmouth--Cole Harbour,89,Halifax,86,47,8,1,100,0,0,242,492
Dartmouth--Cole Harbour/Dartmouth--Cole Harbour,90,Halifax,89,16,9,1,98,0,2,215,335
Dartmouth--Cole Harbour/Dartmouth--Cole Harbour,91,Halifax,93,44,6,1,98,0,0,242,406
Dartmouth--Cole Harbour/Dartmouth--Cole Harbour,92,Halifax,79,40,9,2,83,0,0,213,335
Dartmouth--Cole Harbour/Dartmouth--Cole Harbour,93,Halifax,59,28,5,2,52,0,0,146,243
Dartmouth--Cole Harbour/Dartmouth--Cole Harbour,94,Halifax,54,12,4,0,43,0,2,115,299
Dartmouth--Cole Harbour/Dartmouth--Cole Harbour,95,Halifax,75,55,17,2,79,0,2,230,377
Dartmouth--Cole Harbour/Dartmouth--Cole Harbour,96,Halifax,74,18,11,1,72,2,0,178,314
Dartmouth--Cole Harbour/Dartmouth--Cole Harbour,97,Halifax,78,31,13,2,63,0,1,188,326
Dartmouth--Cole Harbour/Dartmouth--Cole Harbour,98,Halifax,63,29,6,0,62,2,0,162,354
Dartmouth--Cole Harbour/Dartmouth--Cole Harbour,99,Halifax,61,30,4,1,63,0,1,160,303
Dartmouth--Cole Harbour/Dartmouth--Cole Harbour,100,Halifax,54,14,4,4,35,1,1,113,352
Dartmouth--Cole Harbour/Dartmouth--Cole Harbour,101,Halifax,62,21,6,3,44,0,0,136,292
Dartmouth--Cole Harbour/Dartmouth--Cole Harbour,102,Halifax,72,17,3,2,36,0,0,130,296
Dartmouth--Cole Harbour/Dartmouth--Cole Harbour,103,Halifax,88,29,6,1,76,1,1,202,348
Dartmouth--Cole Harbour/Dartmouth--Cole Harbour,104,Halifax,77,19,8,4,43,0,0,151,337
Dartmouth--Cole Harbour/Dartmouth--Cole Harbour,105,Halifax,69,30,5,5,47,1,1,158,263
Dartmouth--Cole Harbour/Dartmouth--Cole Harbour,106,Halifax,101,33,4,4,42,0,5,189,354
Dartmouth--Cole Harbour/Dartmouth--Cole Harbour,107,Halifax,63,22,2,8,23,0,2,120,261
Dartmouth--Cole Harbour/Dartmouth--Cole Harbour,108,Halifax,69,24,5,0,16,0,2,116,261
Dartmouth--Cole Harbour/Dartmouth--Cole Harbour,109,Halifax,54,7,3,3,34,0,1,102,251
Dartmouth--Cole Harbour/Dartmouth--Cole Harbour,110,Halifax,52,30,6,4,80,0,1,173,263
Dartmouth--Cole Harbour/Dartmouth--Cole Harbour,111,Halifax,49,58,5,1,93,3,0,209,349
Dartmouth--Cole Harbour/Dartmouth--Cole Harbour,112,Halifax,63,67,7,3,107,0,1,248,427
Dartmouth--Cole Harbour/Dartmouth--Cole Harbour,113,Halifax,64,27,7,1,56,0,0,155,325
Dartmouth--Cole Harbour/Dartmouth--Cole Harbour,114,Halifax,69,42,5,2,95,0,0,213,375
Dartmouth--Cole Harbour/Dartmouth--Cole Harbour,115,Halifax,81,59,5,0,102,0,0,247,375
Dartmouth--Cole Harbour/Dartmouth--Cole Harbour,116,Halifax,93,35,6,4,68,0,0,206,370
Dartmouth--Cole Harbour/Dartmouth--Cole Harbour,117,Halifax,81,41,12,5,101,1,2,243,367
Dartmouth--Cole Harbour/Dartmouth--Cole Harbour,118,Halifax,47,48,9,0,115,2,0,221,317
Dartmouth--Cole Harbour/Dartmouth--Cole Harbour,119,Halifax,45,40,5,0,71,1,0,162,299
Dartmouth--Cole Harbour/Dartmouth--Cole Harbour,120,Halifax,72,47,3,3,97,1,0,223,348
Dartmouth--Cole Harbour/Dartmouth--Cole Harbour,121,Halifax,66,42,6,1,96,0,1,212,325
Dartmouth--Cole Harbour/Dartmouth--Cole Harbour,122,Halifax,81,64,16,1,162,1,0,325,486
Dartmouth--Cole Harbour/Dartmouth--Cole Harbour,123,Halifax,59,45,3,0,84,0,0,191,325
Dartmouth--Cole Harbour/Dartmouth--Cole Harbour,124,Halifax,69,58,5,0,99,1,1,233,355
Dartmouth--Cole Harbour/Dartmouth--Cole Harbour,125,Halifax,71,57,12,2,97,1,0,240,347
Dartmouth--Cole Harbour/Dartmouth--Cole Harbour,126,Halifax,62,74,8,3,134,0,3,284,306
Dartmouth--Cole Harbour/Dartmouth--Cole Harbour,127,Halifax,53,71,6,2,104,0,1,237,284
Dartmouth--Cole Harbour/Dartmouth--Cole Harbour,128,Halifax,63,45,4,4,141,0,0,257,425
Dartmouth--Cole Harbour/Dartmouth--Cole Harbour,129,Halifax,58,85,8,4,135,0,1,291,365
Dartmouth--Cole Harbour/Dartmouth--Cole Harbour,130A,Halifax,54,87,14,3,149,0,0,307,448
Dartmouth--Cole Harbour/Dartmouth--Cole Harbour,130B,Halifax,Merged with No. 127,,,,,,,,114
Dartmouth--Cole Harbour/Dartmouth--Cole Harbour,130C,Halifax,Merged with No. 126,,,,,,,,91
Dartmouth--Cole Harbour/Dartmouth--Cole Harbour,130D,Halifax,Merged with No. 129,,,,,,,,36
Dartmouth--Cole Harbour/Dartmouth--Cole Harbour,130E,Halifax,Merged with No. 124,,,,,,,,42
Dartmouth--Cole Harbour/Dartmouth--Cole Harbour,131,Halifax,62,89,5,0,161,0,0,317,459
Dartmouth--Cole Harbour/Dartmouth--Cole Harbour,132,Halifax,46,113,3,1,178,0,2,343,516
Dartmouth--Cole Harbour/Dartmouth--Cole Harbour,133,Halifax,44,84,3,6,148,0,0,285,405
Dartmouth--Cole Harbour/Dartmouth--Cole Harbour,134,Halifax,45,84,9,0,156,0,0,294,496
Dartmouth--Cole Harbour/Dartmouth--Cole Harbour,135,Halifax,66,34,7,2,94,0,0,203,441
Dartmouth--Cole Harbour/Dartmouth--Cole Harbour,136A,Halifax,56,37,7,3,117,0,2,222,401
Dartmouth--Cole Harbour/Dartmouth--Cole Harbour,136B,Halifax,Merged with No. 141,,,,,,,,144
Dartmouth--Cole Harbour/Dartmouth--Cole Harbour,136C,Halifax,Merged with No. 137,,,,,,,,119
Dartmouth--Cole Harbour/Dartmouth--Cole Harbour,137,Halifax,65,44,6,1,74,0,1,191,245
Dartmouth--Cole Harbour/Dartmouth--Cole Harbour,138,Halifax,89,67,5,5,103,0,1,270,467
Dartmouth--Cole Harbour/Dartmouth--Cole Harbour,139,Halifax,84,56,12,2,67,2,2,225,424
Dartmouth--Cole Harbour/Dartmouth--Cole Harbour,140,Halifax,106,59,6,2,136,1,1,311,594
Dartmouth--Cole Harbour/Dartmouth--Cole Harbour,141,Halifax,66,36,7,0,73,0,3,185,194
Dartmouth--Cole Harbour/Dartmouth--Cole Harbour,142,Halifax,78,40,7,3,57,1,2,188,355
Dartmouth--Cole Harbour/Dartmouth--Cole Harbour,143,Halifax,112,49,2,3,97,0,2,265,443
Dartmouth--Cole Harbour/Dartmouth--Cole Harbour,144,Halifax,118,34,7,3,77,1,1,241,380
Dartmouth--Cole Harbour/Dartmouth--Cole Harbour,145A,Halifax,135,85,9,6,122,1,2,360,402
Dartmouth--Cole Harbour/Dartmouth--Cole Harbour,145B,Halifax,Merged with No. 123,,,,,,,,69
Dartmouth--Cole Harbour/Dartmouth--Cole Harbour,145C,Halifax,Merged with No. 161,,,,,,,,154
Dartmouth--Cole Harbour/Dartmouth--Cole Harbour,146,Halifax,104,24,11,4,67,1,1,212,378
Dartmouth--Cole Harbour/Dartmouth--Cole Harbour,147,Halifax,64,64,7,1,89,0,3,228,554
Dartmouth--Cole Harbour/Dartmouth--Cole Harbour,148,Halifax,87,32,5,3,64,0,2,193,369
Dartmouth--Cole Harbour/Dartmouth--Cole Harbour,149,Halifax,84,34,7,1,65,0,0,191,321
Dartmouth--Cole Harbour/Dartmouth--Cole Harbour,150,Halifax,99,46,9,2,63,0,0,219,424
Dartmouth--Cole Harbour/Dartmouth--Cole Harbour,151,Halifax,80,36,8,2,64,0,1,191,298
Dartmouth--Cole Harbour/Dartmouth--Cole Harbour,152,Halifax,72,21,4,0,54,0,3,154,267
Dartmouth--Cole Harbour/Dartmouth--Cole Harbour,153,Halifax,96,58,12,3,101,1,1,272,474
Dartmouth--Cole Harbour/Dartmouth--Cole Harbour,154,Halifax,65,53,3,2,76,0,0,199,366
Dartmouth--Cole Harbour/Dartmouth--Cole Harbour,155,Halifax,91,79,13,3,91,0,0,277,527
Dartmouth--Cole Harbour/Dartmouth--Cole Harbour,156,Halifax,46,54,7,2,133,0,1,243,403
Dartmouth--Cole Harbour/Dartmouth--Cole Harbour,157,Halifax,39,36,4,1,74,0,2,156,265
Dartmouth--Cole Harbour/Dartmouth--Cole Harbour,158,Halifax,47,73,3,2,103,0,2,230,377
Dartmouth--Cole Harbour/Dartmouth--Cole Harbour,159,Halifax,66,43,2,1,102,1,0,215,304
Dartmouth--Cole Harbour/Dartmouth--Cole Harbour,160,Halifax,50,35,4,0,55,0,0,144,256
Dartmouth--Cole Harbour/Dartmouth--Cole Harbour,161,Halifax,27,25,3,2,68,0,0,125,223
Dartmouth--Cole Harbour/Dartmouth--Cole Harbour,162,Halifax,63,62,8,1,126,0,1,261,351
Dartmouth--Cole Harbour/Dartmouth--Cole Harbour,163,Halifax,85,69,6,1,129,2,1,293,437
Dartmouth--Cole Harbour/Dartmouth--Cole Harbour,164,Halifax,39,64,5,3,162,0,1,274,420
Dartmouth--Cole Harbour/Dartmouth--Cole Harbour,165,Halifax,43,59,5,0,147,0,1,255,362
Dartmouth--Cole Harbour/Dartmouth--Cole Harbour,166,Halifax,56,91,4,1,138,0,0,290,440
Dartmouth--Cole Harbour/Dartmouth--Cole Harbour,167,Halifax,50,38,6,3,62,0,0,159,217
Dartmouth--Cole Harbour/Dartmouth--Cole Harbour,168,Halifax,53,73,3,4,92,0,1,226,360
Dartmouth--Cole Harbour/Dartmouth--Cole Harbour,169,Halifax,64,55,7,1,126,0,0,253,406
Dartmouth--Cole Harbour/Dartmouth--Cole Harbour,170,Halifax,50,71,7,2,136,0,0,266,448
Dartmouth--Cole Harbour/Dartmouth--Cole Harbour,171,Halifax,55,57,7,2,164,0,0,285,438
Dartmouth--Cole Harbour/Dartmouth--Cole Harbour,172,Halifax,58,53,11,2,117,0,1,242,353
Dartmouth--Cole Harbour/Dartmouth--Cole Harbour,173,Halifax,71,32,4,1,63,0,0,171,345
Dartmouth--Cole Harbour/Dartmouth--Cole Harbour,174,Halifax,90,49,4,5,121,0,1,270,478
Dartmouth--Cole Harbour/Dartmouth--Cole Harbour,175,Halifax,67,13,7,5,31,0,1,124,256
Dartmouth--Cole Harbour/Dartmouth--Cole Harbour,176,Halifax,106,72,14,2,105,1,0,300,476
Dartmouth--Cole Harbour/Dartmouth--Cole Harbour,177,Halifax,77,58,6,0,130,0,0,271,378
Dartmouth--Cole Harbour/Dartmouth--Cole Harbour,178A,Halifax,56,79,7,4,132,0,0,278,413
Dartmouth--Cole Harbour/Dartmouth--Cole Harbour,178B,Halifax,Merged with No. 162,,,,,,,,60
Dartmouth--Cole Harbour/Dartmouth--Cole Harbour,178C,Halifax,Merged with No. 165,,,,,,,,48
Dartmouth--Cole Harbour/Dartmouth--Cole Harbour,178D,Halifax,Merged with No. 177,,,,,,,,59
Dartmouth--Cole Harbour/Dartmouth--Cole Harbour,500,Mobile poll/Bureau itinérant,86,25,5,1,55,1,4,177,298
Dartmouth--Cole Harbour/Dartmouth--Cole Harbour,501,Mobile poll/Bureau itinérant,22,16,4,1,21,0,3,67,127
Dartmouth--Cole Harbour/Dartmouth--Cole Harbour,502,Mobile poll/Bureau itinérant,67,51,7,1,68,0,6,200,278
Dartmouth--Cole Harbour/Dartmouth--Cole Harbour,600,Halifax,158,150,9,10,274,1,4,606,
Dartmouth--Cole Harbour/Dartmouth--Cole Harbour,601,Halifax,188,40,10,5,78,1,3,325,
Dartmouth--Cole Harbour/Dartmouth--Cole Harbour,602,Halifax,283,177,20,9,337,1,5,832,
Dartmouth--Cole Harbour/Dartmouth--Cole Harbour,603,Halifax,165,173,12,2,306,2,3,663,
Dartmouth--Cole Harbour/Dartmouth--Cole Harbour,604,Halifax,196,78,25,7,194,0,1,501,
Dartmouth--Cole Harbour/Dartmouth--Cole Harbour,605,Halifax,127,146,8,1,239,0,1,522,
Dartmouth--Cole Harbour/Dartmouth--Cole Harbour,606,Halifax,134,79,6,4,147,1,0,371,
Dartmouth--Cole Harbour/Dartmouth--Cole Harbour,607,Cole Harbour--Halifax,120,166,21,5,221,1,1,535,
Dartmouth--Cole Harbour/Dartmouth--Cole Harbour,,Group 1/Groupe 1,47,192,16,30,141,1,9,436,1424
Dartmouth--Cole Harbour/Dartmouth--Cole Harbour,,Group 2/Groupe 2,234,150,22,5,262,0,4,677,
