District,Poll Number,Poll Name,Carolyn Bennett,Barry Cline,Peter Elgie,Norman Tobias,Rejected Ballots,Total Vote,Electors
St. Paul's/St. Paul's,1A,York,162,59,8,33,5,267,406
St. Paul's/St. Paul's,1B,York,Merged with No. 2B,,,,,,81
St. Paul's/St. Paul's,2A,York,124,46,4,43,0,217,460
St. Paul's/St. Paul's,2B,York,112,36,1,42,1,192,318
St. Paul's/St. Paul's,3,York,79,20,7,40,1,147,357
St. Paul's/St. Paul's,4,York,105,34,4,50,1,194,388
St. Paul's/St. Paul's,5,York,160,32,7,45,4,248,480
St. Paul's/St. Paul's,6,York,123,32,14,51,0,220,387
St. Paul's/St. Paul's,7,York,129,30,9,68,0,236,500
St. Paul's/St. Paul's,8,York,104,21,5,44,0,174,409
St. Paul's/St. Paul's,9,York,161,24,5,37,1,228,468
St. Paul's/St. Paul's,10,York,107,31,6,36,2,182,439
St. Paul's/St. Paul's,11,York,111,29,4,42,0,186,401
St. Paul's/St. Paul's,12,York,135,34,6,39,3,217,430
St. Paul's/St. Paul's,13,York,144,41,9,62,3,259,534
St. Paul's/St. Paul's,14,York,75,14,2,28,2,121,220
St. Paul's/St. Paul's,15,York,118,10,4,33,1,166,364
St. Paul's/St. Paul's,16,York,148,37,11,51,5,252,481
St. Paul's/St. Paul's,17,York,134,37,11,53,3,238,391
St. Paul's/St. Paul's,18,York,149,52,16,42,0,259,404
St. Paul's/St. Paul's,19,York,149,58,11,42,1,261,425
St. Paul's/St. Paul's,20,York,157,107,15,30,1,310,480
St. Paul's/St. Paul's,21,York,88,34,6,8,1,137,245
St. Paul's/St. Paul's,22,York,112,57,15,24,1,209,431
St. Paul's/St. Paul's,23,York,86,28,3,20,1,138,237
St. Paul's/St. Paul's,24,York,185,70,11,30,1,297,427
St. Paul's/St. Paul's,25,Toronto,90,24,5,25,2,146,285
St. Paul's/St. Paul's,26,York,122,65,9,22,1,219,364
St. Paul's/St. Paul's,27,York,144,31,16,68,1,260,450
St. Paul's/St. Paul's,28,York,148,27,15,82,2,274,440
St. Paul's/St. Paul's,29,York,105,21,6,55,1,188,349
St. Paul's/St. Paul's,30,York,119,20,13,59,0,211,383
St. Paul's/St. Paul's,31,York,144,18,11,88,0,261,391
St. Paul's/St. Paul's,32,York,155,15,10,74,1,255,400
St. Paul's/St. Paul's,33,Toronto,125,36,9,60,4,234,463
St. Paul's/St. Paul's,34,York,138,17,16,69,1,241,438
St. Paul's/St. Paul's,35,York,158,21,7,104,1,291,423
St. Paul's/St. Paul's,36,York,164,33,18,58,1,274,386
St. Paul's/St. Paul's,37,York,125,21,21,67,2,236,382
St. Paul's/St. Paul's,38,Toronto,114,14,13,78,1,220,389
St. Paul's/St. Paul's,39,Toronto,195,35,21,72,1,324,506
St. Paul's/St. Paul's,40,Toronto,82,9,6,60,1,158,255
St. Paul's/St. Paul's,41,Toronto,64,23,10,37,0,134,290
St. Paul's/St. Paul's,42,York,124,21,12,58,1,216,382
St. Paul's/St. Paul's,43,York,137,31,13,76,0,257,430
St. Paul's/St. Paul's,44,York,80,13,17,73,2,185,373
St. Paul's/St. Paul's,45,York,104,27,5,73,1,210,329
St. Paul's/St. Paul's,46,York,83,19,7,70,0,179,319
St. Paul's/St. Paul's,47,York,95,21,7,36,1,160,295
St. Paul's/St. Paul's,48A,York,122,21,7,44,1,195,306
St. Paul's/St. Paul's,48B,York,80,25,5,48,2,160,323
St. Paul's/St. Paul's,49,York,79,27,11,74,0,191,310
St. Paul's/St. Paul's,50,York,134,16,10,72,0,232,454
St. Paul's/St. Paul's,51,York,151,41,24,70,3,289,480
St. Paul's/St. Paul's,52,Toronto,140,43,17,32,1,233,380
St. Paul's/St. Paul's,53,Toronto,128,34,0,9,0,171,288
St. Paul's/St. Paul's,54,Toronto,112,60,12,24,0,208,336
St. Paul's/St. Paul's,55,Toronto,118,32,6,12,1,169,279
St. Paul's/St. Paul's,56,Toronto,121,42,11,28,0,202,331
St. Paul's/St. Paul's,57,Toronto,142,71,8,20,0,241,372
St. Paul's/St. Paul's,58,Toronto,137,95,12,8,0,252,429
St. Paul's/St. Paul's,59,Toronto,127,74,10,8,0,219,355
