District,Poll Number,Poll Name,François Boudreau,Lévis Brien,André Cardinal,Jean-François Léveque,Allen  F. MacKenzie,Benoît Sauvageau,Rejected Ballots,Total Vote,Electors
Repentigny/Repentigny,76,Le Gardeur,0,26,8,4,22,190,9,259,385
Repentigny/Repentigny,77,Le Gardeur,7,30,12,17,6,196,6,274,388
Repentigny/Repentigny,78,Le Gardeur,0,34,5,9,12,155,12,227,354
Repentigny/Repentigny,79,Repentigny,6,63,10,7,21,211,10,328,541
Repentigny/Repentigny,80,Repentigny,0,92,8,11,19,206,8,344,570
Repentigny/Repentigny,81,Repentigny,2,50,4,3,14,218,12,303,490
Repentigny/Repentigny,82,Repentigny,4,31,6,3,4,145,5,198,400
Repentigny/Repentigny,83,Repentigny,3,48,13,15,10,196,6,291,449
Repentigny/Repentigny,84,Repentigny,0,28,3,5,11,168,1,216,357
Repentigny/Repentigny,85,Repentigny,4,53,10,7,3,215,10,302,488
Repentigny/Repentigny,86,Repentigny,1,47,6,4,8,194,4,264,412
Repentigny/Repentigny,87,Repentigny,0,45,9,10,16,211,6,297,436
Repentigny/Repentigny,88,Repentigny,1,54,11,15,21,262,9,373,655
Repentigny/Repentigny,89,Repentigny,0,48,5,4,13,154,6,230,416
Repentigny/Repentigny,90,Repentigny,2,47,7,3,10,218,6,293,521
Repentigny/Repentigny,91,Repentigny,5,68,14,3,22,243,4,359,577
Repentigny/Repentigny,92,Repentigny,2,59,13,11,15,260,13,373,563
Repentigny/Repentigny,93,Repentigny,2,45,8,6,16,169,2,248,403
Repentigny/Repentigny,94,Repentigny,2,25,8,4,21,194,7,261,424
Repentigny/Repentigny,95,Repentigny,0,38,7,4,9,230,4,292,479
Repentigny/Repentigny,96,Repentigny,6,47,5,10,17,228,4,317,503
Repentigny/Repentigny,97,Repentigny,2,48,17,15,14,221,9,326,503
Repentigny/Repentigny,98,Repentigny,2,39,6,17,13,223,3,303,444
Repentigny/Repentigny,99,Repentigny,2,28,2,3,12,179,8,234,368
Repentigny/Repentigny,100,Repentigny,3,32,9,5,13,167,7,236,411
Repentigny/Repentigny,101,Repentigny,0,26,11,4,7,176,6,230,363
Repentigny/Repentigny,102,Repentigny,2,47,9,8,9,196,5,276,391
Repentigny/Repentigny,103,Repentigny,1,33,13,5,16,151,7,226,468
Repentigny/Repentigny,104,Repentigny,4,25,10,8,14,191,3,255,423
Repentigny/Repentigny,105,Repentigny,1,44,10,6,9,190,9,269,396
Repentigny/Repentigny,106,Repentigny,2,44,8,12,12,155,7,240,430
Repentigny/Repentigny,107,Repentigny,1,36,7,4,10,161,3,222,438
Repentigny/Repentigny,108,Repentigny,4,25,6,6,7,145,5,198,469
Repentigny/Repentigny,109,Repentigny,4,32,7,6,17,218,1,285,446
Repentigny/Repentigny,110,Repentigny,5,50,7,14,10,217,5,308,506
Repentigny/Repentigny,111,Repentigny,2,58,6,11,14,178,8,277,449
Repentigny/Repentigny,112,Repentigny,3,54,5,10,5,160,3,240,380
Repentigny/Repentigny,113,Repentigny,4,67,6,12,12,223,6,330,458
Repentigny/Repentigny,114,Repentigny,2,47,9,10,11,207,6,292,454
Repentigny/Repentigny,115,Repentigny,1,59,5,11,18,171,4,269,378
Repentigny/Repentigny,116,Repentigny,0,53,14,11,13,201,7,299,422
Repentigny/Repentigny,117,Repentigny,3,69,9,9,10,204,5,309,518
Repentigny/Repentigny,118,Repentigny,1,56,6,8,12,183,5,271,438
Repentigny/Repentigny,119,Repentigny,2,40,8,8,14,203,9,284,422
Repentigny/Repentigny,120,Repentigny,3,90,5,10,12,179,9,308,550
Repentigny/Repentigny,121,Repentigny,5,32,5,13,6,135,4,200,280
Repentigny/Repentigny,122,Repentigny,1,39,7,8,7,169,7,238,491
Repentigny/Repentigny,123,Repentigny,1,31,10,4,14,143,3,206,407
Repentigny/Repentigny,124,Repentigny,1,47,0,1,5,149,3,206,419
Repentigny/Repentigny,125,Repentigny,1,23,9,8,11,146,4,202,416
Repentigny/Repentigny,126,Repentigny,0,17,11,0,5,126,6,165,441
Repentigny/Repentigny,127,Repentigny,2,56,6,5,7,177,6,259,497
Repentigny/Repentigny,128,Repentigny,6,43,9,3,12,140,6,219,417
Repentigny/Repentigny,129,Repentigny,3,41,10,5,9,188,7,263,361
Repentigny/Repentigny,130,Repentigny,1,59,7,7,7,140,10,231,426
Repentigny/Repentigny,131,Repentigny,4,64,18,4,14,186,8,298,463
Repentigny/Repentigny,132,Repentigny,2,41,10,4,8,191,8,264,470
