District,Poll Number,Poll Name,Françoise Boivin,Brian Gibb,Gabriel Girard-Bernier,Richard Nadeau,Gérald Nicolas,Stephane Salko,Dominique Vaillancourt,Rejected Ballots,Total Vote,Electors
Gatineau/Gatineau,1A,Gatineau,35,4,0,59,12,1,4,4,119,224
Gatineau/Gatineau,1B,Gatineau,35,6,0,44,9,2,9,6,111,236
Gatineau/Gatineau,2,Gatineau,76,9,0,78,20,2,10,5,200,386
Gatineau/Gatineau,3,Gatineau,65,10,0,73,15,3,10,3,179,339
Gatineau/Gatineau,4,Gatineau,79,3,0,72,13,2,12,3,184,382
Gatineau/Gatineau,5,Gatineau,44,5,1,73,6,3,7,1,140,253
Gatineau/Gatineau,6,Gatineau,76,10,0,110,7,0,12,4,219,361
Gatineau/Gatineau,7,Gatineau,71,11,1,99,6,0,20,2,210,311
Gatineau/Gatineau,8,Gatineau,77,8,0,128,18,1,20,2,254,348
Gatineau/Gatineau,9,Gatineau,103,7,0,110,38,2,15,1,276,405
Gatineau/Gatineau,10,Gatineau,105,11,0,83,12,0,23,0,234,311
Gatineau/Gatineau,11,Gatineau,55,6,0,77,2,4,18,0,162,249
Gatineau/Gatineau,12,Gatineau,59,8,0,63,6,0,7,1,144,225
Gatineau/Gatineau,13,Gatineau,74,4,0,89,4,2,15,1,189,307
Gatineau/Gatineau,14,Gatineau,82,7,0,82,15,1,16,0,203,424
Gatineau/Gatineau,15,Gatineau,77,4,1,62,12,4,12,1,173,328
Gatineau/Gatineau,16,Gatineau,95,9,0,88,7,3,13,3,218,404
Gatineau/Gatineau,17,Gatineau,86,9,1,66,12,0,11,1,186,344
Gatineau/Gatineau,18,Gatineau,97,9,2,75,18,1,17,0,219,327
Gatineau/Gatineau,19,Gatineau,101,8,0,87,11,2,11,1,221,340
Gatineau/Gatineau,20,Gatineau,110,14,1,92,17,2,19,2,257,376
Gatineau/Gatineau,21,Gatineau,64,13,2,66,10,2,16,3,176,286
Gatineau/Gatineau,22,Gatineau,71,8,1,88,14,3,9,4,198,317
Gatineau/Gatineau,23,Gatineau,119,15,1,84,12,1,14,2,248,364
Gatineau/Gatineau,24,Gatineau,111,6,0,84,23,2,14,3,243,397
Gatineau/Gatineau,25,Gatineau,116,8,0,82,7,0,13,2,228,344
Gatineau/Gatineau,26,Gatineau,78,8,1,70,9,1,16,3,186,353
Gatineau/Gatineau,27,Gatineau,113,2,1,81,13,4,15,5,234,407
Gatineau/Gatineau,28,Gatineau,96,6,0,82,33,1,18,4,240,386
Gatineau/Gatineau,29,Gatineau,100,4,0,109,10,3,16,0,242,398
Gatineau/Gatineau,30,Gatineau,100,12,0,76,16,3,22,2,231,353
Gatineau/Gatineau,31,Gatineau,104,5,0,83,6,2,13,1,214,354
Gatineau/Gatineau,32,Gatineau,95,5,1,85,9,1,12,2,210,361
Gatineau/Gatineau,33A,Gatineau,49,2,0,47,8,1,3,0,110,227
Gatineau/Gatineau,33B,Gatineau,59,7,0,51,4,1,10,0,132,244
Gatineau/Gatineau,34,Gatineau,102,3,1,53,10,1,5,2,177,300
Gatineau/Gatineau,35,Gatineau,126,7,1,84,18,2,7,3,248,366
Gatineau/Gatineau,36,Gatineau,131,6,1,60,11,4,9,0,222,362
Gatineau/Gatineau,37,Gatineau,90,5,0,57,8,2,11,2,175,371
Gatineau/Gatineau,38,Gatineau,73,7,0,48,15,1,4,2,150,356
Gatineau/Gatineau,39,Gatineau,67,7,0,73,12,3,17,1,180,371
Gatineau/Gatineau,40,Gatineau,88,0,0,78,16,1,14,2,199,392
Gatineau/Gatineau,41,Gatineau,91,8,2,51,13,0,6,3,174,387
Gatineau/Gatineau,42,Gatineau,68,5,0,58,12,1,6,0,150,320
Gatineau/Gatineau,43,Gatineau,75,5,2,58,10,3,14,3,170,411
Gatineau/Gatineau,44,Gatineau,46,8,0,59,11,2,8,1,135,350
Gatineau/Gatineau,45,Gatineau,53,2,0,54,9,2,8,2,130,275
Gatineau/Gatineau,46,Gatineau,88,4,1,61,10,2,5,4,175,342
Gatineau/Gatineau,47,Gatineau,73,1,1,78,10,2,10,2,177,377
Gatineau/Gatineau,48A,Gatineau,54,5,0,53,18,1,7,2,140,357
Gatineau/Gatineau,48B,Gatineau,41,9,0,51,17,1,10,0,129,393
Gatineau/Gatineau,49,Gatineau,62,5,0,71,13,2,10,11,174,436
Gatineau/Gatineau,50A,Gatineau,39,4,0,39,9,2,7,1,101,226
Gatineau/Gatineau,50B,Gatineau,44,2,1,52,9,4,7,2,121,248
Gatineau/Gatineau,51,Gatineau,63,4,0,49,17,3,2,5,143,393
