District,Poll Number,Poll Name,Joseph Grubb,Tim McKellar,Sandra Romano Anthony,Judy Sgro,Leslie Soobrian,Rejected Ballots,Total Vote,Electors
York West/York-Ouest,1,North York,5,4,30,136,21,1,197,416
York West/York-Ouest,2,North York,11,3,19,204,31,2,270,470
York West/York-Ouest,3,North York,6,8,23,128,15,0,180,343
York West/York-Ouest,4,North York,12,10,33,149,15,5,224,503
York West/York-Ouest,5,North York,11,4,19,154,13,0,201,331
York West/York-Ouest,6,North York,13,12,15,138,24,1,203,339
York West/York-Ouest,7,North York,4,5,26,149,25,0,209,377
York West/York-Ouest,8,North York,17,3,24,129,30,3,206,357
York West/York-Ouest,9,North York,10,6,18,123,21,1,179,334
York West/York-Ouest,10,North York,12,6,20,146,7,1,192,333
York West/York-Ouest,11,North York,13,7,33,136,35,2,226,484
York West/York-Ouest,12,North York,13,6,25,152,35,0,231,531
York West/York-Ouest,13,North York,7,6,12,124,19,1,169,296
York West/York-Ouest,14,North York,8,4,21,106,10,2,151,250
York West/York-Ouest,15,North York,7,6,32,135,22,1,203,537
York West/York-Ouest,16,North York,12,2,16,144,12,3,189,386
York West/York-Ouest,17,North York,10,6,23,161,18,1,219,534
York West/York-Ouest,18,North York,4,4,21,59,35,0,123,339
York West/York-Ouest,19,North York,Void,,,,,,,
York West/York-Ouest,20,North York,10,3,20,73,12,1,119,252
York West/York-Ouest,21,North York,7,4,14,38,9,3,75,343
York West/York-Ouest,22,North York,15,6,10,65,17,2,115,376
York West/York-Ouest,23,North York,2,4,30,105,28,1,170,487
York West/York-Ouest,24A,North York,5,2,19,49,4,0,79,282
York West/York-Ouest,24B,North York,6,2,19,44,12,1,84,325
York West/York-Ouest,25,North York,8,0,10,131,12,0,161,323
York West/York-Ouest,26,North York,15,0,28,208,16,3,270,435
York West/York-Ouest,27,North York,10,7,43,149,33,6,248,465
York West/York-Ouest,28,North York,26,8,43,122,29,2,230,541
York West/York-Ouest,29,North York,16,2,17,193,27,5,260,451
York West/York-Ouest,30,North York,26,2,47,121,11,4,211,499
York West/York-Ouest,31,North York,14,7,32,114,32,0,199,497
