District,Poll Number,Poll Name,Colin Carrie,Louise V. Parkes,Sid Ryan,Tim Sullivan,Liisa Whalley,Rejected Ballots,Total Vote,Electors
Oshawa/Oshawa,1A,Oshawa,100,83,55,0,3,2,243,455
Oshawa/Oshawa,1B,Oshawa,81,86,46,1,2,1,217,390
Oshawa/Oshawa,2A,Oshawa,95,79,35,0,6,2,217,376
Oshawa/Oshawa,2B,Oshawa,111,112,40,0,11,2,276,457
Oshawa/Oshawa,3A,Oshawa,117,79,66,0,6,5,273,492
Oshawa/Oshawa,3B,Oshawa,101,103,72,2,12,1,291,519
Oshawa/Oshawa,4,Oshawa,144,123,77,0,13,2,359,533
Oshawa/Oshawa,5,Oshawa,101,109,28,0,7,1,246,385
Oshawa/Oshawa,6,Oshawa,133,116,49,0,15,2,315,517
Oshawa/Oshawa,7,Oshawa,25,17,19,0,1,1,63,284
Oshawa/Oshawa,8,Oshawa,101,73,80,1,14,0,269,422
Oshawa/Oshawa,9,Oshawa,91,65,73,1,9,1,240,443
Oshawa/Oshawa,10,Oshawa,54,29,70,0,10,1,164,307
Oshawa/Oshawa,11,Oshawa,52,58,68,0,6,1,185,362
Oshawa/Oshawa,12A,Oshawa,91,66,34,0,6,1,198,334
Oshawa/Oshawa,12B,Oshawa,71,78,41,0,7,2,199,341
Oshawa/Oshawa,13,Oshawa,48,46,44,0,2,0,140,239
Oshawa/Oshawa,14A,Oshawa,36,42,55,0,1,0,134,283
Oshawa/Oshawa,14B,Oshawa,43,35,40,0,5,0,123,286
Oshawa/Oshawa,15,Oshawa,69,55,82,0,9,0,215,433
Oshawa/Oshawa,16,Oshawa,64,58,64,1,7,2,196,381
Oshawa/Oshawa,17,Oshawa,82,98,65,0,12,1,258,395
Oshawa/Oshawa,18,Oshawa,65,90,76,0,6,0,237,437
Oshawa/Oshawa,19,Oshawa,66,90,57,1,6,1,221,395
Oshawa/Oshawa,20,Oshawa,53,47,42,0,12,2,156,276
Oshawa/Oshawa,21,Oshawa,87,147,38,0,10,0,282,466
Oshawa/Oshawa,22A,Oshawa,82,82,45,0,6,1,216,367
Oshawa/Oshawa,22B,Oshawa,76,79,40,1,9,2,207,390
Oshawa/Oshawa,23,Oshawa,101,107,29,0,8,1,246,399
Oshawa/Oshawa,24,Oshawa,66,59,38,1,5,0,169,306
Oshawa/Oshawa,25,Oshawa,105,65,35,0,8,3,216,352
Oshawa/Oshawa,26A,Oshawa,64,78,48,1,4,2,197,325
Oshawa/Oshawa,26B,Oshawa,59,95,53,0,10,6,223,347
Oshawa/Oshawa,27,Oshawa,141,104,86,1,7,4,343,527
Oshawa/Oshawa,28,Oshawa,132,125,64,0,10,3,334,543
Oshawa/Oshawa,29,Oshawa,98,119,57,0,4,0,278,461
Oshawa/Oshawa,30,Oshawa,97,101,97,1,9,1,306,490
Oshawa/Oshawa,31,Oshawa,79,71,91,0,12,3,256,425
Oshawa/Oshawa,32,Oshawa,74,70,85,0,6,1,236,463
Oshawa/Oshawa,33,Oshawa,48,82,60,0,3,0,193,418
Oshawa/Oshawa,34,Oshawa,99,133,67,0,9,1,309,493
Oshawa/Oshawa,35,Oshawa,116,135,74,0,7,0,332,486
Oshawa/Oshawa,36,Oshawa,75,89,73,1,2,2,242,394
Oshawa/Oshawa,37,Oshawa,55,51,56,0,12,3,177,361
Oshawa/Oshawa,38,Oshawa,38,44,65,0,6,1,154,305
Oshawa/Oshawa,39,Oshawa,127,106,42,0,7,2,284,473
Oshawa/Oshawa,40A,Oshawa,99,87,47,0,9,0,242,436
Oshawa/Oshawa,40B,Oshawa,90,69,62,1,9,0,231,374
Oshawa/Oshawa,41,Oshawa,132,96,94,2,12,1,337,588
Oshawa/Oshawa,42,Oshawa,60,84,38,0,4,2,188,288
Oshawa/Oshawa,43,Oshawa,101,99,88,0,8,1,297,510
Oshawa/Oshawa,44,Oshawa,75,47,42,0,5,0,169,360
Oshawa/Oshawa,45,Oshawa,63,71,46,0,11,1,192,370
Oshawa/Oshawa,46,Oshawa,80,77,61,0,7,1,226,406
Oshawa/Oshawa,47,Oshawa,96,90,56,0,9,4,255,426
Oshawa/Oshawa,48,Oshawa,86,91,46,0,4,5,232,404
Oshawa/Oshawa,49,Oshawa,50,48,64,0,7,0,169,484
Oshawa/Oshawa,50,Oshawa,30,61,64,0,5,0,160,249
Oshawa/Oshawa,51,Oshawa,37,32,58,1,4,0,132,342
Oshawa/Oshawa,52,Oshawa,29,39,54,0,5,4,131,461
Oshawa/Oshawa,53A,Oshawa,43,44,62,1,7,0,157,363
Oshawa/Oshawa,53B,Oshawa,40,26,46,0,6,0,118,346
Oshawa/Oshawa,53-1A,Oshawa,Merged with No. 53A,,,,,,,63
Oshawa/Oshawa,53-1B,Oshawa,Merged with No. 53B,,,,,,,81
Oshawa/Oshawa,54,Oshawa,53,37,49,0,8,2,149,314
Oshawa/Oshawa,54-1,Oshawa,56,71,28,0,9,0,164,271
Oshawa/Oshawa,55,Oshawa,38,29,64,1,6,0,138,349
Oshawa/Oshawa,56,Oshawa,72,80,60,0,8,0,220,481
Oshawa/Oshawa,57,Oshawa,131,127,50,0,13,4,325,475
Oshawa/Oshawa,58,Oshawa,88,100,59,0,12,2,261,415
Oshawa/Oshawa,59,Oshawa,82,92,44,0,5,0,223,335
Oshawa/Oshawa,60,Oshawa,72,79,76,0,8,0,235,359
Oshawa/Oshawa,61,Oshawa,54,76,61,0,5,2,198,274
Oshawa/Oshawa,62,Oshawa,59,57,42,1,9,1,169,336
Oshawa/Oshawa,63,Oshawa,68,58,62,0,3,0,191,309
Oshawa/Oshawa,64,Oshawa,74,87,77,0,15,0,253,445
Oshawa/Oshawa,65,Oshawa,60,51,137,0,19,0,267,489
Oshawa/Oshawa,66,Oshawa,79,70,144,2,18,1,314,536
Oshawa/Oshawa,67,Oshawa,49,100,69,0,11,0,229,372
Oshawa/Oshawa,68,Oshawa,85,67,60,0,8,0,220,355
Oshawa/Oshawa,69,Oshawa,62,59,36,0,4,0,161,262
Oshawa/Oshawa,70,Oshawa,74,57,69,1,10,0,211,367
Oshawa/Oshawa,71,Oshawa,72,67,50,0,8,0,197,361
Oshawa/Oshawa,72,Oshawa,78,86,54,0,11,0,229,367
Oshawa/Oshawa,73,Oshawa,75,78,77,2,11,1,244,407
Oshawa/Oshawa,74,Oshawa,79,68,76,0,13,2,238,465
Oshawa/Oshawa,75,Oshawa,88,73,79,1,10,1,252,430
Oshawa/Oshawa,76,Oshawa,63,77,68,0,15,0,223,456
Oshawa/Oshawa,77,Oshawa,51,69,78,0,9,1,208,390
Oshawa/Oshawa,78,Oshawa,63,86,58,0,8,1,216,407
Oshawa/Oshawa,79,Oshawa,90,74,73,0,8,1,246,493
Oshawa/Oshawa,80,Oshawa,66,52,76,1,6,1,202,325
Oshawa/Oshawa,81,Oshawa,55,70,64,0,7,0,196,337
Oshawa/Oshawa,82,Oshawa,75,81,64,0,12,0,232,412
Oshawa/Oshawa,83,Oshawa,63,37,78,1,8,0,187,338
Oshawa/Oshawa,84,Oshawa,53,75,60,1,12,0,201,361
Oshawa/Oshawa,85,Oshawa,59,43,82,0,7,0,191,411
