District,Poll Number,Poll Name,Barbara Biley,Hira Chopra,Scott Fraser,Diana E. Lifton,James D Lunney,Michael Mann,David Wright,Rejected Ballots,Total Vote,Electors
Nanaimo--Alberni/Nanaimo--Alberni,1A,Ahousaht,3,16,90,1,11,5,6,0,132,294
Nanaimo--Alberni/Nanaimo--Alberni,1B,Ahousaht,0,2,29,3,1,3,3,0,41,66
Nanaimo--Alberni/Nanaimo--Alberni,2,Tofino,0,65,88,0,59,5,41,3,261,403
Nanaimo--Alberni/Nanaimo--Alberni,3,Tofino,0,36,90,0,39,5,31,1,202,387
Nanaimo--Alberni/Nanaimo--Alberni,4,Tofino,0,49,162,0,64,4,56,0,335,579
Nanaimo--Alberni/Nanaimo--Alberni,5A,Port Albion,0,11,47,0,9,2,7,0,76,151
Nanaimo--Alberni/Nanaimo--Alberni,5B,Mears Island,0,1,22,0,2,0,3,0,28,64
Nanaimo--Alberni/Nanaimo--Alberni,6,Ucluelet,0,37,42,3,33,2,31,0,148,305
Nanaimo--Alberni/Nanaimo--Alberni,7,Ucluelet,0,42,79,1,60,9,11,0,202,344
Nanaimo--Alberni/Nanaimo--Alberni,8,Ucluelet,1,45,111,0,119,15,34,1,326,519
Nanaimo--Alberni/Nanaimo--Alberni,9,Sproat Lake,0,32,60,1,69,3,2,1,168,311
Nanaimo--Alberni/Nanaimo--Alberni,10,Beaver Creek,0,31,83,1,79,0,6,2,202,335
Nanaimo--Alberni/Nanaimo--Alberni,11,Sproat Lake,0,16,30,0,54,0,0,0,100,159
Nanaimo--Alberni/Nanaimo--Alberni,12,Sproat Lake,0,25,115,0,98,6,9,0,253,366
Nanaimo--Alberni/Nanaimo--Alberni,13,Port Alberni,0,56,69,0,84,2,10,0,221,331
Nanaimo--Alberni/Nanaimo--Alberni,14,Beaver Creek,0,31,80,2,82,3,10,0,208,326
Nanaimo--Alberni/Nanaimo--Alberni,15,Sproat Lake,0,10,104,0,29,3,3,0,149,326
Nanaimo--Alberni/Nanaimo--Alberni,16,Beaver Creek,1,25,104,0,68,6,10,0,214,301
Nanaimo--Alberni/Nanaimo--Alberni,17,Beaver Creek,0,23,96,0,68,9,8,1,205,320
Nanaimo--Alberni/Nanaimo--Alberni,18,Beaver Creek,1,35,115,0,92,0,5,3,251,382
Nanaimo--Alberni/Nanaimo--Alberni,19,Cherry Creek,0,36,95,0,58,3,7,3,202,310
Nanaimo--Alberni/Nanaimo--Alberni,20,Cherry Creek,1,52,121,0,93,3,11,0,281,478
Nanaimo--Alberni/Nanaimo--Alberni,21,Cherry Creek,1,34,112,2,101,3,13,1,267,420
Nanaimo--Alberni/Nanaimo--Alberni,22,Cherry Creek,0,47,122,0,87,2,11,0,269,373
Nanaimo--Alberni/Nanaimo--Alberni,23,Cherry Creek,0,16,49,0,51,0,3,0,119,180
Nanaimo--Alberni/Nanaimo--Alberni,24,Alberni 2,1,30,91,3,59,6,12,0,202,346
Nanaimo--Alberni/Nanaimo--Alberni,25,Bamfield,0,35,65,1,38,5,12,0,156,287
Nanaimo--Alberni/Nanaimo--Alberni,26,Port Alberni,0,29,44,0,69,0,6,0,148,279
Nanaimo--Alberni/Nanaimo--Alberni,27,Port Alberni,1,30,102,2,65,5,10,1,216,417
Nanaimo--Alberni/Nanaimo--Alberni,28,Port Alberni,1,65,120,0,63,5,4,0,258,493
Nanaimo--Alberni/Nanaimo--Alberni,29,Port Alberni,1,31,130,1,44,1,13,1,222,420
Nanaimo--Alberni/Nanaimo--Alberni,30,Port Alberni,0,50,107,0,74,5,12,0,248,443
Nanaimo--Alberni/Nanaimo--Alberni,31,Port Alberni,0,30,137,1,59,2,12,0,241,375
Nanaimo--Alberni/Nanaimo--Alberni,32,Port Alberni,0,57,125,0,95,2,7,1,287,488
Nanaimo--Alberni/Nanaimo--Alberni,33,Port Alberni,1,60,95,0,100,5,7,0,268,426
Nanaimo--Alberni/Nanaimo--Alberni,34,Port Alberni,0,38,105,2,53,2,8,1,209,387
Nanaimo--Alberni/Nanaimo--Alberni,35,Port Alberni,0,52,87,0,101,2,6,3,251,408
Nanaimo--Alberni/Nanaimo--Alberni,36,Port Alberni,1,36,97,3,80,1,9,0,227,384
Nanaimo--Alberni/Nanaimo--Alberni,37,Port Alberni,1,16,78,0,41,4,3,0,143,296
Nanaimo--Alberni/Nanaimo--Alberni,38,Port Alberni,1,59,138,2,86,8,10,1,305,478
Nanaimo--Alberni/Nanaimo--Alberni,39,Port Alberni,0,35,104,0,70,4,7,0,220,362
Nanaimo--Alberni/Nanaimo--Alberni,40,Port Alberni,0,27,87,0,51,4,11,1,181,314
Nanaimo--Alberni/Nanaimo--Alberni,41,Port Alberni,0,40,113,0,70,5,8,0,236,408
Nanaimo--Alberni/Nanaimo--Alberni,42,Port Alberni,0,19,83,1,30,5,12,0,150,308
Nanaimo--Alberni/Nanaimo--Alberni,43,Port Alberni,0,29,117,1,74,5,5,0,231,347
Nanaimo--Alberni/Nanaimo--Alberni,44,Port Alberni,0,68,130,2,89,4,14,1,308,524
