District,Poll Number,Poll Name,Guy André,Ann Julie Fortier,Eric Labrecque,Denis McKinnon,Laurier Thibault,Rejected Ballots,Total Vote,Electors
Berthier--Maskinongé/Berthier--Maskinongé,1,Saint-Alexis-des-Monts,70,2,1,2,21,0,96,219
Berthier--Maskinongé/Berthier--Maskinongé,2,Saint-Élie,188,41,5,19,52,7,312,501
Berthier--Maskinongé/Berthier--Maskinongé,3,Saint-Élie,110,41,8,6,45,8,218,391
Berthier--Maskinongé/Berthier--Maskinongé,4,Saint-Élie,93,31,8,8,42,2,184,336
Berthier--Maskinongé/Berthier--Maskinongé,5,Charette,77,20,1,4,31,6,139,272
Berthier--Maskinongé/Berthier--Maskinongé,6,Charette,135,31,10,6,48,9,239,458
Berthier--Maskinongé/Berthier--Maskinongé,7,Saint-Paulin,150,28,13,15,70,13,289,454
Berthier--Maskinongé/Berthier--Maskinongé,8,Saint-Paulin,107,27,7,10,85,9,245,383
Berthier--Maskinongé/Berthier--Maskinongé,9,Saint-Paulin,131,32,4,3,66,9,245,465
Berthier--Maskinongé/Berthier--Maskinongé,10,Saint-Alexis-des-Monts,123,22,1,1,43,7,197,384
Berthier--Maskinongé/Berthier--Maskinongé,11,Saint-Alexis-des-Monts,100,14,2,6,58,2,182,389
Berthier--Maskinongé/Berthier--Maskinongé,12,Saint-Alexis-des-Monts,109,23,3,6,43,0,184,384
Berthier--Maskinongé/Berthier--Maskinongé,13,Saint-Alexis-des-Monts,99,17,2,5,57,1,181,347
Berthier--Maskinongé/Berthier--Maskinongé,14,Saint-Alexis-des-Monts,76,8,1,0,49,4,138,290
Berthier--Maskinongé/Berthier--Maskinongé,15,Saint-Alexis-des-Monts,142,9,3,5,57,5,221,484
Berthier--Maskinongé/Berthier--Maskinongé,16,Sainte-Angèle-de-Prémont,108,21,2,8,21,4,164,298
Berthier--Maskinongé/Berthier--Maskinongé,17,Sainte-Angèle-de-Prémont,83,15,4,3,26,0,131,236
Berthier--Maskinongé/Berthier--Maskinongé,18,Saint-Mathieu,142,13,13,8,45,9,230,371
Berthier--Maskinongé/Berthier--Maskinongé,19,Saint-Mathieu,166,11,14,16,58,5,270,409
Berthier--Maskinongé/Berthier--Maskinongé,20,Saint-Mathieu,79,17,10,12,52,4,174,313
Berthier--Maskinongé/Berthier--Maskinongé,21,Saint-Boniface-de-Shawinigan,131,44,9,9,49,8,250,404
Berthier--Maskinongé/Berthier--Maskinongé,22,Saint-Boniface-de-Shawinigan,120,23,5,5,24,8,185,343
Berthier--Maskinongé/Berthier--Maskinongé,23,Saint-Boniface-de-Shawinigan,129,26,11,7,39,7,219,386
Berthier--Maskinongé/Berthier--Maskinongé,24,Saint-Boniface-de-Shawinigan,113,32,1,3,56,8,213,389
Berthier--Maskinongé/Berthier--Maskinongé,25,Saint-Boniface-de-Shawinigan,138,33,9,4,17,10,211,375
Berthier--Maskinongé/Berthier--Maskinongé,26,Saint-Boniface-de-Shawinigan,180,47,6,8,37,14,292,506
Berthier--Maskinongé/Berthier--Maskinongé,27,Saint-Boniface-de-Shawinigan,132,33,9,4,20,8,206,362
Berthier--Maskinongé/Berthier--Maskinongé,28,Saint-Boniface-de-Shawinigan,128,31,7,14,45,12,237,409
Berthier--Maskinongé/Berthier--Maskinongé,29,Saint-Étienne-des-Grès,175,44,13,11,46,19,308,480
Berthier--Maskinongé/Berthier--Maskinongé,30,Saint-Étienne-des-Grès,168,29,6,8,64,5,280,470
Berthier--Maskinongé/Berthier--Maskinongé,31,Saint-Étienne-des-Grès,187,42,9,13,52,9,312,508
Berthier--Maskinongé/Berthier--Maskinongé,32,Saint-Étienne-des-Grès,163,33,7,8,40,13,264,495
Berthier--Maskinongé/Berthier--Maskinongé,33,Saint-Étienne-des-Grès,134,11,7,7,48,10,217,481
Berthier--Maskinongé/Berthier--Maskinongé,34,Saint-Étienne-des-Grès,169,44,11,6,43,8,281,551
Berthier--Maskinongé/Berthier--Maskinongé,35,Trois-Rivières-Ouest,73,16,3,6,76,10,184,285
Berthier--Maskinongé/Berthier--Maskinongé,36,Trois-Rivières-Ouest,110,15,4,6,42,2,179,316
Berthier--Maskinongé/Berthier--Maskinongé,37,Trois-Rivières-Ouest,102,16,8,11,40,4,181,317
Berthier--Maskinongé/Berthier--Maskinongé,38,Trois-Rivières-Ouest,128,20,7,8,42,2,207,477
Berthier--Maskinongé/Berthier--Maskinongé,39,Trois-Rivières-Ouest,101,31,3,9,38,8,190,340
Berthier--Maskinongé/Berthier--Maskinongé,40,Trois-Rivières-Ouest,93,38,4,8,65,7,215,304
Berthier--Maskinongé/Berthier--Maskinongé,41,Trois-Rivières-Ouest,134,42,7,12,65,11,271,415
Berthier--Maskinongé/Berthier--Maskinongé,42,Trois-Rivières-Ouest,187,37,5,6,33,8,276,421
Berthier--Maskinongé/Berthier--Maskinongé,43,Trois-Rivières-Ouest,164,41,7,10,37,4,263,399
Berthier--Maskinongé/Berthier--Maskinongé,44,Trois-Rivières-Ouest,160,28,5,11,42,5,251,388
Berthier--Maskinongé/Berthier--Maskinongé,45,Trois-Rivières-Ouest,184,48,6,10,74,7,329,547
Berthier--Maskinongé/Berthier--Maskinongé,46,Trois-Rivières-Ouest,163,20,5,12,55,6,261,390
Berthier--Maskinongé/Berthier--Maskinongé,47,Trois-Rivières-Ouest,140,21,4,12,64,7,248,388
Berthier--Maskinongé/Berthier--Maskinongé,48,Trois-Rivières-Ouest,151,29,7,6,53,4,250,372
Berthier--Maskinongé/Berthier--Maskinongé,49,Trois-Rivières-Ouest,135,28,13,22,62,3,263,387
Berthier--Maskinongé/Berthier--Maskinongé,50,Trois-Rivières-Ouest,100,24,12,10,76,2,224,350
Berthier--Maskinongé/Berthier--Maskinongé,51,Trois-Rivières-Ouest,149,35,3,16,52,6,261,413
Berthier--Maskinongé/Berthier--Maskinongé,52,Trois-Rivières-Ouest,126,29,8,9,26,7,205,440
Berthier--Maskinongé/Berthier--Maskinongé,53,Trois-Rivières-Ouest,135,30,5,5,38,6,219,475
Berthier--Maskinongé/Berthier--Maskinongé,54,Trois-Rivières-Ouest,149,33,6,10,45,8,251,367
Berthier--Maskinongé/Berthier--Maskinongé,55,Trois-Rivières-Ouest,166,45,8,18,55,8,300,466
Berthier--Maskinongé/Berthier--Maskinongé,56,Trois-Rivières-Ouest,156,29,12,10,63,7,277,369
Berthier--Maskinongé/Berthier--Maskinongé,57,Trois-Rivières-Ouest,147,42,8,11,59,5,272,416
Berthier--Maskinongé/Berthier--Maskinongé,58,Trois-Rivières-Ouest,190,50,6,11,62,9,328,506
